A	H	H	H	H
A	HA	HA	HA	HA
A	HB1	1HB	1HB	1HB
A	HB2	2HB	2HB	2HB
A	HB3	3HB	3HB	3HB
A	C	C	C	C
A	CA	CA	CA	CA
A	CB	CB	CB	CB
A	N	N	N	N
A	O	O	O	O
				
R	H	H	H	H
R	HA	HA	HA	HA
R	HB2	1HB	HB1	2HB
R	HB3	2HB	HB2	3HB
R	HG2	1HG	HG1	2HG
R	HG3	2HG	HG2	3HG
R	HD2	1HD	HD1	2HD
R	HD3	2HD	HD2	3HD
R	HE	HE	HE	HE
R	HH11	1HH1	1HH1	1HH1
R	HH12	2HH1	2HH1	2HH1
R	HH21	1HH2	1HH2	1HH2
R	HH22	2HH2	2HH2	2HH2
R	C	C	C	C
R	CA	CA	CA	CA
R	CB	CB	CB	CB
R	CG	CG	CG	CG
R	CD	CD	CD	CD
R	CZ	CZ	CZ	CZ
R	N	N	N	N
R	NE	NE	NE	NE
R	NH1	NH1	NH1	NH1
R	NH2	NH2	NH2	NH2
R	O	O	O	O
				
D	H	H	H	H
D	HA	HA	HA	HA
D	HB2	1HB	HB1	2HB
D	HB3	2HB	HB2	3HB
D	HD2			HD2
D	C	C	C	C
D	CA	CA	CA	CA
D	CB	CB	CB	CB
D	CG	CG	CG	CG
D	N	N	N	N
D	O	O	O	O
D	OD1	OD1	OD1	OD1
D	OD2	OD2	OD2	OD2
				
N	H	H	H	H
N	HA	HA	HA	HA
N	HB2	1HB	HB1	2HB
N	HB3	2HB	HB2	3HB
N	HD21	1HD2	1HD2	1HD2
N	HD22	2HD2	2HD2	2HD2
N	C	C	C	C
N	CA	CA	CA	CA
N	CB	CB	CB	CB
N	CG	CG	CG	CG
N	N	N	N	N
N	ND2	ND2	ND2	ND2
N	O	O	O	O
N	OD1	OD1	OD1	OD1
				
C	H	H	H	H
C	HA	HA	HA	HA
C	HB2	1HB	HB1	2HB
C	HB3	2HB	HB2	3HB
C	HG	HG	HG1	HG
C	C	C	C	C
C	CA	CA	CA	CA
C	CB	CB	CB	CB
C	N	N	N	N
C	O	O	O	O
C	SG	SG	SG	SG
				
E	H	H	H	H
E	HA	HA	HA	HA
E	HB2	1HB	HB1	2HB
E	HB3	2HB	HB2	3HB
E	HG2	1HG	HG1	2HG
E	HG3	2HG	HG2	3HG
E	HE2			HE2
E	C	C	C	C
E	CA	CA	CA	CA
E	CB	CB	CB	CB
E	CG	CG	CG	CG
E	CD	CD	CD	CD
E	N	N	N	N
E	O	O	O	O
E	OE1	OE1	OE1	OE1
E	OE2	OE2	OE2	OE2
				
Q	H	H	H	H
Q	HA	HA	HA	HA
Q	HB2	1HB	HB1	2HB
Q	HB3	2HB	HB2	3HB
Q	HG2	1HG	HG1	2HG
Q	HG3	2HG	HG2	3HG
Q	HE21	1HE2	1HE2	1HE2
Q	HE22	2HE2	2HE2	2HE2
Q	C	C	C	C
Q	CA	CA	CA	CA
Q	CB	CB	CB	CB
Q	CG	CG	CG	CG
Q	CD	CD	CD	CD
Q	N	N	N	N
Q	NE2	NE2	NE2	NE2
Q	O	O	O	O
Q	OE1	OE1	OE1	OE1
				
G	H	H	H	H
G	HA2	1HA	HA1	2HA
G	HA3	2HA	HA2	3HA
G	C	C	C	C
G	CA	CA	CA	CA
G	N	N	N	N
G	O	O	O	O
				
H	H	H	H	H
H	HA	HA	HA	HA
H	HB2	1HB	HB1	2HB
H	HB3	2HB	HB2	3HB
