"L","EGlob","CCLosed","ELocClosed","Copen","ELocOpen","Circuit_rank","Dia","Mean_path_length","Coverage","time","mean_deg","var_deg","avg_deg","mean_fragsize","var_fragsize","avg_fragsize","Maximalcliques","label"
1,1,1,1,1,1,15,1,0.857142857142857,0.915384615384615,"1x1 struct",527.628809371282,52.3252885521728,527.628809371282,92.5505628260273,10.8049370153525,92.5505628260273,1,0.25
1.10714285714286,0.946428571428571,0.946428571428572,0.973214285714286,0.928571428571429,0.964285714285714,18,2,0.96875,0.676923076923077,"1x1 struct",108.832335329341,46.0227850162334,108.832335329341,39.3338323353293,17.7882308516307,39.3338323353293,2,0.2578125
1,1,1,1,1,1,1,1,0.666666666666667,0.269230769230769,"1x1 struct",27.7258566978193,20.3691333288863,27.7258566978193,46.4953271028037,6.47917038498227,46.4953271028037,1,0.546875
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
1.10714285714286,0.946428571428571,0.946428571428572,0.973214285714286,0.928571428571429,0.964285714285714,18,2,0.96875,0.676923076923077,"1x1 struct",130.943113772455,53.854247151715,130.943113772455,42.874251497006,19.2155199461114,42.874251497006,2,0.265625
1,1,1,1,1,1,45,1,0.909090909090909,0.915384615384615,"1x1 struct",716.38239259129,83.6001087576066,716.38239259129,83.0490592579567,13.6945927145107,83.0490592579567,1,0.2578125
2.10714285714286,0.629166666666667,0.829166666666667,0.914583333333333,"NaN","NaN",4,5,1.84375,0.523076923076923,"1x1 struct",14.8191365227538,11.0641925872445,14.8191365227538,19.4282380396733,7.92901557674741,19.4282380396733,5,0.453125
1.17777777777778,0.911111111111111,0.982222222222222,0.991111111111111,"NaN","NaN",28,2,1.06,0.9,"1x1 struct",362.58064516129,185.807030282014,362.58064516129,58.8413429888084,29.5443084016081,58.8413429888084,2,0.296875
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
1,1,1,1,1,1,91,1,0.933333333333333,0.978102189781022,"1x1 struct",639.410224610721,202.655275727384,639.410224610721,66.0631114785724,22.8358887255366,66.0631114785724,1,0.288888888888889
1,1,1,1,1,1,55,1,0.916666666666667,0.978102189781022,"1x1 struct",763.15172817809,163.9440958271,763.15172817809,82.5131810193322,19.0306124174529,82.5131810193322,1,0.318518518518519
1,1,1,1,1,1,231,1,0.956521739130435,0.978102189781022,"1x1 struct",1513.48666615725,230.344486342033,1513.48666615725,79.330633453045,13.0970043489928,79.330633453045,1,0.318518518518519
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
1,1,1,1,1,1,171,1,0.95,0.978102189781022,"1x1 struct",1210.3918128655,236.281080035625,1210.3918128655,77.2777777777778,15.5826943748711,77.2777777777778,1,0.266666666666667
1,1,1,1,1,1,136,1,0.944444444444444,0.978102189781022,"1x1 struct",975.890125626505,215.750562967931,975.890125626505,73.3971229577557,17.4312800677203,73.3971229577557,1,0.318518518518519
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
1,1,1,1,1,1,10,1,0.833333333333333,0.87962962962963,"1x1 struct",303.019844693702,140.58863062034,303.019844693702,76.9772792637331,35.5153027859387,76.9772792637331,1,0.179245283018868
1,1,1,1,1,1,1,1,0.666666666666667,0.87962962962963,"1x1 struct",9.9815157116451,2.76853258640308,9.9815157116451,37.6874101458205,53.9693506632883,37.6874101458205,1,0.245283018867925
