# lys - chi1=-60, chi2=180, chi3=180, chi4=180
#
#phi  psi  s11  s22  s33  siso  saniso  Æs*  ½  
-165.0  -90.0  128.9  136.8  157.1  141.0  24.2  11.1  28.2  
-150.0  -90.0  129.3  137.1  162.4  142.9  29.3  15.7  33.1  
-135.0  -90.0  130.0  137.3  166.5  144.6  32.8  19.5  36.4  
-120.0  -90.0  131.2  137.5  168.5  145.7  34.1  21.0  37.2  
-105.0  -90.0  132.8  137.1  168.0  146.0  33.0  19.3  35.1  
-90.0  -90.0  134.7  136.6  165.2  145.5  29.6  15.0  30.6  
-75.0  -90.0  134.6  137.9  161.2  144.5  24.9  9.4  26.6  
-60.0  -90.0  133.5  140.4  156.8  143.6  19.9  3.9  23.3  
-165.0  -75.0  127.1  136.6  155.0  139.5  23.1  8.1  27.9  
-150.0  -75.0  128.3  136.3  160.2  141.6  27.9  12.4  31.9  
-135.0  -75.0  129.7  135.9  164.3  143.3  31.5  16.1  34.6  
-120.0  -75.0  131.3  135.6  166.6  144.5  33.1  17.4  35.3  
-105.0  -75.0  132.6  135.3  166.4  144.7  32.5  15.7  33.8  
-90.0  -75.0  132.2  136.4  164.0  144.2  29.7  11.1  31.8  
-75.0  -75.0  130.6  138.4  160.4  143.1  25.9  5.2  29.8  
-60.0  -75.0  129.1  140.9  156.5  142.2  21.5  -0.9  27.3  
-165.0  -60.0  125.9  136.5  153.5  138.6  22.3  7.6  27.6  
-150.0  -60.0  127.4  136.2  158.7  140.8  26.9  11.8  31.3  
-135.0  -60.0  129.0  135.6  162.8  142.5  30.5  15.4  33.8  
-120.0  -60.0  130.8  134.8  165.2  143.6  32.4  16.7  34.4  
-105.0  -60.0  131.9  134.2  165.3  143.8  32.3  14.8  33.4  
-90.0  -60.0  130.5  135.6  163.3  143.1  30.3  10.0  32.9  
-75.0  -60.0  128.3  137.7  160.1  142.0  27.1  3.8  31.8  
-60.0  -60.0  126.7  140.1  156.6  141.1  23.3  -2.4  30.0  
-165.0  -45.0  125.6  136.9  153.5  138.7  22.2  10.3  27.8  
-150.0  -45.0  126.9  137.2  158.5  140.9  26.4  14.4  31.6  
-135.0  -45.0  128.4  136.7  162.5  142.5  30.0  17.9  34.1  
-120.0  -45.0  130.1  135.5  164.9  143.5  32.1  19.1  34.8  
-105.0  -45.0  131.9  133.6  165.1  143.5  32.4  17.2  33.2  
-90.0  -45.0  130.8  134.1  163.3  142.8  30.9  12.4  32.5  
-75.0  -45.0  128.5  136.1  160.3  141.6  28.0  6.1  31.8  
-60.0  -45.0  127.0  138.7  157.0  140.9  24.2  -0.2  30.0  
-165.0  -30.0  124.8  139.8  154.6  139.7  22.3  14.5  29.9  
-150.0  -30.0  125.5  140.6  159.3  141.8  26.3  18.6  33.8  
-135.0  -30.0  126.5  140.1  163.1  143.2  29.8  22.3  36.6  
-120.0  -30.0  127.8  138.6  165.4  143.9  32.2  23.7  37.6  
-105.0  -30.0  129.0  136.6  165.6  143.7  32.8  21.9  36.6  
-90.0  -30.0  130.0  135.0  163.9  142.9  31.4  17.3  33.9  
-75.0  -30.0  129.8  134.9  160.9  141.9  28.5  11.2  31.1  
-60.0  -30.0  129.3  136.8  157.6  141.2  24.5  5.1  28.3  
-165.0  -15.0  123.4  143.7  156.1  141.1  22.6  18.2  32.7  
-150.0  -15.0  123.6  144.2  160.5  142.8  26.6  22.8  36.9  
-135.0  -15.0  124.0  143.5  164.0  143.8  30.3  27.0  40.0  
-120.0  -15.0  124.7  142.1  166.2  144.4  32.8  28.9  41.5  
-105.0  -15.0  125.6  140.2  166.4  144.1  33.5  27.6  40.8  
