#Threonine - chi1 = 60
#
#phi   psi  s11  s22  s33  siso  saniso  Æs*  ½  
-165  -90  131.4  134.3  155.8  140.5  23.0  6.6  24.5  
-150  -90  131.4  134.9  160.0  142.1  26.9  10.8  28.6  
-135  -90  132.1  135.6  163.1  143.6  29.2  14.3  31.0  
-120  -90  133.4  136.3  164.2  144.6  29.4  15.4  30.8  
-105  -90  134.7  136.9  163.0  144.9  27.2  13.6  28.3  
-90  -90  134.9  138.4  159.8  144.4  23.1  9.3  24.9  
-75  -90  134.3  140.6  155.4  143.4  17.9  3.9  21.1  
-60  -90  133.5  143.3  150.8  142.5  12.4  -1.6  17.3  
-165  -75  130.3  133.7  153.8  139.3  21.8  4.3  23.4  
-150  -75  131.5  133.6  157.8  140.9  25.3  8.2  26.3  
-135  -75  133.1  133.6  160.9  142.5  27.6  11.5  27.8  
-120  -75  133.6  134.9  162.2  143.6  28.0  12.6  28.6  
-105  -75  133.1  137.0  161.4  143.8  26.4  10.6  28.4  
-90  -75  131.9  139.2  158.6  143.2  23.0  6.1  26.7  
-75  -75  130.5  141.5  154.5  142.2  18.5  0.3  24.0  
-60  -75  129.4  144.2  150.4  141.3  13.6  -5.7  21.1  
-165  -60  127.7  134.2  151.7  137.9  20.8  4.2  24.0  
-150  -60  129.2  134.0  155.8  139.7  24.2  7.9  26.6  
-135  -60  131.1  133.8  159.0  141.3  26.6  11.1  28.0  
-120  -60  132.3  134.1  160.7  142.3  27.5  12.1  28.4  
-105  -60  131.4  135.9  160.2  142.5  26.6  10.0  28.9  
-90  -60  129.4  138.0  157.8  141.8  24.1  5.3  28.4  
-75  -60  127.5  140.4  154.3  140.7  20.4  -0.9  26.9  
-60  -60  126.1  143.0  150.9  140.0  16.3  -7.1  24.8  
-165  -45  126.1  135.3  150.7  137.4  20.0  6.4  24.6  
-150  -45  127.5  135.3  154.8  139.2  23.4  10.0  27.3  
-135  -45  129.4  135.0  158.1  140.8  25.9  13.2  28.7  
-120  -45  131.4  134.0  159.9  141.8  27.2  14.0  28.4  
-105  -45  131.7  133.8  159.7  141.7  27.0  11.9  28.0  
-90  -45  129.2  135.8  157.6  140.9  25.1  7.1  28.4  
-75  -45  126.8  138.2  154.5  139.9  22.0  0.9  27.7  
-60  -45  125.3  140.9  151.3  139.2  18.2  -5.4  26.0  
-165  -30  124.7  138.2  151.1  138.0  19.6  10.0  26.3  
-150  -30  125.8  138.5  155.0  139.8  22.9  13.6  29.2  
-135  -30  127.4  138.1  158.2  141.2  25.4  16.9  30.8  
-120  -30  129.1  136.6  159.8  141.8  27.0  17.9  30.7  
-105  -30  130.9  134.3  159.8  141.7  27.2  16.0  28.9  
-90  -30  130.9  133.4  157.9  140.7  25.7  11.4  26.9  
-75  -30  128.8  135.5  154.9  139.7  22.7  5.3  26.1  
-60  -30  127.4  138.4  151.7  139.2  18.8  -0.9  24.2  
-165  -15  123.3  141.7  152.3  139.1  19.8  13.5  29.0  
-150  -15  123.9  141.9  155.9  140.6  23.0  17.5  32.0  
-135  -15  124.9  141.3  158.7  141.7  25.6  21.3  33.8  
-120  -15  126.2  139.7  160.3  142.1  27.4  22.8  34.2  
-105  -15  127.5  137.7  160.2  141.8  27.7  21.3  32.7  
-90  -15  129.1  135.4  158.2  140.9  26.0  17.0  29.2  
-75  -15  130.8  134.0  155.2  140.0  22.8  11.1  24.4  
-60  -15  131.1  135.4  152.0  139.5  18.7  4.9  20.9  
-165  0  122.1  143.8  153.4  139.7  20.4  16.7  31.3  
-150  0  121.9  143.9  156.7  140.8  23.8  21.6  34.9  
-135  0  122.1  143.5  159.6  141.7  26.8  26.0  37.5  
-120  0  122.8  142.5  161.2  142.2  28.5  28.0  38.4  
-105  0  124.0  141.0  160.9  141.9  28.4  26.8  36.9  
-90  0  125.7  139.1  158.6  141.1  26.2  22.7  32.9  
-75  0  128.3  137.2  155.2  140.2  22.5  16.8  26.9  
-60  0  132.1  135.3  151.8  139.7  18.1  10.3  19.7  
-165  60  122.7  140.6  160.3  141.2  28.6  22.1  37.6  
-150  60  121.6  141.6  164.6  142.6  33.1  27.0  43.1  
-135  60  121.5  142.8  167.9  144.0  35.8  31.0  46.5  
-120  60  122.2  143.6  169.0  144.9  36.1  32.6  46.8  
-105  60  123.8  144.1  167.4  145.1  33.4  30.9  43.6  
-90  60  125.8  144.3  163.3  144.4  28.2  26.6  37.5  
-75  60  128.1  144.7  157.8  143.5  21.4  21.3  29.7  
-60  60  130.0  145.1  152.7  142.6  15.1  17.1  22.7  
-165  75  125.8  139.5  160.1  141.8  27.4  18.5  34.3  
-150  75  125.1  140.6  164.5  143.4  31.7  23.1  39.4  
-135  75  125.2  141.9  167.8  145.0  34.2  26.9  42.5  
-120  75  126.1  142.9  168.8  146.0  34.3  28.4  42.7  
-105  75  127.6  143.5  167.2  146.1  31.7  26.7  39.6  
-90  75  129.4  143.8  163.2  145.5  26.6  22.5  33.8  
-75  75  131.3  144.2  157.9  144.5  20.1  17.1  26.6  
-60  75  133.1  144.8  152.9  143.6  13.9  11.9  19.7  
-165  90  128.4  139.6  157.7  141.9  23.7  15.0  29.3  
-150  90  128.0  140.7  162.2  143.6  27.9  19.3  34.2  
