VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

 -1.8094  1.2290  1.9395 -0.2970  0.4175  0.4064 -0.1849 -0.0235 -0.1363  0.1961 -0.1310  0.3292  0.1031  0.3082  0.3082  0.0090 -1.8128 -0.0981 -0.6196 -1.4513  0.2396  0.0048 -0.0925 -0.0593  0.0463  0.2458 -0.0974 -0.0619 -0.1900  0.3292 -0.4288 -2.2376  1.5525  0.2370 -1.7410  0.3497  0.1564 -0.1092  0.1312  0.1359 -0.2154  0.0358 -0.5019 -0.2119  0.3062 -0.4515  0.0137  0.0307 -0.1580  0.0918  0.0609
  2.8654 -2.2525 -1.0225 -0.4345 -0.7906  0.2870 -0.2718  0.1118 -0.0595  0.0458 -0.1776 -0.3772 -0.1658  0.0457  0.2861 -0.1259 -0.9986  0.8655 -0.4600  0.6675 -0.3085 -0.5004 -0.1560  0.1157 -0.0921 -0.2390  0.2482 -0.1582  0.1718 -0.0603 -0.4551 -0.8669  0.3650 -0.0483  0.9333 -1.0115  0.6917 -0.0038 -0.7174  0.5589 -0.1594 -0.0567  0.0402  0.0476  0.1359 -0.6791 -0.1977  0.0430  0.2277  0.1627 -0.0350
 -2.0422  1.7083 -1.4747 -0.5666  1.3042  0.7655 -0.0929  0.2803  0.1780 -0.0577  0.0221 -0.0115 -0.1439  0.0086  0.0585  0.3121  0.8960  1.5435 -0.6729 -0.4674 -0.3806  0.2123  0.0214  0.7013 -0.4759  0.0933 -0.1964 -0.0857  0.0513 -0.4174  0.0092 -1.4875  0.8181 -0.6888 -1.4482  1.0615  0.2418  0.2243 -0.2294  0.4249 -0.0490  0.2383  0.4770  0.2328 -0.1685 -0.4405 -0.0321  0.0499 -0.0454 -0.3365  0.0668
  1.5038 -1.7000  1.0976  0.9273 -1.5955 -1.1537 -0.0767 -0.1869 -0.0311 -0.0833 -0.1672  0.0961  0.5568  0.2065  0.0508  0.3454  1.5102 -1.8149  0.8736  1.1053 -0.1720  0.5408 -0.2866  0.3816 -0.2508 -0.0859  0.0780 -0.7291  0.2843  0.4620 -0.2131 -0.1424  1.7649  0.0389  0.4628 -0.6076 -0.1377  0.4939 -0.2883  0.2614 -0.0728  0.0110  0.1456 -0.2024 -0.2019 -0.6048  0.1567  0.2365  0.1199 -0.1044 -0.1428
  1.9097 -0.8504  1.1909 -0.1938 -1.3617 -0.0080  0.1765 -0.3897  0.6483  0.1466 -0.0178  0.0529 -0.0065  0.1300 -0.0434 -0.1719 -1.7236  1.3399  0.3668  0.7700  0.7156  0.3749  0.0009  0.5177 -0.6549  0.1057  0.0177 -0.0761 -0.0271  0.0171  0.4085  0.1056  1.2270 -0.3239 -1.1364  0.0664 -0.1688  0.5241  0.0226 -0.2898  0.1076  0.0241 -0.1095 -0.1761 -0.1891 -0.1307 -0.0011  0.0131 -0.0615  0.0114 -0.0746
 -2.4144  0.8362  1.6623 -0.5574  1.7647  0.0167  0.0684  0.1823  0.1702  0.2220  0.2105 -0.2557  0.2779  0.1836 -0.2041 -0.5951 -0.1695  0.3925 -0.2759 -0.4539  0.9425 -0.0416 -0.3993 -0.1631  0.3151  0.1186  0.0974  0.6957  0.0643  0.0444  0.5834  1.3315 -1.4679 -0.5447  0.5554  0.6757  0.1921  0.3200  0.1670 -0.3097  0.1428  0.4776 -0.2399  0.0122  0.0399  0.7395 -0.1557  0.0166  0.0822  0.0378 -0.1320
  0.8886 -1.3140 -0.5043 -0.2951 -1.3155  0.2600 -0.1158  0.1449  0.2620 -0.0318  0.0579  0.1157 -0.0254 -0.0570 -0.0648 -0.0562 -1.3332  1.4227  0.1481 -0.6790 -0.3915 -0.0987 -0.0136  0.1572 -0.0232 -0.1096  0.0879  0.2343 -0.2003  0.0042  0.2896 -0.4186 -1.5317 -0.6679  0.0175  0.9249 -0.6552 -0.7265 -0.3813 -0.0505 -0.1282 -1.3550  0.4657 -0.1234 -0.4218 -0.5233  0.0129  0.0134  0.2776 -0.0117 -0.3364
 -1.5614  0.0149  1.1626  0.6040 -1.1848 -0.7824  0.2484  0.0421  0.0943 -0.0406  0.0187 -0.1008 -0.3250 -0.0862 -0.2412  0.4809  1.7964 -1.6610  0.6882 -0.7001  0.5074  0.1285 -0.1728 -0.1521 -0.0684 -0.0628  0.3004  0.5535 -0.1024  0.0981 -0.2036  0.0621 -1.3726  0.4434 -0.7202 -0.0866 -0.2343  0.8969  0.2089 -0.1113  0.3419  0.1603  0.6614 -0.3724  0.2776  0.5302 -0.1119 -0.0895 -0.0123  0.0345  0.1516
 -2.6797  1.0095  0.1246  0.1840 -1.3919  0.1943  0.2021  0.3029 -0.0685 -0.3841  0.2009  0.0894 -0.2626 -0.0214  0.1394  0.0167 -0.9413 -1.0438  0.1950  1.6421  0.5709 -0.5683  0.2192 -0.0198 -0.4427 -0.2402  0.1168  0.4439 -0.0847  0.1420  0.4650  1.9006 -2.0449 -0.7454  1.4848  0.6150  0.0820  0.0093  0.1822  0.2001  0.3601 -0.0880 -0.0440 -0.0499 -0.0699  0.3555  0.0225 -0.0825 -0.0979 -0.2731  0.0904
 -0.1123  1.8323 -0.1652  0.4139 -1.5616 -0.9548  0.4060 -0.2049  0.1098 -0.2671  0.4335  0.2694 -0.0496 -0.2842  0.3337 -0.6927  1.5575 -1.6618  0.1186 -0.1701 -0.8765  0.0683 -0.0952  0.0588 -0.1621  0.2672  0.5464  0.1906  0.0594  0.2788 -0.4778  1.7174 -1.8172 -0.5722  1.1810  0.8185 -0.0448  0.1505  0.2289  0.1209  0.3003 -0.0242 -0.6100  0.1466 -0.0642  0.4776 -0.1367  0.1826  0.0182 -0.2540  0.2222
