VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

  1.5795 -0.2150  0.0367 -0.3734 -0.0553  0.3892 -0.1651  0.0189  0.0920  0.0646 -0.2415  0.1408  0.2725  0.2334 -0.1019 -0.2791 -0.2345  0.2946 -0.0761 -0.2309 -0.1996 -0.4067 -0.4636 -0.1332  0.1420  0.1226  0.0923 -0.3423 -0.2351 -0.2681 -0.1606  0.0573 -0.3215 -0.3020  0.0853 -0.0240  0.0818  0.0505 -0.2205  0.1532 -0.1113  0.2709  0.0828 -0.1693 -0.4504 -0.3086 -0.2035 -0.3877 -0.5657 -0.1294 -0.2123
 -1.3262  0.1524  0.1297  0.2109  0.2077  0.3812  0.3271 -0.2323  0.1081  0.3069 -0.1516  0.0413  0.0510 -0.4175 -0.1778  0.1368 -0.4153  0.1679 -0.0900 -0.2911 -0.3810 -0.0014 -0.1860  0.3272 -0.3294  0.0165 -0.0698  0.1941  0.1781 -0.0306 -0.0401  0.2260  0.1210  0.3882  0.2288  0.2464  0.0351 -0.0179  0.2424 -0.2105 -0.0594  0.2909  0.3518 -0.1049 -0.1458  0.0500  0.1060 -0.3034 -0.2325 -0.0797 -0.0958
 -1.1586  0.3030 -0.1488 -0.1493  0.1546 -0.0245 -0.0178  0.0109  0.2776  0.1353  0.1666  0.4079  0.1553 -0.0142 -0.2113  0.2051 -0.0030 -0.0930  0.0353 -0.0090 -0.1981  0.0607  0.4213 -0.2400  0.4831 -0.0697 -0.0865  0.0108 -0.2596  0.4151  0.1364 -0.0266 -0.0572  0.2612  0.3670  0.0270  0.1613 -0.0052  0.1844  0.0983 -0.4609  0.0632 -0.1805 -0.0284 -0.3535 -0.1382  0.2683 -0.1531 -0.2866 -0.3444 -0.2487
 -0.8739  0.2138 -0.1901  0.2399  0.2954  0.4017 -0.1741 -0.3261  0.0658  0.5650 -0.0781  0.1271 -0.0748  0.0261  0.2500  0.0361  0.2986  0.1277 -0.1420 -0.3295  0.4538  0.0004  0.1048 -0.0941 -0.0669 -0.4617 -0.0250 -0.1062  0.2939  0.2752  0.5115  0.0758  0.0831  0.2794  0.1630 -0.3851 -0.1894 -0.0738 -0.3919  0.0430 -0.0601  0.2473  0.1753  0.1579 -0.0813 -0.1242 -0.3451 -0.1985 -0.0146  0.2473 -0.2333
  0.7208 -0.2798  0.1867 -0.0910 -0.3168 -0.0849 -0.3381 -0.1822 -0.0465 -0.1084 -0.5835  0.1670  0.4054 -0.1504  0.2900  0.0772 -0.3106 -0.1181  0.2339  0.1336  0.0485 -0.3970 -0.0136  0.1162 -0.2049  0.3969  0.1837  0.4443  0.2144  0.1868  0.1641 -0.2797  0.1292  0.3030 -0.0066 -0.1772 -0.0119 -0.4938  0.1241  0.2390  0.1994  0.2311 -0.1076 -0.1882 -0.1025 -0.0180  0.1326 -0.3288 -0.0217  0.0707  0.3126
  0.4715 -0.1924  0.0651  0.1139 -0.0438 -0.1366 -0.3456  0.0871 -0.0834 -0.4212 -0.0122  0.2286  0.0539  0.4440  0.1051  0.1580  0.1552  0.0267  0.3052  0.0604  0.0444  0.3748  0.0209 -0.2948  0.2486 -0.1049 -0.1377 -0.1103 -0.1029 -0.1242  0.0422  0.1078 -0.3068  0.0066 -0.1684 -0.1674 -0.0866  0.1336 -0.0114 -0.2538  0.0055  0.0878 -0.1757  0.0397 -0.3219  0.3763  0.3928  0.2081 -0.3829  0.2804  0.2842
  0.1879 -0.1496  0.1504 -0.3445  0.1461 -0.2120 -0.0521  0.1863 -0.2920 -0.0742 -0.1880 -0.1793 -0.2299  0.1513 -0.0226  0.2231  0.4857 -0.0646  0.2350 -0.4591 -0.3747  0.3088  0.0261 -0.3119 -0.2075 -0.1058  0.3583 -0.3357 -0.1911  0.2955  0.2835 -0.2741  0.0746 -0.1065  0.2423 -0.2713  0.1686  0.0936 -0.0866 -0.2538  0.0972 -0.1134 -0.3073 -0.1251 -0.0901  0.0123  0.3326 -0.1052  0.0603 -0.2769 -0.0501
  0.1732 -0.0630  0.5397  0.1834 -0.2997 -0.1014  0.0900  0.7138  0.3652  0.0797  0.0917 -0.4398 -0.2254 -0.1599 -0.1157  0.2241  0.3147  0.2194  0.2430 -0.0337 -0.1866 -0.1727  0.1944 -0.2023  0.3684 -0.4658 -0.0675 -0.1220 -0.1130  0.2510 -0.3428 -0.1905 -0.0562 -0.2394 -0.1368 -0.1330  0.1357 -0.2587 -0.2033  0.2705  0.0409  0.3802  0.1547 -0.0732  0.1447  0.1989 -0.2198 -0.0644 -0.3494  0.0835  0.1493
 -0.2644 -0.2064 -0.1960 -0.0372 -0.0102  0.4702 -0.0861 -0.2031 -0.3496 -0.0905 -0.0929  0.2161 -0.0370 -0.0133 -0.2999 -0.1664 -0.0298 -0.0097 -0.3378 -0.3317 -0.2157  0.4865 -0.0115 -0.2584 -0.1521  0.2033 -0.0464  0.0369  0.0148  0.0986 -0.2200 -0.1596 -0.1336 -0.2298  0.1459 -0.0881 -0.1002 -0.0199  0.3104 -0.0413  0.2161  0.1118 -0.2244  0.5541  0.3773  0.3496  0.4873 -0.3885 -0.5138 -0.6158  0.0514
 -0.3799 -0.1258 -0.2082 -0.0932  0.2417  0.6264  0.0860 -0.0681  0.1107 -0.4197  0.3664  0.0594  0.2384 -0.2009  0.1858  0.2769  0.0921 -0.0550  0.0829 -0.0889 -0.3439  0.0420 -0.1927  0.1189 -0.1086 -0.0081 -0.1317  0.3539  0.6162 -0.0413 -0.2925  0.3837 -0.4570 -0.4311  0.1944 -0.0188 -0.1190  0.1314  0.2055  0.2237  0.2491  0.6043 -0.1140  0.6109  0.0381  0.3407  0.0762 -0.0195  0.2300 -0.2432  0.5705
