VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

  1.4930  0.3184  0.2099 -0.1041 -0.0416  0.2718 -0.0078  0.2737 -0.1745 -0.0747 -0.4251  0.1482 -0.1142 -0.5397  0.2152 -0.2446 -0.1489  0.3013 -0.2176  0.1292 -0.3778 -0.4672 -0.3657 -0.0492  0.1102  0.0795  0.1676 -0.1194 -0.2300 -0.6387  0.3147  0.2549 -0.6767 -0.8888 -0.0582 -0.3959  0.1716 -0.1386  0.2835  0.0579 -0.1564  0.2982  0.0834 -0.1755  0.6236  0.1529 -0.4244 -0.7019  0.1135 -0.5195  0.0521
 -1.2815  0.0817 -0.0238  0.1952 -0.1340  0.1797  0.2338 -0.2206  0.1840  0.2850 -0.2111 -0.0878  0.0433 -0.4584 -0.2462  0.1244 -0.1730  0.1526 -0.0722 -0.1219 -0.1916 -0.3622 -0.1151  0.0557 -0.3953 -0.0990 -0.0955  0.2861  0.1190  0.3846  0.1993  0.3285  0.3124  0.0992  0.1577  0.2942  0.1474 -0.1036  0.3272 -0.2248 -0.2133  0.0137  0.4173 -0.0359 -0.6781  0.4698 -0.0470 -0.2784 -0.0260  0.0147 -0.1336
 -1.3175  0.4670 -0.1761  0.0165  0.1685 -0.0675  0.0558 -0.1526  0.2860  0.2227  0.4010  0.4153  0.3262 -0.0552 -0.1406  0.1323 -0.0444 -0.0853 -0.0370 -0.0221 -0.1355 -0.0760  0.3097 -0.2231  0.3443 -0.2233 -0.3203 -0.0092 -0.3477  0.3909  0.3948 -0.0183 -0.0671  0.0666  0.4365 -0.1140  0.3186  0.0976  0.3043  0.0343 -0.5479 -0.0128 -0.1976 -0.0849 -0.5118 -0.1553  0.0999 -0.1823 -0.1197 -0.3109  0.0048
 -0.7036  0.1221  0.3295  0.0544  0.1156  0.4955 -0.0660 -0.2724  0.2950  0.1025 -0.0249  0.2370 -0.1456 -0.3484 -0.1814 -0.3189  0.4216  0.0777 -0.2511 -0.1635  0.3414  0.2563  0.1849  0.2793  0.1104 -0.0951  0.3792 -0.3815  0.4282  0.0867  0.0391 -0.0043  0.1724  0.4322  0.1372  0.2129 -0.1363  0.1399 -0.1317  0.0656 -0.1029  0.3085 -0.1394  0.2266 -0.0599  0.0835  0.2078  0.0694  0.0487  0.0129 -0.1350
  0.7879 -0.3858  0.3870  0.1830  0.2537  0.1372 -0.0982 -0.4471 -0.1765 -0.1953 -0.3707 -0.0612  0.2130  0.2277  0.1685  0.4024 -0.1138 -0.0495  0.1908  0.5764 -0.0092  0.1913 -0.0241  0.1919 -0.3863  0.6886  0.2704  0.5046  0.2498  0.0567  0.0915  0.1679 -0.1649  0.1972  0.1195 -0.1421  0.0545 -0.5281  0.2680  0.2711  0.2455  0.2068 -0.2071  0.0259  0.0091  0.2470  0.0253 -0.6031  0.0841  0.0797  0.4298
  0.6595 -0.0815 -0.0741  0.2531 -0.1305  0.0874 -0.8817  0.3705  0.0296 -0.3589  0.3861  0.4036  0.3946  0.0908  0.1983 -0.3139 -0.4041  0.0646 -0.0666 -0.2775  0.0167  0.6016  0.2510 -0.6481  0.3247 -0.0754  0.2623  0.1404  0.2335 -0.0878 -0.4505  0.5112 -0.4398 -0.3761 -0.2239  0.1675 -0.2266  0.1886  0.2571 -0.4576 -0.0252 -0.2570 -0.1233  0.1917 -0.5378  0.0399  0.0237  0.3501 -0.2150  0.0780  0.5902
  0.1524  0.0770  0.1089 -0.0312  0.3285 -0.2150 -0.1088 -0.4156 -0.0214 -0.5024  0.0566 -0.0422  0.0842  0.5215 -0.3096 -0.1366  0.2892 -0.0257 -0.0024  0.1544 -0.0132 -0.0322  0.0063  0.0758 -0.2931 -0.1267  0.0057 -0.1196 -0.4333  0.1282  0.3345 -0.5637 -0.0413  0.2890 -0.0128 -0.0523 -0.3446  0.2212 -0.4087  0.2335 -0.0289  0.2031 -0.2495  0.1152 -0.2732 -0.1069  0.3945 -0.2861  0.1616  0.2036 -0.3027
  0.1499 -0.2045  0.1330  0.0977 -0.2371  0.1328 -0.2261  0.1717  0.1206 -0.5233 -0.2092 -0.1368 -0.5162 -0.3695 -0.2874  0.3877  0.3428  0.0461  0.4885 -0.5998 -0.7382 -0.1512  0.0764 -0.1702  0.1298 -0.2342  0.2685  0.0469 -0.2499  0.0009 -0.3765 -0.0867 -0.0346 -0.3465 -0.1400 -0.0253 -0.1381 -0.2838  0.1851  0.3485  0.1817  0.4387 -0.0826  0.0073 -0.0058  0.1112 -0.6510 -0.1055  0.1834 -0.2254 -0.0370
 -0.5510 -0.0580 -0.2808  0.0098  0.0704  0.4467  0.3661  0.3335 -0.7201 -0.6033 -0.3637 -0.1695 -0.1088  0.0936 -0.0418 -0.2855 -0.2223 -0.2614 -0.4013  0.0280 -0.0534  0.5785  0.1996  0.1939 -0.0671  0.5402  0.3428  0.2908 -0.1426  0.0059 -0.0396 -0.4025 -0.5378 -0.1738 -0.3494 -0.3598 -0.2278 -0.1078  0.1117  0.0377 -0.0063 -0.0760 -0.2917  0.5122  0.1886  0.1493 -0.0181 -0.4074 -0.1596 -0.8977  0.0948
 -0.5972 -0.2791 -0.2766  0.0158  0.2555  0.5810 -0.0195 -0.0422  0.3332 -0.4412  0.2946  0.6309 -0.0216  0.3414  0.1481 -0.0814 -0.5426  0.1236 -0.0432 -0.3517  0.1422  0.1347 -0.0454 -0.5527  0.2550  0.4533  0.5233  0.1527  0.5676 -0.0274 -0.4030  0.1148  0.0152 -0.3199  0.1830 -0.3577 -0.7752 -0.0308  0.1343 -0.2895  0.0699 -0.4379 -0.5380  0.2440 -0.3636  0.1811 -0.2027  0.1755 -0.2511 -0.2424  0.3494
  0.6339  0.0114  0.2273 -0.2771  0.0951 -0.3326  0.1725  0.1972 -0.4940  0.0957  0.1115  0.1364 -0.0193  0.0194 -0.3487 -0.0181  0.0536 -0.1768  0.2354 -0.3251  0.1830  0.5758 -0.1723 -0.3987 -0.2899  0.0540  0.2109 -0.0937 -0.0242  0.2760 -0.5378  0.1920 -0.2205 -0.5327 -0.1344  0.3719  0.0226 -0.2086  0.0180 -0.3169 -0.1559  0.1458 -0.2122  0.3704 -0.0776  0.1934 -0.0200  0.1037  0.2308 -0.5451  0.2701
