VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

  1.6238 -0.3370 -0.0640 -0.4688  0.1545 -0.3113 -0.1120  0.4923  0.2255  0.0413 -0.1970 -0.0270  0.1291 -0.0740  0.0137 -0.0817 -0.2597  0.3041 -0.1770 -0.1912 -0.0180 -0.2314 -0.1109 -0.0680  0.0725  0.1640 -0.1215 -0.1193 -0.1399 -0.3484  0.0690 -0.0028 -0.0910 -0.1041 -0.0764  0.3830  0.3371 -0.2808 -0.0725 -0.3258 -0.1102  0.2178  0.0310  0.0143 -0.0417  0.0138  0.0254 -0.3717 -0.2638 -0.1170 -0.2735
 -1.3459  0.1598  0.1549  0.0328 -0.3801 -0.1989  0.2119 -0.2101  0.2575  0.3034 -0.0969 -0.1647  0.1155 -0.2689 -0.3454  0.0420  0.0393  0.0441 -0.3837  0.1395 -0.4070 -0.2613  0.2136  0.1100 -0.5774 -0.1787 -0.4358  0.3187 -0.1131  0.0579  0.4460  0.1519  0.0650  0.4457  0.2614  0.6315  0.3679  0.2142  0.7582 -0.1831 -0.3526  0.0925  0.2146 -0.5037 -0.1725 -0.0287 -0.1337 -0.2047 -0.0925  0.0465 -0.2177
 -1.1508  0.2982 -0.0418 -0.1126  0.3336 -0.3690  0.0706  0.0487  0.3000 -0.0950  0.1782  0.3000  0.1016 -0.0645 -0.4740 -0.0571  0.0853  0.2586 -0.1196 -0.2391 -0.2107  0.0721  0.2497  0.3034  0.0376 -0.3325 -0.0561  0.0761 -0.4571 -0.0556  0.1077  0.4282  0.0641  0.1530  0.2032 -0.2057  0.2355  0.2154  0.0897  0.0534 -0.2823  0.1849  0.0325 -0.0291 -1.0698  0.0081  0.0793 -0.0714 -0.2679 -0.0692 -0.2344
 -0.8255  0.1372 -0.2271  0.1566  0.3016  0.1268 -0.2972 -0.2302  0.0194  0.1411 -0.1200  0.0659 -0.2898 -0.1752 -0.0066  0.0142  0.1242  0.1001 -0.2885 -0.4580  0.4339 -0.0906 -0.1050 -0.1298  0.0879 -0.4347  0.0919 -0.3711  0.3660  0.1968  0.3738  0.0819  0.2211  0.0529  0.1102 -0.2543 -0.0609 -0.0881 -0.2845  0.0476 -0.3017 -0.0887  0.0920  0.2933 -0.2203 -0.0318 -0.4523 -0.2731 -0.1568  0.2497 -0.1169
  0.3736 -0.1075 -0.0523  0.2321 -0.2152 -0.4940 -0.4397 -0.6319  0.1060  0.3437 -0.1253  0.2241  0.2386 -0.1850  0.0748 -0.1520 -0.3052 -0.1369 -0.3431  0.2238  0.2383 -0.2889  0.2447 -0.5098 -0.3914  0.3055  0.3239  0.3711 -0.1257  0.2609  0.1755 -0.1308  0.0635  0.1758  0.4148 -0.2798 -0.0658 -0.1562  0.8351 -0.0169  0.0071 -0.1859 -0.3695 -0.6484 -0.4617 -0.3444  0.0291 -0.4717  0.0510 -0.4735  0.3743
  0.6222 -0.3424  0.0856  0.0335 -0.0944  0.0350 -0.3799  0.0789 -0.1807 -0.4725 -0.0623  0.2005 -0.0918  0.4439  0.1911  0.0494  0.0770 -0.0813  0.2212  0.0496 -0.0340  0.1999 -0.0481 -0.4287  0.1386 -0.0296 -0.0742 -0.1432  0.0040 -0.2051 -0.0867  0.2173 -0.4171 -0.0213 -0.2120 -0.0684 -0.3070  0.0798  0.1994 -0.2365  0.0988  0.3604 -0.1241 -0.0213 -0.2166  0.2452  0.5048  0.3850 -0.5503  0.3104  0.1068
  0.2035 -0.1758 -0.0643 -0.3917  0.2634 -0.0079 -0.2383  0.3543 -0.2152 -0.2355  0.0518 -0.0523 -0.3293  0.1606 -0.1107  0.0412  0.2811 -0.1398  0.0134 -0.4054 -0.0587  0.2005 -0.0940 -0.4692 -0.2434 -0.0277  0.2029 -0.1591 -0.4934  0.0386  0.4230 -0.4727  0.0661  0.1104  0.2887 -0.1898  0.0026  0.1955 -0.3701 -0.0948  0.2065 -0.0682 -0.0775 -0.1741 -0.2072  0.1983  0.3760 -0.3565 -0.0140  0.1140 -0.0841
  0.1111  0.1790  0.1349  0.2866 -0.1335  0.3313  0.1749  0.0391  0.5394 -0.5734 -0.3181 -0.2959 -0.4516 -0.1143 -0.0998  0.1673  0.1700  0.0252  0.2390 -0.3301 -0.0699 -0.2887  0.3895 -0.2866  0.0943  0.1062  0.4082  0.3248  0.3237 -0.0741 -0.1734 -0.0070  0.5154 -0.3214 -0.1114 -0.0451 -0.2551 -0.1540  0.3498 -0.0049  0.2624  0.5048 -0.0697  0.0045 -0.3633  0.2520 -0.0122  0.6529 -0.2098 -0.3864  0.0085
 -0.1890  0.0841 -0.1174  0.1246 -0.3873  0.4531  0.2010  0.0117  0.1220 -0.2500 -0.3099 -0.2128 -0.2078  0.1344 -0.2195 -0.6536 -0.2494 -0.2596 -0.1801 -0.1317 -0.2280  0.3941 -0.0521 -0.0996 -0.1867  0.2502 -0.0932  0.1054  0.5474  0.0420  0.3616 -0.2900 -0.0028  0.0853  0.0762 -0.1810 -0.2573  0.1864  0.4321 -0.1056 -0.0167 -0.0817  0.0299  0.5331 -0.0720 -0.0892  0.4417 -0.1401 -0.1971 -0.6676 -0.0546
 -0.7113  0.1346 -0.5166  0.1794  0.0847  0.0209  0.2984 -0.2417  0.0217 -0.0775  0.4875  0.3146  0.2446 -0.2670  0.1557  0.0985 -0.1904  0.3563 -0.0667  0.0791 -0.1151  0.2618 -0.1622  0.4600  0.5466 -0.1347  0.1401  0.3838  0.1343  0.0808 -0.1024  0.3144 -0.0617 -0.2181  0.2631  0.1203 -0.0240 -0.1556 -0.1822  0.1475  0.1094  0.0684 -0.3543  0.3055 -0.1015  0.1485 -0.3226 -0.1377  0.4054 -0.3257  0.6010
  0.6476  0.0722  0.1730 -0.0778 -0.4672 -0.4168  0.3607 -0.0403 -0.2914 -0.1866 -0.0727 -0.0181 -0.0646  0.1096  0.0968 -0.0288  0.1449  0.0107 -0.4347 -0.4619  0.0659 -0.4668 -0.1322 -0.2592 -0.5146 -0.0098 -0.1627 -0.5164  0.0931  0.5318  0.1482  0.0449 -0.1337 -0.7139 -0.2479 -0.1960 -0.4225  0.1279  0.1041  0.0626  0.2709  0.1813 -0.1497  0.0429  0.6519  0.3288 -0.0397  0.3936 -0.0352 -0.1825  0.2038
 -0.6864  0.0633 -0.3093 -0.1685 -0.5098 -0.4656 -0.4682 -0.1203 -0.0600  0.6171 -0.4165 -0.0655  0.0065  0.3969  0.2115  0.0024 -0.0890 -0.0152 -0.1787 -0.1349 -0.1621  0.5670 -0.0804  0.2043  0.2229 -0.2613  0.1038 -0.1334 -0.4908 -0.2172 -0.0742 -0.0976  0.0985 -0.0352  0.1942  0.4683  0.4295  0.5723  0.2410  0.1934  0.2946 -0.1004 -0.2311  0.3141  0.0776 -0.2141  0.1332 -0.1565 -0.2258  0.1935 -0.3003
 -1.2057  0.1613 -0.0515  0.2066 -0.3964  0.4412 -0.0882 -0.3096 -0.4077 -0.1290  0.2326 -0.4927  0.0542 -0.2829  0.2774 -0.1756 -0.0369 -0.2236 -0.4495  0.2533 -0.2606  0.2545 -0.0728  0.0297 -0.1758  0.1930  0.2478  0.1690  0.2297 -0.3942 -0.1316 -0.3364 -0.3860  0.0812  0.1711 -0.3797  0.2688  0.2747  0.1425  0.3264  0.0575 -0.0279 -0.0505  0.7679 -0.0815 -0.3849  0.0941 -0.0620 -0.2094 -0.3004 -0.0986
  1.2774  0.0772  0.0725 -0.0475  0.0057  0.0867  0.1617 -0.4760 -0.1074 -0.0450 -0.1609  0.1167 -0.1708 -0.0087 -0.1595 -0.1232  0.0507 -0.3384 -0.3061 -0.4184 -0.0195 -0.0613  0.2290 -0.2140  0.1451 -0.2071  0.3416 -0.2952 -0.1104 -0.0116 -0.0521 -0.2073  0.4277  0.3108  0.3017  0.3501  0.2069 -0.1102 -0.2686 -0.2635 -0.1690 -0.0662  0.0040 -0.1873  0.3327 -0.3819  0.1681 -0.1156 -0.1256 -0.1597  0.0398
 -1.2481 -0.5024  0.2808 -0.2240  0.3567 -0.2294 -0.1849  0.0759  0.1567 -0.2569 -0.1185 -0.1474 -0.2832  0.4116 -0.1808 -0.2914  0.1457  0.0883 -0.0965  0.2768 -0.4313  0.3089  0.0584 -0.1260  0.2877 -0.1663 -0.0109  0.0308  0.3087 -0.0964 -0.3824  0.1123 -0.4062  0.1645 -0.2232  0.4092 -0.5420  0.0210 -0.1254 -0.0766  0.3489 -0.0987 -0.0192  0.0582  0.4620 -0.2169  0.4008  0.0516 -0.4550  0.2234 -0.3849
 -1.5421  0.0732  0.0456  0.0543  0.1344  0.1782  0.0958  0.1211  0.0538  0.3789  0.0094  0.1133 -0.0885 -0.1829  0.2720 -0.0067 -0.3093  0.1298 -0.2730  0.1327  0.0085  0.3036 -0.1047 -0.2931  0.2544  0.3737 -0.1316  0.3731 -0.1547  0.2702 -0.2704 -0.0909  0.0125  0.0315 -0.2451 -0.1503 -0.2145  0.0991 -0.2184 -0.1762  0.1427 -0.3654  0.1519  0.3644 -0.1366  0.0729 -0.1173 -0.2045  0.2827  0.1465 -0.3821
