VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

  1.6356 -0.2926 -0.1400 -0.5971  0.3652 -0.2231 -0.1228  0.3340  0.1363 -0.2381 -0.1150  0.0121 -0.1561  0.0172  0.3690  0.2635 -0.2217  0.4487 -0.3885 -0.1995 -0.0358  0.0821 -0.2240 -0.1282  0.2977 -0.0163  0.0314 -0.1095 -0.0679 -0.0980  0.1725  0.4849  0.1001 -0.1671  0.0695  0.2232  0.0768 -0.3690  0.1253  0.0646  0.0011  0.2341  0.1746  0.1385  0.2789  0.2337  0.0183 -0.3421 -0.2577 -0.1320 -0.2019
 -1.3184  0.0313 -0.0269  0.2755 -0.0468  0.4630  0.3375 -0.2676 -0.0405  0.3183 -0.1056 -0.2370 -0.0629 -0.0041 -0.1628 -0.0533 -0.3513  0.0024  0.1389 -0.1920 -0.3352  0.3149  0.2105  0.3570 -0.4728 -0.0526 -0.1714  0.4170  0.0431  0.1115 -0.2624  0.1906  0.3076  0.2126  0.2468  0.2343  0.0552  0.0496  0.0072 -0.0230 -0.2951  0.2251 -0.0570 -0.1117 -0.4821  0.2133 -0.0099 -0.2641 -0.1714  0.0229 -0.1445
 -0.7919 -0.1050 -0.0262 -0.3147  0.4899 -0.2888 -0.4074  0.2321  0.0503 -0.3977  0.4005  0.0395  0.1100 -0.1417 -0.0832  0.3327 -0.0939  0.0274  0.2272 -0.2231 -0.3616 -0.1351  0.2155 -0.4014  0.3218 -0.4730 -0.1292 -0.0520  0.0888  0.2202  0.0477  0.4725 -0.1464  0.2179  0.1021 -0.0867  0.1503 -0.0389  0.2929  0.1641 -0.0108  0.1025  0.2624  0.3274 -0.1871  0.1374  0.4951  0.3246 -0.4389 -0.0587 -0.2792
 -0.8387  0.2068 -0.2146  0.0478  0.2665  0.2210 -0.1179 -0.2283  0.0867  0.2663 -0.1189  0.1423 -0.4100 -0.1621 -0.0513  0.0720  0.2181  0.0523 -0.2024 -0.3578  0.3557  0.0621  0.1025 -0.0894  0.1009 -0.3145  0.1032 -0.2841  0.3339  0.1769  0.3107  0.2235  0.1054  0.0539  0.1123 -0.2721 -0.1207 -0.1177 -0.3162  0.1162 -0.3127 -0.1191  0.0457  0.3063 -0.2099  0.0104 -0.3357 -0.2296 -0.0557  0.2413 -0.1073
  0.6821 -0.0659  0.4798 -0.0873 -0.0342 -0.0140 -0.0533 -0.2634 -0.2820  0.0968 -0.5350  0.1399  0.0458 -0.0495  0.2233 -0.0077 -0.3100 -0.2504 -0.1348  0.2124  0.0837 -0.2582  0.0355 -0.0483 -0.0770  0.3654  0.4395  0.0737 -0.1093  0.1405  0.3817 -0.0223 -0.1183 -0.0450  0.0962 -0.1362  0.2191 -0.1538  0.4899 -0.1778  0.1014  0.2362 -0.3246 -0.0514 -0.5110 -0.0911  0.2175 -0.2504  0.1174 -0.2435  0.2723
  0.5238 -0.2382 -0.0226  0.1002 -0.2106 -0.1414 -0.4148 -0.0134 -0.0963 -0.4795  0.0567  0.2486  0.0361  0.4220  0.2529  0.0329  0.0816 -0.0369  0.2379  0.0650  0.0035  0.1030 -0.0486 -0.4082  0.0663  0.1035 -0.1797 -0.1082 -0.0885 -0.1048 -0.0029  0.2223 -0.3519 -0.0635 -0.1403 -0.1501 -0.2112  0.1889  0.2950 -0.2159 -0.0002  0.3886 -0.0648 -0.0675 -0.3432  0.2916  0.4063  0.2582 -0.4470  0.2274  0.1954
  0.2244 -0.3182  0.0295 -0.2244  0.1075  0.2399 -0.1774  0.2340 -0.0827 -0.1200  0.1326 -0.1284 -0.5316  0.2144 -0.0223  0.2370  0.3721 -0.4186  0.0859 -0.2364 -0.2099  0.2774  0.1575 -0.1130 -0.0985 -0.0057  0.5000 -0.1868 -0.3684  0.1519 -0.0067 -0.2301  0.2410  0.1692  0.2892 -0.1527  0.0611 -0.0609 -0.0526 -0.0231  0.1198 -0.1765 -0.2873 -0.3357 -0.3553  0.0114  0.2845 -0.1275 -0.0309  0.0265 -0.1194
  0.0098 -0.0328  0.0744  0.2657  0.0082  0.2176  0.1283  0.0397  0.6330  0.0155 -0.2473 -0.3412 -0.2215 -0.1710 -0.2460  0.1625  0.1496  0.0627  0.1747 -0.2867  0.1745 -0.0339  0.2528 -0.1848  0.2747 -0.0170  0.0921 -0.1348  0.3611  0.1597 -0.2637 -0.2720  0.3269 -0.3153 -0.0876 -0.1684  0.0801  0.1555 -0.1449  0.2354  0.1985  0.2847 -0.3553 -0.1110  0.2757 -0.1016 -0.2115  0.1738 -0.3443 -0.4318  0.0337
 -0.2325 -0.0291 -0.1878 -0.1146  0.1455  0.0088 -0.1390  0.2869  0.0910 -0.2175 -0.3795  0.1153 -0.2256 -0.0620 -0.0907 -0.4461  0.2282 -0.0832 -0.4404 -0.1619 -0.1422  0.3590 -0.1703 -0.2460 -0.0634  0.1908  0.0345 -0.1777  0.0787  0.1844  0.0759 -0.2096 -0.2825 -0.0772  0.0057 -0.4056 -0.1659  0.0311  0.2277 -0.1721  0.1462 -0.3048 -0.1794  0.1932  0.2474  0.1676  0.3087 -0.3272 -0.1042 -0.4702 -0.1206
 -0.5882 -0.0408 -0.3889 -0.0871  0.2190  0.2056  0.1948 -0.2331  0.2294 -0.1813  0.4403  0.0148  0.0529 -0.3149  0.0874  0.0446  0.2296  0.1913  0.0154 -0.0035 -0.0544  0.0813 -0.1910  0.4149  0.1067 -0.1131  0.1803  0.4332  0.0929 -0.1795 -0.3528  0.2259 -0.0198 -0.1718  0.1768  0.1844 -0.1962 -0.2539  0.1117  0.2425  0.2601  0.1831 -0.4814  0.2134  0.1897  0.1604 -0.2009 -0.0837  0.1245 -0.1566  0.4792
