VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

 -1.7398  1.2114  1.9071 -0.2700  0.3683  0.3690 -0.0591  0.2946 -0.2639  0.1625 -0.2691  0.2222  0.1801  0.0392  0.0251  0.0650 -1.8231 -0.0034 -0.5666 -1.4199  0.2107 -0.1348 -0.2523 -0.0734  0.4262 -0.1465  0.2066 -0.0432 -0.3465 -0.0159 -0.5179 -2.1858  1.5425  0.2209 -1.7175  0.3889  0.4098 -0.0878  0.2365 -0.0032 -0.2627 -0.3081 -0.4474 -0.3866  0.2773 -0.3741  0.3689 -0.1515 -0.3133 -0.0556 -0.2703
  3.0330 -2.2165 -1.1224 -0.1801 -0.7305  0.4327 -0.7114 -0.4071 -0.4672 -0.1430 -0.2165 -0.2524 -0.0687 -0.1009 -0.1850 -0.1680 -1.2786  0.8214 -0.3735  0.6441 -0.4162 -0.6634 -0.3714  0.0368 -0.6014  0.0636 -0.1821 -0.1622  0.2814 -0.1920 -0.4059 -0.6890  0.3812 -0.2053  0.8271 -0.8943  0.0841  0.0704  0.0887 -0.1756 -0.0767  0.0232  0.2206  0.1683 -0.0893 -0.5238 -0.0583  0.2327  0.0076 -0.0247 -0.2518
 -1.9975  1.8940 -1.3839 -0.6606  0.7954  1.1883  0.1126 -0.2471  1.3267 -0.4014 -0.1930 -0.2407  0.0860 -0.0761  0.3583  0.1429  0.8529  1.2014 -0.3666 -0.1587 -0.1568 -0.1131  0.1275 -0.2042 -0.0334  0.0776  0.0937  0.0998 -0.3527 -0.1263  0.0114 -1.3379  0.6060 -0.4212 -1.2338  0.7785  0.1047  0.0145 -0.1208  0.2186  0.0668 -0.0907  0.4066 -0.0398  0.1807 -0.3729 -0.2189  0.2014  0.0935 -0.0485  0.0163
  1.7569 -1.2022  0.9451  0.6253 -1.8327 -1.2552 -0.5933 -0.0472 -0.2870 -0.2880 -0.1343 -0.1401  0.2056 -0.1090  0.0732  0.2138  1.8728 -1.6601  0.1689  1.0928  0.1333  1.0146 -0.4363  0.6448 -0.1750 -0.6443 -0.1709 -0.5972 -0.0453  0.1835 -0.2605 -0.4691  1.3269  0.5147  0.5885 -0.5216 -0.1217 -0.2419 -0.1160  0.0725 -0.0135  0.0424  0.4774 -0.0456  0.1079 -0.2869  0.1153  0.1615 -0.1033 -0.0072  0.2154
  0.8754 -0.6559  1.2610  0.0196 -1.6294 -0.3232 -0.1724 -0.1438  0.2569  0.1526  0.0256 -0.1878 -0.0015 -0.1597 -0.1194  0.1950 -1.8474  1.2665  0.4743  0.7049  0.2773  0.5874  0.0865  1.0067  0.0343  0.3147  0.0204 -0.4622  0.1930 -0.1559 -0.3002  0.1343  1.2395  0.1731 -1.2899 -0.0524 -0.1415 -0.0330 -0.2414 -0.1899 -0.1493  0.2738  0.2867  0.2204 -0.2364 -0.5192  0.1471  0.0055 -0.0910 -0.0120  0.0650
 -2.4779  1.2600  1.3491 -0.3074  1.4860  0.3987 -0.4499  0.2063  0.7569  0.5461 -0.0290  0.1598  0.2890  0.0484 -0.2075 -0.3991 -0.0974  0.3976 -0.1812 -0.5799  0.9580  0.2510 -0.7245  0.3983  1.0506 -0.0194  0.2763  1.0491  0.1654  0.0025  0.8079  1.0908 -1.0251 -0.5397  0.5091  0.6937  0.4646  0.6312  0.2357 -0.2927  0.0880  0.1101 -0.4061 -0.0504  0.0507  0.4374  0.0431  0.0844 -0.2488  0.0867  0.1567
  0.9323 -1.6363 -1.7895 -0.2943 -1.3662  0.5340 -0.1368 -0.3068 -1.1278  1.0286 -0.3544 -0.1651 -0.1689  0.0321  0.0766 -0.1404 -0.9190  1.3317  0.2859 -0.6232 -0.1321 -0.0032  0.2861 -0.0488  0.0184  0.0059  0.0786 -0.0724 -0.0276  0.0208  0.3038 -0.1980 -0.7888 -0.5826  0.2667  0.5775  0.1022  0.2500  0.3666 -0.0280  0.0761  0.0202  0.4022 -0.0812 -0.0247 -0.2589 -0.0508  0.0004 -0.0578  0.0396  0.0972
 -0.9626  0.1803  1.4052  0.4591 -1.3623 -1.0045 -0.0188  0.0191  0.6103 -0.1905  0.1116 -0.1370 -0.1120  0.0053 -0.0674  0.3847  1.5635 -1.8161 -0.1703 -0.8635  0.2549  0.1930  0.1791 -0.5581  0.2416 -0.1777 -0.0860  0.4186  0.0209 -0.0828 -0.1386  0.0777 -1.3665  0.2759 -0.7017  0.0333 -0.0584  0.3307  0.2888 -0.1176  0.0387  0.0579  0.2424  0.0613 -0.0457  0.3452 -0.0435 -0.1080  0.1681  0.0289 -0.0989
 -2.5821  0.9168  0.0855  0.0696 -1.6303  0.0489  0.2269  0.2977  0.0976 -0.3192  0.1361 -0.5069 -0.1191  0.2337  0.2678  0.0548 -1.0142 -0.6960  0.1120  2.0347  0.1806 -0.1939  0.2272  0.1128 -0.0300 -0.1357  0.3369  0.4465  0.1373  0.0967  0.4754  1.9791 -1.7401 -0.6518  1.3058  0.7126 -0.1864 -0.0637  0.2492 -0.1258  0.0194 -0.0332 -0.2843 -0.0410  0.2704  0.0739 -0.0447 -0.1906 -0.1080 -0.0887 -0.0685
 -0.1557  1.9254 -0.1852  0.2029 -1.5124 -0.9629 -0.2831  0.6187 -0.1303 -0.1944  0.2692  0.1621 -0.1739  0.0083  0.2122 -0.6214  1.5168 -1.6973 -0.1716 -0.1803 -1.0041 -0.0760  0.0711  0.0799 -0.1016  0.4832  0.1613  0.1425  0.1788  0.2515 -0.6636  1.6887 -1.7757 -0.3395  1.1584  0.8884 -0.2522 -0.0363 -0.3286  0.3705  0.4662  0.0633 -0.6919  0.0563 -0.0308  0.3879 -0.1093  0.1078  0.1284  0.1682  0.2354
