VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 41.91240 29.79170 19.61370 11.99150  6.86360  3.74566  2.01567  1.12356  0.68583  0.48616  0.42718  0.47317  0.60514  0.79469  0.99596  1.15293  1.21692  1.16501  1.00913  0.78974  0.55785  0.35551  0.20460  0.10698  0.05210  0.02569  0.01550  0.01327  0.01426  0.01614  0.01811  0.02041  0.02437  0.03282  0.05097  0.08688  0.15044  0.24973  0.38519  0.54465  0.70353  0.83268  0.91092  0.93497  0.92004  0.89040  0.86592  0.85259  0.84250  0.82242  0.78621  0.74435  0.72673  0.77869  0.95554  1.32228  1.96500  3.01673  4.69360  7.32471 11.34470 17.21310 25.24240 35.36690 46.93930 58.67420 68.82070 75.55750 77.49930 74.13350 66.01370 54.61790
 -175.000 -175.000 59.09080 41.75070 27.36550 16.68310  9.53877  5.21257  2.81875  1.58544  0.97752  0.69225  0.59013  0.61531  0.73581  0.91181  1.08891  1.20907  1.22946  1.13796  0.95628  0.72876  0.50348  0.31565  0.18057  0.09629  0.05145  0.03269  0.02893  0.03250  0.03863  0.04475  0.04986  0.05422  0.05908  0.06681  0.08157  0.11008  0.16167  0.24600  0.36856  0.52574  0.70284  0.87788  1.03015  1.14877  1.23572  1.30108  1.35338  1.39173  1.40551  1.38343  1.32752  1.26455  1.24867  1.35520  1.67233  2.30084  3.37175  5.08690  7.77583 11.94100 18.23970 27.34570 39.66770 54.99020 72.18820 89.20060 103.37200 112.10000 113.59000 107.40800 94.64320 77.59170
 -170.000 -170.000 77.27990 54.21420 35.33510 21.45190 12.23280  6.68028  3.62198  2.05382  1.28433  0.92168  0.78207  0.78812  0.89454  1.05110  1.19680  1.27374  1.24650  1.11409  0.90731  0.67317  0.45578  0.28318  0.16440  0.09451  0.06210  0.05512  0.06348  0.07937  0.09709  0.11298  0.12559  0.13534  0.14389  0.15354  0.16788  0.19323  0.24010  0.32234  0.45310  0.63849  0.87212  1.13446  1.39854  1.63940  1.84186  2.00144  2.11811  2.18833  2.20338  2.15837  2.06846  1.98260  1.98636  2.19329  2.73352  3.75333  5.43960  8.07701 12.12880 18.29950 27.50120 40.63940 58.19460 79.70820 103.41100 126.26600 144.54400 154.80400 154.92000 144.73500 126.11100 102.35600
 -165.000 -165.000 94.00730 65.40940 42.34290 25.56640 14.51900  7.91028  4.29488  2.45848  1.57083  1.16001  1.00064  0.99425  1.08390  1.21285  1.31874  1.34813  1.27455  1.10668  0.88108  0.64441  0.43552  0.27609  0.17105  0.11485  0.09779  0.10967  0.14063  0.18108  0.22243  0.25852  0.28694  0.30875  0.32676  0.34383  0.36335  0.39216  0.44406  0.54046  0.70546  0.95607  1.29136  1.68709  2.10040  2.48371  2.80041  3.03301  3.17916  3.24119  3.22062  3.12600  2.99127  2.89246  2.95159  3.32647  4.19671  5.76285  8.27609 12.11050 17.86670 26.45070 39.02100 56.68870 79.94990 108.00900 138.33500 166.80400 188.57200 199.42100 197.06000 181.83500 156.57800 125.71300
 -160.000 -160.000 106.68500 73.54740 47.23750 28.33530 16.00750  8.69386  4.73031  2.74782  1.81671  1.40539  1.25410  1.24546  1.31403  1.40294  1.45668  1.43300  1.31684  1.12394  0.89122  0.65990  0.46149  0.31265  0.21790  0.17513  0.17919  0.22245  0.29386  0.37922  0.46390  0.53718  0.59537  0.64115  0.67972  0.71497  0.74985  0.79172  0.85924  0.98459  1.20645  1.55395  2.02842  2.59291  3.17823  3.70533  4.11298  4.37452  4.49496  4.49456  4.39612  4.22966  4.05230  3.96898  4.13928  4.76794  6.08977  8.36719 11.92140 17.21320 24.96190 36.23560 52.37580 74.61710 103.38000 137.45800 173.52400 206.41600 230.30200 240.39500 234.48200 213.60800 181.67300 144.17800
 -155.000 -155.000 113.34400 77.34560 49.24260 29.32270 16.47220  8.92369  4.88389  2.90939  2.02577  1.67022  1.55935  1.56039  1.60331  1.63827  1.62591  1.54300  1.38879  1.18329  0.95740  0.74084  0.55525  0.41415  0.32657  0.29931  0.33537  0.43024  0.56918  0.72901  0.88494  1.01948  1.12808  1.21719  1.29620  1.37005  1.43939  1.51002  1.60498  1.76905  2.05815  2.51481  3.14009  3.87799  4.62512  5.26538  5.71289  5.93862  5.96674  5.84861  5.63927  5.39612  5.20015  5.18202  5.53514  6.51052  8.40257 11.54340 16.32830 23.29380 33.23920 47.31570 66.93030 93.30140 126.65500 165.32300 205.26500 240.48900 264.50100 272.28900 261.99000 235.48000 197.67400 154.94000
 -150.000 -150.000 113.21000 76.40900 48.19130 28.48130 15.91960  8.62547  4.78397  2.96716  2.21535  1.96573  1.92414  1.94710  1.96360  1.93669  1.85045  1.70680  1.52143  1.31586  1.10914  0.91434  0.74161  0.60441  0.52236  0.51732  0.60400  0.78035  1.02366  1.29592  1.55759  1.78329  1.96998  2.13178  2.28480  2.43393  2.57309  2.70079  2.84008  3.04666  3.39422  3.93945  4.68287  5.54808  6.39651  7.07654  7.48306  7.59401  7.46410  7.18658  6.85554  6.55694  6.39066  6.50439  7.11713  8.52302 11.08020 15.19920 21.35440 30.14340 42.39250 59.23140 81.97450 111.64400 148.13300 189.30200 230.56300 265.46000 287.30200 291.28900 276.17600 244.69300 202.56500 156.67600
 -145.000 -145.000 106.88700 71.31020 44.54750 26.14570 14.57030  7.93474  4.50723  2.95692  2.39163  2.27746  2.32280  2.37897  2.37680  2.29461  2.14245  1.94899  1.74587  1.55326  1.37456  1.20372  1.04062  0.90367  0.83015  0.86295  1.03049  1.33026  1.72491  2.15463  2.56136  2.91318  3.21410  3.49218  3.77317  4.05920  4.32933  4.56398  4.77594  5.02456  5.39792  5.96737  6.73687  7.61679  8.44337  9.04108  9.29724  9.20691  8.86311  8.40539  7.96721  7.65798  7.58637  7.90417  8.84472 10.74040 14.01700 19.17310 26.76780 37.44590 52.00620 71.44380 96.81130 128.74600 166.67200 207.99600 247.82000 279.66000 297.15800 296.17200 276.29000 241.01200 196.55100 149.87900
 -140.000 -140.000 96.08010 63.35160 39.21960 22.89730 12.76740  7.03630  4.13823  2.89869  2.53092  2.55233  2.68632  2.78495  2.78234  2.67036  2.48133  2.26627  2.06863  1.90422  1.75965  1.61155  1.45457  1.31949  1.26881  1.37109  1.66785  2.15003  2.75684  3.39933  3.99923  4.52298  4.99056  5.45187  5.94483  6.46355  6.96007  7.37990  7.70822  7.99355  8.33038  8.80563  9.43737 10.14190 10.75380 11.09610 11.06530 10.68170 10.07780  9.43529  8.91982  8.65430  8.74323  9.32812 10.64430 13.05620 17.05870 23.24600 32.26730 44.80290 61.57670 83.34990 110.76500 143.91200 181.64700 220.96800 256.92300 283.43100 294.94900 288.36600 264.21400 226.59500 181.84300 136.58600
 -135.000 -135.000 83.03630 54.13860 33.26340 19.37440 10.86310  6.10182  3.73954  2.78801  2.58517  2.71366  2.92198  3.06871  3.09141  2.99013  2.81051  2.61634  2.45567  2.33704  2.23229  2.10693  1.95921  1.84164  1.84906  2.07824  2.58029  3.33117  4.23674  5.17273  6.04137  6.81487  7.53904  8.29239  9.12453 10.01280 10.86570 11.57230 12.06640 12.36490 12.55730 12.74950 12.99380 13.24540 13.37510 13.23650 12.75400 11.97700 11.06920 10.24160  9.67817  9.50246  9.80211 10.69560 12.40880 15.33020 20.02090 27.17170 37.52200 51.77710 70.55150 94.30390 123.16700 156.58200 192.79700 228.48400 258.86700 278.61300 283.34800 271.20200 243.64900 205.16700 161.86300 119.68800
