VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 11.28490  8.95730  6.58927  4.48051  2.81141  1.62844  0.87421  0.43939  0.21061  0.09880  0.04649  0.02214  0.01056  0.00499  0.00241  0.00138  0.00112  0.00120  0.00137  0.00151  0.00158  0.00166  0.00193  0.00270  0.00435  0.00726  0.01167  0.01739  0.02371  0.02947  0.03351  0.03518  0.03473  0.03328  0.03247  0.03411  0.03975  0.05029  0.06535  0.08295  0.10017  0.11496  0.12850  0.14622  0.17617  0.22475  0.29236  0.37221  0.45384  0.52936  0.59769  0.66363  0.73274  0.80737  0.88854  0.98342  1.11336  1.31637  1.64075  2.13223  2.82189  3.72316  4.84004  6.17727  7.73494  9.47829 11.29520 12.97330 14.22730 14.77610 14.44120 13.21740
 -175.000 -175.000 15.78480 12.48720  9.17772  6.25232  3.94442  2.30881  1.26260  0.65453  0.32913  0.16480  0.08351  0.04263  0.02154  0.01075  0.00564  0.00370  0.00345  0.00394  0.00459  0.00505  0.00525  0.00536  0.00591  0.00765  0.01155  0.01853  0.02908  0.04277  0.05788  0.07173  0.08161  0.08603  0.08553  0.08249  0.08033  0.08261  0.09230  0.11104  0.13806  0.16950  0.19940  0.22302  0.24116  0.26248  0.30089  0.36857  0.46853  0.59220  0.72471  0.85443  0.97967  1.10700  1.24350  1.39078  1.54852  1.72670  1.95855  2.30384  2.83753  3.62738  4.71307  6.10102  7.77886  9.73462 11.95330 14.37540 16.83750 19.04270 20.60270 21.15020 20.47090 18.59190
 -170.000 -170.000 20.51160 16.15570 11.85460  8.08945  5.13461  3.04373  1.70282  0.91633  0.48658  0.26061  0.14141  0.07658  0.04069  0.02151  0.01245  0.00946  0.00983  0.01172  0.01379  0.01519  0.01565  0.01569  0.01653  0.02003  0.02834  0.04344  0.06629  0.09589  0.12858  0.15872  0.18067  0.19140  0.19194  0.18687  0.18251  0.18504  0.19937  0.22812  0.26998  0.31842  0.36302  0.39476  0.41330  0.43116  0.47040  0.55197  0.68412  0.85806  1.05480  1.25849  1.46591  1.68461  1.92233  2.17937  2.45400  2.76032  3.14663  3.69936  4.52498  5.71530  7.31501  9.31346 11.66770 14.33460 17.27250 20.38900 23.46330 26.11110 27.84490 28.22430 27.02230 24.32370
 -165.000 -165.000 24.89270 19.48590 14.25380  9.73487  6.21831  3.74012  2.14899  1.20666  0.67888  0.38798  0.22364  0.12745  0.07114  0.04031  0.02623  0.02285  0.02575  0.03148  0.03720  0.04091  0.04194  0.04142  0.04221  0.04835  0.06431  0.09391  0.13885  0.19696  0.26119  0.32085  0.36547  0.38946  0.39463  0.38888  0.38248  0.38477  0.40260  0.43950  0.49362  0.55560  0.60991  0.64225  0.65045  0.65136  0.67701  0.76005  0.91714  1.14171  1.41168  1.70619  2.01851  2.35496  2.72314  3.12314  3.55469  4.03953  4.64413  5.48350  6.69551  8.39274 10.61730 13.32920 16.43960 19.85880 23.50530 27.24550 30.80000 33.70340 35.38710 35.36680 33.43840 29.77650
 -160.000 -160.000 28.40400 22.03640 16.02940 10.93670  7.02595  4.29235  2.54003  1.49258  0.88958  0.53973  0.32822  0.19636  0.11599  0.07173  0.05305  0.05186  0.06155  0.07615  0.09003  0.09880  0.10086  0.09856  0.09794  0.10725  0.13498  0.18787  0.26849  0.37264  0.48796  0.59622  0.67987  0.72968  0.74845  0.74818  0.74342  0.74596  0.76349  0.79978  0.85292  0.91201  0.95780  0.97150  0.94938  0.91287  0.90488  0.97166  1.14098  1.41104  1.75754  2.15301  2.58349  3.05083  3.56247  4.12302  4.74159  5.45493  6.35079  7.56992  9.27357 11.58390 14.52810 18.02420 21.92510 26.08190 30.36260 34.58560 38.41340 41.31300 42.66240 41.97340 39.10840 34.36690
 -155.000 -155.000 30.72600 23.53580 16.96060 11.52370  7.43010  4.60870  2.81136  1.72955  1.08916  0.69805  0.44662  0.28187  0.17893  0.12310  0.10315  0.10961  0.13370  0.16582  0.19550  0.21391  0.21761  0.21108  0.20604  0.21795  0.26181  0.34851  0.48142  0.65314  0.84399  1.02590  1.17227  1.26920  1.32019  1.34090  1.34858  1.35476  1.36514  1.38253  1.40633  1.42779  1.42840  1.38860  1.30500  1.20389  1.13867  1.16933  1.33586  1.64267  2.06318  2.56034  3.10798  3.69983  4.34524  5.06276  5.88465  6.87425  8.14353  9.85047 12.16220 15.18970 18.92740 23.24030 27.91670 32.74480 37.53760 42.06150 45.92300 48.53680 49.25740 47.63450 43.64090 37.73450
 -150.000 -150.000 31.81000 23.94830 17.01280 11.45600  7.38440  4.63876  2.91298  1.87290  1.24239  0.83945  0.56728  0.38276  0.26646  0.20613  0.19171  0.21421  0.26339  0.32498  0.38105  0.41541  0.42138  0.40679  0.39238  0.40488  0.46882  0.60046  0.80368  1.06669  1.36116  1.64787  1.89017  2.06842  2.18519  2.25681  2.29858  2.31632  2.30948  2.27887  2.22831  2.15769  2.05707  1.91264  1.72490  1.52540  1.37643  1.34985  1.49701  1.82809  2.31292  2.90129  3.55000  4.24245  4.99463  5.85223  6.88832  8.20669  9.94533 12.26550 15.31370 19.15990 23.74260 28.86380 34.24970 39.63390 44.77980 49.40410 53.06170 55.12810 54.96150 52.18540 46.91890 39.80320
 -145.000 -145.000 31.82810 23.44460 16.32720 10.82940  6.93724  4.39199  2.82936  1.89643  1.32390  0.94659  0.68374  0.50286  0.39026  0.33727  0.33744  0.38507  0.47028  0.57365  0.66718  0.72409  0.73282  0.70575  0.67638  0.68702  0.77476  0.96232  1.25376  1.63248  2.06160  2.49150  2.87567  3.18726  3.42361  3.59455  3.70469  3.74631  3.70815  3.58970  3.40506  3.17213  2.89946  2.58684  2.24268  1.90391  1.63933  1.52959  1.63483  1.96929  2.49747  3.15363  3.87555  4.63738  5.46908  6.45746  7.73318  9.45245 11.77820 14.85680 18.78170 23.54490 29.00120 34.88020 40.85650 46.62840 51.92850 56.43490 59.66000 60.95420 59.70260 55.62940 49.02180 40.71270
 -140.000 -140.000 31.05210 22.30390 15.15100  9.83404  6.21496  3.93926  2.59201  1.80951  1.33472  1.02106  0.80240  0.65423  0.56660  0.53439  0.55687  0.63487  0.76159  0.91335  1.05077  1.13427  1.14609  1.10402  1.05703  1.06615  1.18314  1.43787  1.83488  2.35386  2.95213  3.57279  4.16099  4.67981  5.11306  5.45157  5.67620  5.75618  5.66680  5.41063  5.02171  4.54760  4.02563  3.47587  2.91719  2.39111  1.97015  1.74050  1.76832  2.07013  2.60459  3.29157  4.05294  4.85938  5.76347  6.90408  8.48011 10.70560 13.76290 17.76310 22.71210 28.48400 34.81900 41.36480 47.75790 53.69050 58.89370 63.03010 65.58730 65.91130 63.43700 58.00920 50.08820 40.68490
 -135.000 -135.000 29.74240 20.80880 13.74890  8.68945  5.38196  3.39425  2.27589  1.66131  1.30845  1.08751  0.94286  0.85345  0.80957  0.80812  0.85467  0.95903  1.12068  1.31451  1.49151  1.59986  1.61557  1.56182  1.50313  1.51918  1.67624  2.01142  2.53113  3.21508  4.02049  4.88911  5.76005  6.58166  7.31151  7.90357  8.29796  8.43082  8.26392  7.81192  7.14249  6.34615  5.49831  4.64339  3.81063  3.04378  2.41628  2.01720  1.91675  2.13321  2.62145  3.29255  4.06117  4.90428  5.90542  7.26062  9.23826 12.10710 16.05890 21.14860 27.26210 34.11790 41.31020 48.39400 54.98210 60.79240 65.59190 69.06140 70.69470 69.86390 66.08130 59.32610 50.22030 39.91570
