VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 13.99370 10.11520  6.97903  4.68000  3.13131  2.14179  1.50502  1.06363  0.73024  0.47201  0.28130  0.15294  0.07577  0.03463  0.01532  0.00781  0.00689  0.01133  0.02277  0.04438  0.07910  0.12718  0.18377  0.23856  0.27850  0.29325  0.28024  0.24619  0.20389  0.16638  0.14207  0.13314  0.13680  0.14776  0.16053  0.17088  0.17645  0.17647  0.17106  0.16069  0.14635  0.13055  0.11829  0.11799  0.14246  0.21023  0.34576  0.57540  0.91697  1.36477  1.87889  2.39035  2.82848  3.16259  3.43706  3.77803  4.36456  5.37727  6.94851  9.13232 11.89740 15.13350 18.65890 22.22340 25.51070 28.15300 29.77350 30.06220 28.86790 26.26930 22.58500 18.30940
 -175.000 -175.000 20.64150 14.71850  9.97279  6.52143  4.21870  2.77320  1.87535  1.28625  0.86615  0.55416  0.32944  0.18034  0.09146  0.04427  0.02210  0.01356  0.01332  0.02114  0.04057  0.07714  0.13564  0.21610  0.31024  0.40100  0.46734  0.49310  0.47512  0.42521  0.36439  0.31329  0.28450  0.28043  0.29584  0.32205  0.35042  0.37432  0.38976  0.39484  0.38861  0.37052  0.34152  0.30612  0.27400  0.26042  0.28623  0.37860  0.57114  0.89941  1.38803  2.03120  2.77809  3.53915  4.22292  4.79409  5.32409  6.00244  7.09624  8.87445 11.53130 15.13720 19.62320 24.78870 30.31550 35.78230 40.68150 44.45250 46.55000 46.55230 44.28930 39.93650 34.01940 27.30950
 -170.000 -170.000 28.49180 20.06880 13.38700  8.56785  5.38084  3.40887  2.21842  1.47359  0.97126  0.61504  0.36628  0.20450  0.10939  0.05920  0.03534  0.02588  0.02626  0.03828  0.06836  0.12516  0.21548  0.33859  0.48129  0.61795  0.71809  0.75964  0.74026  0.67911  0.60740  0.55389  0.53434  0.54968  0.59090  0.64551  0.70202  0.75182  0.78908  0.80941  0.80836  0.78178  0.72898  0.65731  0.58470  0.53851  0.55265  0.66609  0.92267  1.36703  2.03055  2.90809  3.93920  5.01500  6.02515  6.93466  7.85348  9.05395 10.91550 13.81720 18.02500 23.61640 30.45310 38.19060 46.30620 54.13570 60.91820 65.86070 68.23740 67.53410 63.60850 56.80090 47.92250 38.09530
 -165.000 -165.000 36.91210 25.72070 16.93790 10.65810  6.53863  4.01788  2.52763  1.62912  1.05209  0.66158  0.39875  0.23273  0.13738  0.08751  0.06291  0.05188  0.05188  0.06807  0.11098  0.19292  0.32237  0.49657  0.69580  0.88464  1.02345  1.08625  1.07455  1.01745  0.95695  0.92800  0.94589  1.00656  1.09549  1.19712  1.29946  1.39408  1.47370  1.52911  1.54773  1.51626  1.42868  1.29558  1.14831  1.03467  1.00978  1.12954  1.44925  2.02128  2.88215  4.02729  5.38840  6.84049  8.25901  9.61734 11.07770 13.01500 15.94300 20.36640 26.62410 34.77950 44.58040 55.47370 66.65620 77.14870 85.88470 91.81870 94.06260 92.06290 85.78240 75.81260 63.32610 49.84840
 -160.000 -160.000 45.04000 31.08730 20.26470 12.59630  7.60292  4.57173  2.80371  1.76445  1.12226  0.70653  0.43876  0.27689  0.18779  0.14189  0.11712  0.10277  0.09991  0.11902  0.17614  0.28761  0.46255  0.69414  0.95422  1.19733  1.37701  1.46784  1.48003  1.45533  1.44536  1.48637  1.58655  1.73124  1.89842  2.07148  2.24255  2.40783  2.55992  2.68163  2.74478  2.71789  2.58279  2.35252  2.07845  1.84056  1.72742  1.82006  2.18740  2.88712  3.95722  5.39183  7.11625  8.99424 10.89510 12.81210 14.97470 17.87770 22.18240 28.52240 37.29470 48.51420 61.76090 76.20720 90.70200 103.89500 114.38600 120.88300 122.38800 118.39000 109.05900 95.32880 78.79680 61.41040
 -155.000 -155.000 51.98190 35.57330 23.00700 14.18790  8.48371  5.03862  3.04273  1.88644  1.19165  0.76039  0.49749  0.34953  0.27476  0.23748  0.21307  0.19264  0.18301  0.20256  0.27474  0.42012  0.64680  0.94124  1.26485  1.56273  1.78561  1.91507  1.97599  2.02519  2.12128  2.29479  2.53803  2.81882  3.10495  3.38121  3.64966  3.91696  4.17802  4.40413  4.54238  4.53108  4.33023  3.95289  3.47763  3.03117  2.75175  2.75711  3.13355  3.94100  5.21300  6.93828  9.03656 11.36720 13.80550 16.38030 19.40380 23.50040 29.47870 38.08390 49.73690 64.35490 81.29440 99.39980 117.13100 132.74600 144.51600 150.94600 150.99800 144.30300 131.34200 113.47500 92.76110 71.54930
 -150.000 -150.000 57.03300 38.72050 24.89080 15.28330  9.10706  5.38580  3.23189  1.99113  1.26040  0.82598  0.58040  0.45884  0.40887  0.38655  0.36377  0.33440  0.31364  0.33089  0.41916  0.60342  0.88896  1.25286  1.64456  2.00125  2.27578  2.46356  2.60972  2.78772  3.05964  3.44297  3.90553  4.39036  4.85129  5.27482  5.67676  6.07913  6.48182  6.84242  7.07516  7.07660  6.77460  6.17894  5.40227  4.63349  4.07860  3.90570  4.22333  5.09004  6.52724  8.51219 10.95970 13.73430 16.73490 20.04540 24.07550 29.58000 37.49520 48.63850 63.39850 81.53410 102.12600 123.66100 144.20600 161.65800 174.01300 179.64000 177.54300 167.59000 150.65400 128.57700 103.87900 79.25900
 -145.000 -145.000 59.82010 40.30380 25.78680 15.81040  9.43253  5.58920  3.35560  2.06773  1.32099  0.89841  0.68478  0.60389  0.59082  0.59133  0.57299  0.53347  0.49891  0.51262  0.61913  0.84791  1.20008  1.64191  2.11114  2.54004  2.88896  3.17263  3.45967  3.83966  4.37425  5.06213  5.84038  6.62099  7.33773  7.97376  8.55570  9.12098  9.67624 10.16630 10.47060 10.43860  9.96048  9.04171  7.83521  6.60540  5.64171  5.17441  5.33794  6.18482  7.71547  9.88903 12.61700 15.78210 19.32900 23.42050 28.57610 35.67170 45.73540 59.59640 77.53880 99.09460 123.02400 147.44900 170.08900 188.55600 200.66600 204.75300 199.94900 186.42300 165.48400 139.46200 111.29900 83.95780
 -140.000 -140.000 60.32340 40.34160 25.71600 15.77870  9.45796  5.63989  3.40290  2.10586  1.36400  0.96829  0.80012  0.77259  0.80733  0.83878  0.82978  0.78252  0.73564  0.74808  0.87668  1.15537  1.58102  2.11042  2.67342  3.20319  3.67325  4.12073  4.63686  5.32328  6.23650  7.35284  8.57574  9.78120 10.87340 11.81830 12.63970 13.38130 14.05540 14.60020 14.86920 14.67390 13.87430 12.47750 10.68360  8.84051  7.32841  6.44381  6.34547  7.07289  8.59623 10.85080 13.74820 17.20550 21.23810 26.11210 32.46610 41.28030 53.62680 70.27680 91.33060 116.02500 142.76200 169.31800 193.13400 211.65300 222.65100 224.54300 216.67800 199.56400 174.93700 145.56100 114.71800 85.52530
 -135.000 -135.000 58.80970 39.04310 24.81260 15.25700  9.20802  5.53995  3.36780  2.09805  1.38133  1.02504  0.91128  0.94438  1.03356  1.10245  1.10943  1.06122  1.00884  1.02633  1.18226  1.51495  2.01912  2.64770  3.33161  4.01445  4.68923  5.41555  6.30084  7.44985  8.90688 10.62330 12.46850 14.27840 15.91390 17.30090 18.43290 19.33940 20.03240 20.45390 20.45650 19.84420 18.47480 16.37760 13.80940 11.20180  9.01901  7.61398  7.15861  7.66832  9.07414 11.28380 14.21490 17.83520 22.25470 27.86320 35.42290 45.99560 60.64930 80.02950 103.98200 131.39200 160.28200 188.10400 212.10600 229.69900 238.76600 237.94600 226.88700 206.45300 178.75400 146.88100 114.32400 84.23220
