VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 25.41640 17.80580 11.42970  6.71814  3.61334  1.77689  0.79811  0.32703  0.12208  0.04147  0.01286  0.00384  0.00163  0.00203  0.00412  0.00817  0.01464  0.02350  0.03375  0.04338  0.04990  0.05139  0.04743  0.03934  0.02964  0.02095  0.01521  0.01328  0.01510  0.01995  0.02679  0.03450  0.04212  0.04902  0.05479  0.05909  0.06160  0.06219  0.06124  0.05965  0.05873  0.05995  0.06487  0.07536  0.09347  0.12067  0.15696  0.20087  0.25188  0.31485  0.40471  0.54778  0.77821  1.13066  1.63392  2.31020  3.18181  4.28272  5.66941  7.42691  9.67028 12.54340 16.20730 20.79320 26.29120 32.38680 38.33760 43.02680 45.26810 44.26760 40.00050 33.27200
 -175.000 -175.000 37.16120 25.85670 16.48040  9.61582  5.13311  2.50530  1.11704  0.45454  0.16862  0.05700  0.01769  0.00549  0.00293  0.00452  0.00955  0.01903  0.03412  0.05475  0.07864  0.10108  0.11630  0.11979  0.11059  0.09183  0.06939  0.04949  0.03675  0.03331  0.03910  0.05247  0.07083  0.09126  0.11122  0.12892  0.14324  0.15345  0.15896  0.15970  0.15663  0.15197  0.14875  0.15026  0.15986  0.18124  0.21809  0.27257  0.34338  0.42575  0.51582  0.61911  0.75901  0.97976  1.34038  1.90204  2.71622  3.82123  5.25059  7.04993  9.29503 12.10380 15.64030 20.11050 25.73910 32.69360 40.91920 49.90680 58.52710 65.12790 67.99330 66.02110 59.25930 48.96960
 -170.000 -170.000 50.60660 34.96140 22.12270 12.81310  6.78902  3.28899  1.45597  0.58854  0.21710  0.07312  0.02279  0.00752  0.00513  0.00921  0.01987  0.03968  0.07113  0.11417  0.16398  0.21080  0.24255  0.24989  0.23082  0.19193  0.14563  0.10515  0.08037  0.07613  0.09256  0.12618  0.17122  0.22084  0.26876  0.31036  0.34291  0.36490  0.37560  0.37537  0.36669  0.35438  0.34487  0.34493  0.36115  0.40011  0.46763  0.56601  0.69059  0.83005  0.97427  1.12896  1.33014  1.64890  2.18153  3.02882  4.27609  5.98534  8.20481 10.99230 14.44200 18.70410 23.99110 30.56760 38.70990 48.59410 60.07100 72.36570 83.87930 92.35090 95.49980 91.94040 81.88100 67.16670
 -165.000 -165.000 64.43170 44.17970 27.75170 15.95750  8.39497  4.03902  1.77659  0.71425  0.26251  0.08842  0.02791  0.01004  0.00860  0.01698  0.03704  0.07402  0.13272  0.21303  0.30600  0.39339  0.45271  0.46657  0.43130  0.35940  0.27436  0.20142  0.15984  0.15948  0.20121  0.27864  0.38000  0.49072  0.59660  0.68680  0.75494  0.79828  0.81649  0.81174  0.78976  0.76026  0.73560  0.72852  0.75089  0.81345  0.92413  1.08358  1.28028  1.49200  1.69933  1.90912  2.17642  2.61078  3.36032  4.58020  6.40217  8.92105 12.20530 16.32640 21.39480 27.58530 35.14340 44.36480 55.53270 68.76790 83.75140 99.37150 113.51800 123.33200 126.03900 120.08300 105.95800 86.18900
 -160.000 -160.000 77.00800 52.38330 32.66080 18.64910  9.74692  4.66194  2.04085  0.81826  0.30101  0.10219  0.03314  0.01325  0.01357  0.02820  0.06182  0.12359  0.22161  0.35571  0.51100  0.65704  0.75630  0.77986  0.72183  0.60351  0.46492  0.34950  0.29114  0.30832  0.40401  0.56766  0.77769  1.00550  1.22179  1.40316  1.53578  1.61483  1.64209  1.62444  1.57424  1.50948  1.45179  1.42317  1.44345  1.52878  1.68837  1.91797  2.19424  2.47949  2.74364  2.99848  3.32745  3.89180  4.90599  6.59345  9.14487 12.69900 17.35390 23.20030 30.36190 39.02200 49.42230 61.82780 76.44090 93.22260 111.58500 130.02200 145.93700 155.99600 157.12700 147.81800 128.99800 103.91400
 -155.000 -155.000 86.79290 58.53230 36.21720 20.54130 10.67510  5.08452  2.22194  0.89309  0.33179  0.11523  0.03924  0.01751  0.01994  0.04215  0.09239  0.18467  0.33113  0.53155  0.76372  0.98222  1.13112  1.16749  1.08300  0.91048  0.71140  0.55332  0.49058  0.55486  0.75387  1.07238  1.47430  1.90827  2.31873  2.65922  2.90163  3.03761  3.07404  3.02789  2.92360  2.79196  2.66784  2.58624  2.57821  2.66682  2.86114  3.14777  3.48635  3.82085  4.11255  4.38596  4.76445  5.47319  6.80395  9.05838 12.49720 17.31720 23.66100 31.64970 41.41730 53.12730 66.95570 83.03740 101.36400 121.59900 142.77600 162.97300 179.21000 187.91700 186.04000 172.39300 148.49000 118.27400
 -150.000 -150.000 92.71300 61.94100 38.02660 21.43260 11.09030  5.27495  2.31313  0.94063  0.35831  0.13023  0.04775  0.02333  0.02717  0.05668  0.12366  0.24697  0.44282  0.71094  1.02172  1.31466  1.51532  1.56690  1.45941  1.23865  0.99008  0.80909  0.77522  0.93867  1.31613  1.88879  2.60168  3.37014  4.09725  4.69794  5.11878  5.34443  5.39074  5.29243  5.09356  4.84325  4.59381  4.39751  4.30085  4.33645  4.51267  4.80363  5.14891  5.47490  5.74089  5.99493  6.41123  7.28619  8.99253 11.91390 16.39020 22.69290 31.03040 41.56890 54.44680 69.76550 87.54840 107.67000 129.75500 153.01800 176.02900 196.47900 211.19400 216.69200 210.31700 191.50800 162.47500 127.74500
 -145.000 -145.000 94.38560 62.42610 38.02200 21.31360 11.00590  5.25150  2.33031  0.97239  0.38797  0.15145  0.06078  0.03133  0.03441  0.06865  0.14828  0.29566  0.53007  0.85127  1.22407  1.57657  1.82056  1.88946  1.77352  1.53116  1.27032  1.11387  1.16877  1.50874  2.16540  3.11995  4.29642  5.56654  6.77450  7.77632  8.47666  8.84560  8.91006  8.73042  8.37883  7.92905  7.45581  7.03439  6.73353  6.60124  6.64802  6.83611  7.08663  7.31418  7.48613  7.68455  8.14029  9.21969 11.37100 15.05730 20.70470 28.67730 39.27140 52.71010 69.12140 88.48830 110.57700 134.85900 160.43600 185.95400 209.48100 228.42400 239.67100 240.19200 228.09400 203.68300 169.89300 131.65000
 -140.000 -140.000 92.11190 60.28860 36.44380 20.35000 10.52450  5.07293  2.30531  1.00502  0.42921  0.18302  0.08017  0.04193  0.04077  0.07512  0.15940  0.31695  0.56823  0.91314  1.31465  1.69691  1.96735  2.05747  1.96103  1.74672  1.53935  1.48402  1.71371  2.32910  3.38362  4.86532  6.67917  8.64665 10.53650 12.12260 13.24530 13.84480 13.95490 13.66500 13.08220 12.31210 11.45960 10.63350  9.93705  9.44578  9.18147  9.10144  9.11566  9.13641  9.14862  9.27328  9.79441 11.13730 13.81300 18.35820 25.29020 35.07990 48.12470 64.70350 84.90380 108.52200 134.96400 163.16900 191.60100 218.27100 240.79300 256.46600 262.52900 256.74500 238.26000 208.36700 170.64300 130.17200
 -135.000 -135.000 86.68950 56.16130 33.73050 18.81210  9.79522  4.81341  2.27137  1.05184  0.48674  0.22634  0.10616  0.05496  0.04567  0.07464  0.15383  0.30455  0.54614  0.87905  1.26920  1.64640  1.92578  2.04714  2.01182  1.89545  1.83121  1.97725  2.48710  3.48892  5.06428  7.21740  9.84199 12.70960 15.50240 17.89040 19.62160 20.58160 20.79340 20.36930 19.45300 18.19030 16.73110 15.23730 13.86950 12.75140 11.93280 11.37890 10.99930 10.71210 10.52270 10.58560 11.22350 12.90280 16.18360 21.67060 29.97570 41.68020 57.27660 77.07520 101.07500 128.81700 159.26100 190.73800 221.02100 247.51500 267.50000 278.39300 278.06800 265.33700 240.52300 205.87600 165.43100 124.16000
