VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 126.81600 124.77200 117.41500 105.65800 90.96400 75.03550 59.47280 45.49350 33.79340 24.55930 17.59510 12.49400  8.79892  6.11233  4.14381  2.70535  1.67844  0.97836  0.53130  0.26783  0.12652  0.05962  0.03588  0.03986  0.06904  0.12996  0.23288  0.38452  0.58059  0.80227  1.02084  1.20909  1.35205  1.44842  1.50162  1.50927  1.46162  1.35107  1.18429  0.98580  0.78962  0.62510  0.50684  0.43442  0.40007  0.39732  0.42402  0.47762  0.54760  0.61262  0.64728  0.63584  0.58470  0.52590  0.51123  0.60245  0.86530  1.37256  2.21943  3.55387  5.61790  8.78126 13.53220 20.39210 29.75630 41.71330 55.92280 71.59940 87.59320 102.51800 114.89800 123.35300
 -175.000 -175.000 127.39800 123.47600 114.65300 102.00900 87.03470 71.34620 56.39180 43.21990 32.37150 23.91040 17.55800 12.86920  9.38967  6.75565  4.72765  3.17121  2.01246  1.19587  0.66077  0.33845  0.16144  0.07402  0.03778  0.03157  0.04800  0.08883  0.15964  0.26403  0.39837  0.55006  0.70154  0.83839  0.95566  1.05655  1.14353  1.20980  1.23933  1.21699  1.14085  1.02689  0.90212  0.79114  0.70555  0.64265  0.59291  0.54994  0.51511  0.49400  0.48810  0.48968  0.48480  0.46359  0.43062  0.40927  0.43864  0.56767  0.85356  1.37067  2.23379  3.63546  5.88746  9.44133 14.85100 22.65160 33.17060 46.33980 61.59660 77.91680 93.95480 108.22500 119.28900 125.94000
 -170.000 -170.000 124.92500 119.27000 109.34800 96.30740 81.55670 66.53990 52.51150 40.35140 30.47360 22.85530 17.16640 12.94200  9.73643  7.21709  5.18886  3.56458  2.31145  1.40281  0.79317  0.41781  0.20644  0.09802  0.04894  0.03384  0.04187  0.07145  0.12490  0.20324  0.30233  0.41239  0.52224  0.62611  0.72774  0.83713  0.96047  1.09061  1.20624  1.28192  1.30239  1.27104  1.20657  1.13062  1.05531  0.97920  0.89353  0.79315  0.68332  0.57750  0.48862  0.42147  0.37249  0.33698  0.31833  0.33328  0.41134  0.59198  0.92672  1.49306  2.42473  3.95496  6.45693 10.45030 16.53570 25.23940 36.79640 50.95820 66.92100 83.41750 98.92980 111.93700 121.13500 125.60000
 -165.000 -165.000 119.79400 112.75800 102.23500 89.32790 75.25710 61.22940 48.29120 37.18210 28.24000 21.40800 16.34330 12.58130  9.68736  7.35041  5.40451  3.79448  2.51687  1.56772  0.91608  0.50445  0.26474  0.13559  0.07221  0.04800  0.05089  0.07786  0.12931  0.20386  0.29499  0.39175  0.48427  0.57154  0.66541  0.78578  0.94764  1.14771  1.36036  1.54696  1.67358  1.72581  1.71139  1.65007  1.55877  1.44293  1.29928  1.12632  0.93314  0.73928  0.56642  0.42930  0.33281  0.27690  0.26498  0.31005  0.43635  0.67916  1.08971  1.75300  2.82256  4.56621  7.40236 11.89190 18.64900 28.15800 40.53820 55.35320 71.56930 87.70770 102.13400 113.37100 120.33900 122.48200
 -160.000 -160.000 112.60400 104.65400 94.05270 81.75530 68.71760 55.87370 44.07030 33.94660 25.81840 19.64690 15.11490 11.77740  9.21247  7.11926  5.34270  3.83987  2.62038  1.69318  1.03912  0.61087  0.34847  0.19655  0.11448  0.07827  0.07738  0.10932  0.17368  0.26639  0.37619  0.48649  0.58356  0.66741  0.75773  0.88774  1.08680  1.36038  1.68030  1.99235  2.23810  2.37854  2.40589  2.33827  2.20269  2.01942  1.79759  1.54240  1.26528  0.98743  0.73448  0.52766  0.37902  0.29390  0.27801  0.34429  0.51671  0.83293  1.35210  2.17479  3.47791  5.55657  8.85077 13.92240 21.34930 31.53000 44.44540 59.47960 75.41160 90.62070 103.44200 112.52900 117.10000 116.99800
 -155.000 -155.000 104.07900 95.67710 85.44130 74.10690 62.32920 50.76530 40.08020 30.84500 23.39410 17.74550 13.63960 10.66930  8.42923  6.62022  5.08156  3.76357  2.67246  1.81966  1.19453  0.76227  0.47662  0.29447  0.18471  0.12995  0.12377  0.16586  0.25572  0.38592  0.53800  0.68546  0.80594  0.89717  0.98634  1.12316  1.35652  1.70570  2.14241  2.59509  2.97491  3.21049  3.27305  3.17920  2.97262  2.69822  2.38547  2.04836  1.69652  1.34549  1.01828  0.73947  0.52895  0.40057  0.36655  0.44424  0.66265  1.06932  1.74147  2.80620  4.46943  7.04514 10.96510 16.74100 24.85340 35.56290 48.69110 63.46680 78.54920 92.27370 103.04800 109.74200 111.91200 109.79000
 -150.000 -150.000 95.00610 86.52990 76.96720 66.80460 56.39890 46.14490 36.54260 28.11060 21.22040 15.97080 12.18380  9.50808  7.56227  6.04452  4.77594  3.68466  2.76009  2.00783  1.42315  0.98562  0.66685  0.44081  0.29004  0.20677  0.19064  0.24453  0.36809  0.54989  0.76240  0.96639  1.12765  1.23927  1.33550  1.48419  1.75690  2.18993  2.75639  3.36561  3.89310  4.22847  4.31772  4.17791  3.87751  3.49652  3.09155  2.68464  2.27601  1.86549  1.46628  1.10497  0.81301  0.61919  0.54873  0.62901  0.89972  1.42560  2.31220  3.72379  5.89986  9.16216 13.90040 20.52120 29.34400 40.44240 53.46520 67.52190 81.23470 93.00240 101.40900 105.60600 105.49700 101.65000
 -145.000 -145.000 86.16610 77.89390 69.18520 60.28500 51.27760 42.31870 33.75240 26.04580 19.61060 14.63910 11.05420  8.57890  6.86471  5.60553  4.59511  3.72798  2.96773  2.30933  1.75304  1.29420  0.92461  0.63757  0.43116  0.30846  0.27581  0.33947  0.49923  0.73965  1.02413  1.30068  1.52305  1.67929  1.80990  1.99960  2.34114  2.88605  3.60664  4.38997  5.07206  5.50057  5.59699  5.38497  4.96807  4.47111  3.98151  3.52445  3.07949  2.61911  2.14039  1.67311  1.26756  0.97704  0.84853  0.92635  1.26661  1.95763  3.14059  5.02291  7.87612 12.01340 17.74720 25.32870 34.86440 46.20640 58.83210 71.77720 83.71040 93.19400 99.07170 100.81300 98.64640 93.40250
 -140.000 -140.000 78.25350 70.40110 62.65110 55.03210 47.39120 39.66980 32.06200 24.97950 18.87310 14.03830 10.51610  8.11978  6.54207  5.47113  4.66586  3.97919  3.34392  2.74332  2.18367  1.67733  1.23664  0.87367  0.60093  0.43117  0.37638  0.44558  0.63896  0.93855  1.30172  1.66786  1.98280  2.23168  2.45980  2.76308  3.24632  3.96597  4.88421  5.85965  6.68708  7.17590  7.23235  6.89981  6.33022  5.70158  5.13186  4.64024  4.17198  3.66050  3.08203  2.47320  1.91261  1.48935  1.28228  1.36038  1.80202  2.72342  4.30354  6.79006 10.47470 15.63840 22.48230 31.06490 41.25150 52.66480 64.63220 76.16780 86.06010 93.11140 96.47840 95.95600 92.04820 85.76720
 -135.000 -135.000 71.81010 64.57610 57.85970 51.50120 45.14730 38.55080 31.76770 25.15710 19.21300 14.34340 10.72100  8.26057  6.70069  5.72089  5.03888  4.46059  3.88646  3.28961  2.68492  2.10303  1.57564  1.13041  0.79025  0.57379  0.49605  0.56780  0.79071  1.14812  1.59821  2.08077  2.54239  2.97005  3.41095  3.96033  4.71581  5.71652  6.89545  8.07238  9.00247  9.47029  9.38805  8.84129  8.04737  7.24449  6.57730  6.04731  5.55161  4.97424  4.26755  3.47914  2.72471  2.13933  1.84297  1.93685  2.52697  3.75941  5.84676  9.06375 13.69890 19.97040 27.93830 37.45020 48.13190 59.40040 70.47640 80.40690 88.15750 92.81680 93.87270 91.42430 86.19000 79.27790
