VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  7.16386  4.90708  3.16240  1.93397  1.13087  0.63492  0.34206  0.17603  0.08606  0.03997  0.01809  0.00893  0.00614  0.00637  0.00781  0.00941  0.01051  0.01090  0.01073  0.01044  0.01045  0.01086  0.01143  0.01173  0.01143  0.01057  0.00954  0.00896  0.00947  0.01166  0.01600  0.02279  0.03188  0.04236  0.05253  0.06028  0.06396  0.06322  0.05952  0.05596  0.05654  0.06492  0.08304  0.11003  0.14226  0.17528  0.20714  0.24140  0.28753  0.35767  0.46172  0.60400  0.78325  0.99523  1.23529  1.50097  1.79752  2.14785  2.60242  3.24000  4.15314  5.42109  7.07741  9.07834 11.27520 13.40110 15.09540 15.98380 15.80420 14.52310 12.37120  9.76684
 -175.000 -175.000 10.62970  7.32781  4.75816  2.93373  1.73040  0.98098  0.53490  0.27977  0.13992  0.06720  0.03221  0.01772  0.01410  0.01599  0.02016  0.02444  0.02735  0.02837  0.02798  0.02730  0.02740  0.02858  0.03019  0.03108  0.03042  0.02828  0.02573  0.02437  0.02592  0.03188  0.04355  0.06174  0.08615  0.11453  0.14242  0.16418  0.17513  0.17384  0.16340  0.15103  0.14613  0.15733  0.18919  0.23960  0.29946  0.35598  0.39896  0.42728  0.45140  0.49053  0.56633  0.69744  0.89717  1.17336  1.52894  1.96476  2.48879  3.13212  3.96338  5.08840  6.62695  8.67133 11.23990 14.23630 17.42090 20.40570 22.69490 23.79380 23.37070 21.40410 18.22720 14.42460
 -170.000 -170.000 14.70530 10.18600  6.65225  4.12837  2.45382  1.40521  0.77734  0.41512  0.21377  0.10703  0.05482  0.03368  0.03020  0.03638  0.04670  0.05683  0.06369  0.06614  0.06532  0.06392  0.06442  0.06752  0.07164  0.07409  0.07288  0.06820  0.06258  0.05986  0.06406  0.07878  0.10714  0.15123  0.21060  0.28014  0.34938  0.40469  0.43426  0.43352  0.40826  0.37374  0.35031  0.35684  0.40383  0.48813  0.59227  0.69038  0.75989  0.79345  0.80434  0.82224  0.88313  1.02001  1.25883  1.61836  2.11152  2.74948  3.55296  4.57106  5.89730  7.66625 10.02050 13.05380 16.74890 20.92910 25.23420 29.13250 31.98610 33.18930 32.36050 29.51270 25.10020 19.88920
 -165.000 -165.000 19.06690 13.24740  8.68658  5.41911  3.24498  1.87974  1.05853  0.58013  0.30941  0.16238  0.08911  0.06055  0.05951  0.07467  0.09695  0.11833  0.13275  0.13802  0.13662  0.13419  0.13596  0.14332  0.15295  0.15905  0.15741  0.14847  0.13760  0.13306  0.14343  0.17649  0.23903  0.33595  0.46681  0.62127  0.77711  0.90461  0.97697  0.98200  0.92902  0.84732  0.77719  0.75670  0.80837  0.92958  1.09141  1.24930  1.36311  1.41732  1.42989  1.44481  1.51485  1.68663  1.99565  2.46932  3.13236  4.01292  5.15377  6.62988  8.56250 11.11150 14.43280 18.60690 23.56120 29.01450 34.46350 39.22010 42.50990 43.63980 42.21090 38.29830 32.49250 25.74390
 -160.000 -160.000 23.29090 16.20360 10.65220  6.67453  4.02790  2.36495  1.36057  0.76850  0.42596  0.23453  0.13734  0.10157  0.10682  0.13780  0.18031  0.22053  0.24768  0.25790  0.25601  0.25267  0.25771  0.27371  0.29420  0.30809  0.30728  0.29261  0.27447  0.26881  0.29229  0.36006  0.48568  0.67941  0.94158  1.25329  1.57196  1.83898  1.99949  2.02523  1.92854  1.76028  1.59331  1.49823  1.51950  1.65918  1.87543  2.10006  2.27055  2.36143  2.39704  2.43863  2.55684  2.80938  3.23657  3.87119  4.75091  5.92667  7.47051  9.48693 12.12130 15.54720 19.91790 25.28340 31.49990 38.16980 44.64030 50.07140 53.57150 54.39350 52.15900 47.03400 39.75490 31.44620
 -155.000 -155.000 26.92810 18.73030 12.33030  7.75657  4.72061  2.81478  1.65880  0.96762  0.55732  0.32082  0.19878  0.15723  0.17361  0.22828  0.30031  0.36792  0.41368  0.43156  0.42996  0.42701  0.43931  0.47103  0.51096  0.53988  0.54381  0.52422  0.49921  0.49664  0.54578  0.67349  0.90438  1.25795  1.73689  2.31015  2.90376  3.41299  3.73615  3.81524  3.66189  3.35570  3.01692  2.76577  2.68287  2.78330  3.01469  3.28383  3.50387  3.63902  3.72111  3.82923  4.04955  4.44527  5.05503  5.91330  7.07227  8.61126 10.63650 13.28020 16.69950 21.05960 26.48450 32.97210 40.29830 47.95400 55.15480 60.93690 64.32830 64.56850 61.33710 54.91430 46.18150 36.41430
 -150.000 -150.000 29.57970 20.54660 13.53380  8.54562  5.24801  3.18165  1.92245  1.15744  0.69058  0.41312  0.26796  0.22296  0.25470  0.33922  0.44789  0.54944  0.61859  0.64689  0.64757  0.64837  0.67449  0.73205  0.80347  0.85887  0.87649  0.85869  0.83400  0.84649  0.94275  1.16611  1.55716  2.14945  2.95080  3.91516  4.92594  5.81288  6.40469  6.59454  6.38439  5.88595  5.28042  4.75605  4.44735  4.39607  4.54809  4.79060  5.01601  5.18051  5.32368  5.53922  5.92173  6.53086  7.39613  8.55141 10.06700 12.05710 14.66470 18.04180 22.33440 27.66400 34.08670 41.51990 49.65320 57.88800 65.35410 71.02210 73.89800 73.25870 68.87580 61.15490 51.10650 40.11660
 -145.000 -145.000 30.96910 21.46730 14.14260  8.96293  5.55544  3.42482  2.12007  1.31411  0.80854  0.49923  0.33532  0.28887  0.33698  0.45210  0.59817  0.73456  0.82829  0.86896  0.87539  0.88586  0.93492  1.03071  1.14856  1.24678  1.29500  1.29686  1.29315  1.34702  1.52576  1.89278  2.50881  3.42611  4.66119  6.15235  7.73221  9.14819 10.13670 10.51940 10.27300  9.53735  8.56218  7.61968  6.91759  6.54321  6.45742  6.54192  6.67899  6.82243  7.01845  7.36768  7.96167  8.84562 10.03420 11.56210 13.52490 16.07840 19.40210 23.65250 28.93160 35.26980 42.60490 50.73700 59.26300 67.52850 74.64660 79.61120 81.49150 79.66590 74.03030 65.11110 54.01010 42.16150
 -140.000 -140.000 31.00480 21.44580 14.13250  8.99138  5.62528  3.52466  2.23184  1.42009  0.89722  0.56821  0.39078  0.34260  0.40251  0.54070  0.71557  0.87936  0.99348  1.04679  1.06358  1.09172  1.17419  1.32112  1.50181  1.66428  1.77093  1.82738  1.88678  2.03126  2.34878  2.92326  3.83678  5.16263  6.92920  9.06151 11.33980 13.42060 14.93080 15.59880 15.35450 14.35230 12.90880 11.39020 10.09600  9.18196  8.64781  8.39160  8.30185  8.33714  8.54695  9.02744  9.85352 11.04690 12.60670 14.57580 17.08500 20.33780 24.54400 29.84200 36.24970 43.65360 51.81710 60.38020 68.83700 76.51400 82.59020 86.19300 86.56450 83.26250 76.33800 66.41760 54.63360 42.38580
 -135.000 -135.000 29.81680 20.59590 13.59010  8.68882  5.49083  3.49683  2.26273  1.47502  0.95406  0.61628  0.42858  0.37456  0.43547  0.58102  0.76714  0.94300  1.06812  1.13233  1.16437  1.21881  1.34463  1.55416  1.81412  2.06741  2.27351  2.44136  2.63457  2.95009  3.49168  4.35901  5.65135  7.46042  9.82709 12.66770 15.71710 18.54380 20.66040 21.68470 21.47700 20.18510 18.18170 15.93070 13.83910 12.15550 10.94610 10.15010  9.67930  9.50190  9.66353 10.24190 11.28310 12.78220 14.73020 17.19120 20.34280 24.43720 29.70120 36.22740 43.90930 52.44090 61.36110 70.10960 78.06460 84.56420 88.93410 90.55030 88.94480 83.93840 75.76280 65.11190 53.07190 40.91540
