VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  2.61363  1.65120  0.97629  0.53702  0.27347  0.12851  0.05566  0.02226  0.00826  0.00287  0.00095  0.00032  0.00015  0.00014  0.00022  0.00034  0.00050  0.00068  0.00090  0.00116  0.00153  0.00206  0.00279  0.00372  0.00482  0.00613  0.00785  0.01055  0.01520  0.02322  0.03629  0.05582  0.08225  0.11419  0.14791  0.17774  0.19738  0.20205  0.19033  0.16483  0.13117  0.09596  0.06465  0.04036  0.02379  0.01398  0.00931  0.00834  0.01039  0.01593  0.02705  0.04830  0.08833  0.16285  0.29962  0.54531  0.97167  1.67456  2.75606  4.28376  6.23429  8.44703 10.62280 12.38830 13.41010 13.50730 12.70660 11.21480  9.33108  7.34930  5.49274  3.89517
 -175.000 -175.000  4.29785  2.71435  1.61155  0.89462  0.46232  0.22184  0.09883  0.04100  0.01593  0.00586  0.00208  0.00078  0.00042  0.00046  0.00072  0.00115  0.00169  0.00231  0.00303  0.00390  0.00510  0.00684  0.00923  0.01225  0.01579  0.01983  0.02477  0.03183  0.04316  0.06184  0.09127  0.13418  0.19105  0.25855  0.32879  0.39011  0.42989  0.43860  0.41338  0.35942  0.28806  0.21286  0.14536  0.09244  0.05604  0.03445  0.02443  0.02298  0.02869  0.04272  0.06982  0.12020  0.21279  0.38078  0.68006  1.19934  2.06708  3.44427  5.48915  8.28681 11.75880 15.59560 19.26670 22.13740 23.66210 23.56900 21.94400 19.17510 15.79800 12.32440  9.13160  6.43127
 -170.000 -170.000  7.22758  4.60900  2.76876  1.55906  0.81978  0.40182  0.18377  0.07874  0.03183  0.01227  0.00461  0.00186  0.00114  0.00136  0.00219  0.00347  0.00512  0.00702  0.00917  0.01179  0.01538  0.02051  0.02758  0.03651  0.04686  0.05834  0.07159  0.08896  0.11480  0.15510  0.21623  0.30274  0.41458  0.54453  0.67720  0.79095  0.86292  0.87611  0.82555  0.72063  0.58211  0.43520  0.30197  0.19634  0.12295  0.07933  0.05962  0.05824  0.07265  0.10562  0.16750  0.28005  0.48280  0.84313  1.46964  2.52502  4.22883  6.83359 10.55690 15.46730 21.35400 27.64700 33.46380 37.81150 39.88590 39.33950 36.38170 31.67140 26.06680 20.36660 15.14810 10.73150
 -165.000 -165.000 11.94710  7.71677  4.69851  2.68441  1.43474  0.71681  0.33547  0.14782  0.06179  0.02476  0.00975  0.00421  0.00284  0.00363  0.00592  0.00943  0.01392  0.01910  0.02497  0.03210  0.04179  0.05562  0.07461  0.09853  0.12609  0.15606  0.18911  0.22931  0.28464  0.36579  0.48350  0.64443  0.84651  1.07526  1.30320  1.49368  1.60945  1.62346  1.52830  1.33970  1.09205  0.82787  0.58558  0.39081  0.25368  0.17162  0.13535  0.13549  0.16819  0.23975  0.37167  0.60802  1.02746  1.76076  3.01077  5.06517  8.28379 13.03700 19.58000 27.87720 37.43540 47.24420 55.90950 61.98990 64.42620 62.87710 57.79770 50.23460 41.45420 32.59430 24.46570 17.52510
 -160.000 -160.000 18.94490 12.38940  7.63848  4.42156  2.39758  1.21819  0.58181  0.26276  0.11310  0.04686  0.01917  0.00877  0.00645  0.00870  0.01436  0.02297  0.03398  0.04674  0.06123  0.07886  0.10275  0.13667  0.18307  0.24141  0.30829  0.38004  0.45642  0.54369  0.65507  0.80816  1.01949  1.29736  1.63474  2.00494  2.36254  2.65094  2.81534  2.81771  2.64898  2.33343  1.92281  1.48210  1.07232  0.73699  0.49637  0.35009  0.28557  0.28888  0.35514  0.49799  0.75961  1.22465  2.04164  3.45185  5.81719  9.62578 15.44250 23.77430 34.84760 48.35080 63.25230 77.82760 89.96930 97.72810 99.88370 96.29720 87.88200 76.22880 63.08900 49.95700 37.87610 27.45000
 -155.000 -155.000 28.39820 18.76960 11.69670  6.84760  3.76039  1.93945  0.94334  0.43557  0.19238  0.08203  0.03470  0.01672  0.01329  0.01873  0.03129  0.05025  0.07457  0.10299  0.13555  0.17539  0.22929  0.30541  0.40903  0.53884  0.68710  0.84450  1.00759  1.18438  1.39493  1.66596  2.02101  2.46863  2.99242  3.54692  4.06243  4.45852  4.66251  4.62757  4.34559  3.85110  3.21450  2.52587  1.87409  1.32797  0.92546  0.67374  0.55925  0.56389  0.68323  0.94453  1.42574  2.28038  3.77327  6.32536 10.54920 17.23410 27.22590 41.16700 59.12350 80.22710 102.52300 123.19300 139.18000 148.02300 148.56400 141.21500 127.67900 110.30300 91.38800 72.75430 55.62300 40.71560
 -150.000 -150.000 39.88220 26.58230 16.71210  9.87856  5.48572  2.86773  1.41815  0.66798  0.30184  0.13193  0.05747  0.02906  0.02475  0.03625  0.06124  0.09884  0.14743  0.20497  0.27186  0.35459  0.46653  0.62362  0.83601  1.10080  1.40187  1.71870  2.03977  2.37263  2.74483  3.19437  3.75306  4.42817  5.18884  5.96369  6.65264  7.14965  7.36744  7.25623  6.81315  6.08305  5.15194  4.13304  3.14610  2.29398  1.64378  1.22025  1.01470  1.00742  1.19749  1.63489  2.45454  3.91802  6.46947 10.80030 17.88860 28.94220 45.16240 67.29040 95.02360 126.54400 158.46800 186.42100 206.15100 214.75700 211.51200 197.88900 176.83400 151.71800 125.45100 100.09800 76.93910 56.72410
 -145.000 -145.000 52.20370 35.01070 22.16650 13.21050  7.40886  3.92055  1.96800  0.94354  0.43486  0.19411  0.08671  0.04584  0.04164  0.06314  0.10788  0.17532  0.26353  0.36996  0.49647  0.65535  0.87067  1.17055  1.57236  2.06987  2.63240  3.21923  3.80212  4.38276  4.99501  5.69024  6.51134  7.46487  8.50237  9.52070 10.38460 10.96250 11.15790 10.92610 10.27340  9.25190  7.95482  6.51151  5.07343  3.78799  2.76775  2.07051  1.70273  1.64823  1.91431  2.58505  3.87826  6.21123 10.28240 17.15750 28.30320 45.46070 70.23710 103.38700 143.96100 188.72200 232.29300 268.26500 290.98100 297.27100 287.32100 264.28200 232.88100 197.81200 162.65100 129.58800 99.78190 73.85680
 -140.000 -140.000 63.51950 42.77360 27.22860 16.33980  9.24402  4.94512  2.51532  1.22448  0.57370  0.26050  0.11890  0.06558  0.06330  0.09919  0.17162  0.28155  0.42796  0.60932  0.83121  1.11542  1.50150  2.03425  2.74011  3.60636  4.57885  5.58359  6.56198  7.49952  8.43246  9.42820 10.54760 11.80330 13.13240 14.39870 15.42920 16.06610 16.20830 15.82060 14.91930 13.55600 11.81860  9.84295  7.81311  5.93406  4.38411  3.27389  2.63866  2.47304  2.79817  3.74434  5.63913  9.10442 15.16800 25.36770 41.76530 66.71520 102.23200 148.94500 204.94600 265.11300 321.57300 365.49900 389.73400 391.08600 371.18300 335.46900 290.96100 243.96100 198.74000 157.48300 121.01700 89.63350
 -135.000 -135.000 71.78890 48.44300 30.95860 18.68400 10.64990  5.75105  2.95813  1.45806  0.69200  0.31838  0.14796  0.08500  0.08709  0.14102  0.24773  0.41181  0.63599  0.92326  1.28721  1.76389  2.41301  3.29934  4.45843  5.86592  7.43247  9.03347 10.55990 11.96450 13.27790 14.58780 15.98720 17.51300 19.10230 20.59300 21.77380 22.45820 22.53630 21.97860 20.80400 19.05240 16.79420 14.16550 11.38730  8.73737  6.48071  4.80002  3.77253  3.41088  3.75562  4.99354  7.58412 12.39310 20.83420 34.98380 57.55420 91.52580 139.25100 201.05900 273.79500 350.11300 419.34100 470.08800 493.78000 487.51600 454.81200 403.86400 344.32000 284.25100 228.62400 179.48400 137.13200 101.30500
