VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 12.28550  8.63464  5.69594  3.54954  2.11141  1.21450  0.68381  0.37949  0.20749  0.11115  0.05806  0.02956  0.01474  0.00727  0.00363  0.00210  0.00203  0.00352  0.00721  0.01418  0.02560  0.04240  0.06506  0.09388  0.12947  0.17291  0.22459  0.28203  0.33787  0.38056  0.39816  0.38390  0.33980  0.27609  0.20695  0.14500  0.09782  0.06738  0.05158  0.04649  0.04799  0.05276  0.05884  0.06624  0.07771  0.09964  0.14269  0.22178  0.35421  0.55490  0.82946  1.16889  1.55207  1.96045  2.40230  2.93673  3.68331  4.80613  6.46938  8.77379 11.69750 15.07080 18.60280 21.95000 24.78780 26.84730 27.91370 27.81970 26.47370 23.92380 20.41210 16.36290
 -175.000 -175.000 18.16530 12.62680  8.25385  5.11372  3.04016  1.76099  1.00779  0.57405  0.32514  0.18211  0.10048  0.05465  0.02936  0.01560  0.00831  0.00496  0.00466  0.00778  0.01576  0.03088  0.05565  0.09188  0.14014  0.20000  0.27103  0.35346  0.44675  0.54619  0.63985  0.70928  0.73561  0.70822  0.63064  0.51989  0.39961  0.29131  0.20847  0.15513  0.12819  0.12086  0.12562  0.13610  0.14845  0.16260  0.18358  0.22257  0.29733  0.43163  0.65234  0.98266  1.43223  1.98945  2.62559  3.31758  4.08594  5.03180  6.34984  8.29870 11.12540 14.96270 19.73900 25.14880 30.70610 35.85880 40.09900 43.01470 44.28550 43.67900 41.10340 36.70460 30.93140 24.48790
 -170.000 -170.000 25.52460 17.60930 11.45880  7.09708  4.24098  2.48503  1.44826  0.84569  0.49470  0.28896  0.16825  0.09763  0.05623  0.03186  0.01783  0.01084  0.00984  0.01574  0.03143  0.06136  0.11041  0.18200  0.27663  0.39198  0.52467  0.67179  0.82970  0.98969  1.13379  1.23573  1.26937  1.22067  1.09602  0.92119  0.73173  0.56059  0.42921  0.34495  0.30371  0.29476  0.30540  0.32449  0.34528  0.36788  0.40131  0.46418  0.58411  0.79576  1.13666  1.63904  2.31767  3.16054  4.13514  5.22072  6.46228  8.02254 10.19740 13.36650 17.87640 23.88630 31.24080 39.43730 47.71690 55.23810 61.23730 65.10630 66.39260 64.80900 60.31560 53.24500 44.35920 34.73990
 -165.000 -165.000 34.04070 23.33950 15.13630  9.37681  5.62881  3.32948  1.96950  1.17536  0.70957  0.43333  0.26739  0.16578  0.10186  0.06092  0.03540  0.02173  0.01906  0.02928  0.05757  0.11192  0.20107  0.33107  0.50225  0.70877  0.94120  1.18954  1.44311  1.68610  1.89310  2.03063  2.06759  1.98953  1.80810  1.55914  1.29069  1.04767  0.86049  0.74082  0.68381  0.67378  0.69094  0.71746  0.74294  0.76884  0.81107  0.89953  1.07476  1.38325  1.87219  2.58129  3.53095  4.71315  6.10078  7.68935  9.56666 11.97930 15.34780 20.19210 26.96280 35.82730 46.50140 58.21860 69.86770 80.23790 88.24190 93.02820 94.00050 90.84870 83.66030 73.06010 60.23070 46.71500
 -160.000 -160.000 43.17600 29.43110 19.01340 11.76030  7.06768  4.20007  2.50973  1.52695  0.95296  0.61158  0.40160  0.26563  0.17272  0.10782  0.06440  0.03980  0.03396  0.05038  0.09758  0.18872  0.33829  0.55631  0.84293  1.18690  1.56885  1.96641  2.35608  2.71055  2.99551  3.17288  3.21229  3.10514  2.87206  2.55880  2.22289  1.91792  1.68154  1.52968  1.45696  1.44217  1.45691  1.47546  1.48420  1.48884  1.51725  1.61606  1.84222  2.25396  2.90456  3.83724  5.07760  6.62824  8.48201 10.67150 13.35070 16.87270 21.79940 28.79610 38.40530 50.76820 65.41760 81.25440 96.74540 110.24700 120.29900 125.78400 125.97700 120.60100 109.96200 95.07710 77.63700 59.69420
 -155.000 -155.000 52.26870 35.42240 22.77100 14.02510  8.40099  4.98751  2.99567  1.85506  1.20021  0.81304  0.56851  0.39876  0.27154  0.17505  0.10664  0.06633  0.05572  0.08070  0.15430  0.29666  0.52998  0.86967  1.31584  1.85006  2.43922  3.04303  3.61898  4.12328  4.51164  4.74570  4.80446  4.69394  4.44792  4.11919  3.76648  3.44286  3.18692  3.01646  2.92557  2.88781  2.86636  2.82867  2.76127  2.68025  2.63341  2.69161  2.93250  3.42536  4.22472  5.37177  6.89639  8.81960 11.17200 14.04750 17.69200 22.58370 29.43340 39.04160 52.01190 68.40990 87.52120 107.85000 127.38400 144.01000 155.88300 161.63700 160.46700 152.21400 137.49500 117.80100 95.36860 72.75930
 -150.000 -150.000 60.63730 40.85540 26.10600 15.96920  9.49168  5.59777  3.36293  2.11606  1.42196  1.01793  0.75465  0.55601  0.39225  0.25880  0.15999  0.10036  0.08432  0.12104  0.22944  0.43834  0.77943  1.27470  1.92422  2.70109  3.55587  4.42647  5.24699  5.95391  6.49338  6.83236  6.96876  6.93202  6.77118  6.53842  6.27858  6.02734  5.81154  5.64465  5.51953  5.40692  5.26587  5.06343  4.79525  4.49892  4.25353  4.16353  4.33229  4.83986  5.73767  7.06000  8.84036 11.12590 14.00140 17.64470 22.41490 28.92830 38.04090 50.66550 67.42220 88.23930 112.08700 137.01100 160.47900 179.89700 193.06400 198.43500 195.22400 183.49500 164.26900 139.54800 112.10000 84.93350
 -145.000 -145.000 67.66200 45.33670 28.77950 17.45110 10.25530  5.97731  3.57300  2.27740  1.58737  1.19633  0.93233  0.71382  0.51674  0.34659  0.21679  0.13781  0.11793  0.17082  0.32278  0.61298  1.08395  1.76489  2.65575  3.72057  4.89292  6.08855  7.21822  8.19981  8.97345  9.51811  9.85865 10.05280 10.16110 10.22060 10.23860 10.20760 10.12180  9.97886  9.76889  9.46661  9.03977  8.47163  7.78539  7.05764  6.41320  5.99946  5.94969  6.35459  7.26008  8.69135 10.68630 13.32370 16.75410 21.25380 27.30740 35.67270 47.33890 63.29780 84.13480 109.57500 138.20400 167.55100 194.54000 216.11000 229.77300 233.91900 227.92800 212.22100 188.29500 158.66600 126.55500 95.29670
 -140.000 -140.000 72.84570 48.57620 30.64340 18.40890 10.67380  6.12304  3.62045  2.32308  1.66869  1.31231  1.06333  0.83734  0.61728  0.41898  0.26496  0.17195  0.15298  0.22762  0.43122  0.81488  1.43311  2.32287  3.48415  4.87250  6.40640  7.98310  9.49540 10.84960 11.98770 12.90800 13.66710 14.34860 15.01240 15.65580 16.21590 16.60600 16.75700 16.63290 16.22010 15.51280 14.51500 13.25990 11.82980 10.36520  9.05095  8.08278  7.62303  7.77058  8.56448 10.02160 12.18650 15.17290 19.20060 24.64840 32.12800 42.53200 56.96170 76.44960 101.49000 131.54200 164.74600 198.07600 227.89600 250.72900 263.89800 265.88100 256.39500 236.35400 207.79600 173.70800 137.63400 103.07800
 -135.000 -135.000 75.87130 50.41720 31.65020 18.85810 10.78860  6.07595  3.53024  2.25625  1.64893  1.33519  1.11148  0.89228  0.66611  0.45642  0.29238  0.19596  0.18533  0.28730  0.54791  1.03186  1.80717  2.92013  4.37284  6.11545  8.05596 10.07980 12.07070 13.93410 15.62480 17.16810 18.65270 20.17800 21.78040 23.38360 24.81060 25.84900 26.32630 26.14940 25.30430 23.83530 21.83400 19.43930 16.84060 14.27130 11.98580 10.22220  9.16033  8.89725  9.46153 10.86330 13.15630 16.49020 21.15190 27.61780 36.61910 49.16840 66.45100 89.49480 118.64600 153.03900 190.32600 226.91300 258.63800 281.67900 293.30100 292.23600 278.69800 254.21500 221.38700 183.59400 144.55200 107.74900
