VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  7.28378  5.29711  3.64116  2.44406  1.67864  1.22503  0.94582  0.73909  0.55586  0.38848  0.24746  0.14229  0.07351  0.03406  0.01413  0.00525  0.00175  0.00052  0.00014  0.00003  0.00001  0.00000  0.00001  0.00002  0.00004  0.00008  0.00015  0.00027  0.00045  0.00073  0.00110  0.00154  0.00203  0.00258  0.00330  0.00452  0.00686  0.01122  0.01863  0.02983  0.04453  0.06092  0.07565  0.08483  0.08563  0.07773  0.06360  0.04774  0.03555  0.03332  0.04995  0.09961  0.20331  0.38665  0.67211  1.06807  1.56065  2.11543  2.69144  3.26230  3.83431  4.45332  5.19604  6.14479  7.34578  8.75877 10.21970 11.44830 12.11980 11.98680 10.99230  9.30992
 -175.000 -175.000 10.25510  7.39988  5.04353  3.34408  2.25460  1.60789  1.21521  0.93534  0.69715  0.48486  0.30807  0.17691  0.09134  0.04230  0.01755  0.00652  0.00217  0.00064  0.00017  0.00004  0.00001  0.00001  0.00003  0.00007  0.00015  0.00029  0.00054  0.00095  0.00159  0.00252  0.00374  0.00519  0.00677  0.00844  0.01039  0.01332  0.01850  0.02777  0.04314  0.06588  0.09530  0.12767  0.15635  0.17370  0.17428  0.15754  0.12848  0.09577  0.06944  0.06024  0.08215  0.15693  0.31729  0.60441  1.05724  1.69621  2.50998  3.45546  4.47504  5.52431  6.59693  7.73453  9.01572 10.52210 12.28340 14.21530 16.07860 17.49990 18.07370 17.51830 15.81200 13.23050
 -170.000 -170.000 13.63920  9.74048  6.56108  4.27663  2.81007  1.93989  1.42136  1.06959  0.78646  0.54296  0.34366  0.19696  0.10159  0.04702  0.01950  0.00724  0.00241  0.00072  0.00019  0.00005  0.00003  0.00005  0.00011  0.00024  0.00051  0.00098  0.00180  0.00310  0.00507  0.00787  0.01152  0.01583  0.02046  0.02515  0.03019  0.03688  0.04766  0.06590  0.09499  0.13679  0.18960  0.24647  0.29565  0.32387  0.32191  0.28925  0.23491  0.17418  0.12400  0.10122  0.12601  0.22883  0.45628  0.86943  1.53066  2.48197  3.72520  5.21753  6.88822  8.67005 10.52960 12.48190 14.57920 16.87130 19.34120 21.83400 24.02100 25.44070 25.63250 24.32330 21.57400 17.79940
 -165.000 -165.000 17.17230 12.11890  8.05150  5.14339  3.27596  2.16991  1.52455  1.11078  0.80041  0.54643  0.34383  0.19646  0.10117  0.04679  0.01940  0.00720  0.00239  0.00071  0.00020  0.00006  0.00006  0.00015  0.00035  0.00078  0.00160  0.00304  0.00543  0.00916  0.01468  0.02234  0.03219  0.04373  0.05601  0.06818  0.08049  0.09515  0.11648  0.15003  0.20078  0.27066  0.35571  0.44416  0.51738  0.55520  0.54417  0.48456  0.39140  0.28904  0.20355  0.15926  0.18291  0.31381  0.61329  1.16549  2.06357  3.38339  5.15610  7.35489  9.90485 12.71180 15.69540 18.80960 22.03660 25.34880 28.64080 31.66090 33.98770 35.09700 34.52480 32.07000 27.93200 22.69840
 -160.000 -160.000 20.52920 14.30910  9.37137  5.86156  3.60925  2.27825  1.51725  1.05691  0.73908  0.49586  0.30910  0.17574  0.09027  0.04169  0.01727  0.00641  0.00213  0.00064  0.00019  0.00010  0.00017  0.00043  0.00103  0.00227  0.00458  0.00856  0.01498  0.02470  0.03869  0.05768  0.08173  0.10966  0.13922  0.16819  0.19640  0.22728  0.26782  0.32629  0.40879  0.51562  0.63837  0.75863  0.85028  0.88677  0.85194  0.74880  0.60041  0.44202  0.31012  0.23705  0.25582  0.41361  0.78601  1.48216  2.63279  4.36126  6.74732  9.79987 13.45140 17.57610 22.02130 26.63670 31.28120 35.79500 39.94200 43.35430 45.53180 45.93620 44.17270 40.18620 34.36840 27.49870
 -155.000 -155.000 23.39160 16.10910 10.40920  6.38402  3.80413  2.28213  1.42637  0.93565  0.62588  0.40848  0.25068  0.14132  0.07226  0.03329  0.01377  0.00511  0.00170  0.00052  0.00019  0.00019  0.00047  0.00119  0.00279  0.00603  0.01199  0.02203  0.03775  0.06089  0.09318  0.13593  0.18909  0.25029  0.31489  0.37804  0.43833  0.50055  0.57497  0.67257  0.79881  0.94903  1.10686  1.24570  1.33340  1.34106  1.25451  1.08320  0.86010  0.63170  0.44453  0.33819  0.35099  0.53664  0.98393  1.82802  3.24319  5.41295  8.48375 12.51780 17.46290 23.15200 29.33080 35.69910 41.93960 47.71260 52.62080 56.17880 57.84160 57.12200 53.77330 47.95590 40.29100 31.74730
 -150.000 -150.000 25.50830 17.37600 11.10110  6.70071  3.88392  2.22235  1.29812  0.79019  0.49601  0.30973  0.18501  0.10269  0.05205  0.02386  0.00985  0.00365  0.00122  0.00040  0.00024  0.00046  0.00120  0.00301  0.00696  0.01476  0.02881  0.05196  0.08726  0.13764  0.20574  0.29336  0.40012  0.52181  0.65016  0.77612  0.89579  1.01485  1.14662  1.30352  1.48682  1.68157  1.85896  1.98358  2.02185  1.95086  1.76712  1.49216  1.17041  0.85802  0.60901  0.46827  0.47811  0.69791  1.22920  2.23454  3.93677  6.58916 10.41660 15.54220 21.92600 29.34020 37.39540 45.60140 53.42750 60.33010 65.74890 69.10610 69.86340 67.65300 62.44280 54.65380 45.14690 35.05430
 -145.000 -145.000 26.72220 18.03310 11.42390  6.82225  3.87938  2.13959  1.17515  0.65926  0.38066  0.22208  0.12657  0.06823  0.03399  0.01543  0.00633  0.00235  0.00081  0.00035  0.00043  0.00109  0.00289  0.00710  0.01607  0.03339  0.06389  0.11297  0.18580  0.28655  0.41824  0.58247  0.77797  0.99819  1.23061  1.46078  1.68078  1.89544  2.11898  2.36149  2.61427  2.84552  3.00975  3.06418  2.98204  2.75894  2.41399  1.98794  1.53757  1.12537  0.80846  0.63395  0.64713  0.91335  1.54827  2.74451  4.77792  7.97637 12.64440 18.95840 26.86900 36.05600 45.95920 55.87050 65.03670 72.72480 78.24820 80.99160 80.48580 76.53870 69.36940 59.66710 48.50960 37.14700
 -140.000 -140.000 26.96580 18.05530 11.37480  6.75793  3.80685  2.05411  1.07890  0.56277  0.29624  0.15757  0.08326  0.04253  0.02046  0.00909  0.00369  0.00138  0.00054  0.00044  0.00095  0.00255  0.00658  0.01573  0.03465  0.07034  0.13164  0.22785  0.36664  0.55261  0.78733  1.07022  1.39808  1.76237  2.14729  2.53342  2.90742  3.26963  3.62927  3.98660  4.31500  4.55964  4.65688  4.56185  4.26644  3.79971  3.21633  2.58320  1.96940  1.43915  1.04714  0.83916  0.86281  1.19126  1.95785  3.38978  5.81955  9.64868 15.25050 22.82920 32.28800 43.17040 54.71190 65.97800 76.01650 83.96060 89.07240 90.77700 88.73650 82.96720 73.93830 62.57490 50.12020 37.88390
 -135.000 -135.000 26.24700 17.45270 10.95690  6.50390  3.65938  1.95960  1.00541  0.49918  0.24278  0.11685  0.05575  0.02610  0.01176  0.00500  0.00200  0.00080  0.00050  0.00084  0.00217  0.00572  0.01423  0.03292  0.07046  0.13928  0.25434  0.43005  0.67616  0.99519  1.38333  1.83408  2.34076  2.89449  3.48006  4.07630  4.66379  5.23212  5.77469  6.26977  6.66358  6.87521  6.82734  6.48406  5.87056  5.06382  4.16461  3.27025  2.46040  1.79554  1.32212  1.08094  1.12151  1.52773  2.45575  4.17275  7.06964 11.61410 18.22610 27.09940 38.04100 50.41400 63.22690 75.33170 85.63110 93.20860 97.37200 97.67070 93.94840 86.43580 75.81720 63.19240 49.90010 37.24790
