VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 18.15850 14.98850 11.46210  8.11856  5.33432  3.26531  1.87796  1.02925  0.54841  0.29044  0.15574  0.08608  0.05151  0.03792  0.03933  0.05418  0.08340  0.12877  0.19154  0.27250  0.37451  0.50523  0.67584  0.89220  1.14121  1.38285  1.55813  1.61345  1.52800  1.32609  1.06602  0.81397  0.61968  0.50610  0.47265  0.50449  0.58130  0.68410  0.80104  0.93103  1.08249  1.26561  1.48141  1.71448  1.93531  2.11316  2.23360  2.31226  2.39794  2.56345  2.88594  3.42111  4.17753  5.10119  6.08041  6.97542  7.66369  8.08214  8.24715  8.24564  8.20702  8.27517  8.59372  9.30072 10.51330 12.28510 14.54360 17.03750 19.34100 20.93780 21.37330 20.41670
 -175.000 -175.000 24.45940 20.25120 15.57770 11.13610  7.41687  4.62832  2.73392  1.55287  0.86509  0.48157  0.27137  0.15731  0.09877  0.07555  0.07799  0.10250  0.14940  0.22028  0.31528  0.43228  0.56999  0.73295  0.93222  1.17606  1.45343  1.72249  1.91829  1.98055  1.88616  1.66410  1.38286  1.12038  0.93628  0.85998  0.89320  1.01792  1.20393  1.41667  1.62717  1.82125  2.00211  2.18364  2.37859  2.58925  2.80644  3.01680  3.21467  3.41420  3.65780  4.01638  4.57551  5.40563  6.52364  7.86382  9.27837 10.57620 11.58790 12.22720 12.52030 12.59080 12.61360 12.77060 13.22990 14.14630 15.65500 17.82720 20.58870 23.64340 26.46340 28.39050 28.83360 27.48670
 -170.000 -170.000 30.81720 25.57070 19.78180 14.27970  9.65055  6.14825  3.73520  2.19920  1.27765  0.74299  0.43651  0.26377  0.17369  0.13885  0.14398  0.18160  0.24994  0.34969  0.47937  0.63292  0.80290  0.98800  1.19672  1.43958  1.71086  1.97415  2.16784  2.23335  2.14924  1.94746  1.70078  1.49226  1.38776  1.42359  1.60617  1.91467  2.30405  2.71381  3.08527  3.38097  3.59504  3.74897  3.87798  4.01729  4.19366  4.42248  4.71020  5.06443  5.51180  6.11365  6.96274  8.14966  9.70786 11.56630 13.54190 15.38730 16.87550 17.88500 18.44000 18.69160 18.85440 19.14290 19.74220 20.81410 22.50190 24.89070 27.91280 31.24780 34.29700 36.29380 36.54020 34.67140
 -165.000 -165.000 36.53040 30.34660 23.60470 17.21160 11.81170  7.68769  4.80255  2.92439  1.76231  1.06211  0.64543  0.40488  0.28011  0.23541  0.24751  0.30217  0.39340  0.52001  0.67912  0.86127  1.05279  1.24510  1.44210  1.65528  1.88623  2.11041  2.27959  2.34689  2.29840  2.16831  2.02771  1.95806  2.02794  2.28144  2.73210  3.35506  4.08197  4.81097  5.43607  5.88329  6.13359  6.22270  6.22363  6.22377  6.30346  6.51771  6.88678  7.40608  8.07828  8.95038 10.12400 11.71710 13.78890 16.27000 18.94370 21.50070 23.64600 25.20660 26.18820 26.75490 27.15110 27.61660 28.34450 29.48900 31.18360 33.51290 36.41870 39.58470 42.39420 44.04000 43.77910 41.22570
 -160.000 -160.000 40.97800 34.04600 26.61970 19.61030 13.66850  9.08414  5.82322  3.65003  2.26455  1.40202  0.87498  0.56850  0.41460  0.36829  0.39564  0.47242  0.58576  0.73169  0.90711  1.10185  1.29879  1.48342  1.65423  1.82179  1.99435  2.16216  2.29731  2.37310  2.38925  2.38343  2.42236  2.58268  2.93534  3.53473  4.40309  5.50703  6.74126  7.94166  8.93272  9.58800  9.87133  9.84202  9.63006  9.39744  9.29637  9.43099  9.83606 10.49040 11.36890 12.50440 14.01220 16.04490 18.69410 21.89530 25.39750 28.82370 31.79830 34.08140 35.64340 36.64810 37.36120 38.04240 38.88380 40.01320 41.52610 43.48070 45.82220 48.26820 50.25440 51.02670 49.88630 46.47960
 -155.000 -155.000 43.75650 36.32640 28.54350 21.24410 15.03220 10.18360  6.67182  4.27577  2.70687  1.70607  1.08665  0.73081  0.56421  0.53184  0.58706  0.69291  0.82727  0.98267  1.15768  1.34574  1.53159  1.69897  1.84225  1.96935  2.09217  2.21424  2.32948  2.43544  2.54990  2.71722  3.00203  3.47944  4.22777  5.31645  6.77632  8.55626 10.49470 12.33890 13.81810 14.73530 15.03320 14.80570 14.26170 13.66220 13.25010 13.18750 13.52540 14.22580 15.23820 16.58730 18.40820 20.89190 24.16260 28.15820 32.58810 36.99970 40.92690 44.05030 46.29360 47.81290 48.89210 49.80950 50.74850 51.78950 52.95590 54.24530 55.59200 56.77510 57.35650 56.73920 54.36710 49.97640
 -150.000 -150.000 44.76580 37.10880 29.29670 22.02240 15.80010 10.87720  7.24248  4.70698  3.01142  1.91491  1.23797  0.86231  0.70786  0.70962  0.80778  0.95155  1.10830  1.26669  1.42866  1.59555  1.75996  1.90975  2.03866  2.15179  2.26139  2.37975  2.51911  2.69988  2.95906  3.35152  3.94689  4.82879  6.09374  7.83293 10.08330 12.76150 15.62400 18.29850 20.38890 21.60750 21.87050 21.31780 20.26130 19.08870 18.15520 17.69390 17.77760 18.35780 19.36780 20.83290 22.91170 25.82990 29.73530 34.55860 39.96170 45.40980 50.33960 54.34580 57.30060 59.35100 60.80130 61.94890 62.96290 63.85820 64.55670 64.96340 64.98740 64.49010 63.22090 60.82890 56.98570 51.56460
 -145.000 -145.000 44.22510 36.58700 29.01330 22.01050 15.97820 11.13130  7.48244  4.88795  3.12915  1.98954  1.29881  0.93816  0.82202  0.87677  1.03127  1.22229  1.40708  1.57031  1.71785  1.86127  2.00553  2.14834  2.28783  2.42888  2.58321  2.76774  3.00705  3.33890  3.81682  4.50916  5.50035  6.89759  8.83058 11.41990 14.70270 18.54240 22.58110 26.28890 29.10930 30.63870 30.75850 29.66690 27.80770 25.73110 23.93690 22.75160 22.28600 22.49340 23.30210 24.74380 26.99620 30.30510 34.82380 40.46090 46.82350 53.29280 59.20850 64.07920 67.72480 70.28200 72.07550 73.42110 74.46920 75.16140 75.30520 74.70120 73.22830 70.84240 67.51530 63.19170 57.81810 51.42900
 -140.000 -140.000 42.62190 35.17880 28.00490 21.41090 15.68080 11.00040  7.41252  4.82440  3.06042  1.92803  1.26407  0.94777  0.88859  1.00708  1.22490  1.47014  1.69199  1.87119  2.01651  2.14933  2.28852  2.44557  2.62868  2.84793  3.11766  3.45873  3.90336  4.49970  5.31299  6.42673  7.95093 10.03380 12.85460 16.56880 21.20220 26.53530 32.05330 37.02130 40.67800 42.47210 42.24060 40.25620 37.13450 33.64140 30.47320 28.08990 26.66680 26.17490 26.54300 27.80300 30.13400 33.77570 38.86140 45.26200 52.52680 59.95980 66.81220 72.51070 76.82020 79.86010 81.96420 83.45910 84.47430 84.88440 84.39860 82.73060 79.74350 75.49310 70.17250 64.01900 57.25000 50.05450
 -135.000 -135.000 40.60660 33.43580 26.69470 20.52350 15.10890 10.61770  7.12433  4.58302  2.85500  1.76575  1.15497  0.89813  0.90083  1.08150  1.35995  1.66081  1.92844  2.14004  2.30530  2.45277  2.61405  2.81607  3.08180  3.43342  3.89456  4.49380  5.27009  6.27766  7.58968  9.30743 11.57820 14.60910 18.64270 23.86890 30.27960 37.52890 44.88840 51.35750 55.91730 57.83460 56.89650 53.47950 48.43130 42.80980 37.58220 33.40060 30.53850 28.99490 28.68910 29.62960 31.96280 35.88720 41.48930 48.59000 56.68540 65.01770 72.76480 79.27750 84.25790 87.78840 90.19000 91.78270 92.67520 92.69810 91.50450 88.76980 84.37370 78.47320 71.45050 63.78260 55.90470 48.12370
