VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  6.79180  4.71314  3.05560  1.85031  1.04661  0.55297  0.27281  0.12559  0.05390  0.02154  0.00800  0.00276  0.00088  0.00026  0.00009  0.00006  0.00012  0.00028  0.00059  0.00116  0.00203  0.00323  0.00464  0.00606  0.00721  0.00789  0.00807  0.00795  0.00792  0.00839  0.00965  0.01171  0.01431  0.01698  0.01924  0.02067  0.02110  0.02062  0.01966  0.01889  0.01910  0.02085  0.02425  0.02870  0.03311  0.03637  0.03800  0.03859  0.03976  0.04384  0.05399  0.07535  0.11759  0.19877  0.34964  0.61750  1.06757  1.77869  2.82981  4.27567  6.11573  8.26809 10.56360 12.76970 14.63660 15.94710 16.54810 16.36140 15.38980 13.72620 11.55920  9.15274
 -175.000 -175.000 10.14230  7.06347  4.61559  2.82845  1.62484  0.87452  0.44062  0.20760  0.09134  0.03747  0.01431  0.00507  0.00167  0.00052  0.00018  0.00016  0.00035  0.00082  0.00175  0.00341  0.00598  0.00949  0.01364  0.01780  0.02119  0.02322  0.02379  0.02350  0.02342  0.02477  0.02836  0.03427  0.04181  0.04974  0.05665  0.06134  0.06319  0.06229  0.05961  0.05687  0.05610  0.05891  0.06566  0.07504  0.08444  0.09119  0.09412  0.09456  0.09619  0.10421  0.12502  0.16795  0.24934  0.39833  0.66262  1.11305  1.84490  2.97268  4.61326  6.85279  9.69997 13.04030 16.61630 20.05480 22.93930 24.89980 25.68400 25.19140 23.47900 20.75360 17.34940 13.67680
 -170.000 -170.000 14.18770  9.90447  6.51555  4.03590  2.35193  1.28808  0.66211  0.31896  0.14375  0.06048  0.02369  0.00862  0.00291  0.00094  0.00038  0.00041  0.00092  0.00216  0.00465  0.00902  0.01580  0.02503  0.03594  0.04691  0.05591  0.06139  0.06313  0.06260  0.06259  0.06619  0.07554  0.09096  0.11081  0.13205  0.15112  0.16491  0.17146  0.17056  0.16410  0.15591  0.15083  0.15286  0.16330  0.17965  0.19643  0.20790  0.21150  0.20996  0.21099  0.22514  0.26466  0.34579  0.49517  0.75823  1.20688  1.94400  3.10375  4.84412  7.32530 10.66560 14.87550 19.78790 25.02140 30.01290 34.12440 36.78860 37.63490 36.55730 33.71690 29.50170 24.45310 19.16800
 -165.000 -165.000 18.69840 13.06330  8.63595  5.39707  3.18460  1.77153  0.92746  0.45608  0.21019  0.09054  0.03636  0.01358  0.00473  0.00160  0.00073  0.00095  0.00219  0.00515  0.01104  0.02137  0.03739  0.05920  0.08498  0.11098  0.13251  0.14601  0.15092  0.15062  0.15151  0.16069  0.18316  0.21987  0.26737  0.31897  0.36665  0.40302  0.42284  0.42446  0.41086  0.38967  0.37118  0.36461  0.37382  0.39497  0.41801  0.43206  0.43215  0.42341  0.42034  0.44257  0.51192  0.65527  0.91402  1.35613  2.08559  3.24600  5.01783  7.60685 11.21570 15.98730 21.91730 28.75900 35.96980 42.75200 48.20130 51.52050 52.21430 50.19740 45.79310 39.64140 32.55270 25.34490
 -160.000 -160.000 23.34470 16.29010 10.79770  6.79139  4.04724  2.28104  1.21331  0.60765  0.28579  0.12588  0.05181  0.01992  0.00721  0.00261  0.00138  0.00199  0.00469  0.01098  0.02349  0.04543  0.07940  0.12565  0.18043  0.23597  0.28264  0.31304  0.32605  0.32858  0.33378  0.35628  0.40655  0.48690  0.59075  0.70486  0.81298  0.89926  0.95131  0.96315  0.93807  0.88930  0.83680  0.79988  0.78873  0.79939  0.81609  0.82073  0.80487  0.77717  0.76226  0.79327  0.90613  1.14291  1.56507  2.26990  3.40141  5.15136  7.75076 11.45120 16.48770 23.00800 30.96580 40.00240 49.38120 58.03970 64.78630 68.58480 68.82640 65.48160 59.09010 50.60410 41.15170 31.79370
 -155.000 -155.000 27.74470 19.29750 12.79160  8.07322  4.84379  2.75717  1.48554  0.75575  0.36218  0.16323  0.06922  0.02775  0.01069  0.00427  0.00257  0.00387  0.00901  0.02101  0.04486  0.08664  0.15137  0.23959  0.34451  0.45185  0.54392  0.60714  0.63947  0.65361  0.67375  0.72688  0.83250  0.99538  1.20409  1.43493  1.65795  1.84249  1.96226  2.00115  1.95962  1.85771  1.73050  1.61528  1.53588  1.49280  1.46584  1.42902  1.36984  1.30149  1.26139  1.30004  1.47183  1.83894  2.48894  3.55577  5.23122  7.76078 11.42570 16.51350 23.26880 31.81080 42.01100 53.36290 64.91180 75.32580 83.13730 87.09770 86.51880 81.46740 72.74050 61.63910 49.63000 38.02060
 -150.000 -150.000 31.51640 21.80530 14.41600  9.10104  5.47861  3.13866  1.70774  0.88097  0.43065  0.19990  0.08870  0.03813  0.01627  0.00740  0.00483  0.00694  0.01562  0.03609  0.07689  0.14843  0.25941  0.41119  0.59301  0.78170  0.94849  1.07124  1.14667  1.19563  1.25786  1.37783  1.58786  1.89621  2.28458  2.71410  3.13430  3.49106  3.73412  3.82742  3.76195  3.56395  3.28994  3.00660  2.76407  2.57767  2.42908  2.28719  2.13610  1.99347  1.90989  1.95430  2.20206  2.73993  3.68816  5.22544  7.59906 11.11200 16.09080 22.83980 31.57810 42.34690 54.88380 68.49540 81.99870 93.81610 102.25600 105.92300 104.10800 97.01870 85.73220 71.90060 57.31720 43.51350
 -145.000 -145.000 34.33790 23.59120 15.51830  9.77092  5.88236  3.38151  1.85468  0.97149  0.48817  0.23771  0.11400  0.05485  0.02690  0.01392  0.00924  0.01169  0.02452  0.05577  0.11847  0.22881  0.40060  0.63717  0.92405  1.22851  1.50936  1.73476  1.89994  2.03518  2.19841  2.45475  2.85168  3.40120  4.07570  4.81591  5.54293  6.16843  6.60492  6.78283  6.67357  6.30715  5.76875  5.16978  4.60586  4.12511  3.72457  3.37553  3.06073  2.80032  2.65386  2.70498  3.04883  3.79948  5.11642  7.23172 10.45570 15.15080 21.67970 30.33730 41.27070 54.38250 69.21610 84.85320 99.88710 112.54700 121.00700 123.82200 120.34600 110.96900 97.05270 80.56730 63.58550 47.81520
 -140.000 -140.000 36.01380 24.54010 16.03380 10.04730  6.03628  3.47763  1.92608  1.03299  0.54428  0.28770  0.15556  0.08640  0.04861  0.02762  0.01780  0.01878  0.03513  0.07773  0.16454  0.31837  0.55979  0.89631  1.31268  1.76975  2.21657  2.61295  2.95231  3.27253  3.64743  4.16088  4.87430  5.80196  6.90396  8.09479  9.25758 10.25640 10.95090 11.22250 11.01280 10.35440  9.37125  8.23947  7.12561  6.13575  5.30217  4.61011  4.04339  3.61924  3.39635  3.46310  3.92849  4.93381  6.68294  9.46891 13.67100 19.71110 27.97530 38.71890 51.96780 67.42270 84.37380 101.64800 117.63400 130.44200 138.22500 139.60700 134.09700 122.30700 105.86000 86.98820 67.96730 50.61290
 -135.000 -135.000 36.53400 24.68420 16.01150  9.98032  5.98452  3.46396  1.95343  1.09348  0.62437  0.37234  0.23200  0.14694  0.09117  0.05451  0.03369  0.02923  0.04645  0.09826  0.20695  0.40217  0.71302  1.15540  1.72025  2.37097  3.05530  3.72946  4.38361  5.05571  5.82466  6.78313  8.00005  9.48887 11.19410 12.99680 14.72890 16.18910 17.16560 17.47790 17.03350 15.87530 14.18460 12.22870 10.27470  8.51451  7.03699  5.85257  4.94598  4.32165  4.02206  4.12520  4.74355  6.04203  8.27060 11.78690 17.04110 24.51030 34.59050 47.47010 63.01200 80.66470 99.42200 117.84000 134.13500 146.38000 152.82500 152.28400 144.50300 130.33800 111.64000 90.81980 70.26510 51.82120
