VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 11.32340  7.48234  4.63348  2.71157  1.51478  0.81472  0.42322  0.21149  0.10089  0.04591  0.02056  0.01006  0.00630  0.00510  0.00454  0.00391  0.00315  0.00252  0.00259  0.00443  0.01022  0.02384  0.05109  0.09849  0.17017  0.26330  0.36488  0.45317  0.50526  0.50801  0.46619  0.40251  0.34908  0.33452  0.37238  0.45507  0.55552  0.63671  0.66636  0.63033  0.53777  0.41531  0.29437  0.19953  0.14320  0.12676  0.14422  0.18531  0.23750  0.28890  0.33311  0.37566  0.43959  0.56778  0.82166  1.27768  2.02482  3.16445  4.80928  7.07187 10.03170 13.68000 17.85950 22.23120 26.29460 29.46820 31.20940 31.14770 29.19810 25.61780 20.96870 15.97560
 -175.000 -175.000 16.00900 10.54720  6.52377  3.81756  2.13293  1.14663  0.59481  0.29689  0.14209  0.06604  0.03188  0.01859  0.01449  0.01344  0.01259  0.01100  0.00880  0.00668  0.00571  0.00763  0.01559  0.03519  0.07470  0.14344  0.24716  0.38164  0.52810  0.65538  0.73088  0.73606  0.67788  0.58856  0.51326  0.49192  0.54316  0.65628  0.79386  0.90518  0.94623  0.89781  0.77239  0.60634  0.44304  0.31744  0.24880  0.24153  0.28892  0.37602  0.48181  0.58375  0.66670  0.73463  0.82105  0.99432  1.35669  2.03896  3.19436  4.99321  7.61409 11.21950 15.90180 21.59970 28.01290 34.56370 40.44980 44.79110 46.83000 46.12710 42.69590 37.03400 30.02200 22.70290
 -170.000 -170.000 21.38370 14.02300  8.64286  5.04030  2.80387  1.49836  0.77170  0.38296  0.18401  0.08886  0.04848  0.03498  0.03262  0.03286  0.03165  0.02787  0.02225  0.01644  0.01251  0.01313  0.02262  0.04825  0.10077  0.19216  0.32965  0.50738  0.70062  0.86890  0.97035  0.98170  0.91255  0.80458  0.71542  0.69527  0.76682  0.91554  1.09368  1.23737  1.29161  1.23259  1.07598  0.86749  0.66261  0.50790  0.43197  0.44521  0.54224  0.70325  0.89567  1.08101  1.22966  1.34064  1.45982  1.69082  2.19589  3.18816  4.91787  7.65375 11.65610 17.12990 24.14620 32.53220 41.76850 50.95780 58.92250 64.43320 66.50650 64.67180 59.12220 50.69720 40.68850 30.51710
 -165.000 -165.000 27.18160 17.72760 10.87080  6.30241  3.47798  1.83850  0.93492  0.45946  0.22260  0.11484  0.07435  0.06604  0.06958  0.07337  0.07172  0.06348  0.05071  0.03702  0.02639  0.02295  0.03222  0.06298  0.12801  0.24142  0.41142  0.63038  0.86832  1.07715  1.20804  1.23493  1.17056  1.06469  0.98445  0.98702  1.09651  1.29348  1.52030  1.70158  1.77307  1.70714  1.52213  1.27192  1.02359  0.83670  0.75257  0.79183  0.95392  1.21512  1.52907  1.83647  2.08736  2.27162  2.44839  2.76599  3.46719  4.87844  7.38251 11.37530 17.20650 25.10070 35.05200 46.70030 59.22780 71.35020 81.46830 87.98570 89.70840 86.18690 77.87740 66.05550 52.50090 39.05270
 -160.000 -160.000 33.12650 21.49330 13.11150  7.55026  4.12517  2.14991  1.07490  0.52189  0.25732  0.14691  0.11573  0.12109  0.13721  0.14825  0.14616  0.12994  0.10408  0.07581  0.05241  0.04029  0.04640  0.08073  0.15755  0.29242  0.49402  0.75305  1.03559  1.28860  1.45968  1.52258  1.49357  1.42805  1.39832  1.46373  1.64610  1.91913  2.21516  2.44820  2.54580  2.47667  2.26094  1.95961  1.65154  1.41184  1.29922  1.35015  1.57360  1.94458  2.40298  2.86641  3.26087  3.56361  3.84682  4.31056  5.29583  7.27017 10.77960 16.36740 24.46670 35.28100 48.65740 63.96680 80.02580 95.12570 107.24300 114.43800 115.35000 109.61000 98.00750 82.31960 64.85700 47.88550
 -155.000 -155.000 38.93800 25.17250 15.29790  8.75969  4.74073  2.43476  1.19525  0.57376  0.29181  0.18974  0.17912  0.20893  0.24649  0.26999  0.26784  0.23930  0.19274  0.14101  0.09660  0.06944  0.06839  0.10465  0.19373  0.35252  0.59015  0.89632  1.23472  1.54995  1.78895  1.92706  1.98362  2.01668  2.09913  2.28780  2.59846  2.99528  3.39868  3.71054  3.84861  3.77628  3.51422  3.13059  2.71839  2.37301  2.17694  2.18910  2.43368  2.88897  3.48463  4.11779  4.69148  5.16978  5.63730  6.34909  7.75502 10.48120 15.25390 22.76610 33.51040 47.61290 64.69710 83.79380 103.31300 121.12700 134.83600 142.22700 141.84300 133.46000 118.24200 98.48950 77.03610 56.54270
 -150.000 -150.000 44.27690 28.58850 17.35450  9.91026  5.32921  2.70526  1.30761  0.62344  0.33129  0.24652  0.26689  0.33203  0.40055  0.44266  0.44183  0.39747  0.32301  0.23885  0.16464  0.11528  0.10248  0.13933  0.24336  0.43368  0.72128  1.09647  1.52238  1.94286  2.30484  2.58443  2.80134  3.01240  3.28711  3.67659  4.18798  4.77322  5.33712  5.76458  5.95841  5.87256  5.52661  4.99781  4.39858  3.85220  3.47290  3.34914  3.52640  3.99229  4.67361  5.45532  6.22493  6.93757  7.69101  8.79486 10.80910 14.52030 20.83030 30.56070 44.21700 61.78040 82.57960 105.25400 127.80500 147.74000 162.37800 169.34800 167.19600 155.90200 137.02200 113.34500 88.16210 64.45040
 -145.000 -145.000 48.69560 31.48450 19.15140 10.94940  5.87885  2.96685  1.42118  0.67768  0.37802  0.31480  0.37233  0.48023  0.58716  0.65390  0.65777  0.59775  0.49243  0.37061  0.26022  0.18253  0.15363  0.19026  0.31401  0.54896  0.91112  1.39474  1.96484  2.56489  3.13935  3.65992  4.14019  4.62990  5.19157  5.86927  6.66097  7.50435  8.28382  8.86001  9.11288  8.98127  8.48265  7.70771  6.79700  5.91180  5.20706  4.80722  4.78420  5.14125  5.81182  6.68133  7.63465  8.62737  9.77410 11.43690 14.27840 19.23070 27.34270 39.51690 56.20610 77.17340 101.39300 127.09300 151.90100 173.05500 187.73500 193.55600 189.19300 174.89500 152.59400 125.48800 97.20100 70.89980
 -140.000 -140.000 51.68050 33.53620 20.50170 11.78150  6.34897  3.20712  1.53458  0.73629  0.42794  0.38421  0.47773  0.62879  0.77657  0.87254  0.88741  0.81848  0.68783  0.53110  0.38410  0.27535  0.22750  0.26388  0.41388  0.71091  1.18128  1.82838  2.62269  3.50697  4.41774  5.31251  6.18760  7.07685  8.03133  9.08753 10.23480 11.39500 12.42680 13.15860 13.43960 13.18970 12.42650 11.26270  9.87940  8.48761  7.29118  6.45461  6.07833  6.18512  6.72350  7.59224  8.68842  9.98073 11.60760 13.98200 17.85670 24.28080 34.40290 49.13940 68.81180 92.89440 119.96500 147.85000 173.87000 195.11800 208.79600 212.68400 205.72300 188.49300 163.27400 133.54700 103.10200 75.13350
 -135.000 -135.000 52.81030 34.45380 21.21920 12.29720  6.68187  3.39898  1.63567  0.79166  0.47142  0.43895  0.55880  0.74459  0.92883  1.05615  1.09135  1.02815  0.88818  0.70976  0.53404  0.39711  0.33088  0.36955  0.55528  0.93654  1.55636  2.43394  3.54975  4.84541  6.24235  7.67108  9.09623 10.52420 11.98830 13.51510 15.08350 16.59540 17.87710 18.71780 18.93290 18.42690 17.22870 15.48930 13.44640 11.37290  9.52621  8.10943  7.24761  6.98123  7.27701  8.05558  9.23798 10.81810 12.96660 16.14790 21.19040 29.22710 41.45020 58.71720 81.14270 107.85400 137.01300 166.07100 192.12700 212.26200 223.87000 225.07500 215.22800 195.30100 167.86500 136.54300 105.09600 76.56970
