VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 47.17440 36.11190 25.94680 17.57670 11.30200  6.96330  4.16096  2.44714  1.43942  0.86022  0.53122  0.34986  0.26352  0.24687  0.28426  0.35797  0.44357  0.51287  0.54223  0.52107  0.45510  0.36234  0.26456  0.17922  0.11576  0.07638  0.05907  0.06057  0.07774  0.10764  0.14739  0.19428  0.24625  0.30193  0.36030  0.42053  0.48306  0.55092  0.62903  0.71944  0.81463  0.89443  0.93132  0.90325  0.80631  0.65876  0.49403  0.34783  0.24784  0.21046  0.24324  0.34836  0.52403  0.76583  1.07309  1.46524  2.00774  2.84155  4.20363  6.42362  9.88268 14.92890 21.76030 30.30250 40.11590 50.36120 59.84890 67.19880 71.11950 70.76450 66.03920 57.70270
 -175.000 -175.000 66.70330 50.76930 36.30850 24.50450 15.71060  9.66014  5.77177  3.40871  2.02976  1.24202  0.79380  0.54250  0.41776  0.38828  0.43570  0.53747  0.66010  0.76345  0.81252  0.78992  0.70129  0.57057  0.42854  0.30142  0.20500  0.14496  0.12069  0.12918  0.16689  0.22986  0.31341  0.41242  0.52191  0.63684  0.75104  0.85679  0.94690  1.01845  1.07466  1.12147  1.15983  1.17981  1.16255  1.09064  0.96038  0.78775  0.60450  0.44800  0.35182  0.34170  0.43595  0.64606  0.97548  1.41999  1.97772  2.67524  3.60841  4.98636  7.15971 10.61170 15.89390 23.50070 33.69590 46.32940 60.69730 75.49750 88.92910 98.96810 103.81000 102.38300 94.74440 82.14660
 -170.000 -170.000 87.71530 66.29840 47.14040 31.66570 20.22710 12.40680  7.41225  4.39954  2.65739  1.67038  1.10905  0.78889  0.62189  0.57223  0.62114  0.74371  0.89962  1.03790  1.11187  1.09551  0.99173  0.82810  0.64340  0.47330  0.34188  0.26082  0.23333  0.25872  0.33450  0.45647  0.61820  0.81131  1.02597  1.25026  1.46852  1.66152  1.81085  1.90619  1.94965  1.95232  1.92405  1.86424  1.76142  1.60290  1.38793  1.13572  0.88348  0.67734  0.56266  0.57882  0.75774  1.12204  1.68099  2.43002  3.36545  4.52321  6.03822  8.20571 11.51590 16.63340 24.29980 35.15490 49.49630 67.02830 86.67540 106.54300 124.09900 136.60300 141.74900 138.34500 126.75700 108.90400
 -165.000 -165.000 107.74200 80.78390 57.05560 38.11900 24.24960 14.83730  8.86793  5.29668  3.25333  2.10912  1.46214  1.08795  0.88166  0.80422  0.83931  0.96429  1.13742  1.30161  1.40089  1.39989  1.29551  1.11469  0.90098  0.69838  0.54036  0.44710  0.42875  0.48978  0.63120  0.85034  1.14006  1.48857  1.87909  2.28803  2.68332  3.02681  3.28333  3.43275  3.47628  3.43089  3.31505  3.13639  2.89079  2.57319  2.19246  1.78013  1.38837  1.08003  0.91772  0.95747  1.24623  1.81837  2.68945  3.85516  5.31171  7.10912  9.43141 12.67560 17.48900 24.72870 35.31940 50.01120 69.06780 91.95120 117.10400 141.94400 163.15400 177.31100 181.72500 175.26000 158.78400 135.01300
 -160.000 -160.000 124.24000 92.33490 64.73630 43.00170 27.24410 16.63610  9.95701  5.99526  3.75662  2.52473  1.83923  1.44058  1.20714  1.09670  1.09819  1.19733  1.35900  1.52782  1.64380  1.66357  1.57555  1.40137  1.18470  0.97493  0.81442  0.73341  0.75155  0.88130  1.12973  1.49820  1.98116  2.56480  3.22396  3.91794  4.58895  5.16944  5.59915  5.84371  5.90186  5.79568  5.55120  5.18427  4.70152  4.11401  3.45235  2.77340  2.15508  1.68366  1.44165  1.50138  1.92318  2.75201  4.01016  5.69663  7.81338 10.43330 13.80030 18.42300 25.10800 34.88960 48.83300 67.72480 91.69450 119.85500 150.08100 179.06900 202.77900 217.24800 219.62400 209.05600 187.08600 157.28200
 -155.000 -155.000 135.25000 99.58780 69.29430 45.76950 28.89500 17.62640 10.58050  6.43715  4.13114  2.89566  2.23129  1.84906  1.60954  1.46595  1.41456  1.45558  1.56928  1.71098  1.82386  1.86047  1.80100  1.65903  1.47418  1.29747  1.17793  1.15547  1.25993  1.51274  1.92804  2.51293  3.26659  4.17651  5.21020  6.30559  7.36947  8.29237  8.97756  9.36824  9.45549  9.26287  8.82220  8.15996  7.30266  6.29293  5.20170  4.12769  3.18511  2.48724  2.13408  2.20868  2.77884  3.89646  5.59160  7.87300 10.75960 14.36030 18.98920 25.26620 34.13780 46.76750 64.28120 87.39480 115.98900 148.73600 182.91300 214.56300 239.08800 252.24400 251.29200 235.89400 208.36300 173.07600
 -150.000 -150.000 139.85200 102.02600 70.47570 46.31850 29.17040 17.80310 10.73780  6.61821  4.36831  3.21091  2.62764  2.30566  2.08625  1.91607  1.79968  1.75616  1.78762  1.86746  1.94921  1.98756  1.95859  1.86919  1.75356  1.66151  1.64583  1.75374  2.02309  2.48138  3.14670  4.03047  5.13863  6.46521  7.97526  9.58560 11.16100 12.53810 13.56950 14.16270 14.29010 13.96930 13.23590 12.13370 10.72480  9.10614  7.41268  5.80329  4.43723  3.45339  2.96072  3.04125  3.75965  5.16912  7.30931 10.20890 13.92020 18.60470 24.65370 32.78560 44.04310 59.63910 80.64920 107.59600 140.00800 176.07500 212.53000 244.92700 268.37500 278.66000 273.43100 253.02500 220.51900 180.93400
 -145.000 -145.000 138.30300 100.02900 68.66260 44.96360 28.29530 17.30870 10.50820  6.57445  4.47518  3.45719  3.00035  2.77362  2.59908  2.41571  2.23599  2.09853  2.02889  2.02148  2.04529  2.06430  2.05821  2.03327  2.02130  2.07099  2.23715  2.57136  3.11447  3.89236  4.91777  6.19904  7.74731  9.56858 11.63470 13.84870 16.03370 17.96400 19.42580 20.27190 20.43840 19.92580 18.77390 17.05570 14.89200 12.46150  9.98873  7.70916  5.83142  4.51288  3.85660  3.92654  4.77015  6.43506  8.97356 12.44760 16.96240 22.74940 30.28020 40.34570 54.02030 72.46370 96.57560 126.56900 161.55800 199.27800 236.05900 267.21600 287.87600 294.15200 284.29000 259.34800 223.05500 180.82300
 -140.000 -140.000 131.86700 94.69660 64.71350 42.31310 26.66300 16.37500 10.01480  6.35910  4.45820  3.60572  3.29247  3.17617  3.06318  2.88560  2.66199  2.44647  2.28344  2.18560  2.13895  2.12302  2.13048  2.17638  2.29737  2.54528  2.97860  3.65181  4.60287  5.84460  7.36900  9.16673 11.24650 13.62880 16.30400 19.17500 22.03180 24.58260 26.53130 27.65220 27.82330 27.01780 25.28550 22.74990 19.61920 16.18290 12.77560  9.71906  7.26802  5.58444  4.74585  4.77816  5.69644  7.53617 10.36660 14.29750 19.50700 26.31270 35.26390 47.18960 63.12090 84.05490 110.59700 142.56400 178.64700 216.22900 251.45100 279.67400 296.34400 298.12600 283.95700 255.54900 217.06400 174.02600
 -135.000 -135.000 122.45100 87.53740 59.72450 39.10050 24.72570 15.25880  9.38892  6.02457  4.31628  3.61381  3.42709  3.41135  3.36457  3.21466  2.98298  2.73087  2.51172  2.34912  2.24390  2.19503  2.21635  2.34174  2.62229  3.12111  3.90638  5.03787  6.54710  8.42250 10.61720 13.08400 15.81400 18.83820 22.17290 25.73590 29.29470 32.49060 34.92860 36.27980 36.34550 35.07120 32.53660 28.95000 24.64150 20.03530 15.58600 11.69680  8.65343  6.60158  5.57077  5.52938  6.44696  8.34244 11.30730 15.51260 21.22730 28.86680 39.05230 52.61340 70.46570 93.34710 121.47700 154.23600 189.94000 225.77200 257.92800 282.09300 294.26000 291.77300 274.22500 243.81100 204.86800 162.75000
