VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  4.22405  2.67467  1.59268  0.89103  0.46734  0.22907  0.10454  0.04425  0.01733  0.00628  0.00211  0.00067  0.00022  0.00012  0.00018  0.00037  0.00078  0.00152  0.00272  0.00447  0.00675  0.00935  0.01196  0.01421  0.01589  0.01702  0.01794  0.01933  0.02202  0.02680  0.03409  0.04365  0.05467  0.06623  0.07830  0.09306  0.11598  0.15585  0.22270  0.32320  0.45521  0.60549  0.75402  0.88397  0.99025  1.07858  1.15442  1.21097  1.22822  1.18648  1.08483  0.95072  0.83471  0.79644  0.89360  1.18146  1.72049  2.58220  3.84225  5.55511  7.71434 10.21240 12.81940 15.20060 16.97890 17.83030 17.58000 16.26050 14.10370 11.47210  8.75487  6.27314
 -175.000 -175.000  8.23616  5.30665  3.21254  1.82362  0.96802  0.47894  0.22016  0.09379  0.03701  0.01357  0.00467  0.00155  0.00056  0.00035  0.00053  0.00109  0.00226  0.00434  0.00773  0.01265  0.01906  0.02648  0.03405  0.04080  0.04606  0.04982  0.05295  0.05719  0.06484  0.07809  0.09804  0.12392  0.15294  0.18144  0.20692  0.23052  0.25881  0.30370  0.37922  0.49503  0.64875  0.82266  0.98924  1.12472  1.22155  1.28939  1.34238  1.38313  1.39836  1.37185  1.30590  1.23572  1.22847  1.37144  1.76117  2.50194  3.71101  5.51817  8.04502 11.35760 15.40140 19.94370 24.55390 28.64870 31.60440 32.91150 32.31710 29.90210 26.05990 21.38730 16.52760 12.02540
 -170.000 -170.000 14.99950  9.79629  6.00394  3.44369  1.84302  0.91767  0.42412  0.18181  0.07245  0.02705  0.00963  0.00340  0.00137  0.00096  0.00145  0.00295  0.00597  0.01132  0.01992  0.03243  0.04879  0.06795  0.08789  0.10623  0.12117  0.13243  0.14192  0.15379  0.17373  0.20724  0.25712  0.32118  0.39179  0.45829  0.51160  0.54919  0.57806  0.61417  0.67728  0.78176  0.92677  1.09199  1.24448  1.35553  1.41681  1.44333  1.45980  1.48147  1.50629  1.52683  1.55458  1.64094  1.88367  2.42031  3.41815  5.06872  7.58349 11.17590 16.01260 22.13150 29.34500 37.17240 44.84340 51.40130 55.89430 57.60230 56.22200 51.94620 45.41120 37.53660 29.31270 21.60100
 -165.000 -165.000 25.47650 16.79890 10.38150  5.99445  3.22478  1.61262  0.74893  0.32355  0.13086  0.05026  0.01880  0.00718  0.00320  0.00243  0.00368  0.00727  0.01439  0.02687  0.04674  0.07557  0.11349  0.15847  0.20627  0.25161  0.29012  0.32056  0.34653  0.37692  0.42453  0.50201  0.61583  0.76078  0.91863  1.06337  1.17141  1.23182  1.25155  1.25327  1.26625  1.31312  1.39753  1.49968  1.58513  1.62449  1.61219  1.57068  1.53633  1.53858  1.59031  1.69985  1.89950  2.27531  2.98459  4.25756  6.38787  9.71660 14.60390 21.37120 30.20040 40.99930 53.27610 66.08850 78.11900 87.89030 94.06870 95.76360 92.72330 85.37350 74.70160 62.04300 48.82430 36.32210
 -160.000 -160.000 40.28390 26.71830 16.59180  9.61660  5.18948  2.60415  1.21643  0.53158  0.21990  0.08796  0.03511  0.01463  0.00718  0.00571  0.00851  0.01637  0.03172  0.05821  0.10002  0.16056  0.24068  0.33706  0.44181  0.54428  0.63479  0.70933  0.77359  0.84478  0.94900  1.11279  1.35001  1.64972  1.97312  2.26452  2.47249  2.57039  2.56545  2.49284  2.39860  2.31940  2.26729  2.22655  2.16604  2.06181  1.91690  1.76477  1.65452  1.63017  1.72278  1.96601  2.43198  3.27333  4.75576  7.27117 11.32720 17.50910 26.40070 38.44850 53.76780 71.93570 91.85420 111.77900 129.56100 143.05100 150.55400 151.17100 144.92700 132.68100 115.91500 96.46240 76.25640 57.07010
 -155.000 -155.000 59.19960 39.37040 24.50160 14.22670  7.69372  3.87617  1.82601  0.81204  0.34714  0.14663  0.06314  0.02869  0.01515  0.01236  0.01797  0.03366  0.06390  0.11533  0.19574  0.31204  0.46711  0.65661  0.86750  1.08025  1.27512  1.44124  1.58571  1.73836  1.94772  2.26466  2.71648  3.28272  3.88924  4.42937  4.80456  4.96262  4.91276  4.71207  4.43413  4.13717  3.84565  3.55119  3.23141  2.87611  2.50572  2.17085  1.93524  1.85759  1.99041  2.40521  3.24086  4.76256  7.41433 11.84770 18.90770 29.55400 44.69030 64.88830 90.04350 119.07000 149.79800 179.19700 203.92400 221.04200 228.64700 226.16900 214.29700 194.63600 169.32900 140.77700 111.43800 83.61860
 -150.000 -150.000 80.75680 53.72310 33.44580 19.43620 10.53590  5.33965  2.54844  1.16262  0.51951  0.23426  0.10912  0.05344  0.02973  0.02441  0.03456  0.06318  0.11770  0.20923  0.35121  0.55663  0.83312  1.17706  1.56948  1.97751  2.36377  2.70286  2.99950  3.30001  3.68665  4.24875  5.03564  6.01324  7.05363  7.97273  8.60156  8.85127  8.73604  8.34616  7.79415  7.16652  6.50285  5.80540  5.06830  4.30747  3.57401  2.94491  2.50157  2.31683  2.46742  3.07689  4.38336  6.82084 11.09780 18.24630 29.60100 46.65490 70.73960 102.52800 141.46100 185.32400 230.25100 271.31000 303.56800 323.26100 328.59700 319.88800 299.05400 268.86200 232.31400 192.39700 152.04500 114.04600
 -145.000 -145.000 102.20800 67.90340 42.25070 24.57510 13.37240  6.84091  3.32820  1.57186  0.74139  0.35847  0.17941  0.09312  0.05356  0.04380  0.06040  0.10809  0.19820  0.34795  0.57910  0.91458  1.37170  1.95189  2.63115  3.35830  4.06746  4.70543  5.26553  5.81116  6.46963  7.38477  8.63877 10.18100 11.81180 13.24390 14.21630 14.59450 14.40050 13.76630 12.84940 11.76540 10.56850  9.27667  7.91389  6.54204  5.26236  4.19051  3.42830  3.05972  3.18579  3.99451  5.85553  9.42986 15.78040 26.44680 43.41320 68.86830 104.67200 151.54000 208.16200 270.63800 332.69400 386.84100 426.18600 446.21700 445.75500 426.72900 392.99900 348.97600 298.71700 245.76300 193.36800 144.62400
 -140.000 -140.000 120.04800 79.57860 49.48510 28.83930 15.79330  8.19319  4.09173  2.01690  1.00935  0.52152  0.27684  0.14978  0.08785  0.07115  0.09574  0.16834  0.30505  0.53098  0.87954  1.38934  2.09514  3.01119  4.11218  5.32384  6.53732  7.65162  8.63148  9.55118 10.59010 11.96090 13.79060 16.01260 18.34450 20.38130 21.75880 22.29400 22.01910 21.10710 19.75280 18.09050 16.18400 14.07450 11.83830  9.61270  7.57522  5.89429  4.69242  4.05715  4.10793  5.10306  7.56814 12.43890 21.20830 36.03020 59.66890 95.13510 144.87500 209.55800 286.80100 370.48200 451.26500 518.54500 563.24100 580.30700 569.79900 536.06300 485.63800 425.04000 359.53300 293.10000 229.05100 170.46700
 -135.000 -135.000 131.00300 86.62270 53.86880 31.51510 17.42910  9.21695  4.75519  2.45853  1.30408  0.71317  0.39569  0.22009  0.13039  0.10436  0.13746  0.23853  0.42921  0.74454  1.23403  1.95972  2.98487  4.34835  6.03050  7.93022  9.87838 11.69910 13.30100 14.75180 16.27990 18.17490 20.61880 23.53690 26.56900 29.19780 30.96630 31.65160 31.29580 30.09890 28.26810 25.93110 23.15030 20.00130 16.64240 13.32340 10.32760  7.88920  6.14778  5.18128  5.11459  6.27163  9.34267 15.56260 26.89520 46.16310 76.97160 123.19600 187.85300 271.44000 370.24000 475.52400 574.48800 653.13800 700.21700 710.50000 685.88400 633.82600 564.09800 485.65300 404.99600 326.36100 252.77000 186.87600
