VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  5.50638  3.73934  2.32851  1.32874  0.69477  0.33306  0.14664  0.05959  0.02277  0.00885  0.00451  0.00392  0.00464  0.00559  0.00621  0.00621  0.00557  0.00447  0.00321  0.00206  0.00118  0.00061  0.00029  0.00013  0.00010  0.00019  0.00049  0.00123  0.00279  0.00567  0.01034  0.01692  0.02483  0.03266  0.03849  0.04064  0.03845  0.03260  0.02476  0.01686  0.01029  0.00565  0.00281  0.00130  0.00065  0.00047  0.00059  0.00100  0.00192  0.00376  0.00721  0.01323  0.02306  0.03839  0.06189  0.09852  0.15799  0.25919  0.43609  0.74335  1.25615  2.05781  3.21115  4.71841  6.48447  8.30371  9.88591 10.92350 11.18310 10.58730  9.25002  7.44331
 -175.000 -175.000  8.32358  5.66722  3.54618  2.03848  1.07673  0.52322  0.23459  0.09781  0.03901  0.01664  0.01010  0.01011  0.01253  0.01525  0.01697  0.01698  0.01522  0.01221  0.00877  0.00563  0.00324  0.00167  0.00078  0.00036  0.00026  0.00046  0.00116  0.00284  0.00636  0.01284  0.02331  0.03803  0.05569  0.07317  0.08622  0.09109  0.08628  0.07328  0.05582  0.03814  0.02340  0.01293  0.00651  0.00313  0.00168  0.00136  0.00174  0.00281  0.00501  0.00933  0.01736  0.03132  0.05395  0.08875  0.14068  0.21802  0.33592  0.52252  0.82771  1.33158  2.14489  3.39110  5.16305  7.46110 10.13610 12.86970 15.21790 16.71830 17.03130 16.05960 13.99220 11.24520
 -170.000 -170.000 11.77540  8.03131  5.04524  2.91936  1.55743  0.76776  0.35138  0.15108  0.06354  0.03018  0.02154  0.02385  0.03043  0.03726  0.04150  0.04154  0.03723  0.02987  0.02145  0.01378  0.00793  0.00409  0.00192  0.00088  0.00061  0.00103  0.00250  0.00600  0.01324  0.02645  0.04768  0.07740  0.11298  0.14818  0.17451  0.18451  0.17510  0.14916  0.11410  0.07840  0.04847  0.02707  0.01389  0.00697  0.00414  0.00372  0.00482  0.00736  0.01217  0.02130  0.03811  0.06725  0.11443  0.18646  0.29221  0.44490  0.66666  0.99628  1.50074  2.28712  3.50451  5.32044  7.86107 11.12340 14.89290 18.71520 21.95990 23.97840 24.30570 22.82730 19.83020 15.91050
 -165.000 -165.000 15.53020 10.60020  6.68043  3.89052  2.09799  1.05158  0.49336  0.22024  0.09869  0.05259  0.04305  0.05109  0.06634  0.08151  0.09085  0.09093  0.08152  0.06541  0.04697  0.03018  0.01737  0.00898  0.00422  0.00198  0.00138  0.00220  0.00508  0.01181  0.02547  0.05006  0.08922  0.14368  0.20866  0.27292  0.32118  0.33995  0.32353  0.27687  0.21314  0.14770  0.09232  0.05236  0.02757  0.01462  0.00962  0.00947  0.01237  0.01793  0.02756  0.04500  0.07668  0.13163  0.22082  0.35692  0.55525  0.83643  1.23142  1.79023  2.59536  3.77694  5.51666  8.01970 11.43890 15.76070 20.69610 25.64360 29.77560 32.25000 32.47930 30.34540 26.25560 21.00860
 -160.000 -160.000 19.08900 13.02660  8.23309  4.82855  2.63709  1.34888  0.65234  0.30458  0.14654  0.08728  0.07954  0.09878  0.12967  0.15963  0.17799  0.17815  0.15970  0.12814  0.09202  0.05915  0.03407  0.01766  0.00841  0.00410  0.00302  0.00463  0.01000  0.02209  0.04598  0.08823  0.15457  0.24601  0.35456  0.46181  0.54286  0.57549  0.54998  0.47383  0.36817  0.25825  0.16392  0.09493  0.05165  0.02916  0.02114  0.02229  0.02916  0.04053  0.05826  0.08846  0.14240  0.23618  0.38958  0.62504  0.96837  1.45145  2.11703  3.02668  4.27424  6.00234  8.40803 11.71180 16.06980 21.43850 27.44570 33.34890 38.14510 40.83300 40.74080 37.77910 32.49390 25.88750
 -155.000 -155.000 21.93130 14.95120  9.47760  5.60522  3.10945  1.63052  0.81759  0.40164  0.20800  0.13672  0.13465  0.17201  0.22714  0.27986  0.31206  0.31234  0.27999  0.22466  0.16135  0.10378  0.05988  0.03125  0.01526  0.00803  0.00655  0.00984  0.01951  0.04017  0.07960  0.14754  0.25227  0.39481  0.56285  0.72874  0.85520  0.90859  0.87337  0.75947  0.59764  0.42603  0.27591  0.16396  0.09264  0.05562  0.04364  0.04816  0.06284  0.08449  0.11472  0.16247  0.24573  0.39127  0.63250  1.00730  1.55812  2.33430  3.39549  4.81651  6.69697  9.17528 12.43370 16.66640 21.98650 28.28400 35.09190 41.55130 46.54520 48.99660 48.23020 44.24010 37.72450 29.86180
 -150.000 -150.000 23.68820 16.12350 10.25750  6.12990  3.46611  1.87194  0.97791  0.50704  0.28177  0.20054  0.20787  0.26954  0.35663  0.43929  0.48968  0.49004  0.43926  0.35248  0.25323  0.16304  0.09446  0.05001  0.02566  0.01537  0.01449  0.02145  0.03863  0.07285  0.13521  0.23927  0.39606  0.60616  0.85178  1.09408  1.28099  1.36472  1.32157  1.16272  0.92944  0.67558  0.44788  0.27385  0.16065  0.10160  0.08409  0.09500  0.12322  0.16145  0.20957  0.27904  0.39643  0.60326  0.95260  1.50528  2.32895  3.49957  5.10214  7.22923  9.98118 13.47110 17.82460 23.14760 29.44170 36.47460 43.66880 50.09120 54.60880 56.19770 54.29890 49.06110 41.33930 32.43410
 -145.000 -145.000 24.24880 16.47450 10.52920  6.37277  3.68524  2.05739  1.12297  0.61472  0.36403  0.27472  0.29256  0.38042  0.50218  0.61754  0.68782  0.68808  0.61673  0.49495  0.35581  0.22963  0.13416  0.07316  0.04116  0.02984  0.03275  0.04777  0.07831  0.13390  0.22981  0.38412  0.61088  0.90979  1.25622  1.59810  1.86564  1.99350  1.94640  1.73464  1.41032  1.04639  0.71047  0.44652  0.27053  0.17725  0.15046  0.17063  0.21911  0.28152  0.35332  0.44749  0.60046  0.87258  1.34317  2.10469  3.26041  4.92473  7.21975 10.26360 14.15460 18.95720 24.69030 31.29630 38.57870 46.11620 53.20430 58.89220 62.15470 62.17720 58.65440 51.96340 43.10820 33.43630
 -140.000 -140.000 23.75150 16.10620 10.35280  6.35889  3.76977  2.18028  1.24500  0.71889  0.45015  0.35276  0.37698  0.48496  0.63507  0.77790  0.86499  0.86476  0.77496  0.62213  0.44787  0.29052  0.17283  0.10002  0.06573  0.05983  0.07432  0.10653  0.16096  0.25033  0.39499  0.61884  0.93999  1.35734  1.83794  2.31321  2.69081  2.88218  2.83537  2.55711  2.11155  1.59599  1.10670  0.71183  0.44157  0.29432  0.24958  0.27902  0.35306  0.44654  0.54738  0.66828  0.85601  1.19288  1.79030  2.78057  4.31308  6.55304  9.67274 13.82590 19.10730 25.51110 32.89770 40.96770 49.23960 57.03850 63.52550 67.79820 69.06900 66.88650 61.32440 53.04400 43.17360 33.02400
 -135.000 -135.000 22.48360 15.21760  9.84517  6.14360  3.73814  2.24239  1.34142  0.81737  0.53780  0.42919  0.44889  0.56141  0.72305  0.87900  0.97436  0.97294  0.87169  0.70028  0.50570  0.33172  0.20497  0.13260  0.10865  0.12238  0.16467  0.23194  0.32909  0.47172  0.68625  1.00459  1.45162  2.02695  2.68792  3.34418  3.87241  4.15144  4.10547  3.73536  3.12104  2.39289  1.68660  1.10396  0.69522  0.46417  0.38471  0.41668  0.51617  0.64391  0.77752  0.92749  1.15031  1.55139  2.27737  3.50578  5.43967  8.30462 12.33350 17.72340 24.56520 32.76390 41.97870 51.60470 60.80860 68.62030 74.07670 76.39360 75.13310 70.32390 62.49920 52.62430 41.91000 31.55260
