VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 52.62990 37.32890 24.50300 14.90610  8.45462  4.53839  2.37514  1.27154  0.74101  0.50477  0.43285  0.47473  0.60553  0.79478  0.99598  1.15294  1.21692  1.16501  1.00913  0.78975  0.55786  0.35552  0.20461  0.10700  0.05212  0.02572  0.01558  0.01349  0.01482  0.01752  0.02122  0.02675  0.03595  0.05183  0.07901  0.12421  0.19589  0.30200  0.44596  0.62287  0.81930  1.01819  1.20576  1.37535  1.52530  1.65408  1.75819  1.83474  1.88479  1.91343  1.92725  1.93503  1.95513  2.02662  2.21695  2.62361  3.37776  4.66422  6.76348 10.09600 15.22030 22.72760 33.00970 45.95020 60.66910 75.47350 88.11430 96.31040 98.38400 93.77870 83.26300 68.72560
 -175.000 -175.000 74.67070 52.66480 34.42640 20.88630 11.83280  6.35657  3.33846  1.79996  1.05779  0.71944  0.59845  0.61761  0.73638  0.91194  1.08894  1.20908  1.22946  1.13797  0.95629  0.72879  0.50352  0.31570  0.18063  0.09636  0.05153  0.03281  0.02916  0.03302  0.03993  0.04786  0.05676  0.06812  0.08437  0.10818  0.14233  0.19030  0.25722  0.34998  0.47525  0.63602  0.82908  1.04566  1.27516  1.50900  1.74155  1.96814  2.18262  2.37678  2.54188  2.67139  2.76555  2.83889  2.93017  3.11109  3.48969  4.21101  5.46857  7.54391 10.87570 16.12210 24.13920 35.79580 51.59790 71.22100 93.15790 114.71700 132.49400 143.21900 144.69400 136.46800 119.99400 98.20340
 -170.000 -170.000 98.17790 68.79190 44.73800 27.03990 15.28130  8.20174  4.31449  2.34051  1.39205  0.95836  0.79338  0.79127  0.89534  1.05128  1.19684  1.27376  1.24652  1.11413  0.90738  0.67328  0.45594  0.28338  0.16465  0.09479  0.06241  0.05552  0.06412  0.08066  0.09998  0.11950  0.13957  0.16302  0.19374  0.23464  0.28657  0.34934  0.42472  0.51952  0.64575  0.81647  1.03933  1.31199  1.62302  1.95732  2.30189  2.64724  2.98388  3.29775  3.57008  3.78502  3.94322  4.07676  4.25969  4.61133  5.29326  6.50933  8.52714 11.74100 16.77200 24.54830 36.25840 53.06190 75.54280 103.05400 133.26500 162.25300 185.26400 197.96600 197.73200 184.44300 160.51200 130.15200
 -165.000 -165.000 119.95900 83.42480 53.92220 32.43320 18.26260  9.78007  5.14784  2.81297  1.70480  1.20602  1.01500  0.99833  1.08496  1.21311  1.31881  1.34817  1.27462  1.10681  0.88132  0.64480  0.43610  0.27684  0.17196  0.11587  0.09892  0.11101  0.14250  0.18431  0.22877  0.27158  0.31338  0.35935  0.41616  0.48772  0.57277  0.66676  0.76807  0.88489  1.03723  1.25062  1.54356  1.91676  2.35187  2.82113  3.30024  3.77411  4.23124  4.65363  5.01486  5.29369  5.49859  5.69023  5.99133  6.58256  7.69206  9.59465 12.64350 17.35520 24.53800 35.38690 51.40140 73.98630 103.72000 139.51200 178.07300 214.13800 241.57000 255.06600 251.77300 232.16700 199.85300 160.43800
 -160.000 -160.000 136.63900 94.22210 60.46920 36.16120 20.27030 10.82540  5.70603  3.15593  1.97257  1.45979  1.27151  1.25060  1.31545  1.40333  1.45681  1.43312  1.31705  1.12437  0.89200  0.66118  0.46338  0.31515  0.22091  0.17849  0.18285  0.22662  0.29927  0.38745  0.47805  0.56312  0.64350  0.72808  0.82795  0.94869  1.08629  1.23067  1.37656  1.53504  1.73691  2.02212  2.41918  2.92731  3.51459  4.13472  4.74991  5.34161  5.90133  6.41263  6.84581  7.17767  7.42791  7.69045  8.14344  9.03857 10.68360 13.43970 17.75890 24.28310 33.98940 48.28790 68.90130 97.35830 134.10100 177.49100 223.24400 264.82200 294.89500 307.46600 299.76300 273.09800 232.37600 184.53900
 -155.000 -155.000 145.63400 99.47880 63.33470 37.63200 20.99620 11.19200  5.92940  3.35224  2.19846  1.73249  1.58028  1.56703  1.60533  1.63890  1.62619  1.54333  1.38943  1.18458  0.95973  0.74464  0.56083  0.42152  0.33545  0.30922  0.34609  0.44223  0.58405  0.74993  0.91728  1.07217  1.21583  1.36265  1.52991  1.72504  1.93968  2.15623  2.36493  2.58073  2.84690  3.21826  3.73108  4.37842  5.10989  5.85848  6.57526  7.24524  7.87233  8.45023  8.95104  9.34971  9.67280 10.04130 10.68540 11.93170 14.18100 17.90120 23.66060 32.22480 44.69890 62.61230 87.75630 121.59500 164.26500 213.50300 264.11700 308.56200 338.73000 348.37700 335.17000 301.43400 253.31000 198.81300
 -150.000 -150.000 145.90600 98.63810 62.26210 36.75540 20.43060 10.90310  5.84941  3.43020  2.40341  2.03777  1.95047  1.95637  1.96680  1.93783  1.85107  1.70765  1.52314  1.31928  1.11534  0.92443  0.75640  0.62396  0.54589  0.54362  0.63238  0.81182  1.06181  1.34723  1.63157  1.89316  2.13467  2.37850  2.64954  2.95601  3.28206  3.59910  3.89067  4.17469  4.50588  4.95156  5.55203  6.29127  7.10080  7.89796  8.63247  9.30529  9.94529 10.56620 11.14560 11.65220 12.10630 12.63850 13.51680 15.14030 18.01640 22.74390 30.02870 40.75620 56.10380 77.59290 106.88400 145.14600 192.02100 244.58800 296.93900 340.95700 368.32800 373.11700 353.78800 313.73400 260.10000 201.54200
 -145.000 -145.000 138.19500 92.40310 57.82330 33.94620 18.84980 10.13070  5.56569  3.43962  2.60192  2.36583  2.35884  2.39323  2.38229  2.29681  2.14383  1.95102  1.75001  1.56148  1.38939  1.22781  1.07585  0.95022  0.88621  0.92570  1.09834  1.40542  1.81515  2.27319  2.72550  3.14273  3.53188  3.92635  4.35911  4.83603  5.32815  5.78977  6.19238  6.55205  6.92954  7.39886  8.00073  8.71199  9.45545 10.14840 10.75700 11.31460 11.88800 12.51900 13.19230 13.86190 14.52360 15.29270 16.45340 18.46940 21.96430 27.69120 36.51470 49.43300 67.63500 92.49690 125.34000 166.79700 215.85300 268.93300 319.68400 359.93600 381.80500 380.22200 354.73600 309.73900 253.01300 193.33500
 -140.000 -140.000 124.65200 82.42380 51.17650 29.95190 16.69970  9.12027  5.19753  3.42011  2.78120  2.66956  2.73950  2.80805  2.79195  2.67454  2.48422  2.27071  2.07769  1.92206  1.79165  1.66332  1.53011  1.41926  1.38916  1.50638  1.81501  2.31390  2.95331  3.65448  4.34448  4.98911  5.60429  6.23724  6.92731  7.67168  8.41883  9.09551  9.65057 10.08710 10.46120 10.84600 11.28290 11.75300 12.19260 12.54580 12.81940 13.09590 13.48920 14.07270 14.83690 15.71310 16.65450 17.73690 19.23720 21.66960 25.77630 32.47810 42.80960 57.87140 78.80460 106.71500 142.40000 185.76500 235.01300 285.98200 332.17300 365.87200 380.20900 371.43300 340.33600 292.13200 234.80900 176.75000
 -135.000 -135.000 108.10500 70.73820 43.67270 25.59620 14.44100  8.10319  4.83937  3.38424  2.90249  2.87732  3.00245  3.10591  3.10765  2.99761  2.81614  2.62527  2.47375  2.37226  2.29488  2.20757  2.10557  2.03491  2.08305  2.34338  2.87219  3.66016  4.63329  5.68477  6.72386  7.71617  8.69110  9.70974 10.81180 11.97460 13.10930 14.09900 14.85190 15.34080 15.60290 15.70600 15.70250 15.60460 15.39880 15.09260 14.76010 14.54480 14.60800 15.05110 15.86590 16.95500 18.21950 19.67910 21.58380 24.48120 29.22110 36.88720 48.67850 65.77720 89.22410 119.76000 157.53000 201.59500 249.34100 296.13100 335.61900 360.96700 366.74300 350.77300 315.09700 265.49000 209.73000 155.39700
