VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 24.06690 20.11450 15.97970 12.08440  8.73313  6.06632  4.07499  2.65714  1.68075  1.02571  0.59913  0.33351  0.17975  0.10172  0.07308  0.07485  0.09281  0.11533  0.13271  0.13820  0.12951  0.10914  0.08285  0.05711  0.03696  0.02554  0.02515  0.03910  0.07294  0.13430  0.23096  0.36767  0.54314  0.74847  0.96698  1.17519  1.34535  1.45101  1.47621  1.42492  1.32476  1.22164  1.16756  1.20772  1.37205  1.67225  2.10294  2.64533  3.27251  3.95527  4.66675  5.38439  6.08917  6.76428  7.39494  7.97043  8.48845  8.96333  9.43841  9.99996 10.78400 11.96430 13.71070 16.11960 19.13630 22.50950 25.81450 28.54920 30.26500 30.67040 29.67560 27.38480
 -175.000 -175.000 34.80210 29.41020 23.66130 18.14410 13.30280  9.36708  6.36303  4.18052  2.65407  1.62084  0.94635  0.52760  0.28746  0.16887  0.13046  0.14222  0.18086  0.22622  0.26072  0.27183  0.25531  0.21599  0.16499  0.11477  0.07511  0.05191  0.04894  0.07080  0.12520  0.22292  0.37532  0.59003  0.86673  1.19429  1.54953  1.89752  2.19482  2.39864  2.48158  2.44641  2.33152  2.20291  2.13676  2.20150  2.44576  2.89281  3.53927  4.35754  5.30264  6.32300  7.37196  8.41469  9.42756 10.39250 11.29170 12.10850 12.83640 13.49550 14.15280 14.93670 16.03830 17.68740 20.09590 23.37410 27.44070 31.97190 36.42930 40.17190 42.61020 43.33390 42.17710 39.22670
 -170.000 -170.000 46.60880 39.78380 32.38210 25.15020 18.67690 13.30100  9.11059  6.01130  3.81763  2.32581  1.35387  0.75491  0.41652  0.25592  0.21386  0.24724  0.32126  0.40402  0.46643  0.48736  0.45952  0.39123  0.30177  0.21304  0.14249  0.10081  0.09423  0.12894  0.21454  0.36462  0.59421  0.91532  1.33190  1.83507  2.39837  2.97429  3.49652  3.89356  4.11314  4.14680  4.04012  3.88208  3.78072  3.83860  4.13581  4.72034  5.60214  6.75142  8.10492  9.58184 11.10420 12.61150 14.06350 15.43180 16.69100 17.81910 18.80980 19.69520 20.56820 21.59620 23.01540 25.09930 28.09390 32.12510 37.09890 42.64210 48.12730 52.79350 55.91670 56.96240 55.67490 52.10670
 -165.000 -165.000 58.00910 49.95510 41.08980 32.27620 24.22970 17.40730 11.98570  7.91583  5.01199  3.03647  1.75760  0.97907  0.54876  0.35613  0.32371  0.39511  0.52285  0.66064  0.76457  0.80188  0.76090  0.65423  0.51203  0.36942  0.25550  0.18901  0.18083  0.23949  0.37579  0.60425  0.94196  1.40563  2.00740  2.74752  3.60290  4.51501  5.38796  6.10712  6.57751  6.76390  6.70955  6.52425  6.35273  6.34258  6.62164  7.28231  8.36701  9.85717 11.67520 13.70520 15.82490 17.93320 19.95930 21.85460 23.58080 25.10910 26.43600 27.60660 28.73620 30.01710 31.70900 34.10610 37.47480 41.96020 47.47910 53.64750 59.79380 65.07670 68.66700 69.92190 68.49970 64.40950
 -160.000 -160.000 67.36670 58.45610 48.52220 38.48040 29.13520 21.05670 14.52860  9.57262  6.02274  3.61709  2.07650  1.15494  0.66112  0.45897  0.45580  0.58429  0.78499  0.99635  1.15745  1.22145  1.17050  1.02106  0.81572  0.60637  0.43867  0.34470  0.34426  0.45027  0.67368  1.02630  1.52280  2.18276  3.03006  4.08294  5.33156  6.71080  8.08886  9.29089 10.15610 10.60050 10.64970 10.42810 10.12070  9.93281 10.06050 10.66620 11.85040 13.62480 15.90490 18.53510 21.33620 24.15150 26.86680 29.40380 31.70470 33.73100 35.47930 37.00400 38.43170 39.95910 41.83920 44.35630 47.77830 52.27270 57.79480 63.99720 70.22220 75.60660 79.26730 80.49290 78.87930 74.39200
 -155.000 -155.000 73.36160 64.05740 53.57380 42.80810 32.60820 23.63870 16.29320 10.67610  6.65364  3.94928  2.24343  1.24675  0.73546  0.55487  0.60314  0.80669  1.09711  1.39901  1.63447  1.74115  1.69240  1.50606  1.23643  0.95477  0.72928  0.61331  0.64283  0.83919  1.21259  1.76648  2.50555  3.44758  4.63059  6.10076  7.87363  9.88311 11.95350 13.82750 15.24790 16.05270 16.23020 15.91470 15.33980 14.78760 14.54910 14.88690 15.98750 17.91340 20.58210 23.79510 27.30550 30.88790 34.37370 37.64610 40.62040 43.24020 45.49420 47.43630 49.18980 50.93280 52.88170 55.28100 58.38020 62.36910 67.26590 72.80630 78.40720 83.25200 86.47120 87.34270 85.43760 80.68360
 -150.000 -150.000 75.40120 66.16060 55.65830 44.71520 34.17960 24.78390 17.01630 11.05760  6.80779  3.98337  2.23588  1.24558  0.76841  0.64111  0.76043  1.05228  1.44400  1.85031  2.17881  2.35141  2.32921  2.12631  1.80532  1.45818  1.18260  1.06378  1.16432  1.52018  2.14043  3.01326  4.12378  5.48156  7.14068  9.18553 11.66910 14.52730 17.52570 20.29090 22.42690 23.65590 23.90990 23.33620 22.24090 21.01840 20.09150 19.85530 20.60810 22.47930 25.39530 29.11220 33.30780 37.67870 41.99260 46.08480 49.83170 53.14380 55.98450 58.39030 60.46480 62.35120 64.21160 66.23230 68.63180 71.62060 75.29440 79.50530 83.79690 87.46510 89.72550 89.90940 87.60320 82.70220
 -145.000 -145.000 73.81280 65.00400 54.92190 44.27650 33.88590 24.52000 16.73340 10.76280  6.53475  3.76444  2.08931  1.17624  0.77559  0.72598  0.92947  1.31650  1.81531  2.33645  2.77773  3.04641  3.08753  2.90456  2.56287  2.17520  1.87611  1.79474  2.03252  2.64773  3.64866  5.00222  6.66564  8.63596 10.98730 13.85290 17.33120 21.35310 25.59410 29.51160 32.50920 34.14670 34.28500 33.10860 31.04880 28.67420 26.59340 25.36970 25.43000 26.97660 29.94460 34.04320 38.87160 44.04370 49.25610 54.28360 58.94320 63.08400 66.61240 69.51950 71.87260 73.77610 75.34320 76.71110 78.07140 79.65590 81.63970 84.00450 86.45190 88.44090 89.33340 88.56920 85.78270 80.83680
 -140.000 -140.000 69.76990 61.61600 52.22650 42.19050 32.28110 23.28040 15.77830 10.04260  6.01552  3.41670  1.88434  1.08870  0.78738  0.82826  1.12211  1.60619  2.21346  2.85634  3.42901  3.82700  3.97692  3.86531  3.55453  3.17747  2.91155  2.94061  3.41602  4.42563  5.97877  8.01899 10.47430 13.33310 16.69980 20.76690 25.67670 31.32690 37.24270 42.62800 46.60110 48.50400 48.12580 45.74450 42.01200 37.77200 33.89470 31.14900 30.09530 30.99760 33.78880 38.12790 43.53850 49.55480 55.79780 61.96410 67.77890 72.98250 77.37170 80.84750 83.42170 85.17120 86.19710 86.62960 86.66390 86.56140 86.56900 86.78870 87.08660 87.11030 86.40720 84.56040 81.26840 76.35600
 -135.000 -135.000 65.00480 57.55440 48.91800 39.57740 30.26350 21.75720 14.66160  9.25591  5.49022  3.09263  1.71338  1.03745  0.83688  0.97073  1.35703  1.93818  2.65284  3.41999  4.13706  4.69361  4.99982  5.02347  4.82079  4.54369  4.41505  4.67894  5.54260  7.12800  9.44890 12.43090 15.98410 20.10680 24.95360 30.78440 37.76490 45.69790 53.85630 61.06720 66.05540 67.89190 66.31930 61.81260 55.39060 48.31530 41.81610 36.90360 34.25860 34.17270 36.54990 40.99300 46.96040 53.92020 61.42040 69.06040 76.42760 83.08520 88.64140 92.84390 95.62020 97.04330 97.26530 96.48550 94.95970 92.99930 90.91180 88.89700 86.96990 84.96830 82.63530 79.70590 75.93870 71.10530
 -130.000 -130.000 61.41620 54.53240 46.47680 37.65950 28.79290 20.66430 13.88400  8.73305  5.16361  2.91190  1.64287  1.05856  0.94490  1.16846  1.64875  2.32777  3.14731  4.03504  4.89867  5.63168  6.13747  6.37173  6.38725  6.35431  6.53873  7.24159  8.72311 11.13810 14.50870 18.75630 23.79980 29.68320 36.64030 44.99930 54.89950 65.94230 76.99730 86.35620 92.23470 93.40120 89.62570 81.73890 71.32470 60.23770 50.17240 42.40440 37.69590 36.30520 38.06210 42.50160 49.03480 57.09170 66.16270 75.73590 85.20910 93.88380 101.08100 106.30800 109.37000 110.35900 109.55400 107.31800 104.04300 100.12500 95.92860 91.72970 87.66820 83.75540 79.91610 76.01660 71.84790 67.10120
