VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 15.91740 11.32870  7.69650  5.07779  3.33793  2.24204  1.55025  1.08250  0.73748  0.47457  0.28216  0.15328  0.07604  0.03500  0.01585  0.00852  0.00778  0.01243  0.02431  0.04728  0.08587  0.14351  0.22071  0.31434  0.41809  0.52356  0.62038  0.69580  0.73582  0.72972  0.67630  0.58708  0.48282  0.38501  0.30772  0.25464  0.22157  0.20106  0.18606  0.17170  0.15578  0.13920  0.12602  0.12335  0.14140  0.19429  0.30104  0.48478  0.76720  1.15842  1.64672  2.19769  2.77023  3.34766  3.96939  4.74382  5.83097  7.40019  9.58196 12.43290 15.92180 19.92950 24.24660 28.56540 32.47510 35.48890 37.12090 37.00680 35.02730 31.37660 26.53710 21.16260
 -175.000 -175.000 23.72710 16.67990 11.14250  7.17624  4.56232  2.94169  1.95218  1.31867  0.87875  0.55871  0.33107  0.18113  0.09226  0.04546  0.02383  0.01589  0.01616  0.02438  0.04435  0.08253  0.14591  0.23897  0.36071  0.50382  0.65639  0.80490  0.93567  1.03420  1.08533  1.07763  1.01071  0.89958  0.77080  0.65174  0.56006  0.49971  0.46420  0.44254  0.42407  0.40098  0.36995  0.33364  0.30112  0.28688  0.30923  0.38982  0.55463  0.83372  1.25572  1.83598  2.56380  3.40053  4.29924  5.24518  6.29924  7.61798  9.43274 11.99250 15.49460 20.02900 25.54910 31.86110 38.61610 45.30230 51.25310 55.70330 57.91760 57.37460 53.94580 47.98650 40.28120 31.85600
 -170.000 -170.000 33.07630 23.00370 15.15240  9.56591  5.91027  3.67148  2.33964  1.52541  0.99173  0.62262  0.36922  0.20632  0.11162  0.06265  0.04045  0.03273  0.03454  0.04739  0.07792  0.13597  0.23124  0.36857  0.54384  0.74330  0.94758  1.13783  1.29902  1.41859  1.48411  1.48569  1.42345  1.31348  1.18499  1.06875  0.98474  0.93694  0.91632  0.90743  0.89388  0.86245  0.80729  0.73419  0.66202  0.61955  0.63986  0.75641  1.00311  1.41536  2.02628  2.85485  3.89166  5.09606  6.41961  7.85658  9.50088 11.57470 14.40330 18.33900 23.66280 30.50020 38.76750 48.14720 58.07620 67.74840 76.15090 82.17030 84.78860 83.33970 77.74530 68.61370 57.13820 44.81330
 -165.000 -165.000 43.27570 29.82160 19.42580 12.07900  7.30103  4.40081  2.70683  1.70692  1.08342  0.67362  0.40399  0.23679  0.14307  0.09656  0.07637  0.06993  0.07360  0.09164  0.13451  0.21596  0.34819  0.53514  0.76744  1.02285  1.27389  1.49810  1.68342  1.82491  1.91765  1.95505  1.93549  1.87103  1.78790  1.71656  1.67838  1.67813  1.70486  1.73705  1.74844  1.71494  1.62461  1.48770  1.34017  1.23653  1.23591  1.39070  1.74381  2.33221  3.18757  4.32754  5.74186  7.38958  9.22648 11.26650 13.65340 16.69830 20.84750 26.58040 34.27350 44.07630 55.82810 69.01620 82.76890 95.88460 106.92000 114.36800 116.93700 113.88000 105.27000 92.08610 76.02990 59.13170
 -160.000 -160.000 53.36880 36.48750 23.56850 14.50270  8.63809  5.09876  3.05421  1.87523  1.16801  0.72499  0.44794  0.28555  0.20100  0.16321  0.14888  0.14534  0.15106  0.17419  0.23004  0.33675  0.50831  0.74601  1.03301  1.33734  1.62461  1.87302  2.08004  2.25506  2.40504  2.52640  2.61077  2.65821  2.68462  2.71641  2.77686  2.87441  2.99778  3.11686  3.18803  3.16658  3.02723  2.78511  2.50330  2.27878  2.21386  2.39084  2.86340  3.66388  4.81279  6.31787  8.16380 10.31090 12.72720 15.46090 18.72710 22.95290 28.73280 36.69130 47.29820 60.69710 76.58840 94.17660 112.18100 128.91100 142.43300 150.84200 152.63000 147.08500 134.57100 116.56200 95.34900 73.51750
 -155.000 -155.000 62.35100 42.33230 27.17470 16.61710  9.81903  5.72854  3.37658  2.03747  1.25607  0.78803  0.51329  0.36682  0.30239  0.28245  0.28013  0.28253  0.29095  0.31874  0.38726  0.51950  0.73054  1.01727  1.35363  1.69806  2.01241  2.28199  2.52155  2.76130  3.02243  3.30142  3.57516  3.82164  4.03830  4.24430  4.46725  4.72421  5.00637  5.27145  5.44775  5.45545  5.24467  4.83428  4.32645  3.88235  3.67039  3.81786  4.39205  5.41276  6.87664  8.77065 11.06990 13.73980 16.77220 20.26860 24.53980 30.15430 37.87360 48.46990 62.48220 79.99370 100.48600 122.79100 145.13300 165.27400 180.77600 189.38100 189.47000 180.50700 163.30000 139.92900 113.32100 86.58310
 -150.000 -150.000 69.39600 46.81400 29.91580 18.24010 10.75290  6.25011  3.65920  2.19005  1.34877  0.86669  0.60674  0.49059  0.46090  0.47151  0.49051  0.50428  0.51762  0.55032  0.63105  0.78832  1.03807  1.37192  1.75436  2.13604  2.48013  2.78629  3.09391  3.45854  3.91530  4.45494  5.02983  5.58466  6.08953  6.55303  7.00961  7.49055  7.99289  8.45868  8.77627  8.81439  8.48526  7.80948  6.94128  6.13026  5.63709  5.65180  6.25899  7.45755  9.20673 11.46220 14.18740 17.36120 21.01650 25.33120 30.73540 37.95690 47.92700 61.54260 79.35950 101.32100 126.59900 153.57100 179.92000 202.86500 219.51500 227.35500 224.78700 211.59900 189.16500 160.24400 128.38800 97.15670
 -145.000 -145.000 73.99480 49.61070 31.59810 19.26050 11.37850  6.63085  3.88450  2.32304  1.44019  0.95746  0.72671  0.65711  0.67880  0.73505  0.78738  0.82085  0.84405  0.88403  0.97776  1.16006  1.44844  1.83029  2.26305  2.69415  3.09450  3.48508  3.93487  4.52582  5.30335  6.24489  7.26750  8.27077  9.18690 10.00750 10.77270 11.53110 12.28860 12.96980 13.41540 13.43100 12.88210 11.79140 10.37830  9.00341  8.04331  7.76663  8.27855  9.54947 11.48980 14.01650 17.08440 20.69910 24.95760 30.13950 36.81510 45.87660 58.40670 75.37750 97.27880 123.81200 153.74400 184.93800 214.54400 239.30900 256.02000 262.05900 255.99800 238.06200 210.25300 176.01000 139.45100 104.47000
 -140.000 -140.000 75.97540 50.63580 32.17410 19.64740 11.67330  6.85388  4.04031  2.42749  1.52267  1.05216  0.86301  0.85352  0.94083  1.05647  1.15438  1.21769  1.25858  1.31143  1.42178  1.63148  1.96140  2.39857  2.89972  3.41727  3.93810  4.51003  5.23277  6.21083  7.49252  9.03211 10.70020 12.33820 13.82670 15.12710 16.27620 17.33570 18.32080 19.14180 19.59440 19.42480 18.45720 16.72650 14.53100 12.35760 10.71160  9.94701 10.18890 11.37290 13.35390 16.00820 19.28900 23.24680 28.06740 34.15720 42.24100 53.36900 68.73710 89.31980 115.43900 146.44000 180.58900 215.20500 246.95600 272.26200 287.79100 291.02700 280.86200 258.03200 225.15700 186.26600 145.91500 108.19100
 -135.000 -135.000 75.45940 50.00400 31.72000 19.43720 11.64630  6.91537  4.11958  2.49668  1.58904  1.14037  0.99926  1.05584  1.21527  1.39770  1.54937  1.65124  1.71863  1.79274  1.92726  2.17171  2.55362  3.06690  3.67861  4.35877  5.12026  6.04146  7.24854  8.85824 10.90870 13.31820 15.89800 18.41720 20.68630 22.61540 24.21680 25.55030 26.63600 27.37760 27.54660 26.85920 25.13120 22.43710 19.17080 15.94880 13.39900 11.95010 11.73740 12.65580 14.50250 17.11750 20.46230 24.64980 29.97630 36.99490 46.59140 59.95580 78.34730 102.66100 132.94400 168.07800 205.75100 242.72700 275.28200 299.70000 312.77300 312.32400 297.72600 270.25700 233.06200 190.59600 147.66100 108.37600
