VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 36.25740 25.70960 16.80980 10.12910  5.62034  2.86803  1.34371  0.57683  0.22639  0.08107  0.02650  0.00813  0.00298  0.00274  0.00519  0.01038  0.01892  0.03100  0.04555  0.06003  0.07098  0.07533  0.07182  0.06168  0.04809  0.03484  0.02502  0.02031  0.02093  0.02616  0.03477  0.04551  0.05736  0.06954  0.08118  0.09098  0.09738  0.09911  0.09613  0.08993  0.08327  0.07961  0.08282  0.09756  0.12937  0.18370  0.26373  0.36855  0.49408  0.63837  0.80914  1.02885  1.33311  1.76363  2.36290  3.17759  4.27100  5.73610  7.69959 10.31510 13.75340 18.19760 23.82720 30.75240 38.86010 47.60300 55.86840 62.10360 64.76180 62.90680 56.65210 47.16980
 -175.000 -175.000 52.96440 37.30460 24.21770 14.48420  7.97542  4.03897  1.87860  0.80110  0.31260  0.11144  0.03640  0.01142  0.00495  0.00600  0.01221  0.02462  0.04496  0.07370  0.10835  0.14288  0.16906  0.17956  0.17139  0.14746  0.11538  0.08429  0.06169  0.05170  0.05503  0.06991  0.09326  0.12172  0.15244  0.18317  0.21168  0.23503  0.24972  0.25304  0.24495  0.22898  0.21151  0.20026  0.20352  0.23051  0.29154  0.39613  0.54876  0.74516  0.97391  1.22608  1.50959  1.85962  2.33733  3.01809  3.98009  5.30492  7.09187  9.47528 12.63230 16.77740 22.15300 29.01900 37.62190 48.08640 60.18650 73.05060 84.99520 93.73430 97.04480 93.64330 83.80520 69.34630
 -170.000 -170.000 72.19960 50.48160 32.52730 19.30590 10.54930  5.30266  2.44912  1.03787  0.40289  0.14313  0.04682  0.01525  0.00812  0.01218  0.02588  0.05243  0.09584  0.15719  0.23122  0.30509  0.36124  0.38403  0.36705  0.31655  0.24890  0.18388  0.13785  0.12007  0.13240  0.17110  0.22910  0.29831  0.37142  0.44256  0.50645  0.55696  0.58722  0.59214  0.57201  0.53441  0.49270  0.46277  0.46087  0.50367  0.60846  0.78992  1.05302  1.38683  1.76740  2.17418  2.61439  3.14128  3.85359  4.87720  6.34461  8.38946 11.16000 14.83940 19.65710 25.88790 33.84420 43.86110 56.24050 71.08680 87.98860 105.63600 121.63900 132.85900 136.34300 130.50200 115.91000 95.21590
 -165.000 -165.000 92.10960 63.89300 40.84630 24.05530 13.04480  6.50977  2.98691  1.25874  0.48665  0.17261  0.05682  0.01957  0.01298  0.02267  0.04933  0.10023  0.18335  0.30086  0.44280  0.58464  0.69278  0.73729  0.70595  0.61082  0.48361  0.36280  0.28064  0.25590  0.29302  0.38500  0.51733  0.67226  0.83274  0.98475  1.11653  1.21641  1.27246  1.27649  1.23024  1.14865  1.05735  0.98629  0.96483  1.02078  1.18024  1.46302  1.87237  2.38656  2.96439  3.57078  4.21386  4.97253  5.99638  7.47920  9.62718 12.64490 16.74470 22.16560 29.18650 38.12900 49.35310 63.23740 80.09190 99.92920 122.05600 144.61800 164.43600 177.50500 180.21000 170.80700 150.34600 122.46300
 -160.000 -160.000 110.38100 75.91010 48.12920 28.12040 15.13520  7.50137  3.42186  1.43589  0.55410  0.19696  0.06575  0.02441  0.01990  0.03834  0.08454  0.17204  0.31488  0.51697  0.76131  1.00589  1.19306  1.27155  1.22050  1.06112  0.84864  0.65050  0.52407  0.50390  0.59970  0.80002  1.07799  1.39820  1.72451  2.02605  2.27828  2.46038  2.55406  2.54866  2.45003  2.28565  2.10063  1.94695  1.87387  1.92441  2.13444  2.52690  3.09961  3.81627  4.61682  5.45396  6.34344  7.39988  8.83555 10.92540 13.96470 18.24680 24.06490 31.72380 41.54610 53.87260 69.06040 87.45620 109.28000 134.33700 161.53500 188.40400 210.99000 224.54800 225.03600 210.81000 183.59600 148.09600
 -155.000 -155.000 124.79000 85.01920 53.43740 30.97110 16.54850  8.15127  3.70173  1.55055  0.59981  0.21525  0.07376  0.02999  0.02882  0.05870  0.13023  0.26525  0.48572  0.79788  1.17572  1.55473  1.84631  1.97179  1.89968  1.66372  1.35076  1.06741  0.90586  0.92410  1.14141  1.54192  2.08078  2.69376  3.31082  3.86949  4.32145  4.63119  4.77380  4.73943  4.54357  4.23360  3.88309  3.57561  3.38844  3.38429  3.60858  4.08370  4.79752  5.69765  6.70932  7.78309  8.95538 10.38800 12.36330 15.24190 19.41520 25.27920 33.22710 43.64370 56.88850 73.28110 93.09200 116.51100 143.51500 173.54200 204.98800 234.75000 258.24100 270.27200 266.75100 246.47500 212.02500 169.13600
 -150.000 -150.000 133.72800 90.19270 56.17500 32.29560 17.13940  8.40099  3.80783  1.59958  0.62525  0.22942  0.08215  0.03669  0.03906  0.08123  0.18040  0.36752  0.67328  1.10662  1.63192  2.16039  2.57013  2.75342  2.66833  2.36391  1.96358  1.61950  1.46591  1.59158  2.03176  2.76868  3.73518  4.82507  5.91419  6.88623  7.65119  8.15001  8.35151  8.25338  7.89013  7.33901  6.71248  6.13639  5.72536  5.56705  5.71633  6.19107  6.96592  7.97474  9.13878 10.42380 11.90440 13.80020 16.46400 20.33680 25.90400 33.67280 44.15600 57.83420 75.09630 96.18540 121.17200 149.91900 181.96200 216.19400 250.41200 280.95400 302.87100 310.96900 301.57900 274.29700 232.66600 183.29300
 -145.000 -145.000 136.51500 91.09170 56.20820 32.06420 16.91980  8.27262  3.75965  1.59668  0.63887  0.24417  0.09313  0.04502  0.04931  0.10161  0.22483  0.45787  0.83917  1.38024  2.03752  2.70179  3.22330  3.47085  3.39609  3.06457  2.63525  2.30456  2.24979  2.59553  3.40080  4.65262  6.26109  8.06620  9.86613 11.46140 12.69410 13.46650 13.73990 13.52820 12.89760 11.96800 10.90320  9.88334  9.07187  8.58916  8.50198  8.82244  9.51191 10.49710 11.71020 13.15170 14.95150 17.39360 20.89620 25.96860 33.18230 43.15930 56.54490 73.92590 95.70340 121.97500 152.47400 186.54700 223.07600 260.25100 295.24300 324.01100 341.63000 343.41100 326.60200 291.88200 243.75100 189.40000
 -140.000 -140.000 133.41900 88.05250 53.83910 30.50290 16.03830  7.85447  3.60565  1.56674  0.65280  0.26507  0.10901  0.05536  0.05805  0.11505  0.25231  0.51329  0.94117  1.54956  2.29117  3.04639  3.65188  3.96684  3.94461  3.66665  3.31917  3.13188  3.31770  4.03725  5.38132  7.35277  9.84522 12.63850 15.43160 17.90860 19.80970 20.97420 21.34720 20.96450 19.93730 18.44370 16.71370 14.99860 13.52650 12.46380 11.89770 11.83850 12.23880 13.02610 14.15680 15.68060 17.79200 20.84130 25.30510 31.75110 40.82870 53.27170 69.85680 91.26610 117.87500 149.55300 185.56000 224.54600 264.56300 303.00400 336.48200 360.84400 371.64000 365.19900 340.08300 298.20700 244.87700 187.49100
 -135.000 -135.000 125.46500 81.91290 49.67090 28.00040 14.72160  7.26647  3.40360  1.53507  0.67702  0.29561  0.13070  0.06751  0.06403  0.11822  0.25525  0.51829  0.95101  1.56838  2.32558  3.10726  3.75704  4.14444  4.23580  4.12644  4.01593  4.14804  4.75549  6.02890  8.09658 10.99090 14.60240 18.65440 22.73340 26.37780 29.18710 30.90290 31.43220 30.82730 29.25240 26.95960 24.26710 21.52120 19.04040 17.05970 15.70310 14.98990 14.87000 15.27670 16.19380 17.72140 20.11720 23.79400 29.28500 37.21620 48.31220 63.40800 83.38550 108.97800 140.46900 177.41100 218.47600 261.49500 303.60000 341.39200 371.08500 388.74600 390.83200 375.10000 341.66500 293.65600 236.91300 178.63300
 -130.000 -130.000 114.14500 73.77280 44.43290 24.99340 13.20470  6.62120  3.19975  1.51652  0.71388  0.33446  0.15657  0.08037  0.06663  0.11074  0.23325  0.47222  0.86773  1.43567  2.14055  2.88692  3.54736  4.02290  4.30503  4.50080  4.80734  5.45966  6.68876  8.70264 11.66690 15.65510 20.57240 26.10050 31.71530 36.79260 40.75790 43.21190 43.98560 43.12320 40.83840 37.47190 33.45870 29.27710 25.37400 22.08690 19.60140 17.95960 17.11220 16.99320 17.60150 19.07100 21.70790 25.98260 32.49150 41.93210 55.10980 72.93990 96.35590 126.06100 162.15900 203.80000 249.00800 294.76400 337.31300 372.57900 396.60200 405.99000 398.43700 373.35900 332.46600 279.92000 221.76600 164.62800
