VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 181.68600 181.19200 172.17200 155.90600 134.70100 111.32700 88.38510 67.81950 50.69470 37.24360 27.09780 19.59020 14.02480  9.84628  6.69065  4.34479  2.67368  1.56344  0.89995  0.57353  0.48934  0.56949  0.74667  0.95913  1.15605  1.31232  1.44006  1.58194  1.78368  2.06059  2.38105  2.67943  2.88864  2.96853  2.91251  2.73547  2.45983  2.11232  1.72873  1.35538  1.04139  0.82627  0.73118  0.75722  0.88755  1.08922  1.31470  1.50741  1.61417  1.60150  1.46792  1.24555  0.99082  0.77010  0.64845  0.68610  0.94386  1.49607  2.45221  3.99045  6.40291 10.13760 15.80470 24.11020 35.70410 50.97300 69.84020 91.62720 115.00800 138.06000 158.43700 173.68200
 -175.000 -175.000 180.44700 177.44800 166.48600 149.06700 127.53100 104.53200 82.46980 63.06750 47.18700 34.89910 25.72580 18.94550 13.85890  9.94514  6.89526  4.55542  2.84163  1.67589  0.96336  0.60013  0.48886  0.54613  0.69946  0.88318  1.04299  1.14891  1.20601  1.24976  1.32365  1.45137  1.62218  1.79878  1.93984  2.01920  2.02953  1.97361  1.85590  1.68350  1.47332  1.25558  1.06832  0.94581  0.90855  0.95900  1.08212  1.24745  1.41242  1.52944  1.55815  1.47958  1.30453  1.07144  0.83510  0.65338  0.57926  0.66166  0.95521  1.53854  2.54239  4.18879  6.83601 11.00910 17.38130 26.67420 39.47420 56.00950 75.96190 98.37140 121.65800 143.75000 162.32200 175.13200
 -170.000 -170.000 174.28800 168.82800 156.31900 138.37900 117.25100 95.34900 74.78900 57.03390 42.74440 31.85550 23.81480 17.88030 13.37230  9.81445  6.95225  4.68586  2.97776  1.78477  1.03374  0.63061  0.48001  0.49735  0.60976  0.75337  0.87635  0.94875  0.97076  0.96909  0.97960  1.02601  1.10882  1.21080  1.31209  1.40160  1.47640  1.53303  1.56166  1.55018  1.49497  1.40887  1.31915  1.25684  1.24422  1.28706  1.37311  1.47515  1.55672  1.58071  1.52084  1.37244  1.15692  0.91669  0.70347  0.56725  0.55179  0.69903  1.06227  1.72855  2.85186  4.69605  7.67701 12.37930 19.51180 29.77410 43.64450 61.14640 81.68270 104.00200 126.30500 146.46700 162.32400 172.00900
 -165.000 -165.000 164.11300 156.56500 143.11900 125.37300 105.33300 85.08000 66.40210 50.50770 37.89430 28.41430 21.49220 16.40260 12.50320  9.36229  6.76787  4.65763  3.02622  1.85713  1.09721  0.66535  0.47338  0.44135  0.50162  0.59766  0.68541  0.73936  0.75737  0.75706  0.76268  0.79057  0.84311  0.91459  1.00209  1.11044  1.24625  1.40622  1.57059  1.70889  1.79510  1.82193  1.80454  1.77187  1.75150  1.75686  1.78200  1.80437  1.79282  1.71859  1.56686  1.34506  1.08375  0.82905  0.63092  0.53436  0.57848  0.80418  1.27029  2.07880  3.41043  5.56681  9.00540 14.33970 22.27100 33.42820 48.13700 66.18710 86.69960 108.16400 128.64200 146.07200 158.59400 164.83300
 -160.000 -160.000 151.22600 142.17600 128.48400 111.58900 93.16460 74.89940 58.24940 44.20200 33.14880 24.92220 18.97750 14.63960 11.31700  8.61648  6.35064  4.47265  2.99014  1.90090  1.16745  0.72355  0.49362  0.40847  0.41120  0.45696  0.51298  0.56104  0.59885  0.63547  0.68149  0.74045  0.80891  0.88517  0.97883  1.11114  1.30298  1.55754  1.85003  2.13296  2.35538  2.48519  2.52166  2.49162  2.43248  2.37257  2.31849  2.25446  2.15189  1.98450  1.74297  1.44322  1.12454  0.83897  0.63845  0.56767  0.66651  0.98185  1.58697  2.60834  4.25904  6.87321 10.92670 17.01880 25.78530 37.72680 52.97550 71.07930 90.91190 110.78100 128.72100 142.86200 151.75800 154.58900
 -155.000 -155.000 137.09200 127.17000 113.84000 98.29040 81.80290 65.66500 51.01780 38.66850 28.95570 21.74640 16.57200 12.83730 10.01080  7.73088  5.81742  4.21788  2.93383  1.96455  1.28281  0.83803  0.57158  0.43032  0.37237  0.36728  0.39506  0.44604  0.51912  0.61600  0.73320  0.85859  0.97755  1.08648  1.20346  1.36567  1.61149  1.95602  2.37437  2.80376  3.16554  3.39671  3.47503  3.42411  3.29648  3.14455  2.99557  2.84303  2.65673  2.40484  2.07607  1.69114  1.29893  0.96141  0.73777  0.67767  0.82759  1.24801  2.03720  3.35771  5.46176  8.70884 13.56400 20.55980 30.20120 42.80030 58.26470 75.91600 94.44660 112.09100 126.98200 137.55300 142.83900 142.57200
 -150.000 -150.000 123.13600 112.87600 100.33100 86.39870 71.96720 57.94010 45.17040 34.31480 25.69340 19.24570 14.61320 11.30410  8.85531  6.93235  5.34871  4.02943  2.95498  2.11576  1.48993  1.04230  0.73359  0.52984  0.40664  0.34892  0.34947  0.40712  0.52276  0.69227  0.89945  1.11623  1.31452  1.48498  1.65028  1.86113  2.17352  2.61699  3.16995  3.75601  4.26654  4.60196  4.71282  4.61853  4.39223  4.12004  3.85810  3.61128  3.34322  3.00865  2.58776  2.10387  1.61769  1.20600  0.94071  0.88174  1.08791  1.64114  2.67528  4.39992  7.11104 11.18240 17.03460 25.07880 35.62550 48.74870 64.11810 80.86610 97.59120 112.57200 124.15300 131.14900 133.08300 130.17700
 -145.000 -145.000 110.57200 100.35800 88.82590 76.58490 64.16610 52.12390 41.04700 31.45770 23.67470 17.73240 13.40720 10.32890  8.11114  6.44316  5.12229  4.03941  3.14415  2.41173  1.82262  1.35595  0.99185  0.71579  0.52068  0.40619  0.37686  0.43939  0.59738  0.84311  1.15084  1.47958  1.78914  2.06333  2.32561  2.63478  3.05919  3.63958  4.35687  5.12116  5.79265  6.23216  6.36041  6.19362  5.83171  5.40333  5.00019  4.63973  4.27533  3.84238  3.30885  2.70096  2.09474  1.58667  1.26630  1.20867  1.49061  2.22282  3.58315  5.83453  9.31450 14.39340 21.41110 30.60800 42.05250 55.55280 70.55140 86.04640 100.63500 112.74500 121.01800 124.67500 123.68900 118.67100
 -140.000 -140.000 100.26800 90.38120 79.95830 69.35860 58.80480 48.54440 38.92410 30.34300 23.12860 17.42610 13.16530 10.11140  7.95931  6.41787  5.25965  4.33343  3.55321  2.87719  2.28744  1.77629  1.34097  0.98341  0.71088  0.53529  0.47120  0.53269  0.72724  1.04701  1.46241  1.92633  2.39230  2.83937  3.28809  3.79583  4.43040  5.23138  6.17368  7.15007  7.98962  8.51578  8.62350  8.33217  7.77669  7.13618  6.54267  6.02620  5.52662  4.95676  4.27177  3.50310  2.74609  2.12091  1.73861  1.69379  2.08685  3.06336  4.84932  7.75893 12.15830 18.38800 26.67130 37.04130 49.30160 62.99870 77.38350 91.38770 103.69100 112.95000 118.14700 118.89800 115.54400 108.97200
 -135.000 -135.000 92.69500 83.39020 74.13600 65.08010 56.18880 47.44590 38.98630 31.10450 24.15350 18.40570 13.95800 10.71870  8.46223  6.90914  5.79811  4.93006  4.18233  3.49810  2.86280  2.28108  1.76330  1.32204  0.97319  0.73665  0.63494  0.68951  0.91409  1.30594  1.84012  2.47419  3.16575  3.89438  4.67391  5.54576  6.55464  7.71434  8.97396 10.19920 11.18960 11.74170 11.74010 11.22300 10.37320  9.42835  8.56358  7.82051  7.12299  6.35992  5.47453  4.50594  3.57118  2.81598  2.37506  2.36622  2.91863  4.21695  6.53396 10.22320 15.65460 23.10550 32.64940 44.09460 56.98730 70.64810 84.19650 96.56860 106.59600 113.21200 115.74600 114.16400 109.08400 101.55400
