VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 11.37910  8.11389  5.42417  3.40414  2.00802  1.11402  0.58123  0.28503  0.13137  0.05713  0.02401  0.01079  0.00667  0.00650  0.00785  0.00942  0.01053  0.01097  0.01098  0.01128  0.01303  0.01817  0.03033  0.05598  0.10486  0.18783  0.31127  0.46921  0.63826  0.78081  0.85829  0.84853  0.75667  0.61211  0.45384  0.31384  0.20811  0.13772  0.09593  0.07526  0.07119  0.08233  0.10860  0.14919  0.20173  0.26318  0.33209  0.41047  0.50383  0.61905  0.76234  0.93981  1.16091  1.44168  1.80368  2.26937  2.85991  3.60203  4.54200  5.75448  7.33190  9.34937 11.81550 14.62810 17.55210 20.23240 22.24770 23.20300 22.84460 21.15340 18.37270 14.94460
 -175.000 -175.000 16.77140 11.96650  8.01213  5.04208  2.98715  1.66826  0.87905  0.43734  0.20579  0.09232  0.04093  0.02048  0.01489  0.01619  0.02021  0.02446  0.02739  0.02850  0.02837  0.02850  0.03083  0.03780  0.05316  0.08364  0.13982  0.23414  0.37449  0.55504  0.75007  0.91747  1.01382  1.01415  0.92398  0.77550  0.61067  0.46290  0.34800  0.26671  0.21344  0.18400  0.17878  0.20137  0.25493  0.33874  0.44664  0.56854  0.69440  0.81843  0.94111  1.06862  1.21207  1.38884  1.62555  1.95887  2.43127  3.08494  3.96152  5.11281  6.61637  8.57985 11.11900 14.30750 18.11470 22.35400 26.66190 30.52250 33.34240 34.57870 33.89390 31.28420 27.11520 22.03160
 -170.000 -170.000 22.98750 16.38320 10.96780  6.91063  4.10784  2.30926  1.23064  0.62325  0.30113  0.14050  0.06649  0.03739  0.03127  0.03666  0.04677  0.05686  0.06376  0.06635  0.06597  0.06571  0.06909  0.07901  0.09843  0.13253  0.19080  0.28589  0.42728  0.61144  0.81471  0.99640  1.11403  1.14306  1.08837  0.97932  0.85228  0.73350  0.63282  0.54935  0.48179  0.43558  0.42342  0.46051  0.55769  0.71563  0.92256  1.15704  1.39503  1.61770  1.81635  1.99341  2.16251  2.35062  2.60148  2.97556  3.54430  4.38313  5.57210  7.20727  9.41327 12.33820 16.11610 20.80030 26.28800 32.26530 38.19540 43.36300 46.98270 48.36410 47.10750 43.25890 37.34680 30.25720
 -165.000 -165.000 29.42730 20.91370 13.97680  8.80631  5.24928  2.97238  1.60592  0.83160  0.41514  0.20298  0.10331  0.06507  0.06082  0.07501  0.09703  0.11836  0.13285  0.13836  0.13766  0.13695  0.14261  0.15824  0.18459  0.22276  0.27847  0.36306  0.48824  0.65605  0.85082  1.04086  1.19179  1.28359  1.31908  1.31717  1.29666  1.26392  1.21358  1.14023  1.05098  0.97020  0.93440  0.98090  1.13538  1.40257  1.76318  2.17883  2.60375  2.99811  3.33721  3.61470  3.84361  4.05944  4.32444  4.72774  5.37866  6.39894  7.92278 10.10600 13.13160 17.19080 22.42750 28.85250 36.25630 44.15440 51.79380 58.23120 62.48460 63.74160 61.58620 56.16540 48.21220 38.87830
 -160.000 -160.000 35.33600 25.00400 16.65980 10.48760  6.26901  3.58067  1.96758  1.04680  0.54286  0.27940  0.15305  0.10658  0.10826  0.13817  0.18039  0.22055  0.24778  0.25834  0.25750  0.25676  0.26735  0.29402  0.33365  0.38014  0.43240  0.49915  0.59582  0.73449  0.91436  1.12083  1.33500  1.54551  1.75146  1.95249  2.13513  2.26922  2.32101  2.27521  2.15137  2.00445  1.90997  1.94181  2.15088  2.55076  3.11379  3.77921  4.47108  5.11900  5.67336  6.11225  6.44428  6.71289  7.00157  7.43409  8.16645  9.37712 11.26460 14.05180 17.98140 23.28200 30.09200 38.35640 47.72780 57.51770 66.72910 74.18220 78.71960 79.45760 76.02980 68.74460 58.57340 46.93510
 -155.000 -155.000 39.96680 28.12330 18.66380 11.73440  7.03791  4.06262  2.27812  1.25019  0.67555  0.36608  0.21458  0.16226  0.17505  0.22864  0.30035  0.36784  0.41363  0.43186  0.43162  0.43230  0.45243  0.49863  0.56226  0.62684  0.68157  0.73184  0.79917  0.91099  1.08841  1.34152  1.67351  2.08526  2.57022  3.09956  3.61133  4.01942  4.24484  4.25377  4.08031  3.82152  3.60875  3.56938  3.79281  4.30925  5.08498  6.03466  7.04658  8.01198  8.84800  9.50988  9.99696 10.35900 10.70280 11.19180 12.03580 13.47680 15.78090 19.23440 24.12780 30.70610 39.07710 49.09260 60.24460 71.62610 81.99860 89.97220 94.26820 94.00550 88.94440 79.60890 67.22350 53.44570
 -150.000 -150.000 42.75180 29.88910 19.74660 12.40000  7.46905  4.36608  2.50520  1.42126  0.80021  0.45482  0.28245  0.22755  0.25600  0.33951  0.44782  0.54913  0.61806  0.64642  0.64836  0.65347  0.68980  0.76668  0.86897  0.96751  1.03987  1.08817  1.14289  1.25189  1.46444  1.82135  2.35278  3.07427  3.97150  4.97851  5.96941  6.78248  7.27480  7.38173  7.14936  6.72401  6.30677  6.09482  6.23102  6.77387  7.69179  8.87987 10.19280 11.48260 12.62960 13.56070 14.26000 14.77910 15.24560 15.86410 16.90180 18.66740 21.49130 25.70830 31.62810 39.47370 49.28000 60.77270 73.26830 85.65500 96.49800 104.27100 107.66500 105.89500 98.92110 87.51620 73.13870 57.62130
 -145.000 -145.000 43.43310 30.15560 19.83090 12.44240  7.53468  4.46764  2.62737  1.54133  0.90202  0.53447  0.34746  0.29268  0.33804  0.45227  0.59792  0.73381  0.82678  0.86665  0.87332  0.88761  0.94820  1.06802  1.22575  1.37954  1.49553  1.57369  1.65585  1.81376  2.12845  2.67449  3.51101  4.66853  6.12262  7.76373  9.39073 10.75080 11.62010 11.88760 11.60120 10.95400 10.22220  9.68480  9.55334  9.93116 10.80510 12.06620 13.54930 15.07730 16.49890 17.71160 18.67850 19.44350 20.14690 21.02900 22.41370 24.67500 28.19820 33.34140 40.38930 49.48380 60.52780 73.07860 86.27210 98.83550 109.23000 115.91600 117.68400 113.95000 104.92800 91.63440 75.70350 59.04480
 -140.000 -140.000 42.11730 29.04150 19.01750 11.93110  7.27221  4.37992  2.64211  1.60138  0.97083  0.59562  0.40011  0.34549  0.40327  0.54071  0.71504  0.87793  0.99043  1.04139  1.05623  1.08598  1.17931  1.35349  1.58350  1.81828  2.01592  2.17668  2.35499  2.64643  3.16270  4.01015  5.27413  6.99724  9.14234 11.55410 13.95310 15.98960 17.34690 17.85030 17.52980 16.60900 15.43250 14.36650 13.70690 13.62410 14.14840 15.19250 16.59580 18.17330 19.75570 21.21630 22.49240 23.60910 24.70550 26.04720 28.00790 31.02000 35.50730 41.81660 50.15070 60.49810 72.55750 85.67060 98.79600 110.57100 119.48300 124.14600 123.60400 117.57100 106.54200 91.73300 74.85220 57.76460
 -135.000 -135.000 39.23950 26.89290 17.55630 11.02990  6.77882  4.15420  2.57279  1.60977  1.00789  0.63600  0.43519  0.37656  0.43595  0.58087  0.76631  0.94081  1.06330  1.12329  1.15054  1.20332  1.33796  1.57685  1.89596  2.24229  2.57281  2.89204  3.26656  3.81142  4.66175  5.94669  7.76862 10.17470 13.11220 16.38340 19.63910 22.43920 24.37080 25.17790 24.84320 23.59160 21.81900 19.97970 18.47250 17.56260 17.35530 17.81550 18.81530 20.18560 21.75700 23.38760 24.98790 26.55530 28.21530 30.24630 33.06030 37.13390 42.90480 50.66630 60.47800 72.10120 84.96000 98.13830 110.43200 120.47300 126.92700 128.73900 125.35500 116.87000 104.05500 88.23680 71.07850 54.27310
