VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  3.81122  2.38864  1.40190  0.76816  0.39190  0.18578  0.08173  0.03336  0.01265  0.00447  0.00149  0.00048  0.00019  0.00015  0.00022  0.00034  0.00050  0.00069  0.00090  0.00117  0.00154  0.00208  0.00283  0.00378  0.00492  0.00631  0.00821  0.01128  0.01667  0.02606  0.04139  0.06429  0.09513  0.13212  0.17078  0.20452  0.22637  0.23134  0.21836  0.19075  0.15490  0.11798  0.08563  0.06086  0.04409  0.03420  0.02977  0.02998  0.03500  0.04601  0.06545  0.09805  0.15339  0.25065  0.42591  0.74147  1.29342  2.20926  3.62403  5.62853  8.19952 11.14270 14.08980 16.57140 18.14940 18.55110 17.74550 15.93280 13.46170 10.72290  8.05859  5.71139
 -175.000 -175.000  6.47206  4.08575  2.42517  1.34966  0.70240  0.34114  0.15442  0.06514  0.02564  0.00945  0.00330  0.00115  0.00052  0.00049  0.00073  0.00115  0.00169  0.00232  0.00304  0.00393  0.00516  0.00694  0.00939  0.01251  0.01619  0.02048  0.02597  0.03411  0.04756  0.07000  0.10552  0.15730  0.22563  0.30614  0.38900  0.46035  0.50588  0.51559  0.48748  0.42845  0.35168  0.27207  0.20167  0.14714  0.10980  0.08764  0.07795  0.07929  0.09232  0.11990  0.16762  0.24602  0.37585  0.59698  0.98117  1.64619  2.76452  4.55271  7.22449 10.90030 15.49300 20.62300 25.62770 29.69960 32.11530 32.46030 30.74500 27.36810 22.96030 18.19460 13.63570  9.66517
 -170.000 -170.000 10.96990  7.02151  4.23439  2.39876  1.27312  0.63179  0.29286  0.12684  0.05141  0.01959  0.00711  0.00264  0.00136  0.00142  0.00220  0.00348  0.00513  0.00704  0.00923  0.01191  0.01560  0.02090  0.02819  0.03744  0.04825  0.06052  0.07528  0.09561  0.12698  0.17683  0.25299  0.36088  0.49984  0.66009  0.82189  0.95868  1.04397  1.05980  1.00312  0.88705  0.73631  0.57900  0.43837  0.32794  0.25124  0.20532  0.18574  0.19038  0.22120  0.28469  0.39306  0.56902  0.85586  1.33370  2.14000  3.48831  5.67212  9.03311 13.87260 20.30350 28.08310 36.50760 44.46550 50.67970 54.07220 54.09420 50.86980 45.10220 37.81170 30.04200 22.64670 16.19480
 -165.000 -165.000 18.04650 11.71950  7.17577  4.12982  2.22850  1.12567  0.53201  0.23547  0.09784  0.03836  0.01442  0.00567  0.00325  0.00374  0.00595  0.00945  0.01396  0.01919  0.02517  0.03250  0.04255  0.05692  0.07665  0.10158  0.13053  0.16272  0.19974  0.24737  0.31606  0.41956  0.57143  0.77960  1.04023  1.33309  1.62169  1.85965  2.00274  2.02236  1.91502  1.70376  1.43068  1.14388  0.88419  0.67675  0.52994  0.44083  0.40336  0.41526  0.48148  0.61564  0.84323  1.21109  1.80628  2.78386  4.39762  7.01980 11.12620 17.21800 25.66110 36.45890 49.03280 62.13510 74.00370 82.77180 86.99760 86.08680 80.41780 71.13680 59.75620 47.75800 36.33380 26.28770
 -160.000 -160.000 28.32760 18.62770 11.55060  6.73360  3.68260  1.88743  0.90679  0.40906  0.17380  0.06995  0.02719  0.01130  0.00718  0.00890  0.01443  0.02303  0.03410  0.04704  0.06186  0.08013  0.10509  0.14062  0.18925  0.25049  0.32125  0.39875  0.48480  0.58928  0.73053  0.93196  1.21484  1.58869  2.04171  2.53538  3.00724  3.38332  3.59710  3.60864  3.41646  3.05791  2.59812  2.11181  1.66437  1.29903  1.03399  0.86948  0.79966  0.82373  0.95247  1.21250  1.65408  2.36950  3.52620  5.41158  8.47530 13.34030 20.74280 31.36500 45.55570 63.00000 82.47350 101.85200 118.47500 129.80700 134.15300 131.10100 121.53400 107.22000 90.25260 72.57390 55.72230 40.76640
 -155.000 -155.000 41.96590 27.86660 17.45030 10.27660  5.68189  2.94829  1.43719  0.65972  0.28619  0.11803  0.04732  0.02075  0.01446  0.01906  0.03142  0.05042  0.07495  0.10386  0.13739  0.17900  0.23582  0.31634  0.42596  0.56347  0.72160  0.89279  1.07765  1.29131  1.56349  1.93106  2.42451  3.05189  3.78537  4.55686  5.26718  5.80802  6.08973  6.06461  5.73824  5.16654  4.44095  3.66665  2.93968  2.32948  1.87274  1.57991  1.45030  1.48793  1.71363  2.17567  2.96729  4.26053  6.36093  9.77516 15.26310 23.82160 36.53710 54.26420 77.16570 104.25800 133.19700 160.51700 182.37400 195.56800 198.42100 191.13400 175.48700 154.11800 129.76800 104.80100 81.04540 59.81880
 -150.000 -150.000 58.25820 38.95910 24.57800 14.59070  8.14115  4.27058  2.10966  0.98428  0.43534  0.18366  0.07579  0.03497  0.02650  0.03677  0.06151  0.09930  0.14849  0.20731  0.27673  0.36395  0.48320  0.65114  0.87824  1.16163  1.48582  1.83323  2.19964  2.60539  3.09489  3.72239  4.52840  5.51432  6.62501  7.74886  8.73877  9.44866  9.77058  9.65845  9.13276  8.27044  7.18738  6.01784  4.89217  3.91606  3.15825  2.65241  2.41209  2.45161  2.80713  3.56002  4.87230  7.04509 10.60350 16.39140 25.62600 39.82550 60.51270 88.65790 123.96300 164.27300 205.48400 242.21400 269.13700 282.49400 281.10500 266.41800 241.67600 210.70100 176.94400 143.08800 111.11300 82.49040
 -145.000 -145.000 75.45290 50.69610 32.15810 19.21440 10.80590  5.72452  2.86296  1.35603  0.61049  0.26282  0.11130  0.05387  0.04407  0.06394  0.10848  0.17650  0.26622  0.37582  0.50830  0.67761  0.90961  1.23392  1.66857  2.20719  2.81958  3.46929  4.13979  4.85361  5.67162  6.66934  7.89855  9.34867 10.92530 12.45880 13.74440 14.59900 14.90700 14.63800 13.83610 12.59770 11.05470  9.36266  7.68737  6.18322  4.97045  4.12514  3.68855  3.69245  4.19398  5.32100  7.33648 10.73280 16.35500 25.52410 40.07960 62.20970 93.93440 136.21800 187.92800 245.11500 301.18200 348.20800 379.13500 389.87700 380.39400 354.19500 316.66900 273.20800 228.02800 183.97700 142.96400 106.42200
 -140.000 -140.000 90.95650 61.28050 39.02620 23.44200 13.27530  7.09586  3.58889  1.72305  0.78784  0.34509  0.14949  0.07569  0.06645  0.10041  0.17292  0.28435  0.43431  0.62278  0.85776  1.16420  1.58517  2.16835  2.94144  3.89116  4.96310  6.08826  7.22436  8.38740  9.65316 11.12250 12.86310 14.85220 16.94910 18.91520 20.48210 21.43260 21.65610 21.15170 19.99270 18.28880 16.17270 13.81020 11.40330  9.17058  7.30763  5.95614  5.20058  5.09732  5.72958  7.28530 10.16300 15.11280 23.40430 36.97390 58.43450 90.76010 136.47400 196.34600 267.97600 344.98400 417.57700 474.77700 507.65500 512.15800 490.10900 447.92400 393.84200 335.20200 277.03500 222.17200 172.16100 128.10900
 -135.000 -135.000 101.97500 68.77580 43.91800 26.49490 15.09530  8.13289  4.15398  2.01742  0.93424  0.41494  0.18323  0.09682  0.09094  0.14290  0.25043  0.41793  0.64968  0.95174  1.34218  1.86274  2.57929  3.56173  4.84794  6.41240  8.16364  9.98076 11.77360 13.53380 15.34450 17.33680 19.60710 22.13340 24.73450 27.10270 28.90300 29.88680 29.95480 29.14140 27.54720 25.28320 22.46890 19.27150 15.93410 12.75690 10.03470  7.99565  6.77956  6.47188  7.18509  9.17903 13.01840 19.76770 31.20500 49.98490 79.58750 123.81200 185.61000 265.32300 358.87800 456.95000 546.08200 611.98000 643.93100 638.34200 599.56500 537.61300 464.09400 388.56600 316.88500 251.67100 193.81100 143.75400
