VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 15.80170 11.05770  7.29264  4.54560  2.69208  1.52674  0.83689  0.44727  0.23435  0.12061  0.06098  0.03034  0.01492  0.00730  0.00363  0.00210  0.00203  0.00352  0.00723  0.01423  0.02574  0.04274  0.06579  0.09533  0.13211  0.17735  0.23157  0.29227  0.35202  0.39905  0.42108  0.41090  0.37003  0.30840  0.24011  0.17811  0.13051  0.09975  0.08380  0.07827  0.07835  0.08029  0.08238  0.08561  0.09410  0.11539  0.16064  0.24444  0.38313  0.59064  0.87279  1.22378  1.63140  2.09474  2.65129  3.40105  4.51211  6.19616  8.65431 12.00700 16.23050 21.12350 26.31440 31.30630 35.54530 38.50070 39.74900 39.05790 36.45260 32.23830 26.95440 21.26250
 -175.000 -175.000 23.11120 16.00900 10.46140  6.47480  3.82243  2.17438  1.20607  0.65934  0.35762  0.19289  0.10352  0.05534  0.02947  0.01561  0.00831  0.00497  0.00468  0.00781  0.01583  0.03106  0.05610  0.09295  0.14242  0.20444  0.27902  0.36673  0.46721  0.57568  0.67983  0.76059  0.79823  0.78107  0.71160  0.60601  0.48776  0.37898  0.29435  0.23906  0.21029  0.20041  0.20045  0.20319  0.20545  0.20953  0.22368  0.26181  0.34289  0.48983  0.72695  1.07456  1.54146  2.12084  2.79894  3.58274  4.54156  5.84335  7.75970 10.62150 14.72710 20.22710 27.02790 34.75050 42.76170 50.26320 56.41040 60.43180 61.74580 60.07230 55.52280 48.62570 40.25010 31.42480
 -170.000 -170.000 32.07100 22.02030 14.28720  8.80444  5.19775  2.97509  1.67396  0.93740  0.52672  0.29810  0.17012  0.09774  0.05612  0.03182  0.01785  0.01088  0.00990  0.01584  0.03164  0.06190  0.11175  0.18507  0.28308  0.40441  0.54670  0.70780  0.88428  1.06690  1.23650  1.36513  1.42469  1.39906  1.29256  1.12931  0.94431  0.77149  0.63456  0.54328  0.49447  0.47615  0.47313  0.47287  0.47031  0.47069  0.48988  0.55239  0.68836  0.93046  1.31036  1.85312  2.56972  3.45424  4.49787  5.72854  7.26915  9.38631 12.49140 17.06730 23.52530 32.03250 42.37510 53.91220 65.64230 76.35520 84.81710 89.94920 90.99030 87.64600 80.20070 69.53160 56.97190 44.03320
 -165.000 -165.000 42.27790 28.77280 18.52850 11.35840  6.69463  3.84673  2.19006  1.25451  0.73124  0.43626  0.26623  0.16467  0.10139  0.06087  0.03553  0.02193  0.01929  0.02960  0.05819  0.11339  0.20461  0.33907  0.51886  0.74039  0.99645  1.27850  1.57573  1.87039  2.13367  2.32809  2.41862  2.38725  2.24232  2.01688  1.75757  1.51035  1.30916  1.16993  1.09010  1.05279  1.03487  1.01699  0.99268  0.97348  0.98852  1.07900  1.29023  1.66470  2.23754  3.03309  4.06132  5.32016  6.81745  8.62353 10.94530 14.18430 18.92720 25.83300 35.42680 47.86000 62.73080 79.04140 95.31310 109.81700 120.84300 126.95500 127.21100 121.36200 109.97100 94.40000 76.58040 58.60550
 -160.000 -160.000 53.14570 35.83610 22.87500 13.91490  8.15653  4.68212  2.68539  1.57106  0.95302  0.60333  0.39558  0.26287  0.17201  0.10809  0.06504  0.04056  0.03477  0.05136  0.09925  0.19240  0.34687  0.57534  0.88192  1.26017  1.69520  2.16693  2.65042  3.11270  3.51106  3.79874  3.93836  3.91637  3.74946  3.47963  3.16144  2.84841  2.58204  2.38450  2.25513  2.17300  2.10706  2.03167  1.94182  1.86144  1.84139  1.94780  2.24576  2.78615  3.60031  4.70223  6.09464  7.78227  9.80531 12.30480 15.60870 20.29210 27.14770 37.02150 50.53320 67.76570 88.04710 109.92300 131.33900 149.96200 163.55400 170.30300 169.12100 159.88200 143.54300 122.07200 98.10010 74.36780
 -155.000 -155.000 63.99790 42.74810 27.01460 16.26130  9.43692  5.38076  3.09360  1.84667  1.17078  0.79090  0.55730  0.39500  0.27162  0.17683  0.10908  0.06894  0.05833  0.08355  0.15852  0.30516  0.54901  0.91108  1.39950  2.00526  2.70343  3.45678  4.21760  4.92844  5.52665  5.95676  6.18652  6.21701  6.07986  5.82453  5.50448  5.16881  4.85730  4.59444  4.38225  4.19892  4.00965  3.78794  3.53793  3.30629  3.17723  3.25180  3.62007  4.33920  5.42787  6.87773  8.67565 10.83450 13.44200 16.73920 21.21230 27.64620 37.06190 50.48990 68.60820 91.36170 117.71600 145.66400 172.49400 195.22100 211.06900 217.88900 214.52400 201.06900 178.97900 150.91100 120.23900 90.36090
 -150.000 -150.000 74.13780 49.07480 30.68620 18.24170 10.44010  5.88118  3.37360  2.05318  1.36492  0.98519  0.74176  0.55461  0.39643  0.26550  0.16773  0.10828  0.09196  0.12877  0.23949  0.45656  0.81829  1.35734  2.08877  3.00260  4.06301  5.21084  6.36712  7.43964  8.33864  9.00029  9.40611  9.58385  9.58724  9.46905  9.26608  9.00168  8.69509  8.36238  8.00718  7.61338  7.15397  6.61622  6.02965  5.47995  5.09911  5.03372  5.40367  6.27087  7.63396  9.45197 11.68710 14.35850 17.61070 21.80500 27.61410 36.05850 48.39990 65.84030 89.07140 117.82500 150.61000 184.77900 216.89900 243.32400 260.78400 266.89600 260.55800 242.20900 213.88600 178.95300 141.50500 105.53000
 -145.000 -145.000 82.89060 54.43700 33.70250 19.77820 11.14130  6.17830  3.52239  2.18228  1.52045  1.16653  0.92813  0.72333  0.53295  0.36627  0.23814  0.15925  0.13824  0.19032  0.34541  0.64960  1.15746  1.91709  2.95408  4.26050  5.79071  7.46156  9.15654 10.74030 12.08980 13.13270 13.87190 14.37120 14.71040 14.93650 15.04680 15.00770 14.78770 14.37500 13.77040 12.97500 11.99280 10.85400  9.64273  8.50748  7.64416  7.25303  7.48605  8.40861  9.99632 12.17120 14.86570 18.10000 22.07400 27.27310 34.56500 45.21480 60.72410 82.44640 111.04300 145.96500 185.18300 225.33000 262.21600 291.55100 309.67300 314.11900 304.02000 280.30600 245.64800 204.08700 160.31900 118.79400
 -140.000 -140.000 89.65250 58.52740 35.94970 20.86430 11.57980  6.31818  3.57249  2.24548  1.62888  1.31245  1.08816  0.87462  0.66143  0.46807  0.31709  0.22404  0.20188  0.27294  0.47930  0.88439  1.56318  2.58357  3.98628  5.76980  7.88203 10.21660 12.61750 14.90230 16.91120 18.56440 19.88860 20.98650 21.95890 22.83000 23.52670 23.91830 23.88240 23.35040 22.31390 20.81010 18.91400 16.74850 14.49770 12.40500 10.74480  9.77181  9.66489 10.48910 12.19790 14.68030 17.83990 21.69310 26.48300 32.80430 41.70580 54.68220 73.45720 99.50930 133.43000 174.33500 219.60000 265.09300 305.85000 336.99400 354.60400 356.33500 341.76500 312.46000 271.76300 224.30000 175.19300 129.14800
 -135.000 -135.000 93.98310 61.14500 37.38460 21.54390 11.83240  6.37528  3.57719  2.26863  1.69095  1.40625  1.19730  0.98496  0.76541  0.56384  0.40606  0.30972  0.29186  0.38399  0.64401  1.15737  2.02479  3.33999  5.16543  7.51260 10.32820 13.48610 16.79150 20.01540 22.96240 25.54500 27.81190 29.89510 31.89800 33.79370 35.39980 36.44130 36.65790 35.89130 34.12010 31.45000 28.09000 24.32880 20.51340 17.01850 14.20440 12.36740 11.69380 12.23650 13.92780 16.63300 20.23620 24.74860 30.44110 37.99150 48.59550 63.94130 85.93510 116.14000 155.03700 201.37600 251.91400 301.74700 345.17700 376.83000 392.68100 390.71200 371.15100 336.32800 290.26400 238.04000 184.98700 135.83300
 -130.000 -130.000 95.72790 62.24680 38.03930 21.88920 11.98230  6.42396  3.59121  2.28380  1.71888  1.44638  1.24757  1.04666  0.84205  0.65761  0.51534  0.43037  0.42253  0.53424  0.84330  1.46305  2.52765  4.16633  6.47432  9.48664 13.15650 17.34080 21.80660 26.27770 30.52340 34.44730 38.11080 41.65440 45.15120 48.48170 51.30620 53.15530 53.58410 52.31800 49.33340 44.86110 39.33240 33.29780 27.33960 21.99590 17.70500 14.77130 13.35070 13.45850 15.00000 17.82740 21.81890 26.98670 33.62080 42.45570 54.79350 72.46270 97.49150 131.46800 174.71800 225.60500 280.28800 333.15100 377.85600 408.66900 421.63100 415.23300 390.49500 350.58100 300.15100 244.58800 189.21400 138.54700
 -125.000 -125.000 95.09950 61.98550 38.02440 21.98360 12.09450  6.51451  3.65243  2.31875  1.73287  1.44819  1.25191  1.07213  0.90483  0.76482  0.66252  0.60480  0.61181  0.73780  1.08466  1.80124  3.06697  5.06299  7.93659 11.76400 16.51530 22.02980 28.02590 34.16690 40.17540 45.93560 51.50610 57.00850 62.44500 67.55270 71.78230 74.41960 74.80130 72.53300 67.63100 60.53860 52.02460 43.00660 34.36840 26.82480 20.85940 16.72810 14.50030 14.11420 15.43250 18.29790 22.59690 28.35610 35.88800 45.97040 59.97640 79.81620 107.56600 144.76200 191.52500 245.82600 303.27900 357.67900 402.20800 430.95500 440.19300 429.04600 399.38400 355.18600 301.63900 244.27200 188.20800 137.57200
 -120.000 -120.000 92.65230 60.69010 37.51220 21.90550 12.19950  6.65825  3.76826  2.38431  1.74963  1.43342  1.23432  1.08458  0.97416  0.90294  0.86331  0.84842  0.87543  1.01041  1.38380  2.19083  3.67553  6.09912  9.69451 14.60900 20.84270 28.20510 36.32810 44.76290 53.13730 61.28340 69.23630 77.07920 84.71590 91.69960 97.22530 100.30000 100.03200 95.94470 88.17970 77.51410 65.17830 52.54950 40.84870 30.94460 23.30440 18.06050 15.12910 14.32540 15.44480 18.31440 22.83710 29.06960 37.36220 48.53940 64.02420 85.75830 115.79100 155.53100 204.84100 261.30800 320.08900 374.54300 417.58000 443.30800 448.39100 432.64300 398.75200 351.38400 296.10000 238.40500 183.07500 133.73800
