VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 10.41320  7.44506  4.99950  3.23362  2.09943  1.43011  1.03699  0.77598  0.56941  0.39299  0.24882  0.14266  0.07361  0.03408  0.01414  0.00525  0.00175  0.00052  0.00015  0.00006  0.00008  0.00015  0.00029  0.00050  0.00076  0.00107  0.00136  0.00160  0.00180  0.00197  0.00219  0.00248  0.00287  0.00336  0.00406  0.00527  0.00762  0.01201  0.01950  0.03080  0.04561  0.06207  0.07682  0.08596  0.08672  0.07882  0.06480  0.04915  0.03727  0.03552  0.05319  0.10552  0.21601  0.41483  0.73184  1.18561  1.77455  2.47807  3.27124  4.14799  5.14069  6.32275  7.78727  9.60257 11.75360 14.08770 16.29360 17.94430 18.61470 18.03870 16.23390 13.52010
 -175.000 -175.000 14.85580 10.55450  7.03881  4.50540  2.87500  1.91126  1.35063  0.99038  0.71748  0.49167  0.31013  0.17748  0.09148  0.04233  0.01756  0.00652  0.00217  0.00066  0.00021  0.00014  0.00025  0.00052  0.00098  0.00167  0.00258  0.00360  0.00460  0.00545  0.00613  0.00675  0.00748  0.00847  0.00973  0.01123  0.01313  0.01604  0.02124  0.03062  0.04622  0.06930  0.09907  0.13168  0.16039  0.17758  0.17797  0.16120  0.13241  0.10029  0.07476  0.06657  0.09023  0.16930  0.34063  0.65323  1.15840  1.89333  2.86628  4.05476  5.42284  6.95205  8.66935 10.65310 13.00520 15.78840 18.94510 22.22580 25.17170 27.19110 27.73040 26.48610 23.55450 19.43240
 -170.000 -170.000 19.90360 14.02430  9.26571  5.84960  3.65055  2.35134  1.60538  1.14461  0.81428  0.55234  0.34654  0.19777  0.10181  0.04708  0.01952  0.00725  0.00242  0.00076  0.00031  0.00036  0.00074  0.00155  0.00294  0.00504  0.00779  0.01093  0.01402  0.01669  0.01884  0.02079  0.02307  0.02607  0.02983  0.03412  0.03907  0.04574  0.05657  0.07507  0.10479  0.14757  0.20140  0.25895  0.30817  0.33586  0.33323  0.30033  0.24659  0.18731  0.13905  0.11834  0.14587  0.25483  0.49848  0.95039  1.69264  2.79352  4.28482  6.15333  8.35630 10.85630 13.65720 16.81510 20.40780 24.45740 28.82740 33.13810 36.76120 38.93740 39.00950 36.68490 32.19750 26.27390
 -165.000 -165.000 25.09760 17.51360 11.44410  7.11011  4.32437  2.68245  1.75376  1.20438  0.83530  0.55835  0.34760  0.19759  0.10152  0.04690  0.01944  0.00723  0.00243  0.00082  0.00051  0.00088  0.00198  0.00418  0.00796  0.01366  0.02120  0.02985  0.03845  0.04597  0.05214  0.05775  0.06421  0.07257  0.08285  0.09428  0.10653  0.12124  0.14265  0.17674  0.22898  0.30127  0.38890  0.47902  0.55223  0.58848  0.57542  0.51483  0.42276  0.32357  0.24228  0.20196  0.22954  0.36813  0.68927  1.29642  2.31274  3.85372  5.99461  8.74994 12.07890 15.91690 20.21580 24.96420 30.16090 35.73290 41.42090 46.69080 50.74760 52.69870 51.84300 47.97020 41.51580 33.47470
 -160.000 -160.000 29.88070 20.63340 13.32370  8.13948  4.81742  2.86665  1.77998  1.16449  0.77968  0.51020  0.31399  0.17745  0.09091  0.04195  0.01738  0.00648  0.00223  0.00091  0.00095  0.00207  0.00480  0.01015  0.01937  0.03335  0.05190  0.07337  0.09499  0.11420  0.13027  0.14500  0.16170  0.18294  0.20872  0.23684  0.26556  0.29683  0.33739  0.39664  0.48201  0.59392  0.72231  0.84614  0.93739  0.96977  0.92963  0.82342  0.67658  0.52430  0.40057  0.33447  0.35806  0.52364  0.92201  1.69113  3.00603  5.04765  7.95854 11.80340 16.55350 22.10430 28.31550 35.04500 42.14010 49.36740 56.30450 62.26030 66.31250 67.51030 65.20060 59.33860 50.61350 40.29880
 -155.000 -155.000 33.73250 23.04470 14.70690  8.84046  5.09719  2.90847  1.70590  1.05137  0.67116  0.42590  0.25766  0.14438  0.07370  0.03398  0.01410  0.00529  0.00193  0.00111  0.00185  0.00451  0.01053  0.02229  0.04258  0.07343  0.11464  0.16278  0.21191  0.25643  0.29451  0.32978  0.36929  0.41865  0.47786  0.54168  0.60491  0.66870  0.74270  0.84051  0.97091  1.12997  1.29812  1.44326  1.52915  1.52727  1.42856  1.24945  1.02770  0.80952  0.63622  0.54051  0.55755  0.74776  1.22209  2.15760  3.79180  6.38900 10.18200 15.30550 21.74760 29.34250 37.80670 46.79420 55.92270 64.73900 72.63650 78.79710 82.24960 82.09340 77.83110 69.65920 58.54530 46.01590
 -150.000 -150.000 36.29250 24.53790 15.49320  9.18520  5.18013  2.84759  1.57941  0.91095  0.54781  0.33339  0.19696  0.10917  0.05557  0.02568  0.01073  0.00412  0.00173  0.00161  0.00357  0.00900  0.02102  0.04443  0.08482  0.14645  0.22929  0.32702  0.42833  0.52214  0.60442  0.68167  0.76733  0.87240  0.99709  1.13062  1.26056  1.38453  1.51436  1.66793  1.85392  2.06006  2.25237  2.38539  2.41776  2.32700  2.11877  1.82713  1.50481  1.20701  0.97809  0.85043  0.86006  1.07534  1.62948  2.74389  4.72834  7.94505 12.73290 19.30570 27.66050 37.53670 48.44950 59.77760 70.84490 80.94360 89.29640 95.02400 97.21400 95.13630 88.54840 77.93780 64.53980 50.07410
 -145.000 -145.000 37.41980 25.05860 15.68230  9.20441  5.11302  2.73714  1.45309  0.79013  0.44756  0.26046  0.15023  0.08275  0.04239  0.01988  0.00850  0.00346  0.00185  0.00263  0.00655  0.01658  0.03848  0.08093  0.15412  0.26608  0.41750  0.59808  0.78841  0.96888  1.13151  1.28656  1.45696  1.66226  1.90336  2.16071  2.40891  2.63660  2.85436  3.08251  3.32740  3.56469  3.74246  3.80213  3.70400  3.44395  3.05550  2.59898  2.14335  1.74838  1.45509  1.29106  1.29207  1.53650  2.18404  3.50656  5.89376  9.81352 15.71410 23.88060 34.29320 46.55170 59.91320 73.42640 86.08850 96.94330 105.09500 109.69700 110.01000 105.58200 96.49190 83.53080 68.15840 52.20510
 -140.000 -140.000 37.17830 24.68150 15.34330  8.95704  4.94576  2.62063  1.36554  0.72239  0.39779  0.22770  0.13158  0.07384  0.03900  0.01901  0.00854  0.00379  0.00256  0.00446  0.01139  0.02850  0.06535  0.13623  0.25804  0.44453  0.69808  1.00376  1.33171  1.65047  1.94578  2.23172  2.54334  2.91215  3.34087  3.79787  4.23726  4.62937  4.97539  5.29261  5.58206  5.80634  5.89732  5.78949  5.45623  4.92641  4.27442  3.59331  2.96672  2.45203  2.07978  1.86928  1.85759  2.13808  2.90338  4.48176  7.34643 12.06870 19.19360 29.05080 41.56200 56.13840 71.73500 87.04770 100.75700 111.70800 118.96900 121.82700 119.81200 112.81700 101.26800 86.23490 69.33750 52.43180
 -135.000 -135.000 35.77630 23.55850 14.57510  8.50155  4.71184  2.51925  1.33328  0.72270  0.41208  0.24648  0.14952  0.08813  0.04881  0.02490  0.01171  0.00554  0.00417  0.00757  0.01899  0.04647  0.10467  0.21529  0.40403  0.69240  1.08594  1.56524  2.08853  2.60979  3.10545  3.59181  4.11697  4.72720  5.42921  6.17714  6.89626  7.52499  8.04037  8.44577  8.73348  8.85791  8.74635  8.34211  7.64846  6.74154  5.74499  4.78503  3.95361  3.29662  2.82741  2.55604  2.52540  2.85150  3.76720  5.66089  9.08595 14.70300 23.12550 34.68540 49.19820 65.84650 83.26640 99.81940 113.92500 124.31000 130.09800 130.79200 126.24300 116.70800 102.94300 86.24580 68.32940 51.00300
 -130.000 -130.000 33.50040 21.87730 13.48260  7.88508  4.42531  2.43267  1.35284  0.78922  0.49105  0.31898  0.20665  0.12784  0.07336  0.03847  0.01854  0.00905  0.00706  0.01268  0.03082  0.07336  0.16146  0.32610  0.60380  1.02574  1.60214  2.30992  3.09481  3.89382  4.66991  5.43739  6.25547  7.18697  8.24623  9.37387 10.45870 11.39040 12.10030 12.56140 12.75430 12.63840 12.16100 11.30150 10.11450  8.73440  7.33377  6.06350  5.01166  4.20200  3.62543  3.28414  3.23337  3.61992  4.72239  6.98801 11.03810 17.59590 27.30320 40.44670 56.69510 74.98620 93.66010 110.80600 124.67100 133.95800 137.92000 136.31200 129.31200 117.50400 101.92100 84.03290 65.58910 48.30340
 -125.000 -125.000 30.67070 19.84170 12.17490  7.15131  4.09152  2.34849  1.40685  0.90604  0.62261  0.43705  0.29801  0.19024  0.11130  0.05913  0.02886  0.01446  0.01174  0.02101  0.04950  0.11431  0.24523  0.48496  0.88336  1.48335  2.30109  3.30987  4.44113  5.61022  6.75922  7.89223  9.07457 10.38680 11.85750 13.41910 14.91960 16.18220 17.06800 17.50040 17.44790 16.89660 15.85050 14.36160 12.55880 10.63900  8.81316  7.23900  5.98404  5.03902  4.36876  3.96984  3.91531  4.38771  5.71175  8.38480 13.07430 20.53040 31.37800 45.81800 63.35340 82.69730 101.95700 119.04700 132.14800 140.02100 142.09300 138.35800 129.26400 115.65500 98.76900 80.18840 61.65770 44.77390
 -120.000 -120.000 27.61090 17.66440 10.77300  6.35359  3.72016  2.25180  1.46914  1.04441  0.78059  0.57978  0.40863  0.26568  0.15705  0.08405  0.04148  0.02159  0.01899  0.03465  0.07958  0.17864  0.37403  0.72501  1.29977  2.15676  3.31899  4.75276  6.36653  8.04034  9.67882 11.26090 12.85030 14.54920 16.41310 18.37940 20.25820 21.79350 22.75430 22.99890 22.48830 21.26420 19.42930 17.14570 14.63530 12.15280  9.92741  8.09988  6.69923  5.67425  4.96160  4.55316  4.54024  5.13884  6.71204  9.79030 15.05820 23.25380 34.94590 50.22660 68.44500 88.14540 107.29800 123.75500 135.73200 142.11300 142.49500 137.06600 126.45800 111.67500 94.07820 75.30640 57.07210 40.85330
 -115.000 -115.000 24.62000 15.55320  9.40496  5.55730  3.33031  2.13017  1.50853  1.16508  0.92600  0.71396  0.51360  0.33759  0.20079  0.10807  0.05419  0.03012  0.03003  0.05711  0.12885  0.28272  0.58095  1.10983  1.96756  3.23722  4.94992  7.05342  9.40734 11.81990 14.12020 16.23400 18.21520 20.20060 22.30040 24.48600 26.54630 28.14620 28.95230 28.75250 27.51200 25.35760 22.52740 19.32120 16.05990 13.04160 10.48700  8.49524  7.04194  6.02912  5.36479  5.03393  5.13922  5.91823  7.75523 11.19010 16.89400 25.55930 37.67500 53.22610 71.44880 90.79860 109.21400 124.59000 135.25600 140.24900 139.31900 132.77800 121.34400 106.08500 88.39610 69.91730 52.30700 36.93430
