VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 23.12790 19.20570 14.83240 10.65180  7.12008  4.44056  2.59590  1.43382  0.75746  0.38901  0.19807  0.10286  0.05826  0.04187  0.04386  0.06102  0.09344  0.14216  0.20753  0.28961  0.39088  0.51926  0.68661  0.89964  1.14592  1.38583  1.56056  1.61674  1.53404  1.33749  1.08627  0.84723  0.67033  0.57818  0.56949  0.62861  0.73445  0.86752  1.01600  1.17952  1.36747  1.59032  1.84878  2.12904  2.41020  2.68062  2.95277  3.26603  3.67623  4.23909  4.99578  5.96084  7.10833  8.35745  9.57094 10.58170 11.24760 11.51110 11.42980 11.16070 10.90870 10.87600 11.23750 12.14010 13.69720 15.94760 18.78230 21.88100 24.71500 26.65350 27.14920 25.93390
 -175.000 -175.000 31.62610 26.29580 20.38220 14.72900  9.93722  6.27927  3.73807  2.11653  1.15539  0.61812  0.33004  0.18092  0.10917  0.08331  0.08853  0.11911  0.17396  0.25305  0.35444  0.47416  0.61008  0.76731  0.95861  1.19432  1.46504  1.72990  1.92438  1.98871  1.90082  1.69130  1.43055  1.19778  1.05272  1.02349  1.10973  1.29123  1.53597  1.80798  2.07748  2.33028  2.57025  2.81161  3.06710  3.34207  3.64022  3.97603  4.38303  4.91135  5.61756  6.55442  7.76271  9.25776 11.00450 12.88980 14.71620 16.24290 17.26760 17.71470 17.67710 17.38550 17.12690 17.16490 17.70560 18.90900 20.89790 23.71800 27.24270 31.07930 34.56020 36.87240 37.30360 35.50240
 -170.000 -170.000 40.34420 33.56150 26.10030 18.97970 12.92890  8.28304  5.02591  2.91955  1.64673  0.91590  0.51084  0.29445  0.18910  0.15351  0.16643  0.21782  0.30372  0.42147  0.56517  0.72469  0.89078  1.06334  1.25466  1.47977  1.73662  1.99086  2.18186  2.25203  2.18197  2.00692  1.80327  1.65644  1.63182  1.76222  2.04898  2.46642  2.96585  3.48378  3.95876  4.35105  4.65380  4.88893  5.09414  5.31303  5.59402  5.99249  6.56767  7.37412  8.45657  9.85385 11.60290 13.72470 16.18360 18.83990 21.43630 23.65110 25.21100 26.01080 26.16830 25.98110 25.81210 25.97830 26.70520 28.15020 30.43250 33.59990 37.51810 41.74750 45.51790 47.87460 47.97330 45.39850
 -165.000 -165.000 48.27200 40.15080 31.32330 22.92480 15.77350 10.25020  6.34053  3.77637  2.19571  1.26400  0.73231  0.44217  0.30231  0.26164  0.29081  0.37300  0.49881  0.66077  0.84740  1.04133  1.22527  1.39308  1.55608  1.73469  1.93776  2.14483  2.30954  2.38680  2.36635  2.28828  2.23021  2.27746  2.49690  2.92503  3.56483  4.38196  5.30140  6.21587  7.01286  7.61098  7.98602  8.17430  8.25799  8.34590  8.55704  9.00356  9.77123 10.90630 12.42310 14.33220 16.66340 19.45190 22.67690 26.18830 29.67910 32.74780 35.04150 36.40690 36.96390 37.05410 37.09760 37.44990 38.34150 39.90930 42.24910 45.39930 49.22650 53.28380 56.76640 58.65910 58.05730 54.51980
 -160.000 -160.000 54.48430 45.28920 35.44390 26.11580 18.15540 11.96640  7.53926  4.59237  2.73975  1.62181  0.96983  0.61159  0.44572  0.41184  0.47092  0.59655  0.77077  0.97885  1.20268  1.41826  1.60207  1.74398  1.85549  1.96308  2.08786  2.22747  2.35732  2.45362  2.52191  2.60952  2.79380  3.15755  3.76813  4.66602  5.85435  7.28284  8.83465 10.33600 11.59830 12.47810 12.92640 13.00350 12.86180 12.70980 12.76750 13.22010 14.17670 15.65750 17.62460 20.04430 22.93690 26.36190 30.33370 34.71410 39.16490 43.21360 46.41970 48.55960 49.72260 50.26150 50.62850 51.20240 52.20640 53.73980 55.85020 58.54500 61.69460 64.88910 67.37800 68.19960 66.49030 61.83680
 -155.000 -155.000 58.36240 48.46320 38.05280 28.23560 19.83330 13.24860  8.48241  5.26111  3.19912  1.93202  1.18472  0.77881  0.60621  0.59808  0.70473  0.88783  1.11810  1.37142  1.62288  1.84417  2.00998  2.11093  2.16207  2.19666  2.24740  2.32994  2.44369  2.59050  2.79655  3.12033  3.64256  4.44793  5.60956  7.17510  9.14472 11.43910 13.87620 16.18520 18.07040 19.30290 19.80100 19.66220 19.14080 18.58450 18.34840 18.70670 19.78780 21.56770 23.93530 26.79970 30.16900 34.13670 38.76970 43.96460 49.37260 54.46090 58.69710 61.76370 63.68440 64.78820 65.53680 66.32310 67.35850 68.69160 70.29570 72.11790 74.02550 75.68500 76.49300 75.66420 72.48790 66.63710
 -150.000 -150.000 59.72070 49.51970 39.01240 29.15440 20.68280 13.97920  9.06304  5.69003  3.49844  2.13706  1.33537  0.91425  0.76153  0.80112  0.97291  1.22593  1.51812  1.81503  2.08567  2.30068  2.43847  2.49661  2.49832  2.48528  2.50034  2.57424  2.72771  2.98707  3.40004  4.04023  4.99978  6.37741  8.26489 10.72450 13.74880 17.20890 20.82340 24.18350 26.84700 28.47340 28.94220 28.40640 27.26000 26.03570 25.26100 25.31730 26.35150 28.28350 30.91600 34.09200 37.80480 42.18450 47.35860 53.27210 59.58180 65.70560 71.01550 75.08030 77.82720 79.53230 80.65050 81.58760 82.54790 83.52550 84.39930 85.02910 85.26590 84.87990 83.48810 80.58540 75.71110 68.67570
 -145.000 -145.000 58.81890 48.67220 38.46380 28.94020 20.71370 14.13120  9.23605  5.83035  3.59378  2.20103  1.39298  0.99281  0.88597  0.99102  1.23936  1.56888  1.92560  2.26541  2.55274  2.76031  2.87489  2.90637  2.89091  2.88141  2.93108  3.08315  3.37493  3.85168  4.57901  5.64750  7.17109  9.28084 12.10730 15.73910 20.15380 25.14340 30.27790 34.95330 38.53030 40.52570 40.77860 39.52530 37.34980 35.02490 33.29560 32.67650 33.34080 35.15110 37.82020 41.12060 45.02450 49.68950 55.29740 61.84140 68.99070 76.12100 82.50730 87.58960 91.17430 93.46130 94.88680 95.87280 96.62890 97.10340 97.07880 96.31640 94.64460 91.94830 88.10360 82.94470 76.31770 68.20100
 -140.000 -140.000 56.28730 46.44330 36.79120 27.84520 20.07480 13.78310  9.03942  5.69943  3.49278  2.12600  1.35412  1.00365  0.95902  1.13589  1.46075  1.86404  2.28302  2.66642  2.97624  3.18948  3.30367  3.34390  3.36278  3.42853  3.60824  3.95862  4.53043  5.38093  6.58680  8.25491 10.53170 13.60250 17.66120 22.83570 29.07660 36.05300 43.11760 49.39250 53.97510 56.20340 55.88220 53.37630 49.53000 45.43100 42.10220 40.22980 40.03280 41.32410 43.72800 46.94170 50.90170 55.77210 61.76730 68.91550 76.89590 85.04460 92.53850 98.67730 103.12400 105.98100 107.64900 108.56900 108.97000 108.78100 107.71200 105.44700 101.80000 96.77490 90.50510 83.16360 74.90580 65.87990
 -135.000 -135.000 53.00560 43.57400 34.56640 26.27900 19.04410 13.11970  8.59712  5.38318  3.25590  1.95280  1.24234  0.95414  0.97251  1.21297  1.60135  2.06565  2.53925  2.96771  3.31333  3.55853  3.71159  3.81262  3.93226  4.15876  4.57998  5.27214  6.30068  7.73043  9.64249 12.15890 15.46950 19.83620 25.54090 32.75890 41.39040 50.91920 60.38870 68.54690 74.14710 76.31310 74.83560 70.27880 63.84570 57.03940 51.24050 47.35800 45.68230 45.98530 47.79980 50.73380 54.66550 59.73530 66.16140 73.98650 82.89110 92.17020 100.89900 108.22300 113.63700 117.11500 119.00300 119.75400 119.63600 118.59400 116.32100 112.47700 106.89800 99.70570 91.25780 82.01300 72.38380 62.65670
