VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  0.00001  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00001  0.00005  0.00019  0.00064  0.00194  0.00525  0.01273  0.02758  0.05349  0.09283  0.14417  0.20035  0.24914  0.27724  0.27605  0.24597  0.19612  0.13993  0.08935  0.05105  0.02611  0.01196  0.00491  0.00181  0.00061  0.00019  0.00006  0.00002  0.00001  0.00001  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00001  0.00001  0.00001  0.00001  0.00001  0.00001  0.00001  0.00001  0.00001
 -175.000 -175.000  0.00003  0.00002  0.00001  0.00001  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00002  0.00008  0.00031  0.00103  0.00312  0.00846  0.02048  0.04439  0.08609  0.14941  0.23204  0.32246  0.40099  0.44621  0.44431  0.39590  0.31567  0.22524  0.14383  0.08221  0.04208  0.01931  0.00798  0.00300  0.00106  0.00038  0.00015  0.00008  0.00005  0.00003  0.00002  0.00001  0.00001  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00001  0.00001  0.00002  0.00003  0.00004  0.00005  0.00006  0.00007  0.00007  0.00006  0.00005  0.00004
 -170.000 -170.000  0.00012  0.00008  0.00005  0.00003  0.00002  0.00001  0.00001  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00001  0.00003  0.00012  0.00044  0.00149  0.00450  0.01218  0.02950  0.06393  0.12399  0.21519  0.33419  0.46442  0.57752  0.64265  0.63992  0.57022  0.45469  0.32448  0.20728  0.11858  0.06085  0.02812  0.01184  0.00468  0.00186  0.00084  0.00047  0.00030  0.00020  0.00013  0.00008  0.00005  0.00003  0.00001  0.00001  0.00000  0.00000  0.00000  0.00000  0.00000  0.00001  0.00001  0.00002  0.00004  0.00007  0.00010  0.00015  0.00020  0.00025  0.00029  0.00031  0.00030  0.00027  0.00023  0.00017
 -165.000 -165.000  0.00052  0.00035  0.00022  0.00013  0.00008  0.00005  0.00003  0.00001  0.00001  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00001  0.00004  0.00015  0.00057  0.00192  0.00580  0.01570  0.03802  0.08240  0.15980  0.27734  0.43071  0.59855  0.74433  0.82829  0.82481  0.73503  0.58624  0.41856  0.26769  0.15360  0.07943  0.03746  0.01663  0.00745  0.00376  0.00229  0.00158  0.00113  0.00079  0.00052  0.00033  0.00019  0.00011  0.00006  0.00004  0.00002  0.00001  0.00001  0.00001  0.00002  0.00003  0.00006  0.00010  0.00018  0.00029  0.00044  0.00063  0.00084  0.00104  0.00119  0.00127  0.00125  0.00113  0.00094  0.00072
 -160.000 -160.000  0.00198  0.00135  0.00087  0.00055  0.00033  0.00020  0.00011  0.00006  0.00003  0.00001  0.00001  0.00000  0.00000  0.00000  0.00000  0.00000  0.00001  0.00004  0.00017  0.00065  0.00221  0.00669  0.01810  0.04384  0.09503  0.18430  0.31986  0.49675  0.69035  0.85854  0.95547  0.95163  0.84834  0.67709  0.48421  0.31086  0.18006  0.09535  0.04770  0.02418  0.01375  0.00926  0.00699  0.00541  0.00405  0.00288  0.00193  0.00121  0.00073  0.00042  0.00025  0.00015  0.00010  0.00007  0.00006  0.00006  0.00008  0.00013  0.00023  0.00042  0.00072  0.00114  0.00172  0.00241  0.00317  0.00389  0.00444  0.00471  0.00462  0.00419  0.00351  0.00273
 -155.000 -155.000  0.00690  0.00479  0.00318  0.00203  0.00126  0.00075  0.00043  0.00023  0.00012  0.00005  0.00002  0.00001  0.00000  0.00000  0.00000  0.00000  0.00001  0.00004  0.00018  0.00068  0.00228  0.00690  0.01868  0.04525  0.09808  0.19024  0.33018  0.51281  0.71276  0.88659  0.98704  0.98369  0.87799  0.70252  0.50516  0.32841  0.19594  0.11114  0.06428  0.04156  0.03123  0.02579  0.02158  0.01742  0.01329  0.00953  0.00643  0.00410  0.00251  0.00152  0.00094  0.00062  0.00044  0.00033  0.00026  0.00025  0.00032  0.00051  0.00090  0.00158  0.00263  0.00412  0.00607  0.00840  0.01091  0.01326  0.01504  0.01590  0.01560  0.01419  0.01197  0.00940
 -150.000 -150.000  0.02217  0.01568  0.01062  0.00693  0.00437  0.00264  0.00152  0.00083  0.00042  0.00020  0.00009  0.00004  0.00001  0.00001  0.00000  0.00000  0.00001  0.00004  0.00017  0.00062  0.00211  0.00638  0.01727  0.04183  0.09066  0.17585  0.30526  0.47425  0.65949  0.82097  0.91520  0.91427  0.81969  0.66174  0.48479  0.32806  0.21311  0.14230  0.10551  0.08872  0.08010  0.07247  0.06298  0.05162  0.03971  0.02867  0.01950  0.01262  0.00792  0.00499  0.00328  0.00231  0.00172  0.00133  0.00108  0.00102  0.00123  0.00189  0.00321  0.00545  0.00887  0.01363  0.01974  0.02688  0.03442  0.04139  0.04664  0.04910  0.04818  0.04399  0.03741  0.02971
 -145.000 -145.000  0.06572  0.04735  0.03266  0.02167  0.01383  0.00844  0.00489  0.00267  0.00137  0.00066  0.00030  0.00013  0.00005  0.00002  0.00001  0.00000  0.00001  0.00003  0.00014  0.00052  0.00175  0.00530  0.01433  0.03471  0.07523  0.14597  0.25356  0.39438  0.54945  0.68607  0.76874  0.77484  0.70606  0.58779  0.45686  0.34540  0.27016  0.23107  0.21688  0.21291  0.20712  0.19300  0.16958  0.13975  0.10798  0.07841  0.05386  0.03547  0.02298  0.01520  0.01065  0.00796  0.00621  0.00495  0.00408  0.00379  0.00441  0.00644  0.01053  0.01739  0.02765  0.04165  0.05918  0.07928  0.10013  0.11911  0.13319  0.13969  0.13708  0.12571  0.10779  0.08667
 -140.000 -140.000  0.18073  0.13237  0.09273  0.06232  0.04013  0.02465  0.01436  0.00790  0.00410  0.00202  0.00094  0.00042  0.00018  0.00007  0.00003  0.00001  0.00001  0.00003  0.00011  0.00040  0.00134  0.00402  0.01084  0.02620  0.05677  0.11025  0.19197  0.29987  0.42075  0.53148  0.60692  0.63146  0.60722  0.55345  0.49712  0.46058  0.45312  0.46967  0.49534  0.51264  0.50796  0.47562  0.41842  0.34531  0.26762  0.19553  0.13588  0.09146  0.06152  0.04303  0.03212  0.02538  0.02058  0.01676  0.01396  0.01284  0.01449  0.02035  0.03212  0.05156  0.08009  0.11819  0.16489  0.21734  0.27068  0.31841  0.35331  0.36905  0.36219  0.33357  0.28844  0.23478
 -135.000 -135.000  0.46285  0.34343  0.24338  0.16496  0.10680  0.06584  0.03852  0.02136  0.01125  0.00564  0.00271  0.00124  0.00054  0.00022  0.00009  0.00003  0.00002  0.00003  0.00010  0.00033  0.00105  0.00305  0.00805  0.01923  0.04145  0.08057  0.14128  0.22389  0.32183  0.42235  0.51151  0.58128  0.63452  0.68387  0.74491  0.82744  0.92943  1.03616  1.12445  1.17004  1.15576  1.07741  0.94508  0.77956  0.60568  0.44558  0.31413  0.21724  0.15279  0.11339  0.08990  0.07449  0.06229  0.05166  0.04337  0.03969  0.04381  0.05954  0.09112  0.14257  0.21666  0.31363  0.43004  0.55810  0.68581  0.79801  0.87854  0.91372  0.89632  0.82844  0.72167  0.59368
