VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 10.09440  6.93925  4.42970  2.62488  1.44451  0.73899  0.35189  0.15614  0.06463  0.02496  0.00900  0.00302  0.00095  0.00028  0.00009  0.00006  0.00012  0.00028  0.00060  0.00117  0.00207  0.00331  0.00483  0.00647  0.00805  0.00959  0.01143  0.01441  0.01974  0.02862  0.04156  0.05773  0.07469  0.08902  0.09757  0.09872  0.09298  0.08251  0.07008  0.05812  0.04840  0.04196  0.03912  0.03954  0.04231  0.04647  0.05167  0.05866  0.06928  0.08627  0.11366  0.15883  0.23654  0.37434  0.61760  1.03215  1.70219  2.72190  4.17934  6.13298  8.58361 11.44890 14.55160 17.63140 20.37880 22.48100 23.66400 23.72960 22.59650 20.34230 17.22590 13.65560
 -175.000 -175.000 15.04930 10.35920  6.64767  3.97578  2.21693  1.15345  0.56048  0.25455  0.10811  0.04293  0.01592  0.00551  0.00178  0.00054  0.00019  0.00017  0.00035  0.00082  0.00177  0.00345  0.00610  0.00977  0.01426  0.01908  0.02371  0.02799  0.03265  0.03955  0.05149  0.07125  0.10008  0.13627  0.17463  0.20779  0.22890  0.23428  0.22459  0.20387  0.17762  0.15101  0.12817  0.11198  0.10386  0.10344  0.10881  0.11767  0.12895  0.14405  0.16680  0.20284  0.25987  0.35076  0.49999  0.75177  1.17688  1.87513  2.97164  4.60560  6.90959  9.97689 13.81700 18.30850 23.16970 27.96970 32.18700 35.29880 36.87240 36.63860 34.54850 30.81010 25.88360 20.40620
 -170.000 -170.000 21.10810 14.55260  9.38966  5.66797  3.20149  1.69292  0.83854  0.38922  0.16930  0.06895  0.02626  0.00933  0.00309  0.00098  0.00038  0.00041  0.00093  0.00218  0.00470  0.00915  0.01616  0.02589  0.03781  0.05065  0.06295  0.07405  0.08522  0.10026  0.12501  0.16540  0.22430  0.29859  0.37834  0.44923  0.49770  0.51596  0.50406  0.46839  0.41838  0.36387  0.31378  0.27543  0.25332  0.24785  0.25552  0.27140  0.29272  0.32164  0.36538  0.43465  0.54344  0.71336  0.98326  1.42091  2.13177  3.26059  4.98486  7.49963 10.99080 15.59010 21.30810 27.95890 35.10790 42.08590 48.08430 52.30900 54.14030 53.25570 49.69910 43.89300 36.57990 28.68280
 -165.000 -165.000 27.95960 19.30170 12.51610  7.61974  4.35478  2.33679  1.17762  0.55737  0.24766  0.10320  0.04025  0.01466  0.00500  0.00166  0.00075  0.00095  0.00221  0.00519  0.01117  0.02176  0.03840  0.06157  0.09006  0.12097  0.15078  0.17750  0.20300  0.23429  0.28253  0.35923  0.47044  0.61135  0.76480  0.90566  1.00946  1.06079  1.05668  1.00471  0.91858  0.81498  0.71180  0.62592  0.56939  0.54571  0.54960  0.57167  0.60571  0.65431  0.72955  0.85016  1.04014  1.33436  1.79192  2.51190  3.64377  5.38715  7.98108 11.68370 16.73760 23.30890 31.39280 40.70440 50.60210 60.11040 68.06580 73.35530 75.16430 73.15650 67.54920 59.07370 48.83320 38.07980
 -160.000 -160.000 35.09240 24.23850 15.77860  9.67377  5.58359  3.03360  1.55138  0.74667  0.33801  0.14377  0.05739  0.02150  0.00762  0.00271  0.00140  0.00201  0.00472  0.01109  0.02384  0.04641  0.08194  0.13157  0.19301  0.26036  0.32627  0.38592  0.44150  0.50462  0.59461  0.73192  0.92819  1.17729  1.45279  1.71472  1.92262  2.04783  2.07872  2.01909  1.88448  1.70013  1.49916  1.31720  1.18260  1.10750  1.08607  1.10266  1.14506  1.21504  1.33052  1.52122  1.82579  2.29832  3.02543  4.14583  5.86144  8.43408 12.16900 17.38780 24.38370 33.34150 44.21270 56.57040 69.51330 81.70380 91.57900 97.68830 99.04240 95.35370 87.10190 75.41740 61.82690 47.92970
 -155.000 -155.000 41.85290 28.88700 18.84740 11.61380  6.75393  3.70530  1.91736  0.93577  0.43071  0.18701  0.07672  0.02990  0.01125  0.00440  0.00260  0.00389  0.00908  0.02126  0.04565  0.08890  0.15715  0.25301  0.37278  0.50609  0.63943  0.76308  0.87862  1.00315  1.16684  1.40266  1.73106  2.14622  2.61198  3.07075  3.46081  3.73196  3.85293  3.81233  3.61974  3.30883  2.93667  2.57221  2.27536  2.07776  1.97775  1.95292  1.98221  2.06391  2.22107  2.49633  2.94760  3.65525  4.74205  6.39523  8.87668 12.51460 17.67940 24.74780 34.04400 45.73910 59.69630 75.29720 91.33500 106.08000 117.56400 124.02500 124.35300 118.39000 106.96300 91.67290 74.49960 57.37850
 -150.000 -150.000 47.55450 32.74730 21.37450 13.20840  7.71978  4.26497  2.22733  1.10035  0.51519  0.22957  0.09816  0.04087  0.01699  0.00757  0.00488  0.00699  0.01577  0.03662  0.07854  0.15312  0.27137  0.43880  0.65075  0.89157  1.13978  1.37853  1.60705  1.84738  2.14143  2.53699  3.06641  3.72736  4.47622  5.23770  5.92411  6.45232  6.75348  6.78076  6.52266  6.01823  5.35953  4.67000  4.06459  3.61318  3.32877  3.18505  3.14981  3.21371  3.40131  3.76730  4.39178  5.38825  6.92491  9.24687 12.68290 17.62960 24.51690 33.75790 45.67310 60.36700 77.55200 96.36110 115.25000 132.10200 144.59100 150.71600 149.34600 140.53700 125.54000 106.45300 85.70520 65.52070
 -145.000 -145.000 51.62810 35.41490 23.08250 14.27540  8.36723  4.64564  2.44540  1.22418  0.58682  0.27277  0.12532  0.05817  0.02777  0.01414  0.00930  0.01178  0.02482  0.05679  0.12165  0.23772  0.42319  0.68892  1.03154  1.43158  1.85993  2.29151  2.72078  3.17143  3.69415  4.35014  5.18487  6.20345  7.35999  8.56450  9.69925 10.63330 11.23470 11.39220 11.05120 10.25040  9.13079  7.89846  6.75594  5.83927  5.19417  4.79803  4.60685  4.59787  4.78992  5.24437  6.06272  7.39574  9.46490 12.58180 17.14860 23.63150 32.51070 44.21010 58.99730 76.83990 97.22110 118.96500 140.17400 158.39100 171.02800 175.97800 172.20500 160.07900 141.30900 118.48600 94.43160 71.58360
 -140.000 -140.000 53.77940 36.70100 23.85450 14.74540  8.65768  4.82894  2.56663  1.31108  0.65447  0.32745  0.16857  0.09026  0.04965  0.02788  0.01789  0.01893  0.03567  0.07955  0.17015  0.33394  0.59890  0.98521  1.49598  2.11364  2.80606  3.54155  4.30694  5.12054  6.03272  7.11037  8.40911  9.94440 11.67460 13.49930 15.26570 16.77540 17.80220 18.13540 17.65320 16.39050 14.55580 12.47310 10.47330  8.79412  7.53868  6.69980  6.22214  6.06205  6.22157  6.75838  7.78895  9.50022 12.17000 16.18150 22.01480 30.20600 41.27600 55.63050 73.42970 94.42690 117.79400 141.99200 164.77600 183.42400 195.22800 198.13500 191.34300 175.61300 153.11800 126.88600 100.03600 75.12360
 -135.000 -135.000 54.08540 36.70100 23.77990 14.69160  8.64720  4.85752  2.62505  1.39014  0.74399  0.41623  0.24662  0.15135  0.09237  0.05482  0.03381  0.02949  0.04735  0.10129  0.21615  0.42742  0.77573  1.29654  2.00877  2.90819  3.97011  5.16150  6.45842  7.86203  9.40546 11.14560 13.13920 15.41190 17.93150 20.58890 23.18530 25.42930 26.96420 27.44780 26.67420 24.68190 21.77660 18.44290 15.18500 12.38070 10.21580  8.70976  7.79461  7.39591  7.48463  8.10028  9.36235 11.48570 14.79980 19.75800 26.91810 36.88450 50.20910 67.25430 88.02620 111.99800 137.96600 163.99200 187.50900 205.63100 215.68300 215.83100 205.63900 186.30000 160.41700 131.35400 102.41300 76.15640
