VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 14.77780  9.83487  6.09983  3.54629  1.94791  1.01922  0.51092  0.24560  0.11290  0.04974  0.02166  0.01035  0.00639  0.00518  0.00475  0.00451  0.00475  0.00632  0.01071  0.02005  0.03733  0.06640  0.11168  0.17702  0.26315  0.36434  0.46628  0.54831  0.59103  0.58685  0.54703  0.50015  0.48128  0.51668  0.61092  0.74231  0.86924  0.94585  0.94070  0.84959  0.69596  0.51930  0.35926  0.24448  0.19078  0.20669  0.30048  0.48347  0.76720  1.15519  1.63305  2.16312  2.69108  3.16808  3.58397  3.99819  4.55204  5.45355  6.93785  9.21368 12.40630 16.50350 21.31390 26.45040 31.35210 35.35290 37.79200 38.15750 36.23780 32.23030 26.73920 20.62930
 -175.000 -175.000 21.26160 14.09700  8.72111  5.06042  2.77400  1.44761  0.72321  0.34658  0.15950  0.07156  0.03346  0.01901  0.01462  0.01359  0.01302  0.01225  0.01212  0.01457  0.02258  0.04009  0.07199  0.12383  0.20113  0.30764  0.44209  0.59416  0.74223  0.85704  0.91273  0.90121  0.84142  0.77610  0.75576  0.81648  0.96194  1.15768  1.34151  1.44701  1.43054  1.28884  1.05824  0.79731  0.56405  0.40055  0.33069  0.36719  0.51981  0.79794  1.20588  1.73345  2.34783  2.99437  3.61313  4.17186  4.70682  5.35364  6.35119  8.01159 10.66280 14.57510 19.88120 26.49610 34.05450 41.89340 49.10680 54.67910 57.67750 57.46630 53.89630 47.40570 38.96450 29.84140
 -170.000 -170.000 28.76650 18.96310 11.67310  6.73999  3.67375  1.90379  0.94349  0.44902  0.20703  0.09612  0.05055  0.03553  0.03281  0.03312  0.03244  0.03020  0.02842  0.03110  0.04386  0.07352  0.12762  0.21351  0.33689  0.49953  0.69568  0.90809  1.10662  1.25397  1.31996  1.29908  1.22076  1.14360  1.13355  1.23520  1.44885  1.72425  1.97558  2.11366  2.08200  1.87929  1.55708  1.19596  0.87562  0.65512  0.56993  0.63983  0.87678  1.28556  1.85660  2.55676  3.32643  4.09122  4.79283  5.43571  6.13476  7.14208  8.83479 11.66050 16.05200 22.32610 30.57720 40.57380 51.68270 62.86210 72.76430 79.95450 83.20540 81.79650 75.73770 65.83760 53.55810 40.66270
 -165.000 -165.000 36.84000 24.11440 14.74620  8.45431  4.56897  2.34255  1.14675  0.54030  0.25058  0.12360  0.07684  0.06670  0.06984  0.07380  0.07304  0.06736  0.06095  0.06140  0.07854  0.12348  0.20721  0.33878  0.52282  0.75672  1.02734  1.30828  1.56062  1.74124  1.81972  1.79720  1.71553  1.64812  1.67321  1.84024  2.14355  2.51582  2.84712  3.02508  2.97966  2.71080  2.28531  1.80719  1.38096  1.08758  0.97990  1.08972  1.43356  2.00956  2.78777  3.70289  4.66033  5.56360  6.36419  7.12467  8.07290  9.62004 12.32300 16.79270 23.56710 32.97460 45.00110 59.17480 74.49380 89.44660 102.17600 110.79300 113.78600 110.41400 100.95800 86.73000 69.80120 52.49820
 -160.000 -160.000 44.98920 29.23720 17.75430 10.09960  5.40423  2.73509  1.31859  0.61410  0.28898  0.15676  0.11851  0.12183  0.13753  0.14888  0.14812  0.13570  0.11933  0.11209  0.13005  0.19008  0.30745  0.49282  0.74877  1.06654  1.42369  1.78374  2.10012  2.32746  2.43969  2.44757  2.40452  2.39370  2.49870  2.76851  3.19009  3.68102  4.11007  4.34254  4.29266  3.95761  3.41595  2.79478  2.22733  1.82391  1.66364  1.79816  2.25303  3.01969  4.04346  5.22001  6.41345  7.50339  8.45821  9.41770 10.75400 13.07570 17.15410 23.77840 33.57410 46.82290 63.31240 82.22870 102.11500 120.93500 136.30500 145.90000 147.97500 141.84800 128.17700 108.88600 86.73090 64.63170
 -155.000 -155.000 52.75530 34.07640 20.57240 11.62360  6.16267  3.07898  1.46108  0.67350  0.32578  0.20023  0.18206  0.20973  0.24688  0.27083  0.27046  0.24699  0.21307  0.18937  0.20014  0.26932  0.41713  0.65616  0.98717  1.39573  1.85113  2.30883  2.71787  3.03460  3.24007  3.35372  3.43414  3.56363  3.82043  4.24716  4.82457  5.46150  6.01189  6.32043  6.28098  5.87943  5.19877  4.38742  3.61267  3.02475  2.74133  2.84446  3.37545  4.32191  5.60424  7.07715  8.56121  9.91191 11.11960 12.41510 14.33820 17.72180 23.56990 32.84400 46.21420 63.83590 85.19790 109.05300 133.43500 155.78700 173.25000 183.14200 183.57500 174.01400 155.57000 130.83100 103.25400 76.32020
 -150.000 -150.000 59.70000 38.41160 23.11100 13.00520  6.85201  3.38949  1.58781  0.72784  0.36663  0.25737  0.26993  0.33286  0.40100  0.44368  0.44501  0.40675  0.34741  0.29675  0.28848  0.35439  0.52014  0.80130  1.19917  1.69777  2.26381  2.85116  3.41048  3.90333  4.31673  4.67090  5.01531  5.41409  5.92592  6.58147  7.35992  8.17231  8.86768  9.27252  9.25351  8.77314  7.90860  6.82719  5.73717  4.84200  4.31253  4.27309  4.78896  5.84961  7.35553  9.12543 10.94060 12.63580 14.22730 16.04420 18.80490 23.57570 31.58750 43.94090 61.28200 83.54460 109.82100 138.36300 166.69100 191.79400 210.45700 219.78500 217.87000 204.41600 181.02200 150.91800 118.19700 86.80610
 -145.000 -145.000 65.34710 41.98990 25.25620 14.20760  7.47188  3.67879  1.71140  0.78540  0.41435  0.32593  0.37544  0.48110  0.58768  0.65511  0.66139  0.60802  0.51908  0.43329  0.39371  0.43989  0.60345  0.90512  1.35167  1.93370  2.62606  3.39230  4.19338  4.99867  5.79468  6.58643  7.39133  8.23179  9.13026 10.10090 11.12880 12.14110 12.99350 13.49730 13.48490 12.88320 11.75350 10.28080  8.72291  7.35075  6.40265  6.05595  6.40712  7.45428  9.08725 11.10080 13.24920 15.35580 17.46770 20.01400 23.88790 30.37610 40.90400 56.65040 78.15010 105.01600 135.86100 168.40400 199.69600 226.38800 245.08700 252.87500 247.98800 230.45000 202.34000 167.44400 130.34100 95.29000
 -140.000 -140.000 69.18130 44.50110 26.83760 15.14850  7.99032  3.93935  1.83286  0.84702  0.46533  0.39569  0.48097  0.62976  0.77725  0.87405  0.89157  0.82952  0.71525  0.59389  0.51577  0.52733  0.66714  0.96471  1.43950  2.09989  2.94306  3.95663  5.12186  6.41679  7.81611  9.28689 10.78590 12.26750 13.70140 15.08200 16.40750 17.63310 18.63070 19.19870 19.13090 18.31160 16.78310 14.75190 12.53580 10.48630  8.91947  8.07108  8.07134  8.93132 10.54050 12.68620 15.11560 17.65680 20.39660 23.86060 29.09990 37.58630 50.88350 70.17100 95.78010 126.91500 161.65300 197.18300 230.15500 257.03800 274.46500 279.71600 271.34400 249.78200 217.55300 178.85100 138.53600 100.97600
 -135.000 -135.000 70.76450 45.64880 27.66710 15.71810  8.34951  4.14410  1.94012  0.90517  0.50997  0.45089  0.56224  0.74576  0.92991  1.05845  1.09686  1.04105  0.91717  0.77165  0.65818  0.62885  0.73120  1.00884  1.50269  2.25105  3.28787  4.63850  6.31266  8.29482 10.53310 12.93200 15.36020 17.68200 19.80240 21.69300 23.36730 24.81030 25.91020 26.45220 26.19310 24.98120 22.85130 20.04590 16.95720 14.02710 11.65140 10.11990  9.58988 10.08290 11.49470 13.62260 16.22960 19.17110 22.58490 27.08720 33.85860 44.50580 60.66200 83.42820 112.85500 147.68000 185.41800 222.75100 256.02000 281.65600 296.52500 298.32300 286.10600 260.79100 225.29400 184.04200 141.94200 103.24600
