VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  0.83281  0.83003  0.82427  0.81336  0.79531  0.76913  0.73567  0.69774  0.65859  0.61870  0.57032  0.49360  0.38352  0.29353  0.27646  0.36118  0.58129  0.90532  1.23807  1.54664  1.84523  2.13803  2.41477  2.66128  2.86751  3.03043  3.15243  3.23744  3.28606  3.28894  3.21652  3.01029  2.61025  2.05261  1.50164  1.09950  0.87240  0.77291  0.74188  0.74052  0.75108  0.76885  0.79918  0.85933  0.95838  1.03742  1.04189  1.00302  0.95478  0.91081  0.87666  0.85583  0.85218  0.87114  0.91911  0.99831  1.09759  1.18962  1.24560  1.25436  1.22350  1.16801  1.10195  1.03597  0.97711  0.92915  0.89311  0.86804  0.85188  0.84233  0.83720  0.83461
 -175.000 -175.000  0.84281  0.84107  0.83618  0.82596  0.80844  0.78253  0.74891  0.70994  0.66787  0.62013  0.55240  0.44639  0.33145  0.26753  0.26404  0.32304  0.48086  0.74418  1.04008  1.32132  1.59674  1.87515  2.15049  2.40894  2.63696  2.82618  2.97400  3.08091  3.14547  3.15713  3.08625  2.87847  2.48641  1.95775  1.44739  1.08026  0.87602  0.78888  0.76421  0.76692  0.78130  0.80417  0.84353  0.92013  1.03990  1.13754  1.15883  1.12961  1.08204  1.03123  0.98438  0.94671  0.92386  0.92317  0.95232  1.01263  1.08975  1.15638  1.19078  1.18869  1.15821  1.11070  1.05627  1.00266  0.95510  0.91644  0.88743  0.86738  0.85473  0.84767  0.84444  0.84335
 -170.000 -170.000  0.85628  0.85633  0.85320  0.84473  0.82885  0.80425  0.77111  0.73089  0.68371  0.62159  0.52402  0.39380  0.29496  0.25998  0.26835  0.31348  0.42349  0.62521  0.87713  1.12628  1.37233  1.62607  1.88594  2.14082  2.37664  2.58156  2.74819  2.87245  2.94929  2.96580  2.89259  2.68291  2.30779  1.82679  1.37862  1.06478  0.89552  0.82685  0.81082  0.81791  0.83524  0.86096  0.90431  0.98649  1.11188  1.22111  1.26248  1.25083  1.21311  1.16426  1.11199  1.06189  1.02013  0.99520  0.99696  1.02892  1.07817  1.12059  1.13943  1.13238  1.10531  1.06600  1.02166  0.97812  0.93952  0.90820  0.88488  0.86909  0.85967  0.85516  0.85409  0.85497
 -165.000 -165.000  0.87354  0.87631  0.87605  0.87060  0.85778  0.83590  0.80432  0.76276  0.70711  0.62080  0.48598  0.34868  0.27880  0.26843  0.28745  0.32886  0.40878  0.55419  0.75446  0.96582  1.17847  1.40125  1.63534  1.87273  2.10078  2.30647  2.47897  2.60970  2.68923  2.70191  2.62050  2.41155  2.06955  1.66167  1.30093  1.05933  0.93561  0.88957  0.88276  0.89268  0.90952  0.93225  0.96990  1.04322  1.16106  1.27839  1.34317  1.35493  1.33368  1.29369  1.24277  1.18600  1.12861  1.07852  1.04724  1.04363  1.06173  1.08258  1.09100  1.08279  1.06051  1.02903  0.99351  0.95852  0.92749  0.90248  0.88422  0.87246  0.86632  0.86465  0.86619  0.86963
 -160.000 -160.000  0.89407  0.90042  0.90406  0.90287  0.89457  0.87706  0.84853  0.80570  0.73681  0.61483  0.44560  0.32123  0.28220  0.29119  0.32111  0.36671  0.43423  0.53766  0.68129  0.84554  1.01982  1.20776  1.40983  1.61967  1.82635  2.01706  2.17920  2.30081  2.36894  2.36690  2.27405  2.07603  1.78997  1.48031  1.22615  1.06726  0.99228  0.96850  0.96884  0.97797  0.98908  1.00184  1.02494  1.07967  1.18319  1.30693  1.39702  1.43591  1.43503  1.40769  1.36201  1.30256  1.23306  1.15976  1.09507  1.05454  1.04225  1.04481  1.04617  1.03857  1.02128  0.99692  0.96918  0.94171  0.91745  0.89822  0.88477  0.87699  0.87427  0.87571  0.88029  0.88684
 -155.000 -155.000  0.91647  0.92683  0.93492  0.93866  0.93580  0.92391  0.89981  0.85568  0.76785  0.60240  0.41338  0.31500  0.30300  0.32828  0.37056  0.42618  0.49545  0.57769  0.67031  0.77591  0.90217  1.05079  1.21731  1.39380  1.56973  1.73275  1.86970  1.96716  2.01140  1.98908  1.89122  1.72296  1.51388  1.31387  1.16670  1.08478  1.05227  1.04634  1.05034  1.05508  1.05657  1.05563  1.06122  1.09534  1.18255  1.31001  1.42464  1.49233  1.51387  1.50073  1.46154  1.40088  1.32140  1.22800  1.13394  1.06102  1.02264  1.01024  1.00634  0.99971  0.98691  0.96876  0.94785  0.92711  0.90901  0.89518  0.88632  0.88246  0.88318  0.88785  0.89564  0.90558
 -150.000 -150.000  0.93891  0.95298  0.96513  0.97341  0.97568  0.96939  0.94998  0.90394  0.79270  0.58637  0.39706  0.32936  0.34026  0.38117  0.43788  0.50786  0.58838  0.66894  0.72983  0.77302  0.83627  0.93669  1.06419  1.20467  1.34530  1.47349  1.57645  1.64183  1.65916  1.62272  1.53599  1.41551  1.28957  1.18792  1.12690  1.10306  1.10157  1.10797  1.11296  1.11186  1.10331  1.08959  1.07998  1.09611  1.16691  1.29370  1.42914  1.52541  1.57036  1.57187  1.53906  1.47713  1.38861  1.27820  1.16077  1.06302  1.00471  0.98069  0.97258  0.96674  0.95762  0.94473  0.92974  0.91497  0.90248  0.89363  0.88909  0.88894  0.89294  0.90066  0.91150  0.92461
 -145.000 -145.000  0.95982  0.97648  0.99133  1.00255  1.00819  1.00574  0.98955  0.94031  0.80595  0.57277  0.39999  0.36313  0.39472  0.45212  0.52551  0.61294  0.71015  0.80184  0.85464  0.84987  0.83907  0.87659  0.95866  1.06169  1.16663  1.25924  1.32797  1.36392  1.36255  1.32604  1.26476  1.19605  1.13908  1.10720  1.10206  1.11479  1.13310  1.14736  1.15235  1.14633  1.13003  1.10701  1.08647  1.08854  1.14349  1.26449  1.41472  1.53749  1.60610  1.62243  1.59554  1.53176  1.43457  1.30986  1.17502  1.06027  0.98850  0.95623  0.94494  0.93966  0.93353  0.92505  0.91518  0.90569  0.89825  0.89399  0.89344  0.89671  0.90368  0.91406  0.92740  0.94300
 -140.000 -140.000  0.97851  0.99607  1.01158  1.02335  1.02962  1.02805  1.01231  0.95894  0.80822  0.56799  0.42338  0.41637  0.46822  0.54364  0.63563  0.74212  0.85772  0.96549  1.02669  1.00112  0.92455  0.88664  0.91340  0.97701  1.04861  1.11031  1.15176  1.16809  1.15980  1.13292  1.09813  1.06823  1.05420  1.06098  1.08523  1.11743  1.14688  1.16589  1.17099  1.16205  1.14119  1.11276  1.08550  1.07730  1.11754  1.22815  1.38592  1.53142  1.62326  1.65455  1.63320  1.56704  1.46141  1.32468  1.17750  1.05245  0.97288  0.93556  0.92223  0.91753  0.91394  0.90926  0.90390  0.89918  0.89639  0.89641  0.89964  0.90612  0.91575  0.92831  0.94344  0.96051
 -135.000 -135.000  0.99534  1.01196  1.02595  1.03573  1.03979  1.03602  1.01799  0.96094  0.80522  0.57722  0.46820  0.49029  0.56301  0.65786  0.76921  0.89411  1.02566  1.14666  1.22020  1.19708  1.08336  0.97546  0.94063  0.96255  1.00386  1.04102  1.06355  1.06871  1.05886  1.04007  1.02074  1.00984  1.01435  1.03649  1.07210  1.11208  1.14638  1.16780  1.17335  1.16352  1.14107  1.11065  1.08021  1.06520  1.09257  1.18962  1.34751  1.51043  1.62426  1.67067  1.65475  1.58588  1.47210  1.32536  1.16996  1.03974  0.95671  0.91692  0.90258  0.89865  0.89735  0.89611  0.89490  0.89466  0.89638  0.90068  0.90773  0.91744  0.92960  0.94397  0.96018  0.97763
