VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 59.64880 45.12870 32.05390 21.48980 13.72340  8.46384  5.13599  3.13035  1.94802  1.24584  0.81948  0.56187  0.42136  0.37047  0.38698  0.44546  0.51616  0.56935  0.58275  0.54798  0.47222  0.37362  0.27303  0.18665  0.12286  0.08327  0.06587  0.06784  0.08671  0.12044  0.16719  0.22565  0.29566  0.37822  0.47462  0.58515  0.70875  0.84370  0.98842  1.14089  1.29681  1.44873  1.58784  1.70800  1.80835  1.89101  1.95464  1.98912  1.97799  1.90996  1.79304  1.66101  1.56678  1.56835  1.72142  2.09106  2.78370  3.98731  6.00036  9.22905 14.13750 21.14450 30.47520 41.99610 55.07830 68.54140 80.73590 89.79970 94.07750 92.60210 85.45410 73.81480
 -175.000 -175.000 85.94350 64.74250 45.82980 30.64970 19.54250 12.04850  7.32458  4.49062  2.82882  1.84566  1.24820  0.88481  0.68417  0.60906  0.62883  0.70774  0.80415  0.87679  0.89460  0.84529  0.73774  0.59617  0.44941  0.32094  0.22426  0.16391  0.13949  0.14923  0.19142  0.26414  0.36488  0.49105  0.64077  0.81261  1.00361  1.20700  1.41176  1.60522  1.77725  1.92360  2.04695  2.15582  2.26245  2.37990  2.51758  2.67487  2.83514  2.96535  3.02669  2.99545  2.88418  2.74900  2.67633  2.75882  3.08254  3.74475  4.90366  6.84042 10.00230 14.99550 22.50630 33.13990 47.19490 64.41420 83.78540 103.47700 120.99400 133.60000 138.95800 135.82300 124.51300 106.91100
 -170.000 -170.000 115.38500 86.47860 60.96440 40.64160 25.85460 15.92190  9.68746  5.96707  3.80056  2.52850  1.75975  1.29264  1.03313  0.93247  0.95084  1.04276  1.15658  1.24205  1.26127  1.19839  1.06248  0.88158  0.69065  0.51993  0.38904  0.30769  0.28006  0.30863  0.39522  0.54004  0.74068  0.99262  1.29005  1.62519  1.98544  2.35088  2.69520  2.99099  3.21721  3.36563  3.44403  3.47589  3.49629  3.54373  3.64833  3.81862  4.03209  4.23700  4.37129  4.39539  4.32405  4.23652  4.25643  4.51597  5.13699  6.25664  8.09895 11.06250 15.77790 23.09120 33.94280 49.13450 69.00830 93.10030 119.87800 146.68300 170.00300 186.10700 191.95600 186.12200 169.34000 144.40400
 -165.000 -165.000 144.79200 107.90100 75.71340 50.29240 31.91070 19.62180 11.94160  7.38295  4.75004  3.22264  2.31261  1.76611  1.46297  1.34037  1.34925  1.43750  1.54923  1.63181  1.64568  1.57308  1.42130  1.21780  0.99915  0.79958  0.64464  0.55160  0.53348  0.60206  0.76759  1.03602  1.40685  1.87295  2.42073  3.02871  3.66471  4.28557  4.84209  5.28849  5.59204  5.73980  5.74236  5.63547  5.47751  5.33957  5.28668  5.35429  5.53021  5.75438  5.94494  6.04501  6.06785  6.11240  6.33716  6.91313  7.99976  9.78076 12.55980 16.87370 23.56050 33.72400 48.55920 69.03490 95.46920 127.08800 161.70800 195.72300 224.52100 243.38000 248.66400 238.94500 215.57900 182.43200
 -160.000 -160.000 170.41000 126.21100 88.12650 58.32230 36.91340 22.66840 13.79970  8.56127  5.56326  3.85351  2.86023  2.27911  1.96013  1.82333  1.81137  1.87119  1.95173  2.00777  2.00567  1.92901  1.78168  1.58535  1.37189  1.17453  1.02294  0.94376  0.96365  1.11018  1.40831  1.87475  2.51357  3.31422  4.24968  5.27364  6.31956  7.30648  8.15264  8.79100  9.17869  9.29968  9.16600  8.82264  8.35138  7.86382  7.47644  7.27340  7.27386  7.42522  7.63423  7.82801  8.01418  8.30335  8.87942  9.94433 11.69240 14.35870 18.33800 24.31920 33.35320 46.78710 66.02640 92.12960 125.28800 164.30600 206.26100 246.56600 279.56800 299.71700 303.02000 288.30000 257.72300 216.28600
 -155.000 -155.000 188.83600 138.96000 96.54770 63.67800 40.22810 24.69390 15.05140  9.37795  6.16230  4.36906  3.36662  2.80568  2.50369  2.36120  2.31500  2.31852  2.33570  2.33893  2.30845  2.23350  2.11453  1.96363  1.80187  1.65573  1.55581  1.53888  1.64957  1.93724  2.44748  3.21225  4.24247  5.52283  7.00605  8.60776 10.20920 11.67460 12.87860 13.73060 14.18100 14.21450 13.84570 13.12800 12.16830 11.12780 10.19130  9.51370  9.16763  9.12602  9.29601  9.59287 10.01450 10.67170 11.75860 13.49440 16.10160 19.86870 25.28930 33.20520 44.86170 61.79700 85.53610 117.10600 156.44500 201.84000 249.61200 294.28100 329.37100 348.82000 348.61900 328.11900 290.41300 241.54600
 -150.000 -150.000 197.93400 144.70200 100.06200 65.81520 41.54970 25.53680 15.61490  9.79177  6.52326  4.74971  3.80951  3.31788  3.06008  2.91742  2.82488  2.74968  2.67877  2.60922  2.54081  2.47279  2.40457  2.33821  2.28093  2.24822  2.26879  2.38964  2.67590  3.20194  4.03602  5.22589  6.78866  8.70179 10.89140 13.22340 15.51080 17.54700 19.15280 20.21000 20.66490 20.50780 19.76070 18.49000 16.83500 15.01760 13.30660 11.94480 11.07570 10.71310 10.77590 11.17250 11.88750 13.01970 14.75620 17.31840 20.94940 25.99170 33.03750 43.06810 57.47670 77.90400 105.86600 142.21200 186.50200 236.45600 287.70600 334.09800 368.68000 385.29400 380.29700 353.79900 309.82500 255.25500
 -145.000 -145.000 197.39300 143.38100 98.73270 64.83300 40.97050 25.26950 15.54260  9.83821  6.66479  4.99466  4.16655  3.77322  3.57295  3.43184  3.28811  3.12746  2.96271  2.81669  2.71017  2.65556  2.65578  2.70682  2.80387  2.95160  3.17688  3.53770  4.12014  5.02146  6.32722  8.09373 10.33770 13.02490 16.05100 19.22640 22.28770 24.94740 26.96200 28.17930 28.53870 28.04010 26.72270 24.68100 22.10340 19.28780 16.59820 14.37370 12.83500 12.04260 11.93300 12.41040 13.44250 15.10630 17.56890 21.04330 25.79010 32.20610 40.97560 53.18680 70.30990 93.97150 125.53100 165.51600 213.01800 265.20700 317.19000 362.44700 393.97400 405.94300 395.41000 363.37000 314.66400 256.68700
 -140.000 -140.000 188.75300 136.29800 93.55360 61.42280 38.93330 24.15620 14.98420  9.59578  6.61799  5.09705  4.39732  4.10432  3.95962  3.82148  3.63568  3.40658  3.16899  2.96617  2.83655  2.80700  2.88949  3.08144  3.37326  3.76499  4.28689  5.01124  6.04394  7.49729  9.45978 11.97930 15.05780 18.64150 22.59480 26.67560 30.54580 33.83350 36.22110 37.50890 37.62110 36.57090 34.43370 31.36190 27.62300 23.61020 19.78860 16.58740 14.29380 13.00660 12.67480 13.19570 14.51650 16.68690 19.84990 24.21190 30.05680 37.84000 48.32400 62.65710 82.29530 108.72200 142.99700 185.21400 233.96400 285.96200 336.02800 377.64000 404.14000 410.39000 394.34000 357.85900 306.38200 247.45900
 -135.000 -135.000 174.88500 125.69500 86.13520 56.65010 36.08820 22.56280 14.12750  9.14749  6.40165  5.03125  4.44239  4.22850  4.12755  3.99863  3.79703  3.54083  3.27744  3.06049  2.93966  2.95564  3.13464  3.48464  4.00251  4.69561  5.60849  6.83466  8.49906 10.71790 13.56200 17.04610 21.13540 25.74390 30.70380 35.72720 40.40830 44.28910 46.96440 48.16870 47.80050 45.89790 42.60910 38.19420 33.04300 27.66660 22.62630 18.41740 15.36300 13.57360 12.99280 13.50080 15.02010 17.57390 21.28970 26.38270 33.17930 42.20250 54.27610 70.55170 92.37170 120.95000 156.93200 199.91400 248.02900 297.70200 343.74700 379.98100 400.42000 400.82400 380.07200 340.74700 288.58400 230.93700
