VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 23.13530 18.50340 14.00520  9.97775  6.65328  4.12996  2.37480  1.25955  0.61394  0.27417  0.11190  0.04165  0.01413  0.00439  0.00131  0.00053  0.00056  0.00097  0.00172  0.00284  0.00433  0.00618  0.00838  0.01094  0.01398  0.01769  0.02247  0.02902  0.03845  0.05225  0.07205  0.09934  0.13523  0.18049  0.23585  0.30192  0.37803  0.45976  0.53663  0.59252  0.61074  0.58200  0.51025  0.41216  0.31024  0.22432  0.16677  0.14339  0.15831  0.21925  0.34031  0.54114  0.84384  1.27043  1.84401  2.59328  3.55635  4.78045  6.31999  8.23924 10.61720 13.53750 17.04180 21.05100 25.29630 29.31870 32.56530 34.54430 34.96220 33.78070 31.18400 27.50190
 -175.000 -175.000 36.77300 29.22040 21.98660 15.58840 10.35950  6.42010  3.69282  1.96317  0.96108  0.43191  0.17771  0.06680  0.02293  0.00726  0.00232  0.00120  0.00156  0.00283  0.00504  0.00832  0.01272  0.01824  0.02483  0.03257  0.04172  0.05283  0.06693  0.08588  0.11253  0.15043  0.20303  0.27255  0.35912  0.46071  0.57381  0.69414  0.81629  0.93145  1.02489  1.07663  1.06795  0.99130  0.85728  0.69283  0.53099  0.39927  0.31342  0.27924  0.29936  0.38059  0.53880  0.80056  1.20222  1.78870  2.61410  3.74375  5.25483  7.23436  9.77883 13.00000 17.02780 21.98420 27.90290 34.60840 41.62130 48.17350 53.36710 56.41740 56.86900 54.68590 50.20360 44.00200
 -170.000 -170.000 55.09440 43.48220 32.52020 22.94530 15.19910  9.40618  5.41361  2.88556  1.41916  0.64192  0.26629  0.10111  0.03517  0.01143  0.00404  0.00271  0.00408  0.00754  0.01339  0.02206  0.03380  0.04862  0.06650  0.08763  0.11262  0.14277  0.18062  0.23071  0.29980  0.39584  0.52546  0.69095  0.88819  1.10662  1.33111  1.54491  1.73142  1.87382  1.95356  1.95159  1.85529  1.66848  1.41693  1.14316  0.89241  0.69855  0.57833  0.53519  0.56829  0.68172  0.89202  1.23410  1.76544  2.56845  3.75053  5.44129  7.78639 10.93990 15.06150 20.32060 26.89160 34.90500 44.33040 54.81710 65.58020 75.44120 83.06090 87.28910 87.47660 83.61390 76.26860 66.39080
 -165.000 -165.000 78.19020 61.25070 45.50400 31.93330 21.07410 13.01870  7.49487  4.00434  1.97798  0.90023  0.37642  0.14436  0.05098  0.01724  0.00703  0.00607  0.00996  0.01835  0.03232  0.05307  0.08136  0.11740  0.16130  0.21353  0.27540  0.34975  0.44232  0.56335  0.72781  0.95219  1.24803  1.61494  2.03671  2.48242  2.91192  3.28307  3.55798  3.70643  3.70736  3.55164  3.24824  2.83056  2.35544  1.89067  1.49591  1.20835  1.04075  0.99007  1.04926  1.21781  1.51206  1.97770  2.70309  3.82856  5.54688  8.09299 11.72490 16.70150 23.26630 31.63750 41.98590 54.36580 68.57440 83.97490 99.38230 113.13400 123.39400 128.60700 127.92200 121.39500 109.91900 94.95540
 -160.000 -160.000 105.53100 81.99260 60.45960 42.16530 27.70070 17.06870  9.82212  5.25654  2.60608  1.19269  0.50243  0.19472  0.07019  0.02530  0.01255  0.01336  0.02262  0.04100  0.07127  0.11630  0.17807  0.25754  0.35531  0.47251  0.61172  0.77866  0.98525  1.25306  1.61283  2.09628  2.72134  3.47761  4.32060  5.17756  5.96141  6.58609  6.97907  7.09009  6.89783  6.41630  5.69963  4.83981  3.95140  3.14467  2.49906  2.05119  1.80229  1.73608  1.83519  2.09241  2.52362  3.18939  4.22229  5.84813  8.38893 12.24210 17.83850 25.58910 35.83180 48.78630 64.50610 82.80410 103.13000 124.42600 145.03700 162.81200 175.44400 180.99900 178.44800 167.96100 150.85700 129.24300
 -155.000 -155.000 135.79200 104.59000 76.49970 52.98110 34.61980 21.25900 12.21710  6.54328  3.25302  1.49576  0.63455  0.24899  0.09265  0.03708  0.02327  0.02865  0.04817  0.08477  0.14441  0.23322  0.35583  0.51513  0.71319  0.95257  1.23809  1.58036  2.00250  2.54650  3.27090  4.23242  5.45514  6.90332  8.47503 10.02040 11.37330 12.38030 12.91990 12.91600 12.35070 11.27820  9.82907  8.19433  6.58573  5.18393  4.09941  3.36539  2.96157  2.84843  2.99159  3.37405  4.01168  4.98618  6.49175  8.87465 12.64220 18.42750 26.91040 38.70490 54.23280 73.61140 96.57570 122.43700 150.05500 177.80500 203.55800 224.77900 238.83500 243.53600 237.74900 221.81000 197.53200 167.77600
 -150.000 -150.000 166.75400 127.31800 92.35180 63.48920 41.24010 25.21900 14.46120  7.74375  3.85660  1.78008  0.76062  0.30357  0.11914  0.05593  0.04452  0.05929  0.09657  0.16327  0.27068  0.43050  0.65243  0.94363  1.30975  1.75646  2.29234  2.93597  3.72890  4.74680  6.09287  7.86083 10.07700 12.65370 15.38550 17.99370 20.19020 21.72770 22.42410 22.17560 20.97530 18.93850 16.30990 13.43030 10.66010  8.28918  6.47786  5.25552  4.56864  4.34033  4.50866  5.04186  5.95668  7.36449  9.54242 12.99800 18.48840 26.96700 39.44690 56.79010 79.45910 107.29900 139.43500 174.32800 209.95500 244.00100 273.95000 297.13300 310.89000 313.00900 302.37600 279.53700 246.81100 207.84000
 -145.000 -145.000 195.44200 147.99000 106.48900 72.67620 46.92010 28.56160 16.33160  8.73639  4.35456  2.01639  0.86896  0.35614  0.15264  0.08836  0.08568  0.11740  0.18277  0.29470  0.47235  0.73597  1.10385  1.59141  2.21183  2.97717  3.90255  5.01889  6.39554  8.15831 10.47470 13.48740 17.21510 21.47850 25.90650 30.02460 33.37090 35.57750 36.39550 35.69950 33.50840 30.02530 25.65250 20.93720 16.44700 12.62690  9.71082  7.72642  6.57406  6.12150  6.26416  6.94770  8.19063 10.14470 13.19370 18.04870 25.78200 37.75000 55.37550 79.79490 111.43000 149.62700 192.54100 237.38600 280.96300 320.19800 352.39100 375.13800 386.19100 383.65800 366.61200 335.82200 294.04700 245.61100
 -140.000 -140.000 218.64700 164.34900 117.41200 79.59660 51.09170 30.96000 17.64820  9.42596  4.69937  2.18320  0.95231  0.40756  0.19934  0.14473  0.16071  0.22004  0.32634  0.50047  0.77188  1.17266  1.73422  2.48620  3.45594  4.66794  6.14892  7.94809 10.17280 13.01520 16.72430 21.49850 27.33090 33.90190 40.60300 46.68950 51.47170 54.43490 55.26440 53.82900 50.19940 44.70280 37.94750 30.74410 23.92290 18.12710 13.68730 10.63150  8.80061  7.98663  8.02356  8.82392 10.40850 12.98110 17.05550 23.58310 34.00370 50.13830 73.86820 106.59500 148.58300 198.42600 252.94700 307.74400 358.20800 400.53400 432.15000 451.41500 457.03200 447.82300 423.23400 384.22300 333.81400 276.78800
 -135.000 -135.000 233.74100 174.64100 124.02500 83.61010 53.40290 32.23140 18.32090  9.77085  4.87335  2.27471  1.01128  0.46287  0.26821  0.23788  0.28601  0.38639  0.54796  0.80074  1.18640  1.75193  2.54713  3.62392  5.03394  6.82429  9.04200 11.76200 15.13770 19.43670 24.99600 32.06400 40.58200 50.04000 59.52520 67.95730 74.36900 78.07820 78.70860 76.14970 70.56380 62.45140 52.67930 42.37120 32.66070 24.41620 18.07700 13.66980 10.96270  9.65213  9.49137 10.34800 12.24470 15.44830 20.62060 28.97630 42.34720 63.03850 93.38690 135.00400 187.86000 249.56600 315.33400 378.90300 434.16800 476.73500 504.53100 517.20600 514.92200 497.58700 465.16400 418.71300 361.25200 297.68100
 -130.000 -130.000 239.48500 178.15200 125.96900 84.56880 53.81930 32.39150 18.38010  9.79920  4.89737  2.30490  1.05551  0.53014  0.36795  0.37835  0.47423  0.63049  0.86131  1.20623  1.72013  2.46756  3.52254  4.96961  6.89900  9.39607 12.54120 16.44270 21.30130 27.45310 35.30780 45.13960 56.80420 69.56060 82.14910 93.11320 101.17600 105.47200 105.57200 101.41900 93.32450 82.02500 68.70070 54.82300 41.84090 30.84520 22.37500 16.44430 12.73600 10.83560 10.40040 11.24320 13.38790 17.17110 23.41110 33.58640 49.90520 75.11830 111.94900 162.11600 225.16100 297.56800 372.83200 442.81300 500.02400 539.73800 560.76000 564.43100 552.73900 526.91800 487.49100 435.46400 373.54200 306.34300
 -125.000 -125.000 236.44200 175.43600 123.72100 82.85420 52.62700 31.64460 17.96480  9.60070  4.82552  2.30397  1.10039  0.61645  0.50141  0.56705  0.72523  0.95094  1.26251  1.70843  2.35714  3.29330  4.62206  6.47387  8.99686 12.33620 16.62250 22.00240 28.71000 37.11790 47.66310 60.59720 75.65360 91.84090 107.54800 120.93800 130.42200 134.94400 134.03500 127.73800 116.58300 101.62100 84.39650 66.73920 50.38720 36.61090 26.01000 18.56170 13.85100 11.34570 10.60150 11.37210 13.68200 17.93860 25.11020 36.91240 55.87010 85.08080 127.52200 184.88000 256.16600 336.73300 418.47700 491.63900 547.67900 581.88500 594.20600 587.86400 566.76600 533.48100 489.00800 434.10000 370.84100 303.22900
 -120.000 -120.000 226.80700 168.13200 118.43600 79.24000 50.32700 30.30700 17.27040  9.29227  4.72434  2.30625  1.15987  0.72252  0.66027  0.78900  1.01880  1.32308  1.72259  2.27364  3.05878  4.18654  5.80299  8.10250 11.31680 15.67830 21.38570 28.61840 37.60650 48.69130 62.25460 78.45580 96.87070 116.26700 134.72100 150.06100 160.41000 164.53900 161.96700 152.89400 138.15800 119.20400 97.98260 76.65660 57.18310 40.92520 28.47380 19.72920 14.16710 11.14080 10.11110 10.77760 13.16620 17.74880 25.62090 38.68170 59.67520 91.89950 138.41400 200.72600 277.27800 362.43400 446.85800 519.67000 571.79400 598.88200 602.14200 586.56800 557.75700 519.36200 472.63400 417.85500 356.28000 291.06900
 -115.000 -115.000 213.74800 158.48100 111.59900 74.65800 47.47660 28.70020 16.47720  8.97250  4.64528  2.33519  1.23906  0.83972  0.82421  1.01351  1.31538  1.70015  2.18934  2.84631  3.76971  5.09961  7.03930  9.87398 13.95410 19.63230 27.18860 36.80780 48.64000 62.87880 79.72790 99.16520 120.58600 142.56200 162.94600 179.32000 189.58600 192.39300 187.29900 174.74500 155.96900 132.88500 107.85300 83.30670 61.30650 43.18540 29.43020 19.81550 13.69750 10.32870  9.09466  9.65521 12.04090 16.77460 25.04190 38.85260 61.04950 94.96710 143.57000 208.07200 286.38600 372.17600 455.39700 524.71800 571.10600 590.87300 586.40300 564.07100 530.64500 490.39500 444.49900 392.59300 335.00700 274.05300
 -110.000 -110.000 200.53900 148.73000 104.65200 69.96950 44.55260 27.06710 15.69810  8.68892  4.60556  2.39362  1.33159  0.95245  0.96706  1.20320  1.56704  2.02557  2.60022  3.36213  4.43203  5.99715  8.34729 11.90190 17.18110 24.69740 34.81190 47.64900 63.13810 81.13970 101.50400 123.92500 147.61800 171.05800 192.01800 207.98600 216.76300 216.96900 208.29600 191.52200 168.36800 141.24700 112.88700 85.87790 62.22990 43.10380 28.78160 18.86370 12.58360  9.11515  7.79800  8.27346 10.58150 15.27850 23.59380 37.56560 60.01380 94.16020 142.73500 206.60200 283.27200 366.07800 444.86400 508.52100 548.59000 562.21500 552.69900 527.21000 493.00000 454.38200 412.11000 365.05600 312.69100 256.63400
