VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  5.12555  3.20670  1.88312  1.03774  0.53595  0.25879  0.11647  0.04869  0.01886  0.00677  0.00226  0.00071  0.00023  0.00013  0.00018  0.00038  0.00079  0.00155  0.00280  0.00462  0.00702  0.00981  0.01266  0.01522  0.01721  0.01862  0.01978  0.02142  0.02457  0.03035  0.03963  0.05262  0.06873  0.08685  0.10624  0.12794  0.15624  0.19910  0.26638  0.36517  0.49407  0.64060  0.78543  0.91252  1.01779  1.10826  1.19062  1.25875  1.29263  1.27210  1.19639  1.09466  1.02153  1.04328  1.22745  1.64336  2.37024  3.50115  5.12962  7.31470 10.03260 13.13380 16.32780 19.20990 21.33410 22.31870 21.95330 20.27050 17.54700 14.22850 10.80490  7.68621
 -175.000 -175.000 10.04640  6.40421  3.82881  2.14383  1.12192  0.54737  0.24831  0.10450  0.04078  0.01480  0.00504  0.00166  0.00059  0.00036  0.00054  0.00112  0.00231  0.00448  0.00800  0.01318  0.02000  0.02804  0.03643  0.04417  0.05045  0.05512  0.05897  0.06390  0.07268  0.08840  0.11332  0.14782  0.18975  0.23502  0.27939  0.32122  0.36402  0.41745  0.49482  0.60655  0.75207  0.91567  1.07182  1.19881  1.29167  1.36309  1.42994  1.49624  1.54830  1.56863  1.55964  1.56049  1.64767  1.92354  2.50604  3.52827  5.14381  7.52130 10.81050 15.07600 20.21630 25.90350 31.57970 36.52810 40.01130 41.44220 40.53710 37.40110 32.51100 26.59770 20.46230 14.79410
 -170.000 -170.000 18.49550 11.96060  7.24533  4.10242  2.16616  1.06419  0.48553  0.20560  0.08097  0.02987  0.01049  0.00365  0.00143  0.00098  0.00149  0.00303  0.00616  0.01175  0.02080  0.03410  0.05173  0.07274  0.09514  0.11639  0.13433  0.14827  0.15985  0.17349  0.19605  0.23516  0.29636  0.38018  0.48048  0.58578  0.68320  0.76391  0.82787  0.88547  0.95414  1.04956  1.17476  1.31430  1.44027  1.52908  1.57828  1.60928  1.65227  1.72488  1.82363  1.93796  2.07946  2.30808  2.74181  3.55072  4.94685  7.17917 10.52700 15.27020 21.61510 29.57690 38.85730 48.77790 58.32040 66.28880 71.55240 73.29820 71.21880 65.58150 57.16970 47.11170 36.63950 26.84470
 -165.000 -165.000 31.83580 20.79910 12.71360  7.25232  3.85190  1.90154  0.87192  0.37194  0.14844  0.05614  0.02061  0.00770  0.00335  0.00249  0.00377  0.00750  0.01496  0.02812  0.04928  0.08033  0.12176  0.17180  0.22626  0.27941  0.32600  0.36363  0.39514  0.42995  0.48335  0.57260  0.71018  0.89656  1.11669  1.34295  1.54412  1.69645  1.79207  1.84136  1.86763  1.89521  1.93550  1.97951  2.00425  1.99184  1.94882  1.90991  1.92122  2.01568  2.20240  2.48312  2.89036  3.52766  4.59348  6.38370  9.28080 13.73530 20.22870 29.18990 40.84640 55.03000 71.01220 87.46770 102.62900 114.61500 121.83000 123.30100 118.84100 109.04600 95.15190 78.80290 61.78190 45.71860
 -160.000 -160.000 51.03710 33.56790 20.63780 11.82850  6.30748  3.12641  1.44187  0.62147  0.25299  0.09918  0.03861  0.01564  0.00746  0.00585  0.00875  0.01699  0.03321  0.06149  0.10662  0.17281  0.26176  0.37071  0.49180  0.61341  0.72372  0.81600  0.89404  0.97583  1.09243  1.27965  1.56316  1.94291  2.38594  2.83335  3.21946  3.49371  3.63526  3.65503  3.58613  3.46697  3.32403  3.16333  2.97738  2.76543  2.55314  2.39512  2.35589  2.48374  2.80161  3.33112  4.14578  5.43170  7.53207 10.96210 16.39410 24.61000 36.39920 52.37060 72.67430 96.69770 122.88000 148.78300 171.49300 188.22500 196.94000 196.71800 187.80100 171.39200 149.36400 123.99200 97.70070 72.77670
 -155.000 -155.000 75.98600 50.17320 30.95430 17.79620  9.52043  4.74045  2.20392  0.96464  0.40398  0.16612  0.06928  0.03048  0.01568  0.01266  0.01855  0.03515  0.06745  0.12308  0.21124  0.34058  0.51575  0.73365  0.98123  1.23684  1.47626  1.68283  1.85931  2.03643  2.27177  2.63331  3.16964  3.87927  4.69722  5.51020  6.19456  6.65710  6.85881  6.81427  6.57309  6.19513  5.73009  5.20949  4.65498  4.09834  3.59809  3.23748  3.10211  3.25457  3.73283  4.58965  5.96904  8.19603 11.84950 17.79450 27.15910 41.23250 61.24480 87.99580 121.36800 159.88100 200.52900 239.11500 271.07700 292.55000 301.22800 296.68800 280.12300 253.75500 220.33000 182.83400 144.36500 107.91500
 -150.000 -150.000 104.87400 69.37990 42.89130 24.71860 13.27080  6.64942  3.12819  1.39954  0.60875  0.26517  0.11895  0.05632  0.03061  0.02500  0.03580  0.06636  0.12528  0.22572  0.38404  0.61673  0.93493  1.33748  1.80538  2.30173  2.78062  3.20529  3.57146  3.92575  4.36545  5.00902  5.94139  7.15842  8.54431  9.90110 11.01770 11.74030 12.00780 11.84410 11.32420 10.53730  9.56499  8.47644  7.33972  6.23883  5.28238  4.59248  4.27788  4.41344  5.05400  6.29871  8.40004 11.89150 17.69810 27.19260 42.15830 64.59930 96.32990 138.31500 189.87800 248.07900 307.67000 361.89100 403.99700 428.95900 434.60500 421.71900 393.18800 352.81300 304.47000 251.88800 198.75600 148.70000
 -145.000 -145.000 134.07600 88.75290 54.94520 31.74860 17.12840  8.66089  4.14331  1.90874  0.86960  0.40329  0.19377  0.09738  0.05492  0.04486  0.06277  0.11420  0.21277  0.37958  0.64187  1.02917  1.56531  2.25637  3.07868  3.97432  4.86242  5.66917  6.37030  7.02702  7.78916  8.84649 10.33660 12.25240 14.40710 16.48560 18.15960 19.19780 19.51570 19.15360 18.21900 16.83640 15.12670 13.21100 11.22530  9.33046  7.70532  6.52086  5.90895  5.95279  6.72600  8.39175 11.35240 16.42280 24.98710 39.08650 61.36020 94.72970 141.71300 203.36400 278.07100 360.74200 442.99400 514.67600 566.38500 592.01300 590.14700 563.71200 518.20700 459.64200 393.28400 323.54800 254.49900 190.14400
 -140.000 -140.000 158.81400 105.12100 65.17370 37.79490 20.53420 10.51680  5.14423  2.45656  1.17828  0.58106  0.29606  0.15553  0.08977  0.07289  0.09983  0.17891  0.33026  0.58567  0.98807  1.58752  2.43034  3.53954  4.89159  6.40236  7.93862  9.36405 10.61080 11.74380 12.97270 14.57770 16.76650 19.53260 22.60300 25.52150 27.82140 29.18480 29.50440 28.84130 27.33660 25.14980 22.44520 19.41140 16.27860 13.31320 10.78580  8.92453  7.88047  7.73806  8.58988 10.67900 14.59430 21.49340 33.31180 52.88590 83.86420 130.22600 195.24700 279.93400 381.33500 491.53900 598.23600 687.21800 746.16100 768.17100 753.37400 707.84800 640.62500 560.51900 474.37400 387.13800 302.88800 225.57100
 -135.000 -135.000 174.51400 115.47900 71.74440 41.82140 22.94460 11.95050  6.00679  2.98658  1.50874  0.78583  0.41928  0.22722  0.13290  0.10694  0.14378  0.25498  0.46848  0.82994  1.40400  2.27138  3.51495  5.18972  7.28198  9.67813 12.17180 14.52930 16.60130 18.43070 20.28080 22.53390 25.48500 29.13860 33.13710 36.88000 39.76130 41.38010 41.60960 40.52770 38.29940 35.10830 31.16190 26.73130 22.16800 17.87400 14.23160 11.53000  9.93223  9.51322 10.38090 12.86710 17.76910 26.62140 41.95680 67.46250 107.85000 168.18000 252.42800 361.36400 490.35000 628.18800 758.17900 861.78700 923.85500 937.19100 904.24600 835.10500 743.02300 639.99600 534.47500 431.68000 335.24000 248.47800
