VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  7.12326  5.06250  3.36667  2.10742  1.24925  0.70440  0.37823  0.19289  0.09306  0.04262  0.01923  0.00972  0.00670  0.00625  0.00640  0.00626  0.00558  0.00447  0.00321  0.00207  0.00121  0.00066  0.00040  0.00038  0.00055  0.00096  0.00173  0.00312  0.00567  0.01022  0.01772  0.02887  0.04337  0.05942  0.07383  0.08300  0.08441  0.07783  0.06544  0.05077  0.03729  0.02732  0.02168  0.01998  0.02102  0.02335  0.02573  0.02768  0.02973  0.03326  0.03987  0.05072  0.06648  0.08838  0.12029  0.17172  0.26110  0.41948  0.69382  1.14806  1.85830  2.89796  4.31189  6.08320  8.10275 10.15570 11.94070 13.12950 13.46140 12.83640 11.36430  9.33561
 -175.000 -175.000 11.05190  7.87871  5.26467  3.31615  1.97991  1.12469  0.60817  0.31224  0.15188  0.07080  0.03368  0.01939  0.01583  0.01630  0.01727  0.01706  0.01524  0.01222  0.00878  0.00566  0.00331  0.00185  0.00118  0.00117  0.00175  0.00297  0.00507  0.00861  0.01470  0.02510  0.04196  0.06679  0.09900  0.13466  0.16672  0.18722  0.19058  0.17629  0.14912  0.11687  0.08718  0.06514  0.05264  0.04887  0.05128  0.05660  0.06200  0.06630  0.07063  0.07814  0.09255  0.11658  0.15167  0.19981  0.26749  0.37051  0.53878  0.82054  1.28619  2.02975  3.16292  4.79486  6.99382  9.73489 12.84960 16.00290 18.72410 20.50590 20.95350 19.92810 17.61410 14.46550
 -170.000 -170.000 15.96570 11.38920  7.62412  4.81580  2.88549  1.64564  0.89365  0.46110  0.22628  0.10812  0.05543  0.03719  0.03517  0.03877  0.04194  0.04165  0.03726  0.02989  0.02148  0.01386  0.00814  0.00462  0.00310  0.00329  0.00503  0.00839  0.01378  0.02215  0.03553  0.05725  0.09148  0.14130  0.20565  0.27688  0.34104  0.38227  0.38948  0.36161  0.30807  0.24428  0.18531  0.14129  0.11609  0.10830  0.11302  0.12376  0.13471  0.14327  0.15161  0.16610  0.19451  0.24271  0.31372  0.41089  0.54455  0.73977  1.04216  1.52169  2.27547  3.42915  5.13112  7.52836 10.71530 14.65860 19.12010 23.61830 27.47240 29.95060 30.49140 28.91140 25.49480 20.90660
 -165.000 -165.000 21.40770 15.24830 10.20120  6.44546  3.86643  2.20948  1.20336  0.62395  0.30977  0.15338  0.08679  0.06827  0.07244  0.08345  0.09141  0.09108  0.08156  0.06543  0.04704  0.03039  0.01794  0.01040  0.00741  0.00842  0.01315  0.02167  0.03453  0.05308  0.08039  0.12198  0.18513  0.27549  0.39151  0.51982  0.63562  0.71047  0.72440  0.67536  0.58007  0.46596  0.35987  0.27993  0.23332  0.21799  0.22559  0.24468  0.26460  0.28021  0.29507  0.32072  0.37171  0.45957  0.59060  0.77073  1.01629  1.36531  1.88419  2.66856  3.84233  5.55771  7.99049 11.31530 15.64450 20.93000 26.85630 32.78300 37.80100 40.93570 41.45030 39.12540 34.37120 28.09850
 -160.000 -160.000 26.65020 18.91840 12.62600  7.96727  4.77914  2.73472  1.49400  0.77962  0.39352  0.20472  0.13034  0.11869  0.13672  0.16187  0.17863  0.17832  0.15976  0.12820  0.09219  0.05966  0.03546  0.02110  0.01611  0.01960  0.03120  0.05102  0.07950  0.11794  0.17011  0.24389  0.35060  0.49970  0.68951  0.89907  1.08856  1.21176  1.23591  1.15734  1.00289  0.81679  0.64234  0.50904  0.42901  0.39991  0.40922  0.43889  0.47149  0.49786  0.52293  0.56527  0.64941  0.79599  1.01757  1.32544  1.74539  2.33368  3.18334  4.41924  6.18904  8.65856 12.00840 16.41240 21.97240 28.60480 35.90830 43.08940 49.03150 52.54810 52.76330 49.45670 43.18930 35.12850
 -155.000 -155.000 30.90080 21.82840 14.51700  9.14303  5.48412  3.14455  1.72592  0.90926  0.46985  0.26045  0.18790  0.19280  0.23448  0.28219  0.31273  0.31252  0.28005  0.22478  0.16171  0.10487  0.06291  0.03874  0.03196  0.04158  0.06735  0.10946  0.16774  0.24225  0.33605  0.45861  0.62569  0.85189  1.13629  1.44941  1.73297  1.91819  1.95573  1.83934  1.60825  1.32772  1.06188  0.85473  0.72527  0.67169  0.67747  0.71729  0.76549  0.80731  0.84828  0.91482  1.04415  1.27012  1.61624  2.10420  2.77521  3.71077  5.03776  6.91407  9.50600 12.97360 17.46610 23.10600 29.93020 37.77550 46.13960 54.10240 60.40660 63.74890 63.20960 58.63470 50.75910 40.98240
 -150.000 -150.000 33.56430 23.56770 15.61230  9.81761  5.89525  3.39402  1.87723  1.00315  0.53493  0.31911  0.25853  0.28919  0.36352  0.44148  0.49031  0.49021  0.43935  0.35270  0.25394  0.16520  0.10038  0.06466  0.05828  0.08077  0.13269  0.21446  0.32440  0.45922  0.61855  0.81140  1.05760  1.37813  1.77444  2.20876  2.60223  2.85982  2.91210  2.74885  2.42301  2.02418  1.64104  1.33510  1.13423  1.03864  1.02901  1.07356  1.13821  1.20125  1.26689  1.36826  1.55640  1.88227  2.38669  3.10965  4.11652  5.52324  7.49918 10.23990 13.92510 18.68590 24.59310 31.64770 39.73990 48.55870 57.47630 65.48880 71.31160 73.67960 71.77980 65.62080 56.12690 44.87010
 -145.000 -145.000 34.42420 24.01000 15.84710  9.96174  6.00125  3.48002  1.94820  1.06252  0.58927  0.37890  0.33660  0.39735  0.50808  0.61940  0.68835  0.68824  0.61685  0.49533  0.35706  0.23344  0.14462  0.09900  0.09861  0.14483  0.24020  0.38572  0.57699  0.80446  1.06066  1.35113  1.69887  2.13241  2.65754  3.22898  3.74586  4.08350  4.14870  3.92521  3.48047  2.93164  2.39621  1.95694  1.65304  1.48848  1.44292  1.48013  1.55883  1.64953  1.75214  1.90311  2.16595  2.61161  3.30543  4.31570  5.74281  7.74789 10.55210 14.39440 19.46330 25.83730 33.45650 42.11770 51.46640 60.95990 69.81610 77.00440 81.35660 81.83900 77.92460 69.89040 58.85120 46.46330
 -140.000 -140.000 33.65500 23.30870 15.33860  9.65491  5.85121  3.43117  1.95534  1.09671  0.63671  0.43763  0.41232  0.49837  0.63968  0.77935  0.86541  0.86490  0.77514  0.62272  0.44986  0.29659  0.18949  0.14117  0.15714  0.24267  0.40391  0.64284  0.95098  1.30948  1.70007  2.12211  2.60117  3.17458  3.85395  4.58626  5.24560  5.67253  5.74491  5.43774  4.83430  4.08466  3.34230  2.71748  2.26441  1.99235  1.88108  1.89175  1.97770  2.10146  2.25534  2.47406  2.83014  3.41555  4.32649  5.66941  7.59062 10.30630 14.09780 19.25220 25.96310 34.23440 43.82460 54.24650 64.80430 74.64600 82.81630 88.32550 90.27210 88.04530 81.57050 71.47710 59.05020 45.92740
 -135.000 -135.000 31.68420 21.78600 14.30430  9.03053  5.52103  3.28923  1.92207  1.11914  0.68354  0.49412  0.47541  0.57129  0.72640  0.88003  0.97465  0.97306  0.87193  0.70113  0.50857  0.34049  0.22902  0.19201  0.24065  0.38647  0.64086  1.00701  1.47091  2.00189  2.56841  3.16266  3.81354  4.56874  5.44577  6.38055  7.21513  7.74634  7.81536  7.38529  6.55878  5.52833  4.49560  3.60871  2.94243  2.51227  2.29723  2.25576  2.33666  2.49454  2.71159  3.01600  3.48480  4.22990  5.38172  7.09163  9.55914 13.06150 17.94400 24.54300 33.05210 43.38140 55.06850 67.28060 78.91400 88.76110 95.69960 98.85500 97.72160 92.25520 82.94180 70.79700 57.23080 43.76420
