VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 21.38630 15.18320 10.04120  6.25121  3.71510  2.13837  1.20323  0.66125  0.35087  0.17671  0.08304  0.03593  0.01423  0.00527  0.00213  0.00150  0.00200  0.00313  0.00459  0.00613  0.00742  0.00818  0.00837  0.00820  0.00833  0.00987  0.01448  0.02431  0.04142  0.06675  0.09871  0.13245  0.16063  0.17605  0.17471  0.15768  0.13042  0.10015  0.07307  0.05277  0.04050  0.03630  0.04012  0.05210  0.07210  0.09874  0.12880  0.15795  0.18323  0.20753  0.24485  0.32511  0.49631  0.82156  1.36844  2.19134  3.31330  4.71871  6.36713  8.22833 10.32490 12.76000 15.70490 19.32910 23.67170 28.49000 33.16740 36.77910 38.35790 37.27640 33.55120 27.88170
 -175.000 -175.000 33.08500 23.29860 15.25940  9.38261  5.48757  3.09764  1.70635  0.91903  0.47966  0.23873  0.11136  0.04803  0.01910  0.00734  0.00354  0.00344  0.00532  0.00855  0.01267  0.01701  0.02073  0.02311  0.02391  0.02366  0.02389  0.02719  0.03741  0.05937  0.09776  0.15470  0.22673  0.30313  0.36771  0.40445  0.40435  0.36943  0.31134  0.24568  0.18588  0.13994  0.11088  0.09922  0.10525  0.12971  0.17268  0.23140  0.29878  0.36431  0.41888  0.46293  0.51610  0.62532  0.86835  1.34977  2.18639  3.48185  5.29732  7.63362 10.44210 13.67000 17.32650 21.53230 26.50990 32.47720 39.44500 46.98480 54.10000 59.35200 61.28820 59.02640 52.69540 43.45890
 -170.000 -170.000 47.48270 33.18820 21.55280 13.11270  7.56483  4.19773  2.26790  1.19825  0.61525  0.30257  0.14011  0.06029  0.02420  0.00991  0.00608  0.00767  0.01287  0.02103  0.03136  0.04240  0.05216  0.05887  0.06182  0.06211  0.06291  0.06971  0.09044  0.13498  0.21292  0.32867  0.47559  0.63255  0.76751  0.84842  0.85679  0.79558  0.68662  0.55975  0.44103  0.34648  0.28287  0.25243  0.25703  0.29945  0.38098  0.49705  0.63368  0.76862  0.87961  0.95917  1.03173  1.16710  1.48596  2.15400  3.36214  5.29141  8.06880 11.73220 16.23090 21.47780 27.44070 34.22420 42.06640 51.19320 61.53070 72.38100 82.26480 89.13540 91.00740 86.77470 76.78780 62.83190
 -165.000 -165.000 63.45620 44.04980 28.40320 17.13660  9.78208  5.35584  2.84852  1.48088  0.74957  0.36468  0.16778  0.07214  0.02943  0.01330  0.01062  0.01606  0.02815  0.04647  0.06976  0.09508  0.11827  0.13543  0.14489  0.14849  0.15218  0.16627  0.20555  0.28832  0.43228  0.64605  0.91848  1.21257  1.47141  1.63725  1.67528  1.58778  1.41017  1.19269  0.98029  0.80198  0.67194  0.59726  0.58486  0.64315  0.77750  0.98200  1.23220  1.48579  1.69615  1.83784  1.93622  2.09015  2.48005  3.35838  5.02187  7.76390 11.81130 17.26550 24.08290 32.12640 41.27980 51.56440 63.15210 76.18560 90.41220 104.77900 117.26800 125.22200 126.18700 118.95400 104.24200 84.58680
 -160.000 -160.000 79.31090 54.70130 35.06280 21.02480 11.91500  6.46513  3.40162  1.74810  0.87545  0.42242  0.19341  0.08326  0.03484  0.01791  0.01821  0.03084  0.05541  0.09222  0.13950  0.19199  0.24196  0.28196  0.30836  0.32379  0.33809  0.36855  0.43989  0.58267  0.82678  1.18787  1.65015  2.15622  2.61559  2.93417  3.05142  2.96345  2.71840  2.38966  2.04584  1.73455  1.48366  1.31212  1.23955  1.28786  1.47312  1.79098  2.20331  2.63725  3.00594  3.25022  3.38816  3.55273  4.00386  5.11222  7.31815 11.06670 16.72150 24.47610 34.30560 46.00370 59.31070 74.06140 90.22200 107.69900 125.92900 143.43300 157.68200 165.53900 164.29300 152.85600 132.48200 106.52500
 -155.000 -155.000 93.16460 63.84280 40.71180 24.30500 13.71480  7.40556  3.87378  1.97768  0.98399  0.47224  0.21554  0.09308  0.04029  0.02397  0.02962  0.05373  0.09806  0.16452  0.25104  0.34956  0.44746  0.53224  0.59707  0.64491  0.68990  0.75763  0.88499  1.11807  1.50299  2.06649  2.79092  3.59823  4.35988  4.93659  5.23018  5.21791  4.94998  4.51653  4.00921  3.49942  3.03868  2.67100  2.44356  2.40649  2.59899  3.02559  3.63340  4.30789  4.90253  5.30335  5.50759  5.68443  6.19357  7.55822 10.40280 15.36380 22.97660 33.55390 47.09990 63.31820 81.73200 101.85100 123.24100 145.36600 167.19200 186.78500 201.23600 207.21200 202.09200 185.21200 158.51800 126.16000
 -150.000 -150.000 103.41100 70.37630 44.65530 26.56890 14.95810  8.06250  4.20913  2.14331  1.06299  0.50846  0.23158  0.10043  0.04525  0.03120  0.04459  0.08449  0.15605  0.26404  0.40713  0.57487  0.74961  0.91304  1.05417  1.17513  1.29320  1.44122  1.66790  2.03571  2.60990  3.43375  4.49521  5.70312  6.89482  7.88182  8.51403  8.72677  8.54613  8.05783  7.36659  6.57118  5.76173  5.02927  4.47311  4.19537  4.27834  4.74838  5.54061  6.48949  7.36923  7.98739  8.30273  8.51800  9.10871 10.78120 14.38040 20.76780 30.67790 44.56310 62.46420 83.97010 108.30400 134.48800 161.46100 188.00800 212.48200 232.52300 245.08400 247.03300 236.27700 212.89600 179.63300 141.31800
 -145.000 -145.000 109.07200 73.65920 46.48910 27.57210 15.50200  8.35483  4.36286  2.22081  1.09971  0.52464  0.23834  0.10377  0.04881  0.03859  0.06133  0.11967  0.22339  0.38173  0.59607  0.85582  1.14043  1.42724  1.70130  1.96236  2.22752  2.53229  2.93238  3.50333  4.32990  5.47819  6.95463  8.67193 10.44750 12.04600 13.24890 13.91470 14.00150 13.55220 12.66380 11.46410 10.10270  8.74993  7.59286  6.81848  6.57880  6.93976  7.83141  9.03254 10.22330 11.11280 11.60350 11.92380 12.67120 14.75250 19.25440 27.28210 39.78290 57.35750 80.08310 107.40500 138.16000 170.71900 203.17400 233.42600 259.12700 277.60500 285.99800 281.83000 263.95900 233.46700 193.91000 150.58900
 -140.000 -140.000 109.93600 73.60710 46.17710 27.29030 15.32400  8.26212  4.31868  2.19885  1.08718  0.51688  0.23386  0.10203  0.05005  0.04458  0.07652  0.15262  0.28804  0.49803  0.78963  1.15652  1.58049  2.03936  2.51686  3.00950  3.52936  4.10642  4.79353  5.67082  6.83924  8.39334 10.37450 12.72340 15.25940 17.70740 19.76230 21.16190 21.73920 21.44230 20.33160 18.56510 16.37910 14.06520 11.94290 10.32290  9.45549  9.46431 10.28330 11.63730 13.10840 14.29860 15.04280 15.58410 16.63330 19.29200 24.88410 34.75150 50.04640 71.51020 99.24280 132.51200 169.68800 208.35900 245.61000 278.34200 303.52700 318.37900 320.58100 308.72400 282.93600 245.42200 200.44300 153.49900
 -135.000 -135.000 106.47200 70.63290 44.01860 25.90990 14.52550  7.83315  4.09770  2.08591  1.02879  0.48664  0.21875  0.09532  0.04848  0.04756  0.08637  0.17543  0.33513  0.58782  0.94941  1.42378  2.00314  2.67412  3.42523  4.25130  5.15513  6.15142  7.27683  8.60287 10.23890 12.31070 14.90990 18.02900 21.51260 25.05320 28.24050 30.64700 31.92070 31.86150 30.46310 27.91730 24.57970 20.91140 17.41270 14.55510 12.70970 12.06840 12.57520 13.90860 15.56330 17.04420 18.12100 19.04090 20.60430 24.07400 30.97240 42.83960 60.99690 86.29490 118.82700 157.64400 200.59600 244.42200 285.15500 318.72300 341.55700 351.02300 345.67700 325.45200 291.88900 248.25800 199.30700 150.43200
