VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 14.99050 11.99450  8.91120  6.12603  3.88615  2.27210  1.22621  0.61459  0.28978  0.13123  0.05858  0.02634  0.01210  0.00583  0.00321  0.00229  0.00212  0.00220  0.00229  0.00230  0.00230  0.00245  0.00301  0.00434  0.00678  0.01058  0.01577  0.02195  0.02831  0.03377  0.03744  0.03904  0.03906  0.03845  0.03800  0.03783  0.03735  0.03570  0.03239  0.02772  0.02277  0.01908  0.01818  0.02136  0.02961  0.04390  0.06588  0.09853  0.14640  0.21480  0.30822  0.42934  0.58042  0.76690  1.00079  1.30037  1.68536  2.17083  2.76546  3.47730  4.32558  5.35260  6.62627  8.22279 10.18430 12.46150 14.86930 17.08890 18.73130 19.44370 19.01790 17.45920
 -175.000 -175.000 20.81130 16.58980 12.30330  8.46133  5.38458  3.17067  1.73419  0.88972  0.43582  0.20882  0.10018  0.04877  0.02430  0.01289  0.00809  0.00664  0.00670  0.00720  0.00757  0.00762  0.00752  0.00776  0.00911  0.01245  0.01863  0.02817  0.04098  0.05597  0.07115  0.08401  0.09261  0.09647  0.09688  0.09612  0.09591  0.09631  0.09569  0.09187  0.08368  0.07192  0.05927  0.04947  0.04622  0.05245  0.07008  0.10043  0.14535  0.20855  0.29625  0.41608  0.57454  0.77550  1.02242  1.32455  1.70292  2.19025  2.82289  3.62901  4.62176  5.80344  7.18114  8.78697 10.68910 12.97530 15.69630 18.78360 21.98340 24.85960 26.88590 27.59930 26.74780 24.37460
 -170.000 -170.000 26.81930 21.28430 15.75130 10.83950  6.92721  4.11801  2.29247  1.21191  0.62168  0.31705  0.16345  0.08560  0.04606  0.02702  0.01942  0.01799  0.01933  0.02125  0.02247  0.02260  0.02210  0.02229  0.02510  0.03268  0.04689  0.06866  0.09735  0.13030  0.16301  0.19030  0.20839  0.21677  0.21853  0.21849  0.22002  0.22270  0.22256  0.21466  0.19645  0.16978  0.14066  0.11726  0.10762  0.11792  0.15173  0.21050  0.29518  0.40871  0.55745  0.75023  0.99505  1.29731  1.66360  2.11114  2.67676  3.41630  4.39124  5.64825  7.20375  9.04406 11.14460 13.50250 16.16260 19.20810 22.69310 26.53270 30.41080 33.78110 35.99130 36.48550 34.99200 31.61720
 -165.000 -165.000 32.25350 25.44520 18.77130 12.92180  8.29918  4.99193  2.84029  1.55617  0.84053  0.45686  0.25198  0.14117  0.08218  0.05390  0.04424  0.04510  0.05056  0.05636  0.05983  0.06010  0.05837  0.05777  0.06285  0.07840  0.10815  0.15338  0.21194  0.27776  0.34170  0.39408  0.42851  0.44507  0.45043  0.45379  0.46087  0.46981  0.47195  0.45721  0.42064  0.36610  0.30554  0.25508  0.23044  0.24358  0.30098  0.40388  0.55043  0.73960  0.97427  1.26113  1.60775  2.02147  2.51587  3.12401  3.90943  4.96296  6.38092  8.23270 10.53360 13.23870 16.26580 19.54400 23.06250 26.87620 31.03310 35.43630 39.72420 43.26650 45.31940 45.27460 42.88160 38.34200
 -160.000 -160.000 36.44490 28.50680 20.91990 14.38720  9.28588  5.66010  3.30207  1.88240  1.07278  0.62008  0.36411  0.21807  0.13861  0.10261  0.09494  0.10383  0.11953  0.13428  0.14280  0.14331  0.13841  0.13501  0.14282  0.17169  0.22847  0.31440  0.42370  0.54382  0.65786  0.74952  0.80951  0.84004  0.85390  0.86682  0.88721  0.90972  0.91756  0.89239  0.82562  0.72447  0.61026  0.51145  0.45571  0.46425  0.54856  0.70971  0.94079  1.23232  1.57777  1.97593  2.43000  2.94954  3.56112  4.32539  5.34778  6.76859  8.72843 11.32070 14.55090 18.32360 22.47030 26.81690 31.26190 35.80470 40.47300 45.16150 49.48370 52.76360 54.21660 53.24030 49.66050 43.81290
 -155.000 -155.000 39.01950 30.14450 21.93010 15.02760  9.73301  6.01256  3.60181  2.13953  1.28563  0.78776  0.49179  0.31693  0.22300  0.18679  0.19057  0.21829  0.25497  0.28733  0.30561  0.30634  0.29462  0.28415  0.29401  0.34274  0.44200  0.59183  0.77931  0.98086  1.16801  1.31617  1.41393  1.46827  1.50094  1.53568  1.58251  1.62939  1.64736  1.60675  1.49458  1.32312  1.12646  0.94947  0.83599  0.82043  0.92243  1.14440  1.47310  1.88619  2.36097  2.88074  3.43893  4.04701  4.75166  5.65516  6.92211  8.75686 11.35120 14.81920 19.14360 24.15710 29.57810 35.10030 40.50280 45.70520 50.69970 55.37170 59.32770 61.88370 62.27010 59.95510 54.90150 47.62040
 -150.000 -150.000 39.96880 30.35140 21.78380 14.80890  9.59267  5.99393  3.68406  2.27859  1.44121  0.93538  0.62391  0.43854  0.34584  0.32448  0.35517  0.41762  0.49035  0.55224  0.58661  0.58714  0.56283  0.53833  0.54768  0.62307  0.78280  1.02379  1.32108  1.63452  1.92055  2.14600  2.29980  2.39685  2.46953  2.54834  2.64129  2.72521  2.75566  2.69063  2.51380  2.24462  1.93210  1.63938  1.42878  1.35128  1.43899  1.69958  2.11519  2.64894  3.25679  3.89970  4.55559  5.23696  6.01680  7.05168  8.58014 10.88120 14.19910 18.65920 24.20370 30.57290 37.35200 44.08560 50.41960 56.18150 61.31760 65.69970 68.93790 70.37030 69.29030 65.29460 58.53610 49.73620
 -145.000 -145.000 39.56040 29.38430 20.68850 13.87050  8.93712  5.62396  3.53607  2.27307  1.51321  1.04499  0.75401  0.58750  0.52040  0.53473  0.61107  0.72577  0.85034  0.95389  1.01035  1.00929  0.96505  0.91775  0.92268  1.03090  1.26923  1.62890  2.06765  2.52391  2.93729  3.26824  3.51000  3.68762  3.84179  4.00315  4.16976  4.30189  4.33911  4.23070  3.96202  3.56290  3.09730  2.64463  2.28415  2.08482  2.09611  2.33771  2.79338  3.41502  4.13688  4.89440  5.64639  6.40522  7.27343  8.46877 10.31050 13.15410 17.28920 22.83600 29.67490 37.43340 45.55220 53.42600 60.57400 66.73730 71.81770 75.67280 77.92240 77.94740 75.14030 69.26600 60.69960 50.38660
 -140.000 -140.000 38.16240 27.62480 18.97960 12.46750  7.93444  4.99693  3.20082  2.13715  1.50420  1.11818  0.88753  0.77378  0.75931  0.82973  0.96690  1.14547  1.33090  1.48221  1.56268  1.55694  1.48576  1.40829  1.40598  1.55282  1.88528  2.38675  2.99407  3.62241  4.19677  4.67657  5.06401  5.39305  5.70339  6.01084  6.28956  6.47687  6.50001  6.31021  5.90569  5.33266  4.66882  4.00391  3.42824  3.02704  2.87109  3.00068  3.41133  4.05282  4.84388  5.69729  6.55346  7.42430  8.44117  9.88116 12.13960 15.63810 20.69510 27.40260 35.55410 44.64600 53.96930 62.78210 70.50260 76.81320 81.58940 84.68540 85.74100 84.19850 79.57300 71.81650 61.52740 49.85570
 -135.000 -135.000 36.10380 25.44290 17.00610 10.88810  6.79803  4.25784  2.77126  1.92923  1.45169  1.18014  1.04173  1.00818  1.06623  1.20377  1.40452  1.64362  1.88336  2.07511  2.17300  2.15730  2.05563  1.94696  1.94003  2.13250  2.57029  3.22827  4.02296  4.85020  5.62808  6.32365  6.95188  7.54899  8.13522  8.68681  9.13289  9.37961  9.34917  9.01252  8.39939  7.58357  6.65735  5.71414  4.84686  4.15206  3.72304  3.62776  3.88466  4.45387  5.25015  6.17293  7.14995  8.19418  9.46183 11.27920 14.10150 18.39580 24.48400 32.40300 41.83310 52.12130 62.40870 71.83830 79.76650 85.86080 90.00830 92.08630 91.77740 88.60810 82.23280 72.78820 61.06410 48.36020
