VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 24.51510 20.62870 16.47530 12.49840  9.03671  6.26316  4.18827  2.71516  1.70723  1.03649  0.60305  0.33478  0.18012  0.10182  0.07310  0.07485  0.09281  0.11533  0.13271  0.13820  0.12951  0.10913  0.08283  0.05706  0.03685  0.02531  0.02474  0.03844  0.07198  0.13305  0.22947  0.36594  0.54095  0.74501  0.96049  1.16274  1.32301  1.41484  1.42382  1.35704  1.24573  1.13808  1.08522  1.12777  1.28854  1.57227  1.97044  2.46809  3.05009  3.70425  4.41923  5.17832  5.95385  6.70777  7.40019  8.00163  8.50366  8.92574  9.32121  9.78475 10.45760 11.51920 13.15060 15.46640 18.43180 21.81030 25.18170 28.04090 29.93020 30.54500 29.77280 27.68540
 -175.000 -175.000 35.43450 30.15900 24.39520 18.76320 13.75960  9.66446  6.53464  4.26856  2.69430  1.63723  0.95231  0.52954  0.28802  0.16902  0.13049  0.14222  0.18086  0.22622  0.26072  0.27183  0.25530  0.21597  0.16492  0.11461  0.07475  0.05119  0.04763  0.06869  0.12215  0.21899  0.37075  0.58506  0.86116  1.18675  1.53663  1.87329  2.15125  2.32755  2.37788  2.31128  2.17351  2.03532  1.97144  2.04168  2.28111  2.69993  3.28893  4.02761  4.89245  5.86229  6.91751  8.03275  9.16825 10.26840 11.27190 12.13060 12.82890 13.39860 13.92670 14.55910 15.49780 16.98060 19.23280 22.38560 26.38120 30.91410 35.45440 39.36160 42.04170 43.07070 42.25150 39.61960
 -170.000 -170.000 47.39860 40.75920 33.35830 25.98310 19.29570 13.70560  9.34465  6.13157  3.87264  2.34823  1.36203  0.75756  0.41729  0.25612  0.21390  0.24725  0.32126  0.40402  0.46643  0.48735  0.45949  0.39116  0.30158  0.21257  0.14145  0.09872  0.09047  0.12290  0.20587  0.35350  0.58147  0.90206  1.31854  1.81978  2.37537  2.93282  3.42165  3.76985  3.93059  3.90680  3.75752  3.58058  3.48209  3.54996  3.84112  4.38135  5.17086  6.19175  7.41610  8.81212 10.34420 11.96560 13.60860 15.18500 16.60170 17.78920 18.72990 19.47670 20.15750 20.97040 22.17040 24.04250 26.84600 30.72660 35.61310 41.15150 46.72750 51.58940 55.01870 56.47160 55.65300 52.54140
 -165.000 -165.000 58.88240 51.09670 42.26120 33.28870 24.98740 17.90470 12.27410  8.06420  5.07988  3.06415  1.76766  0.98233  0.54970  0.35638  0.32376  0.39513  0.52285  0.66064  0.76457  0.80186  0.76084  0.65404  0.51152  0.36818  0.25275  0.18355  0.17108  0.22391  0.35350  0.57585  0.90977  1.37311  1.97713  2.71822  3.56608  4.45310  5.27569  5.91772  6.29284  6.38432  6.25761  6.03753  5.86675  5.87067  6.14165  6.73810  7.68767  8.98980 10.61940 12.53180 14.66500 16.93450 19.22830 21.41120 23.35000 24.95230 26.20200 27.17690 28.04450 29.04390 30.46380 32.61320 35.77030 40.09430 45.51860 51.67510 57.91020 63.40520 67.35270 69.10970 68.28870 64.80060
 -160.000 -160.000 68.22480 59.66530 49.79940 39.59950 29.97850 21.61210 14.85120  9.73863  6.09868  3.64804  2.08775  1.15859  0.66217  0.45925  0.45586  0.58430  0.78500  0.99635  1.15743  1.22141  1.17035  1.02060  0.81449  0.60338  0.43211  0.33178  0.32137  0.41388  0.62193  0.96071  1.44910  2.10972  2.96579  4.02922  5.27798  6.63143  7.94447  9.03868  9.76534 10.06760 10.00420  9.72264  9.40697  9.23261  9.34699  9.86582 10.86920 12.39330 14.42390 16.89910 19.71630 22.73700 25.78960 28.68340 31.24160 33.34840 34.98940 36.26330 37.36520 38.55300 40.11890 42.36670 45.57370 49.91280 55.34490 61.53200 67.83800 73.43820 77.49110 79.29720 78.40120 74.64870
 -155.000 -155.000 74.11860 65.23110 54.85290 43.94360 33.46850 24.20640 16.62300 10.84560  6.73108  3.98077  2.25485  1.25045  0.73653  0.55515  0.60320  0.80671  1.09711  1.39900  1.63444  1.74104  1.69205  1.50502  1.23369  0.94818  0.71503  0.58550  0.59399  0.76214  1.10372  1.62927  2.35237  3.29760  4.50317  6.00555  7.80076  9.79782 11.79960 13.54130 14.78070 15.39200 15.40840 14.99670 14.39220 13.84220 13.57830 13.80520 14.68430 16.30740 18.67660 21.70440 25.23150 29.04920 32.91720 36.58710 39.83990 42.53650 44.65790 46.31080 47.69600 49.06170 50.67130 52.79390 55.68760 59.53990 64.36210 69.89030 75.56620 80.62600 84.26030 85.76980 84.66950 80.74930
 -150.000 -150.000 76.01450 67.22350 56.85130 45.78500 34.99240 25.32010 17.32700 11.21690  6.88031  4.01276  2.24650  1.24900  0.76939  0.64136  0.76049  1.05229  1.44400  1.85029  2.17874  2.35118  2.32847  2.12417  1.79972  1.44491  1.15425  1.00910  1.06928  1.37159  1.93202  2.75220  3.83386  5.19963  6.90546  9.02149 11.57120 14.45290 17.39980 20.02550 21.95000 22.93940 22.98110 22.26460 21.10270 19.85470 18.87960 18.50920 19.01290 20.55130 23.14150 26.65780 30.86810 35.48070 40.18330 44.67240 48.68930 52.06620 54.76360 56.87220 58.57150 60.07350 61.59020 63.33810 65.54700 68.42110 72.03980 76.24810 80.61560 84.50150 87.19350 88.05040 86.59740 82.58090
 -145.000 -145.000 74.28720 65.92100 55.97390 45.22420 34.60500 24.99250 17.00590 10.90180  6.59768  3.78981  2.09843  1.17917  0.77643  0.72619  0.92951  1.31651  1.81531  2.33642  2.77760  3.04595  3.08610  2.90047  2.55233  2.15062  1.82429  1.69607  1.86300  2.38536  3.28374  4.54802  6.16338  8.14880 10.58260 13.57790 17.19080 21.29950 25.53380 29.33090 32.10980 33.47870 33.36100 31.99080 29.81350 27.36860 25.20550 23.82610 23.62820 24.84220 27.48970 31.39150 36.22920 41.62240 47.18720 52.56800 57.46180 61.65320 65.05010 67.69030 69.70300 71.25000 72.49130 73.59910 74.78260 76.26900 78.21340 80.58720 83.11800 85.33180 86.66540 86.58380 84.65420 80.58740
 -140.000 -140.000 70.13700 62.38200 53.11320 42.98740 32.88220 23.67250 16.00270 10.15610  6.06654  3.43711  1.89163  1.09102  0.78804  0.82843  1.12215  1.60619  2.21345  2.85627  3.42878  3.82618  3.97436  3.85812  3.53624  3.13542  2.82416  2.77642  3.13734  3.99887  5.39039  7.29132  9.67213 12.55410 16.04830 20.31940 25.45290 31.27720 37.25900 42.57370 46.35300 47.98750 47.33060 44.71350 40.80910 36.44380 32.44210 29.52250 28.21940 28.81840 31.32350 35.48670 40.89760 47.09010 53.61350 60.05710 66.05330 71.29760 75.59040 78.86430 81.16930 82.62060 83.35900 83.55300 83.42310 83.23210 83.20930 83.44660 83.83570 84.08880 83.82180 82.63480 80.15500 76.06080
 -135.000 -135.000 65.29600 58.17580 49.63390 40.21530 30.73990 22.06490 14.83600  9.34329  5.52912  3.10806  1.71884  1.03918  0.83736  0.97086  1.35706  1.93818  2.65282  3.41989  4.13666  4.69224  4.99560  5.01178  4.79146  4.47716  4.27859  4.42575  5.11786  6.48426  8.56878 11.34850 14.79260 18.94400 23.96530 30.08010 37.38220 45.59010 53.90710 61.12630 65.98200 67.59020 65.75250 60.99430 54.35980 47.10760 40.44180 35.34060 32.46610 32.12350 34.26650 38.56360 44.51840 51.59400 59.28330 67.10990 74.60180 81.29790 86.80830 90.89230 93.48920 94.68970 94.67720 93.69090 92.01870 89.97980 87.86890 85.87770 84.04470 82.26480 80.33790 78.00650 74.95860 70.83440
 -130.000 -130.000 61.64870 55.01600 47.02600 38.14270 29.14960 20.89220 14.01180  8.79643  5.19155  2.92287  1.64672  1.05976  0.94524  1.16855  1.64876  2.32776  3.14727  4.03487  4.89804  5.62958  6.13107  6.35416  6.34366  6.25660  6.34059  6.87805  8.11947 10.23140 13.27750 17.24780 22.13790 28.04670 35.21730 43.93210 54.24570 65.66340 76.97890 86.44740 92.29060 93.31340 89.33320 81.22090 70.58500 59.28880 49.02340 41.05430 36.13670 34.53660 36.11140 40.43330 46.93800 55.04770 64.21710 73.89130 83.43990 92.15600 99.35750 104.54400 107.51100 108.35200 107.37000 104.97100 101.58100 97.60690 93.40370 89.23780 85.26830 81.55230 78.05920 74.65680 71.07390 66.89390
