VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 15.85750 11.28660  7.66948  5.06205  3.32962  2.23808  1.54854  1.08184  0.73725  0.47450  0.28214  0.15328  0.07604  0.03500  0.01585  0.00852  0.00778  0.01243  0.02431  0.04728  0.08587  0.14351  0.22071  0.31434  0.41809  0.52356  0.62038  0.69580  0.73582  0.72972  0.67629  0.58706  0.48277  0.38490  0.30749  0.25420  0.22079  0.19984  0.18436  0.16963  0.15373  0.13808  0.12783  0.13228  0.16556  0.24748  0.40313  0.65873  1.03179  1.51825  2.08439  2.67369  3.23266  3.74779  4.27512  4.94449  5.93291  7.41785  9.53075 12.32730 15.77750 19.76510 24.08200 28.41630 32.34830 35.38080 37.02200 36.90860 34.92680 31.27720 26.44540 21.08500
 -175.000 -175.000 23.60020 16.59090 11.08560  7.14306  4.54479  2.93331  1.94858  1.31727  0.87827  0.55855  0.33103  0.18112  0.09226  0.04545  0.02383  0.01589  0.01616  0.02438  0.04435  0.08253  0.14591  0.23897  0.36071  0.50382  0.65638  0.80490  0.93566  1.03419  1.08531  1.07760  1.01066  0.89950  0.77063  0.65139  0.55932  0.49829  0.46172  0.43866  0.41863  0.39422  0.36272  0.32767  0.29968  0.29623  0.34089  0.46309  0.69722  1.07759  1.62693  2.34065  3.17715  4.06671  4.94494  5.80133  6.71967  7.88611  9.55527 11.98720 15.38060 19.82520 25.27750 31.54950 38.29540 44.99830 50.97750 55.45290 57.68050 57.14070 53.71400 47.76460 40.08190 31.69010
 -170.000 -170.000 32.83540 22.83540 15.04480  9.50319  5.87711  3.65562  2.33280  1.52275  0.99081  0.62233  0.36914  0.20630  0.11161  0.06265  0.04045  0.03273  0.03454  0.04739  0.07792  0.13597  0.23124  0.36857  0.54384  0.74330  0.94757  1.13781  1.29899  1.41853  1.48403  1.48557  1.42327  1.31320  1.18447  1.06769  0.98260  0.93287  0.90924  0.89634  0.87832  0.84297  0.78580  0.71417  0.64888  0.62207  0.67283  0.84375  1.17878  1.71849  2.48849  3.48292  4.65380  5.92175  7.21646  8.53714 10.00560 11.88000 14.51390 18.27290 23.44030 30.14220 38.30120 47.60930 57.50920 67.18860 75.61750 81.66320 84.29730 82.85720 77.27670 68.17570 56.75210 44.49620
 -165.000 -165.000 42.86500 29.53570 19.24330 11.97270  7.24479  4.37390  2.69522  1.70241  1.08185  0.67312  0.40385  0.23675  0.14306  0.09656  0.07637  0.06993  0.07360  0.09164  0.13451  0.21596  0.34818  0.53514  0.76743  1.02283  1.27384  1.49802  1.68328  1.82467  1.91731  1.95456  1.93483  1.87008  1.78633  1.71364  1.67272  1.66758  1.68669  1.70870  1.70866  1.66499  1.56882  1.43322  1.29645  1.21575  1.25535  1.47620  1.93127  2.66270  3.69378  5.01481  6.57324  8.28570 10.08390 11.98670 14.16770 16.97590 20.88780 26.39720 33.88380 43.49990 55.09370 68.16600 81.85350 94.94930 105.99200 113.45600 116.03900 113.00000 104.42900 91.31380 75.35970 58.58730
 -160.000 -160.000 52.73820 36.05060 23.29030 14.34080  8.55254  5.05784  3.03656  1.86838  1.16562  0.72425  0.44773  0.28550  0.20098  0.16320  0.14888  0.14534  0.15106  0.17419  0.23004  0.33675  0.50830  0.74600  1.03298  1.33727  1.62445  1.87272  2.07950  2.25420  2.40377  2.52467  2.60852  2.65521  2.68021  2.70896  2.76326  2.84975  2.95585  3.05176  3.09688  3.05208  2.89870  2.65720  2.39310  2.20383  2.19298  2.44755  3.02850  3.97207  5.29053  6.96566  8.94221 11.14060 13.50620 16.09140 19.13830 23.10830 28.62300 36.32100 46.67680 59.83930 75.51990 92.93840 110.82400 127.48300 140.97000 149.36500 151.15900 145.64900 133.21400 115.33600 94.30010 72.67510
 -155.000 -155.000 61.47530 41.72990 26.79280 16.39560  9.70218  5.67271  3.35251  2.02813  1.25282  0.78702  0.51300  0.36675  0.30238  0.28244  0.28013  0.28253  0.29095  0.31874  0.38726  0.51949  0.73052  1.01723  1.35353  1.69782  2.01190  2.28098  2.51976  2.75844  3.01826  3.29582  3.56808  3.81279  4.02651  4.22647  4.43716  4.67190  4.91910  5.13713  5.26038  5.22036  4.98041  4.56926  4.09159  3.70422  3.56887  3.80921  4.49334  5.64205  7.24510  9.26937 11.65940 14.35010 17.31650 20.66320 24.72020 30.08060 37.52590 47.84010 61.56950 78.80480 99.03960 121.11800 143.27300 163.27000 178.66800 187.21000 187.28700 178.38200 161.31500 138.16200 111.83100 85.40180
 -150.000 -150.000 68.29110 46.06160 29.44250 17.96710 10.60940  6.18173  3.62976  2.17864  1.34480  0.86545  0.60640  0.49051  0.46088  0.47151  0.49051  0.50428  0.51762  0.55032  0.63105  0.78831  1.03803  1.37180  1.75405  2.13531  2.47857  2.78326  3.08859  3.45005  3.90298  4.43856  5.00952  5.56040  6.05978  6.51271  6.94775  7.38911  7.82854  8.20910  8.43025  8.38142  7.99883  7.32036  6.50285  5.78373  5.40401  5.53649  6.25634  7.55882  9.39881 11.72160 14.47540 17.62420 21.19360 25.36370 30.57330 37.55990 47.26450 60.59350 78.11240 99.77420 124.76100 151.45500 177.54500 200.25600 216.71200 224.42200 221.82100 208.72200 186.50500 157.91100 126.45400 95.64650
 -145.000 -145.000 72.72030 48.75560 31.06650 18.95660 11.21980  6.55554  3.85219  2.31055  1.43584  0.95610  0.72632  0.65701  0.67878  0.73504  0.78737  0.82084  0.84405  0.88402  0.97775  1.16003  1.44833  1.82996  2.26220  2.69215  3.09025  3.47687  3.92054  4.50310  5.27059  6.20166  7.21469  8.20961  9.11651  9.92104 10.65340 11.34990 12.00710 12.55100 12.84030 12.71470 12.07890 10.98370  9.65138  8.41947  7.62716  7.50754  8.14281  9.49403 11.47050 13.99100 17.01320 20.54700 24.69430 29.73670 36.24140 45.09550 57.37990 74.07340 95.67860 121.90800 151.53200 182.41200 211.69200 236.13100 252.55100 258.38600 252.26700 234.45600 206.95800 173.16700 137.13700 102.69800
 -140.000 -140.000 74.62130 49.74570 31.63010 19.34060 11.51470  6.77917  4.00843  2.41520  1.51841  1.05083  0.86263  0.85342  0.94080  1.05647  1.15438  1.21769  1.25857  1.31142  1.42175  1.63138  1.96109  2.39772  2.89757  3.41228  3.92760  4.48996  5.19798  6.15604  7.41398  8.92918 10.57580 12.19740 13.67180 14.95180 16.05840 17.03390 17.87860 18.50370 18.73140 18.35780 17.26550 15.53020 13.45360 11.48710 10.07790  9.52331  9.91056 11.16000 13.12880 15.70720 18.86900 22.68760 27.36560 33.31280 41.24230 52.18600 67.32920 87.65130 113.48900 144.20000 178.04600 212.32900 243.70400 268.60800 283.75600 286.72000 276.47800 253.81700 221.34900 183.03700 143.34200 106.26500
 -135.000 -135.000 74.12380 49.14930 31.20990 19.15510 11.50260  6.84847  4.09126  2.48582  1.58528  1.13919  0.99891  1.05575  1.21525  1.39769  1.54936  1.65124  1.71862  1.79272  1.92717  2.17145  2.55286  3.06485  3.67356  4.34732  5.09657  5.99680  7.17193  8.73865 10.73860 13.09690 15.63300 18.12170 20.37160 22.28080 23.83870 25.07660 25.99210 26.48850 26.37150 25.42350 23.53780 20.84310 17.73760 14.78990 12.54950 11.36890 11.33170 12.31230 14.11370 16.59910 19.76430 23.75870 28.90540 35.76340 45.20290 58.38940 76.56740 100.63600 130.66000 165.53000 202.92000 239.56700 271.72300 295.68700 308.31900 307.55200 292.87300 265.62100 228.92500 187.15100 144.98000 106.42200
