VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 35.72240 25.31180 16.53440  9.95198  5.51486  2.81018  1.31463  0.56350  0.22084  0.07898  0.02579  0.00791  0.00292  0.00273  0.00519  0.01038  0.01892  0.03100  0.04555  0.06003  0.07098  0.07533  0.07182  0.06168  0.04809  0.03484  0.02502  0.02028  0.02085  0.02597  0.03433  0.04459  0.05564  0.06658  0.07656  0.08447  0.08906  0.08955  0.08620  0.08057  0.07510  0.07246  0.07538  0.08696  0.11090  0.15105  0.21007  0.28881  0.38781  0.51156  0.67371  0.89929  1.22164  1.67618  2.29735  3.12452  4.21560  5.66049  7.58499 10.14420 13.51280 17.87850 23.42500 30.26360 38.28030 46.92890 55.10390 61.26750 63.89140 62.05330 55.86890 46.49940
 -175.000 -175.000 52.04070 36.61620 23.73960 14.17560  7.79117  3.93764  1.82755  0.77765  0.30283  0.10775  0.03514  0.01103  0.00485  0.00597  0.01221  0.02462  0.04496  0.07370  0.10835  0.14288  0.16906  0.17956  0.17139  0.14746  0.11538  0.08428  0.06166  0.05161  0.05479  0.06934  0.09198  0.11912  0.14760  0.17496  0.19903  0.21734  0.22733  0.22743  0.21851  0.20426  0.19025  0.18247  0.18673  0.20914  0.25659  0.33565  0.44999  0.59873  0.77897  0.99373  1.26179  1.62297  2.13419  2.85910  3.86107  5.20822  6.99006  9.33531 12.41960 16.46060 21.70750 28.42990 36.88220 47.19260 59.13510 71.84070 83.63780 92.26470 95.52760 92.16430 82.45260 68.18970
 -170.000 -170.000 70.76570 49.41220 31.78330 18.82460 10.26110  5.14382  2.36895  1.00099  0.38750  0.13732  0.04485  0.01465  0.00796  0.01214  0.02587  0.05243  0.09584  0.15719  0.23122  0.30509  0.36124  0.38403  0.36705  0.31655  0.24890  0.18385  0.13777  0.11984  0.13177  0.16957  0.22575  0.29159  0.35911  0.42200  0.47515  0.51368  0.53293  0.53051  0.50879  0.47570  0.44286  0.42248  0.42589  0.46412  0.54865  0.68943  0.89041  1.14653  1.44813  1.79438  2.21030  2.75658  3.52467  4.62094  6.15338  8.23344 10.99340 14.60710 19.30170 25.35690 33.09710 42.87350 55.00270 69.59710 86.24880 103.65400 119.44200 130.51000 133.94400 128.18300 113.80200 93.41890
 -165.000 -165.000 90.10820 62.40210 39.80850 23.38320 12.64170  6.28720  2.87440  1.20692  0.46500  0.16443  0.05404  0.01872  0.01275  0.02261  0.04932  0.10023  0.18335  0.30086  0.44280  0.58464  0.69278  0.73730  0.70595  0.61083  0.48361  0.36275  0.28045  0.25532  0.29149  0.38133  0.50938  0.65655  0.80442  0.93814  1.04658  1.12084  1.15382  1.14300  1.09429  1.02333  0.95211  0.90345  0.89771  0.95326  1.08734  1.31314  1.63302  2.03463  2.49827  3.01812  3.62832  4.41818  5.52585  7.11582  9.35791 12.42410 16.50310 21.82030 28.65080 37.32280 48.21420 61.72780 78.19810 97.65480 119.41600 141.64200 161.18200 174.07600 176.75700 167.51000 147.37500 119.94600
 -160.000 -160.000 107.87000 74.04600 46.83390 27.28170 14.63190  7.22321  3.28110  1.37100  0.52696  0.18671  0.06225  0.02334  0.01961  0.03827  0.08452  0.17204  0.31488  0.51697  0.76131  1.00589  1.19306  1.27156  1.22052  1.06115  0.84865  0.65042  0.52369  0.50266  0.59634  0.79202  1.06087  1.36490  1.66545  1.93038  2.13684  2.26971  2.32017  2.28812  2.18696  2.04506  1.90058  1.79273  1.75564  1.81784  2.00299  2.32603  2.78495  3.35716  4.01194  4.74090  5.59358  6.69708  8.24712 10.47880 13.63890 17.97780 23.75800 31.26560 40.81690 52.76010 67.47460 85.34100 106.61700 131.13800 157.84100 184.28400 206.55300 219.95700 220.49600 206.54400 179.80400 144.91600
 -155.000 -155.000 121.95800 82.93390 51.99540 30.03970 15.99020  7.84272  3.54552  1.47849  0.56965  0.20384  0.06987  0.02879  0.02850  0.05862  0.13021  0.26524  0.48572  0.79788  1.17572  1.55474  1.84632  1.97182  1.89975  1.66383  1.35088  1.06739  0.90525  0.92176  1.13486  1.52625  2.04748  2.62982  3.19913  3.69148  4.06238  4.28708  4.35723  4.28068  4.08490  3.81778  3.54065  3.31608  3.19800  3.22866  3.43842  3.84159  4.42870  5.16603  6.01519  6.97317  8.11524  9.61552 11.73380 14.78140 19.09180 25.01040 32.89420 43.10500 55.99220 71.88040 91.06480 113.77800 140.05000 169.37100 200.19300 229.46200 252.64400 264.60200 261.27000 241.43700 207.63200 165.50800
 -150.000 -150.000 130.86800 88.11670 54.75380 31.38360 16.59470  8.10051  3.65578  1.52942  0.59587  0.21830  0.07835  0.03552  0.03873  0.08115  0.18038  0.36751  0.67328  1.10662  1.63192  2.16040  2.57017  2.75352  2.66856  2.36431  1.96413  1.61993  1.46537  1.58797  2.02054  2.74119  3.67674  4.71395  5.72275  6.58585  7.22102  7.58747  7.68028  7.52365  7.16868  6.69138  6.18437  5.74196  5.44575  5.35699  5.51392  5.92836  6.58179  7.43180  8.44104  9.62503 11.09750 13.08680 15.91670 19.97230 25.67630 33.48300 43.86730 57.28330 74.10400 94.57160 118.78000 146.64200 177.76400 211.12500 244.60600 274.62600 296.30200 304.47500 295.47500 268.84300 228.03600 179.55800
 -145.000 -145.000 133.94600 89.27550 54.98960 31.29330 16.46360  8.02233  3.63332  1.53841  0.61444  0.23490  0.08996  0.04404  0.04904  0.10154  0.22481  0.45787  0.83916  1.38022  2.03751  2.70179  3.22338  3.47112  3.39673  3.06577  2.63708  2.30662  2.25063  2.59154  3.38442  4.60986  6.16897  7.89167  9.56881 11.00160 12.04600 12.63250 12.75980 12.47760 11.87190 11.05750 10.16850  9.34189  8.69852  8.32762  8.27989  8.56561  9.15857 10.01390 11.10720 12.48730 14.31760 16.88400 20.56920 25.82360 33.15730 43.14330 56.39100 73.45840 94.72310 120.27200 149.85800 182.88400 218.32100 254.48000 288.65700 316.92100 334.41900 336.47900 320.29800 286.45000 239.30800 185.94000
 -140.000 -140.000 131.40700 86.70000 52.97030 29.97170 15.73150  7.68868  3.52261  1.52853  0.63675  0.25895  0.10690  0.05470  0.05787  0.11500  0.25229  0.51328  0.94114  1.54950  2.29109  3.04632  3.65196  3.96737  3.94611  3.66971  3.32419  3.13842  3.32349  4.03653  5.36244  7.29498  9.71564 12.39160 15.01360 17.27010 18.92280 19.85080 20.04780 19.59240 18.61610 17.28520 15.78960 14.32630 13.07340 12.16410 11.67220 11.61210 11.95500 12.66040 13.72720 15.24710 17.43920 20.64570 25.30260 31.91970 41.09160 53.51160 69.92560 90.98490 117.03300 147.91700 182.90900 220.71900 259.51300 296.83700 329.46500 353.38200 364.21200 358.27100 334.01800 293.21400 240.99600 184.62900
 -135.000 -135.000 124.15600 81.13240 49.22830 27.75980 14.59560  7.20295  3.37301  1.52117  0.67113  0.29332  0.12989  0.06725  0.06395  0.11820  0.25523  0.51825  0.95091  1.56817  2.32522  3.10679  3.75675  4.14502  4.23850  4.13287  4.02741  4.16447  4.77358  6.04004  8.08390 10.92580 14.44170 18.34070 22.20200 25.57280 28.08330 29.52520 29.86330 29.19590 27.70430 25.62040 23.21210 20.76370 18.53990 16.74370 15.49040 14.80970 14.67510 15.05410 15.96930 17.55440 20.08030 23.94310 29.63240 37.72100 48.88910 63.94110 83.73340 108.96600 139.88000 175.99700 215.99300 257.76300 298.57300 335.20300 364.06000 381.36200 383.63600 368.59600 336.21200 289.41200 233.84300 176.56200
