VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 10.37270  7.29818  4.76595  2.88942  1.62908  0.85770  0.42504  0.20086  0.09220  0.04209  0.01978  0.01039  0.00715  0.00694  0.00808  0.00953  0.01059  0.01102  0.01107  0.01145  0.01330  0.01857  0.03087  0.05663  0.10555  0.18849  0.31183  0.46965  0.63857  0.78101  0.85845  0.84881  0.75734  0.61376  0.45753  0.32129  0.22152  0.15926  0.12673  0.11441  0.11531  0.12616  0.14662  0.17741  0.21880  0.27019  0.33147  0.40469  0.49465  0.60748  0.74908  0.92569  1.14699  1.42882  1.79170  2.25554  2.83632  3.55097  4.42927  5.52251  6.89723  8.61094 10.67800 13.03670 15.52600 17.87850 19.74300 20.74930 20.61360 19.24670 16.81210 13.69230
 -175.000 -175.000 15.33240 10.78970  7.06245  4.30482  2.45183  1.31394  0.67048  0.33143  0.16193  0.07975  0.04073  0.02332  0.01735  0.01763  0.02090  0.02475  0.02754  0.02867  0.02867  0.02905  0.03174  0.03916  0.05498  0.08581  0.14215  0.23637  0.37639  0.55650  0.75108  0.91812  1.01430  1.01477  0.92539  0.77897  0.61849  0.47869  0.37639  0.31218  0.27822  0.26589  0.27025  0.29095  0.33079  0.39260  0.47603  0.57631  0.68617  0.79966  0.91546  1.03803  1.17789  1.35291  1.59048  1.92718  2.40393  3.05926  3.92812  5.05053  6.48456  8.30991 10.61020 13.43510 16.75600 20.42950 24.17820 27.59340 30.17410 31.41800 30.96150 28.72180 24.96860 20.27090
 -170.000 -170.000 21.10500 14.84490  9.73693  5.97039  3.44215  1.88584  0.99790  0.52026  0.27196  0.14416  0.07911  0.04850  0.03831  0.04031  0.04841  0.05756  0.06415  0.06684  0.06687  0.06737  0.07184  0.08312  0.10393  0.13911  0.19783  0.29262  0.43304  0.61584  0.81772  0.99828  1.11524  1.14435  1.09104  0.98582  0.86701  0.76329  0.68639  0.63495  0.60319  0.58790  0.59152  0.62195  0.68973  0.80293  0.96146  1.15431  1.36245  1.56622  1.75285  1.92111  2.08357  2.26864  2.52204  2.90455  3.48518  4.33393  5.52215  7.13223  9.26718 12.04370 15.55820 19.83280 24.76020 30.06890 35.31600 39.91220 43.18780 44.51340 43.47220 40.02660 34.59460 27.97020
 -165.000 -165.000 27.17650 19.09510 12.54940  7.74748  4.53287  2.55094  1.40877  0.77857  0.43507  0.24607  0.14304  0.09249  0.07651  0.08275  0.10042  0.11982  0.13377  0.13964  0.14008  0.14142  0.15004  0.16935  0.19943  0.24051  0.29746  0.38124  0.50379  0.66792  0.85889  1.04576  1.19464  1.28596  1.32341  1.32780  1.32113  1.31380  1.30346  1.28359  1.25319  1.22147  1.20724  1.23567  1.33289  1.51763  1.79183  2.13549  2.51107  2.87608  3.19745  3.46171  3.68021  3.89172  4.16288  4.58406  5.26074  6.30631  7.84324 10.01160 12.97120 16.87990 21.83900 27.82060 34.60260 41.73920 48.57740 54.31800 58.12010 59.25560 57.30220 52.31960 44.91570 36.13280
 -160.000 -160.000 32.87860 23.06560 15.18940  9.45115  5.62623  3.26609  1.89022  1.10764  0.65739  0.39199  0.23819  0.16045  0.13772  0.15233  0.18653  0.22326  0.24972  0.26134  0.26334  0.26755  0.28533  0.32088  0.36954  0.42305  0.47830  0.54306  0.63335  0.76307  0.93364  1.13224  1.34097  1.54916  1.75707  1.96704  2.17029  2.34257  2.45431  2.48790  2.44962  2.37039  2.29838  2.28952  2.39724  2.65921  3.08274  3.63645  4.25635  4.86564  5.39916  5.82228  6.14096  6.40505  6.70653  7.17214  7.95205  9.21193 11.13410 13.92280 17.79680 22.94970 29.47410 37.26860 45.96500 54.90910 63.21090 69.85400 73.84930 74.42010 71.20360 64.41330 54.87790 43.88800
 -155.000 -155.000 37.51800 26.26820 17.33480 10.88150  6.60467  3.96510  2.40616  1.48823  0.92885  0.57694  0.36244  0.25213  0.22308  0.25143  0.31022  0.37240  0.41739  0.43821  0.44422  0.45563  0.49134  0.55673  0.63990  0.71966  0.78084  0.82676  0.88018  0.97246  1.12948  1.36504  1.68433  2.08916  2.57426  3.11409  3.65275  4.11179  4.41719  4.53072  4.46675  4.28794  4.08756  3.96960  4.03011  4.33699  4.90891  5.70309  6.62314  7.54762  8.36746  9.01704  9.49154  9.85159 10.21840 10.76100 11.68130 13.20260 15.56870 19.04400 23.89430 30.32970 38.40940 47.93300 58.36410 68.82730 78.19960 85.27560 88.97150 88.53420 83.73150 74.97970 63.33780 50.31480
 -150.000 -150.000 40.52250 28.30460 18.71780 11.86010  7.34628  4.56127  2.89307  1.87397  1.21686  0.77918  0.50186  0.35816  0.32493  0.37201  0.46198  0.55609  0.62472  0.65853  0.67269  0.69863  0.76512  0.87916  1.01927  1.14718  1.23196  1.27169  1.29921  1.36990  1.54213  1.86381  2.36877  3.07367  3.96528  4.98105  6.00198  6.87502  7.46212  7.69119  7.58146  7.23458  6.80390  6.45978  6.35843  6.61206  7.26046  8.25473  9.46683 10.72710 11.87590 12.80860 13.50310 14.02650 14.52850 15.22280 16.36690 18.24440 21.15710 25.41470 31.30230 39.00930 48.52170 59.50870 71.25250 82.67170 92.45540 99.28110 102.05900 100.14900 93.51620 82.80780 69.29230 54.63270
 -145.000 -145.000 41.57050 28.95700 19.18520 12.26810  7.74938  4.96331  3.27061  2.19850  1.47086  0.96298  0.63187  0.46006  0.42577  0.49354  0.61612  0.74348  0.83752  0.88739  0.91540  0.96583  1.07869  1.26287  1.48609  1.69071  1.82805  1.89099  1.92532  2.01561  2.25844  2.74051  3.52707  4.65016  6.08585  7.72767  9.38145 10.80300 11.77200 12.16590 11.99900 11.41140 10.62530  9.89274  9.44783  9.46363 10.01560 11.06170 12.45350 13.98150 15.43880 16.67990 17.65760 18.43620 19.18510 20.15860 21.67010 24.06370 27.69160 32.88470 39.90530 48.86550 59.62130 71.67120 84.11230 95.69940 105.02200 110.76000 111.93900 108.12800 99.54270 87.05810 72.09460 56.37420
 -140.000 -140.000 40.67050 28.24440 18.74070 12.08280  7.76607  5.10714  3.47037  2.39943  1.64062  1.09136  0.72568  0.53586  0.50269  0.58749  0.73605  0.89023  1.00619  1.07327  1.12139  1.20721  1.38157  1.65551  1.98699  2.30040  2.53075  2.66708  2.76958  2.95331  3.35361  4.09535  5.27329  6.93229  9.03538 11.42990 13.84310 15.93280 17.38320 18.00380 17.78470 16.89140 15.61330 14.29370 13.26130 12.76920 12.94820 13.78310 15.12690 16.75070 18.41580 19.94080 21.24840 22.38600 23.52760 24.95770 27.04140 30.18060 34.76530 41.11670 49.42020 59.64050 71.43370 84.08210 96.50040 107.34600 115.23400 118.99700 117.92200 111.88200 101.37200 87.45280 71.60620 55.49820
 -135.000 -135.000 38.16340 26.42450 17.55420 11.39730  7.43099  4.98965  3.46978  2.44834  1.69989  1.14310  0.76621  0.56940  0.53646  0.62827  0.78816  0.95516  1.08426  1.16724  1.24085  1.37145  1.61848  1.99569  2.45540  2.91042  3.28548  3.56902  3.83494  4.22437  4.90437  6.02933  7.71487 10.01200 12.86900 16.09160 19.33740 22.17280 24.18270 25.09020 24.83330 23.57700 21.66520 19.53680 17.63250 16.30830 15.77290 16.06150 17.05320 18.52570 20.23030 21.96180 23.61080 25.19610 26.88070 28.96690 31.86360 36.02230 41.85240 49.62820 59.39900 70.91050 83.54910 96.33890 108.02400 117.24400 122.77700 123.77900 119.93400 111.49900 99.24450 84.34540 68.23400 52.40240
