VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  9.80869  6.71510  4.26805  2.51811  1.38013  0.70366  0.33427  0.14819  0.06138  0.02376  0.00860  0.00290  0.00091  0.00027  0.00009  0.00006  0.00012  0.00028  0.00060  0.00117  0.00207  0.00331  0.00483  0.00646  0.00805  0.00957  0.01140  0.01437  0.01968  0.02855  0.04147  0.05763  0.07457  0.08889  0.09742  0.09857  0.09285  0.08244  0.07011  0.05831  0.04876  0.04246  0.03971  0.04013  0.04283  0.04687  0.05194  0.05881  0.06931  0.08608  0.11297  0.15693  0.23196  0.36448  0.59862  0.99937  1.65138  2.65097  4.08975  6.02953  8.47222 11.33310 14.42970 17.49500 20.21490 22.27590 23.40840 23.42300 22.24870 19.97300 16.86050 13.31970
 -175.000 -175.000 14.50360  9.92317  6.32842  3.76228  2.08690  1.08149  0.52436  0.23814  0.10136  0.04042  0.01508  0.00525  0.00170  0.00052  0.00018  0.00016  0.00035  0.00082  0.00177  0.00345  0.00610  0.00977  0.01426  0.01907  0.02368  0.02793  0.03254  0.03939  0.05126  0.07095  0.09972  0.13586  0.17417  0.20728  0.22833  0.23367  0.22403  0.20351  0.17764  0.15156  0.12931  0.11363  0.10581  0.10540  0.11055  0.11902  0.12988  0.14459  0.16698  0.20253  0.25854  0.34705  0.49102  0.73247  1.13967  1.81081  2.87179  4.46597  6.73281  9.77234 13.59690 18.08160 22.93570 27.71670 31.89430 34.94270 36.43360 36.10990 33.94000 30.15030 25.21540 19.77790
 -170.000 -170.000 20.16010 13.78320  8.81877  5.28195  2.96420  1.56056  0.77165  0.35863  0.15663  0.06420  0.02463  0.00882  0.00294  0.00093  0.00037  0.00041  0.00093  0.00218  0.00469  0.00915  0.01615  0.02588  0.03778  0.05059  0.06283  0.07382  0.08482  0.09964  0.12416  0.16431  0.22299  0.29711  0.37667  0.44735  0.49560  0.51372  0.50194  0.46685  0.41800  0.36514  0.31691  0.28020  0.25907  0.25371  0.26073  0.27547  0.29553  0.32332  0.36609  0.43430  0.54120  0.70689  0.96754  1.38703  2.06639  3.14740  4.80872  7.25256 10.67680 15.22490 20.91370 27.55250 34.69320 41.64890 47.59580 51.73220 53.44100 52.41370 48.71950 42.81200 35.46260 27.61110
 -165.000 -165.000 26.46290 18.07020 11.59160  6.98832  3.96321  2.11665  1.06553  0.50570  0.22606  0.09497  0.03735  0.01370  0.00468  0.00155  0.00071  0.00093  0.00220  0.00519  0.01117  0.02176  0.03839  0.06154  0.08998  0.12078  0.15038  0.17674  0.20170  0.23229  0.27973  0.35565  0.46617  0.60648  0.75935  0.89953  1.00263  1.05345  1.04959  0.99915  0.91622  0.81727  0.71936  0.63814  0.58449  0.56132  0.56356  0.58262  0.61330  0.65890  0.73176  0.85015  1.03686  1.32427  1.76722  2.45854  3.54061  5.20815  7.70163 11.28990 16.23380 22.71840 30.74930 40.03680 49.92190 59.40460 67.29920 72.47810 74.12370 71.91300 66.09480 57.44760 47.12500 36.41370
 -160.000 -160.000 32.94490 22.45050 14.42200  8.73835  4.99842  2.70186  1.38100  0.66728  0.30429  0.13056  0.05248  0.01969  0.00692  0.00241  0.00128  0.00195  0.00469  0.01108  0.02383  0.04640  0.08191  0.13148  0.19278  0.25981  0.32510  0.38369  0.43770  0.49877  0.58642  0.72142  0.91565  1.16300  1.43683  1.69688  1.90275  2.02645  2.05768  2.00172  1.87505  1.70243  1.51490  1.34493  1.21796  1.14460  1.11950  1.12901  1.16338  1.22625  1.33623  1.52248  1.82169  2.28425  2.99051  4.07017  5.71487  8.17893 11.76870 16.82000 23.65050 32.47180 43.25120 55.55950 68.47560 80.63360 90.44200 96.42720 97.58770 93.64260 85.10580 73.17070 59.43900 45.56980
 -155.000 -155.000 39.05160 26.53030 17.04160 10.35670  5.96031  3.25108  1.68142  0.82402  0.38188  0.16681  0.06844  0.02634  0.00960  0.00360  0.00222  0.00372  0.00901  0.02123  0.04563  0.08887  0.15707  0.25278  0.37217  0.50464  0.63637  0.75727  0.86868  0.98781  1.14536  1.37508  1.69808  2.10867  2.57014  3.02420  3.40917  3.67636  3.79755  3.76487  3.59005  3.30576  2.96436  2.62768  2.34895  2.15637  2.04925  2.00960  2.02177  2.08826  2.23389  2.50063  2.94351  3.63763  4.69737  6.29808  8.68797 12.18470 17.15860 24.00190 33.06830 44.56210 58.36910 73.87340 89.85210 104.54800 115.96300 122.30100 122.43100 116.18600 104.42400 88.81700 71.44600 54.33220
 -150.000 -150.000 44.22780 29.92290 19.18950 11.67270  6.74027  3.69759  1.92763  0.95437  0.44799  0.19898  0.08361  0.03341  0.01297  0.00543  0.00379  0.00649  0.01556  0.03654  0.07850  0.15305  0.27119  0.43826  0.64931  0.88819  1.13262  1.36492  1.58375  1.81138  2.09093  2.47206  2.98870  3.63891  4.37795  5.12895  5.80409  6.32329  6.62396  6.66664  6.44440  5.99435  5.39896  4.76725  4.20054  3.76164  3.46533  3.29396  3.22613  3.26090  3.42663  3.77733  4.38905  5.36818  6.87240  9.13232 12.45990 17.23800 23.89350 32.85390 44.47030 58.88440 75.83780 94.47560 113.24800 130.02000 142.43700 148.46500 146.92900 137.86300 122.53000 103.10400 82.12650 61.93190
 -145.000 -145.000 48.02270 32.32980 20.67370 12.56480  7.26257  3.99487  2.09206  1.04318  0.49549  0.22476  0.09814  0.04196  0.01816  0.00874  0.00652  0.01047  0.02427  0.05658  0.12155  0.23758  0.42279  0.68778  1.02854  1.42449  1.84492  2.26294  2.67184  3.09570  3.58774  4.21308  5.02068  6.01665  7.15310  8.33689  9.44972 10.36590 10.96520 11.15000 10.87420 10.17330  9.17095  8.04678  6.97847  6.08898  5.42695  4.98504  4.73849  4.67956  4.83418  5.26328  6.06273  7.37414  9.40630 12.45420 16.90070 23.19470 31.80950 43.17880 57.59740 75.07070 95.11800 116.58900 137.59800 155.68800 168.25500 173.15400 169.29400 156.99700 137.96400 114.84400 90.57360 67.71410
 -140.000 -140.000 50.19880 33.61860 21.42620 13.00060  7.51227  4.13602  2.17194  1.09054  0.52669  0.24782  0.11614  0.05575  0.02807  0.01546  0.01141  0.01589  0.03438  0.07906  0.16992  0.33366  0.59815  0.98306  1.49033  2.10032  2.77782  3.48779  4.21473  4.97765  5.83153  6.85071  8.09765  9.59025 11.28380 13.07230 14.80130 16.28070 17.30290 17.68020 17.30520 16.20780 14.56820 12.66730 10.79520  9.16787  7.89269  6.98666  6.42504  6.18836  6.29030  6.78856  7.79213  9.47627 12.10390 16.04000 21.74330 29.73020 40.50930 54.48950 71.85210 92.38570 115.30500 139.11200 161.59800 180.06500 191.80300 194.72600 187.96600 172.21100 149.59500 123.18000 96.18480 71.28600
 -135.000 -135.000 50.80520 33.86870 21.52970 13.05140  7.54390  4.15972  2.19392  1.11541  0.55607  0.27992  0.14720  0.08219  0.04798  0.02896  0.02026  0.02311  0.04466  0.10024  0.21568  0.42691  0.77442  1.29284  1.99915  2.88560  3.92233  5.07052  6.30223  7.61957  9.06334 10.70300 12.60750 14.80780 17.26760 19.86920 22.41030 24.61030 26.13940 26.68880 26.07470 24.32860 21.71510 18.65580 15.59490 12.87790 10.69590  9.10271  8.07409  7.57036  7.57951  8.14169  9.36677 11.45500 14.71880 19.59120 26.60810 36.35190 49.35880 65.98770 86.25890 109.67800 135.09000 160.61400 183.74100 201.63400 211.63300 211.87700 201.85500 182.66900 156.85700 127.78000 98.81260 72.62510
 -130.000 -130.000 50.16500 33.34860 21.19100 12.86730  7.46142  4.13589  2.20495  1.15023  0.60732  0.33919  0.20533  0.13175  0.08520  0.05386  0.03553  0.03285  0.05402  0.11649  0.25114  0.50370  0.93093  1.59084  2.52926  3.76764  5.29709  7.08255  9.07821 11.25100 13.60260 16.17490 19.03090 22.21320 25.69670 29.34620 32.88940 35.91730 37.93890 38.50120 37.34890 34.54700 30.49350 25.80240 21.11630 16.94040 13.56450 11.08050  9.45615  8.61691  8.50885  9.13837 10.60080 13.10680 17.00490 22.78650 31.05780 42.46400 57.56310 76.65180 99.56530 125.49400 152.88300 179.46200 202.46200 219.00000 226.60300 223.77600 210.45900 188.18300 159.81100 128.88200 98.78800 72.08310
 -125.000 -125.000 48.76180 32.42160 20.66570 12.61920  7.37568  4.13597  2.25196  1.22731  0.70393  0.44342  0.30410  0.21446  0.14664  0.09451  0.05964  0.04611  0.06225  0.12635  0.27346  0.56021  1.06499  1.88109  3.10227  4.80221  7.01281  9.71024 12.81960 16.24390 19.90850 23.79680 27.95000 32.42210 37.20110 42.12240 46.80730 50.66830 53.01090 53.22990 51.03390 46.58990 40.50640 33.65450 26.91440 20.96370 16.18380 12.68490 10.40300  9.20719  8.98401  9.69150 11.39560 14.30050 18.77290 25.34580 34.68320 47.48560 64.33020 85.45200 110.50600 138.37700 167.12400 194.12000 216.38700 231.07400 235.99200 230.10100 213.83200 189.11100 159.02600 127.15400 96.77740 70.25470
