VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 57.41560 43.28340 30.66560 20.53630 13.12240  8.11367  4.94566  3.03293  1.90073  1.22402  0.80995  0.55796  0.41987  0.36995  0.38681  0.44542  0.51614  0.56935  0.58275  0.54798  0.47222  0.37362  0.27303  0.18665  0.12287  0.08329  0.06593  0.06799  0.08707  0.12121  0.16867  0.22821  0.29968  0.38391  0.48191  0.59361  0.71764  0.85219  0.99578  1.14668  1.30094  1.45140  1.58940  1.70881  1.80871  1.89111  1.95456  1.98885  1.97736  1.90842  1.78926  1.65214  1.54761  1.53081  1.65520  1.98588  2.63290  3.79084  5.76473  8.96300 13.84460 20.81600 30.08670 41.50710 54.43290 67.67040 79.56240 88.25780 92.14410 90.32990 82.98490 71.35570
 -175.000 -175.000 82.96170 62.24750 43.92280 29.31310 18.67770 11.52750  7.02946  4.33225  2.74804  1.80660  1.23043  0.87728  0.68124  0.60801  0.62849  0.70764  0.80412  0.87678  0.89459  0.84529  0.73774  0.59617  0.44941  0.32094  0.22428  0.16396  0.13964  0.14964  0.19240  0.26624  0.36893  0.49809  0.65179  0.82820  1.02358  1.23015  1.43612  1.62849  1.79742  1.93949  2.05830  2.16317  2.26674  2.38213  2.51854  2.67509  2.83486  2.96459  3.02519  2.99232  2.87720  2.73334  2.64316  2.69433  2.96892  3.56398  4.64334  6.49866  9.58754 14.51980 21.97390 32.53860 46.49390 63.56780 82.73630 102.15600 119.32000 131.49600 136.38600 132.83300 121.26500 103.65800
 -170.000 -170.000 111.78000 83.41520 58.57550 38.92400 24.70690 15.20240  9.26076  5.72661  3.67197  2.46370  1.72928  1.27942  1.02788  0.93057  0.95022  1.04257  1.15653  1.24203  1.26127  1.19839  1.06248  0.88158  0.69065  0.51994  0.38907  0.30781  0.28043  0.30962  0.39761  0.54517  0.75059  1.00983  1.31701  1.66332  2.03423  2.40745  2.75471  3.04784  3.26655  3.40453  3.47186  3.49395  3.50685  3.54919  3.65062  3.81898  4.03113  4.23486  4.36761  4.38896  4.31161  4.21093  4.20429  4.41614  4.96183  5.97752  7.69465 10.52620 15.11660 22.31630 33.05550 48.11690 67.82650 91.71570 118.25300 144.77800 167.75800 183.44900 188.83100 182.55500 165.48000 140.51600
 -165.000 -165.000 140.83700 104.47400 72.97420 48.26010 30.49950 18.69670 11.36580  7.04276  4.56030  3.12370  2.26487  1.74500  1.45447  1.33727  1.34824  1.43720  1.54915  1.63179  1.64568  1.57308  1.42130  1.21780  0.99915  0.79958  0.64470  0.55184  0.53424  0.60418  0.77275  1.04716  1.42841  1.91043  2.47945  3.11174  3.77094  4.40873  4.97166  5.41234  5.69964  5.82477  5.80332  5.67512  5.50074  5.35154  5.29149  5.35456  5.52722  5.74850  5.93587  6.03137  6.04570  6.07252  6.26161  6.77295  7.75632  9.39265 11.99340 16.11190 22.60130 32.56880 47.19720 67.43890 93.60810 124.94900 159.30800 193.08800 221.65100 240.22800 245.15900 235.06400 211.41800 178.22300
 -160.000 -160.000 166.45700 122.70600 85.23780 56.09770 35.30000 21.55930 13.07600  8.11491  5.30531  3.71529  2.79222  2.24863  1.94775  1.81880  1.80988  1.87075  1.95161  2.00775  2.00566  1.92901  1.78167  1.58534  1.37187  1.17452  1.02300  0.94412  0.96499  1.11408  1.41805  1.89609  2.55515  3.38673  4.36339  5.43451  6.52536  7.54509  8.40378  9.03127  9.38779  9.46523  9.28519  8.90047  8.39712  7.88724  7.48532  7.27256  7.26561  7.41027  7.61254  7.79867  7.97365  8.24174  8.77587  9.76350 11.38550 13.87080 17.61990 23.33540 32.08070 45.20210 64.09300 89.80530 122.55200 161.19600 202.88400 243.05700 276.02500 296.14300 299.33200 284.40700 253.63100 212.14000
 -155.000 -155.000 185.21400 135.66000 93.73000 61.41470 38.50860 23.45500 14.20700  8.83781  5.84117  4.19339  3.27892  2.76598  2.48746  2.35524  2.31303  2.31793  2.33554  2.33890  2.30844  2.23349  2.11452  1.96359  1.80179  1.65559  1.55570  1.53916  1.65133  1.94321  2.46331  3.24795  4.31300  5.64674  7.20109  8.88416 10.56320 12.08520 13.31130 14.14530 14.54280 14.50210 14.05390 13.26470 12.24900 11.16880 10.20560  9.50908  9.14751  9.09141  9.24750  9.53121  9.93869 10.57440 11.61940 13.27530 15.74660 19.31080 24.46030 32.04330 43.30790 59.78470 82.98860 113.96000 152.69800 197.60300 245.11100 289.79600 325.12500 344.88500 344.90400 324.46000 286.69800 237.80100
 -150.000 -150.000 194.85400 141.81600 97.50020 63.66480 39.83940 24.25030 14.70500  9.19234  6.15906  4.54739  3.70744  3.27135  3.04098  2.91037  2.82254  2.74898  2.67859  2.60917  2.54079  2.47276  2.40451  2.33806  2.28062  2.24766  2.26797  2.38894  2.67685  3.20859  4.05702  5.27667  6.89237  8.88710 11.18570 13.64240 16.04890 18.17260 19.81340 20.84520 21.22170 20.95320 20.08560 18.70530 16.96310 15.08230 13.32660 11.93100 11.03230 10.64090 10.67660 11.05030 11.74760 12.86180 14.56610 17.06070 20.56550 25.40470 32.15970 41.80390 55.71910 75.52830 102.74300 138.25200 181.73000 231.06800 282.06600 328.63800 363.75500 381.04800 376.63900 350.49700 306.65300 252.10900
 -145.000 -145.000 194.91500 140.99800 96.53870 62.91440 39.38200 24.03100 14.64100  9.23104  6.29003  4.78420  4.05960  3.72422  3.55277  3.42437  3.28563  3.12673  2.96251  2.81664  2.71013  2.65548  2.65559  2.70638  2.80294  2.94981  3.17385  3.53352  4.11642  5.02333  6.34628  8.15111 10.46540 13.26230 16.43600 19.78100 23.00490 25.78560 27.85150 29.03950 29.29860 28.65400 27.17600 24.98560 22.28660 19.37970 16.62220 14.34250 12.75180 11.90740 11.74890 12.18770 13.19710 14.85110 17.30210 20.73820 25.39050 31.62880 40.11360 51.90930 68.45690 91.35540 121.96700 160.89200 207.38600 258.84900 310.59400 356.18200 388.50200 401.46800 391.84300 360.42900 312.03700 254.16500
 -140.000 -140.000 186.79600 134.39000 91.75290 59.80140 37.55230 23.05290 14.16510  9.03616  6.26901  4.89969  4.29654  4.05800  3.94050  3.81440  3.63333  3.40588  3.16879  2.96609  2.83644  2.80675  2.88893  3.08020  3.37068  3.76003  4.27822  4.99785  6.02658  7.48117  9.45839 12.01820 15.17640 18.88860 23.01730 27.30170 31.36920 34.80710 37.26490 38.52950 38.53470 37.32090 34.99810 31.74900 27.85990 23.72860 19.81270 16.52860 14.15240 12.78010 12.36800 12.82760 14.11850 16.29130 19.47360 23.84180 29.64330 37.29670 47.52850 61.44770 80.46600 106.03200 139.21600 180.21400 227.82400 279.03000 328.88000 370.92900 398.38800 405.83200 390.89000 355.21300 304.18600 245.44500
 -135.000 -135.000 173.28400 124.15200 84.67990 55.33220 34.95640 21.65070 13.44530  8.67855  6.10787  4.86453  4.35706  4.18922  4.11131  3.99262  3.79502  3.54022  3.27723  3.06033  2.93935  2.95494  3.13310  3.48140  3.99602  4.68340  5.58717  6.80069  8.45066 10.65850 13.50490 17.01860 21.18080 25.91640 31.05620 36.29310 41.18580 45.23490 48.00160 49.20530 48.75100 46.69990 43.23130 38.63450 33.31980 27.80490 22.64510 18.32270 15.14910 13.23400 12.53420 12.95280 14.43300 17.00380 20.77580 25.92890 32.74480 41.70070 53.57550 69.47100 90.67650 118.36900 153.21400 194.92700 241.86900 290.74800 336.60500 373.32000 394.76300 396.39900 376.79300 338.31700 286.65700 229.24500
