VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 22.91420 18.36900 13.92920  9.93737  6.63297  4.12025  2.37041  1.25768  0.61319  0.27390  0.11180  0.04162  0.01412  0.00438  0.00131  0.00053  0.00056  0.00097  0.00172  0.00284  0.00433  0.00618  0.00837  0.01094  0.01397  0.01768  0.02245  0.02900  0.03842  0.05219  0.07193  0.09906  0.13456  0.17907  0.23312  0.29720  0.37071  0.44960  0.52398  0.57843  0.59670  0.56947  0.50025  0.40501  0.30565  0.22165  0.16522  0.14215  0.15648  0.21567  0.33345  0.52922  0.82510  1.24356  1.80830  2.54836  3.50147  4.71386  6.23864  8.13831 10.48860 13.36710 16.80760 20.72580 24.85680 28.76000 31.91110 33.84690 34.28900 33.19260 30.71830 27.16640
 -175.000 -175.000 36.37320 28.96990 21.83960 15.50690 10.31670  6.39883  3.68285  1.95881  0.95931  0.43125  0.17748  0.06673  0.02291  0.00726  0.00232  0.00120  0.00156  0.00283  0.00504  0.00832  0.01272  0.01823  0.02481  0.03255  0.04168  0.05278  0.06686  0.08580  0.11242  0.15025  0.20269  0.27177  0.35739  0.45709  0.56689  0.68224  0.79789  0.90593  0.99318  1.04135  1.03280  0.95995  0.83226  0.67495  0.51955  0.39264  0.30968  0.27644  0.29538  0.37276  0.52368  0.77411  1.16061  1.72933  2.53609  3.64733  5.13974  7.09824  9.61641 12.80250 16.78140 21.66560 27.47680 34.03110 40.85610 47.21290 52.25010 55.22960 55.72000 53.67580 49.39480 43.40950
 -170.000 -170.000 54.40560 43.03710 32.24960 22.78970 15.11450  9.36275  5.39275  2.87625  1.41534  0.64048  0.26580  0.10096  0.03512  0.01142  0.00403  0.00271  0.00408  0.00754  0.01339  0.02205  0.03378  0.04858  0.06643  0.08752  0.11245  0.14254  0.18034  0.23037  0.29939  0.39527  0.52448  0.68898  0.88406  1.09821  1.31530  1.51791  1.68985  1.81635  1.88228  1.87237  1.77644  1.59821  1.36087  1.10316  0.86687  0.68388  0.57032  0.52966  0.56081  0.66681  0.86262  1.18202  1.68312  2.45116  3.59762  5.25502  7.56843 10.68750 14.76560 19.96520 26.45190 34.34300 43.59190 53.83710 64.30600 73.86480 81.24500 85.36570 85.61410 81.96620 74.93340 65.39470
 -165.000 -165.000 77.05770 60.49820 45.03220 31.65370 20.91780 12.93670  7.45474  3.98620  1.97046  0.89739  0.37544  0.14406  0.05090  0.01722  0.00703  0.00607  0.00995  0.01834  0.03231  0.05305  0.08130  0.11727  0.16106  0.21313  0.27479  0.34892  0.44127  0.56211  0.72635  0.95036  1.24533  1.61018  2.02749  2.46451  2.87906  3.22771  3.47342  3.59008  3.56352  3.39213  3.08971  2.68944  2.24298  1.81052  1.44492  1.17940  1.02565  0.98081  1.03755  1.19354  1.46223  1.88732  2.55848  3.62177  5.27826  7.76904 11.35140 16.27580 22.77220 31.04470 41.24990 53.42480 67.34750 82.37230 97.33630 110.64300 120.55800 125.62200 125.03300 118.82500 107.81200 93.35560
 -160.000 -160.000 103.75900 80.78720 59.68520 41.69570 27.43270 16.92570  9.75129  5.22422  2.59259  1.18756  0.50066  0.19417  0.07004  0.02526  0.01254  0.01336  0.02262  0.04099  0.07123  0.11620  0.17785  0.25711  0.35451  0.47118  0.60972  0.77591  0.98179  1.24897  1.60813  2.09071  2.71400  3.46632  4.30097  5.14197  5.89864  6.48272  6.82333  6.87759  6.63659  6.12770  5.41357  4.58566  3.74920  3.00087  2.40800  2.00035  1.77740  1.72355  1.82123  2.06027  2.45170  3.05269  3.99811  5.52383  7.96653 11.73460 17.25810 24.93200 35.06890 47.86200 63.34180 81.30090 101.17300 121.89800 141.86500 159.01700 171.18000 176.54700 174.14700 164.12000 147.67700 126.79100
 -155.000 -155.000 133.16500 102.76900 75.30750 52.24530 34.19360 21.02880 12.10200  6.49042  3.23082  1.48728  0.63162  0.24807  0.09239  0.03701  0.02325  0.02864  0.04816  0.08473  0.14430  0.23293  0.35518  0.51381  0.71078  0.94859  1.23211  1.57220  1.99223  2.53437  3.25710  4.21661  5.43582  6.87688  8.43427  9.95301 11.26130 12.20250 12.65810 12.56380 11.92190 10.80760  9.36471  7.78317  6.25952  4.95267  3.95400  3.28610  2.92640  2.83696  2.98343  3.34438  3.92794  4.81015  6.18849  8.42464 12.04860 17.71070 26.08870 37.76970 53.13240 72.24960 94.82230 120.14100 147.06100 173.97700 198.83300 219.22300 232.68200 237.17200 231.62300 216.32600 192.95400 164.19900
 -150.000 -150.000 163.07600 124.73100 90.63210 62.41330 40.60950 24.87530 14.28800  7.66367  3.82280  1.76712  0.75612  0.30216  0.11874  0.05582  0.04449  0.05928  0.09653  0.16314  0.27035  0.42969  0.65063  0.94003  1.30322  1.74574  2.27633  2.91416  3.70146  4.71443  6.05618  7.81950 10.02890 12.59320 15.30200 17.86940 19.99960 21.44120 22.01700 21.64080 20.33450 18.24300 15.62900 12.83090 10.18670  7.95535  6.27014  5.14616  4.52760  4.34065  4.52387  5.03893  5.89078  7.18166  9.19206 12.45020 17.74430 26.05120 38.37890 55.54860 77.95740 105.38400 136.90900 170.97800 205.58700 238.47600 267.24100 289.38000 302.43000 304.34400 294.07100 272.09100 240.55700 202.90100
 -145.000 -145.000 190.59000 144.53200 104.16000 71.20170 46.04680 28.08120 16.08770  8.62284  4.30634  1.99779  0.86247  0.35410  0.15206  0.08821  0.08564  0.11736  0.18265  0.29437  0.47149  0.73392  1.09936  1.58253  2.19587  2.95115  3.86393  4.96642  6.32962  8.08056 10.38660 13.38890 17.10310 21.34540 25.73820 29.79800 33.05420 35.13470 35.79850 34.94360 32.62580 29.08480 24.74410 20.14550 15.82670 12.19300  9.44507  7.59373  6.53831  6.15186  6.33068  7.01095  8.19381 10.01650 12.86430 17.47250 24.95120 36.68430 54.08550 78.23470 109.46500 147.03700 189.05600 232.73500 274.92800 312.66300 343.39400 364.91500 375.19300 372.50000 355.96300 326.26500 285.97100 239.17300
 -140.000 -140.000 212.61300 159.99000 114.43900 77.69050 49.95010 30.32550 17.32310  9.27339  4.63409  2.15785  0.94340  0.40474  0.19853  0.14452  0.16064  0.21994  0.32607  0.49969  0.76985  1.16789  1.72399  2.46625  3.42056  4.61081  6.06477  7.83434 10.03030 12.84700 16.53360 21.28560 27.09160 33.62650 40.27450 46.28190 50.95050 53.76380 54.41830 52.81220 49.05760 43.52130 36.83100 29.78700 23.18310 17.61660 13.38190 10.49110  8.78707  8.07006  8.17511  9.00124 10.54450 12.98660 16.83800 23.07430 33.17620 48.99330 72.39270 104.70700 146.09500 195.05100 248.35400 301.62700 350.35600 390.88600 420.83100 438.76700 443.60400 434.31500 410.38400 372.67000 323.98900 268.87800
 -135.000 -135.000 226.65500 169.44600 120.42900 81.27100 51.98340 31.43310 17.90750  9.57492  4.78876  2.24158  0.99954  0.45912  0.26713  0.23759  0.28588  0.38617  0.54733  0.79900  1.18200  1.74179  2.52580  3.58306  4.96256  6.71051  8.87603 11.53910 14.85940 19.10850 24.62310 31.64700 40.11510 49.51110 58.91600 67.24290 73.51950 77.06620 77.52340 74.81350 69.14050 61.03990 51.38970 41.29480 31.84670 23.86630 17.75950 13.54180 10.98890  9.80902  9.75628 10.67970 12.56860 15.65750 20.59730 28.62230 41.60320 61.87230 91.74800 132.76700 184.78900 245.33000 309.57500 371.31700 424.58800 465.18000 491.22500 502.57800 499.58200 482.26800 450.61600 405.58700 350.00100 288.51800
