VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  4.99920  3.11163  1.81479  0.99143  0.50676  0.24189  0.10756  0.04444  0.01703  0.00606  0.00201  0.00064  0.00021  0.00012  0.00018  0.00038  0.00079  0.00155  0.00280  0.00462  0.00702  0.00981  0.01266  0.01522  0.01720  0.01860  0.01973  0.02130  0.02432  0.02991  0.03892  0.05160  0.06742  0.08534  0.10469  0.12652  0.15507  0.19825  0.26584  0.36488  0.49394  0.64056  0.78545  0.91255  1.01782  1.10828  1.19063  1.25876  1.29262  1.27208  1.19630  1.09438  1.02072  1.04119  1.22258  1.63305  2.35040  3.46628  5.07333  7.23071  9.91583 12.98120 16.13860 18.98580 21.07940 22.04130 21.66490 19.98570 17.28060 13.99230 10.60540  7.52450
 -175.000 -175.000  9.78151  6.20582  3.68666  2.04767  1.06139  0.51234  0.22984  0.09570  0.03699  0.01333  0.00453  0.00150  0.00055  0.00035  0.00054  0.00112  0.00231  0.00448  0.00800  0.01318  0.02000  0.02803  0.03643  0.04416  0.05042  0.05505  0.05880  0.06351  0.07191  0.08702  0.11110  0.14463  0.18565  0.23030  0.27455  0.31678  0.36040  0.41484  0.49317  0.60568  0.75173  0.91563  1.07192  1.19894  1.29179  1.36317  1.43000  1.49627  1.54829  1.56857  1.55941  1.55976  1.64558  1.91817  2.49354  3.50192  5.09334  7.43310 10.66920 14.86720 19.92960 25.53430 31.12950 36.00430 39.42690 40.81670 39.89690 36.77740 31.93440 26.09150 20.03840 14.45300
 -170.000 -170.000 17.99560 11.58860  6.97998  3.92346  2.05372  0.99918  0.45129  0.18927  0.07396  0.02716  0.00955  0.00335  0.00135  0.00096  0.00148  0.00303  0.00616  0.01175  0.02080  0.03410  0.05173  0.07274  0.09513  0.11636  0.13427  0.14808  0.15937  0.17241  0.19389  0.23128  0.29014  0.37123  0.46898  0.57257  0.66964  0.75151  0.81780  0.87826  0.94969  1.04732  1.17402  1.31441  1.44075  1.52963  1.57875  1.60961  1.65247  1.72499  1.82365  1.93784  2.07893  2.30637  2.73693  3.53819  4.91779  7.11812 10.41060 15.06790 21.29320 29.10540 38.21710 47.96460 57.34480 65.17400 70.33170 72.01530 69.92750 64.34180 56.03820 46.12970 35.82550 26.19590
 -165.000 -165.000 30.98540 20.17150 12.26890  6.95372  3.66478  1.79354  0.81508  0.34484  0.13680  0.05165  0.01906  0.00721  0.00321  0.00246  0.00376  0.00750  0.01496  0.02812  0.04928  0.08033  0.12176  0.17180  0.22624  0.27936  0.32583  0.36315  0.39394  0.42725  0.47792  0.56286  0.69454  0.87410  1.08784  1.30984  1.51021  1.66552  1.76709  1.82370  1.85702  1.89025  1.93437  1.98052  2.00613  1.99377  1.95041  1.91103  1.92191  2.01605  2.20252  2.48289  2.88926  3.52405  4.58314  6.35718  9.21946 13.60690 19.98470 28.76800 40.17950 54.06120 69.71010 85.83480 100.70000 112.44900 119.50400 120.90200 116.46800 106.80400 93.13480 77.07470 60.36670 44.60340
 -160.000 -160.000 49.73090 32.61450 19.96810 11.38160  6.02850  2.96576  1.35742  0.58125  0.23571  0.09251  0.03629  0.01492  0.00726  0.00580  0.00874  0.01699  0.03321  0.06149  0.10662  0.17281  0.26175  0.37070  0.49177  0.61328  0.72333  0.81492  0.89133  0.96976  1.08025  1.25778  1.52804  1.89248  2.32122  2.75916  3.14364  3.42486  3.58011  3.61671  3.56403  3.45788  3.32372  3.16782  2.98361  2.77145  2.55797  2.39849  2.35798  2.48488  2.80207  3.33082  4.14375  5.42478  7.51216 10.91100 16.27630 24.36420 35.93400 51.56990 71.41570 94.88260 120.46300 145.78800 168.00700 184.37800 192.88500 192.61600 183.81900 167.69400 146.08800 121.22600 95.46820 71.04160
 -155.000 -155.000 74.17060 48.86710 30.04720 17.19580  9.14764  4.52647  2.09164  0.91121  0.38104  0.15726  0.06621  0.02952  0.01541  0.01259  0.01853  0.03514  0.06745  0.12308  0.21124  0.34058  0.51575  0.73363  0.98116  1.23659  1.47548  1.68066  1.85386  2.02421  2.24726  2.58931  3.09902  3.77792  4.56729  5.36153  6.04310  6.52038  6.75055  6.74088  6.53333  6.18234  5.73540  5.22441  4.67289  4.11491  3.61115  3.24655  3.10774  3.25770  3.73429  4.58954  5.96580  8.18416 11.81470 17.70500 26.95280 40.80330 60.43560 86.60860 119.19900 156.77200 196.42500 234.08400 265.30000 286.28000 294.74100 290.25400 273.99800 248.17200 215.47000 178.79900 141.16000 105.46500
 -150.000 -150.000 102.58400 67.76230 41.78440 23.99400 12.82410  6.39414  2.99456  1.33603  0.58149  0.25464  0.11530  0.05519  0.03030  0.02492  0.03578  0.06635  0.12528  0.22572  0.38404  0.61672  0.93492  1.33745  1.80525  2.30128  2.77921  3.20136  3.56162  3.90371  4.32126  4.92975  5.81420  6.97604  8.31077  9.63451 10.74730 11.49820 11.81910 11.72070 11.26370 10.52740  9.58865  8.51732  7.38470  6.27922  5.31386  4.61425  4.29140  4.42109  5.05790  6.29968  8.39591 11.87350 17.64320 27.04980 41.82840 63.91420 95.04180 136.11500 186.45300 243.20000 301.27400 354.12600 395.19300 419.55100 425.04800 412.42800 384.52200 345.06800 297.85400 246.49500 194.55300 145.54900
 -145.000 -145.000 131.44500 86.93570 53.72550 30.96170 16.64810  8.38804  4.00097  1.84120  0.84064  0.39211  0.18990  0.09617  0.05459  0.04478  0.06275  0.11419  0.21277  0.37958  0.64187  1.02916  1.56529  2.25631  3.07845  3.97357  4.86010  5.66277  6.35434  6.99134  7.71769  8.71834 10.13110 11.95810 14.03080 16.05740 17.72760 18.81510 19.22390 18.97250 18.14460 16.84760 15.19440 13.30630 11.32450  9.41778  7.77280  6.56741  5.93795  5.96947  6.73522  8.39602 11.34940 16.39970 24.90980 38.87940 60.87790 93.72690 139.83200 200.16100 273.10300 353.69800 433.81800 503.62900 554.00200 578.97300 577.13100 551.30800 506.87800 449.72600 384.98500 316.92000 249.44200 186.43700
 -140.000 -140.000 156.04600 103.26000 63.95560 37.02410 20.07010 10.25540  5.00847  2.39229  1.15075  0.57044  0.29237  0.15439  0.08946  0.07281  0.09981  0.17891  0.33025  0.58567  0.98806  1.58750  2.43030  3.53942  4.89121  6.40117  7.93510  9.35453 10.58730 11.69170 12.86860 14.39130 16.46790 19.10520 22.05770 24.90310 27.20170 28.64300 29.10330 28.61040 27.27010 25.21510 22.59680 19.60300 16.47130 13.48050 10.91450  9.01325  7.93600  7.77066  8.60929 10.69120 14.59770 21.47130 33.21730 52.61550 83.22060 128.88000 192.72000 275.63700 374.69100 482.15300 586.07300 672.68000 730.02700 751.40400 736.91600 692.46800 626.87500 548.74400 464.73200 379.60600 297.27400 221.56000
 -135.000 -135.000 171.82700 113.73200 70.63590 41.13780 22.54050 11.72550  5.89078  2.93186  1.48534  0.77680  0.41615  0.22625  0.13263  0.10687  0.14377  0.25498  0.46847  0.82993  1.40399  2.27134  3.51484  5.18943  7.28124  9.67615 12.16660 14.51590 16.56940 18.36100 20.14280 22.28780 25.09180 28.57660 32.42120 36.07070 38.95600 40.68640 41.11350 40.27050 38.27340 35.26820 31.44280 27.06540 22.49730 18.15780 14.44940 11.68050 10.02710  9.57034 10.41770 12.89540 17.79000 26.61520 41.86390 67.15130 107.07200 166.52400 249.30200 356.04700 482.13600 616.61100 743.23300 844.02600 904.31000 917.11900 884.84700 817.31800 727.45800 626.96400 524.04600 423.72400 329.45700 244.46100
