VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  6.93526  4.95628  3.31093  2.08024  1.23695  0.69925  0.37623  0.19218  0.09283  0.04255  0.01921  0.00971  0.00670  0.00625  0.00640  0.00626  0.00558  0.00447  0.00321  0.00207  0.00121  0.00066  0.00040  0.00038  0.00055  0.00096  0.00173  0.00312  0.00567  0.01021  0.01771  0.02885  0.04333  0.05935  0.07373  0.08287  0.08425  0.07766  0.06527  0.05062  0.03718  0.02724  0.02163  0.01995  0.02101  0.02334  0.02573  0.02768  0.02973  0.03326  0.03987  0.05071  0.06644  0.08822  0.11970  0.16972  0.25508  0.40321  0.65437  1.06222  1.69052  2.60335  3.84681  5.42253  7.25723  9.17939 10.92140 12.16530 12.63240 12.18630 10.89740  9.02733
 -175.000 -175.000 10.75150  7.70150  5.16760  3.26682  1.95670  1.11461  0.60415  0.31077  0.15139  0.07064  0.03364  0.01938  0.01582  0.01630  0.01727  0.01706  0.01524  0.01222  0.00878  0.00566  0.00331  0.00185  0.00118  0.00117  0.00175  0.00297  0.00507  0.00861  0.01469  0.02509  0.04193  0.06672  0.09886  0.13441  0.16635  0.18671  0.18997  0.17563  0.14847  0.11631  0.08674  0.06483  0.05245  0.04877  0.05123  0.05658  0.06200  0.06629  0.07062  0.07814  0.09254  0.11657  0.15162  0.19961  0.26672  0.36798  0.53123  0.80025  1.23714  1.92305  2.95405  4.42674  6.40926  8.89759 11.76630 14.73450 17.37690 19.20430 19.80580 19.00090 16.92510 13.99280
 -170.000 -170.000 15.51250 11.11050  7.46514  4.73185  2.84455  1.62726  0.88606  0.45824  0.22529  0.10781  0.05534  0.03716  0.03516  0.03877  0.04194  0.04165  0.03726  0.02989  0.02148  0.01386  0.00814  0.00462  0.00310  0.00329  0.00503  0.00839  0.01377  0.02215  0.03551  0.05720  0.09136  0.14104  0.20517  0.27605  0.33978  0.38056  0.38741  0.35936  0.30588  0.24237  0.18382  0.14025  0.11545  0.10794  0.11284  0.12367  0.13468  0.14326  0.15160  0.16610  0.19451  0.24269  0.31366  0.41062  0.54360  0.73669  1.03317  1.49791  2.21858  3.30618  4.89095  7.10449 10.03880 13.68130 17.84000 22.09480 25.82090 28.31490 29.00600 27.67030 24.53740 20.22270
 -165.000 -165.000 20.76290 14.83570  9.95665  6.31157  3.79885  2.17810  1.18999  0.61873  0.30790  0.15277  0.08660  0.06822  0.07243  0.08345  0.09141  0.09108  0.08156  0.06543  0.04704  0.03039  0.01794  0.01040  0.00741  0.00842  0.01315  0.02167  0.03452  0.05306  0.08033  0.12183  0.18477  0.27471  0.39004  0.51732  0.63182  0.70532  0.71813  0.66854  0.57343  0.46018  0.35536  0.27679  0.23136  0.21689  0.22505  0.24443  0.26450  0.28018  0.29506  0.32071  0.37170  0.45955  0.59050  0.77036  1.01504  1.36147  1.87342  2.64099  3.77810  5.42148  7.72772 10.85430 14.90890 19.86110 25.44020 31.06930 35.90200 39.00340 39.63930 37.55760 33.11420 27.16390
 -160.000 -160.000 25.78440 18.34320 12.27250  7.76672  4.67433  2.68437  1.47180  0.77065  0.39020  0.20360  0.12999  0.11859  0.13669  0.16187  0.17863  0.17832  0.15976  0.12820  0.09219  0.05966  0.03546  0.02110  0.01611  0.01960  0.03120  0.05102  0.07948  0.11789  0.16995  0.24347  0.34961  0.49760  0.68551  0.89229  1.07827  1.19778  1.21892  1.13886  0.98490  0.80112  0.63013  0.50052  0.42369  0.39694  0.40773  0.43823  0.47123  0.49776  0.52290  0.56526  0.64939  0.79595  1.01741  1.32487  1.74358  2.32842  3.16939  4.38537  6.11366  8.50478 11.72070 15.91820 21.19350 27.47700 34.40700 41.24960 46.95240 50.37740 50.66550 47.57680 41.62560 33.92070
 -155.000 -155.000 29.80110 21.07130 14.03470  8.85953  5.33060  3.06814  1.69103  0.89468  0.46428  0.25851  0.18729  0.19262  0.23443  0.28218  0.31273  0.31252  0.28005  0.22478  0.16171  0.10487  0.06291  0.03874  0.03196  0.04158  0.06735  0.10945  0.16770  0.24212  0.33567  0.45759  0.62328  0.84678  1.12660  1.43298  1.70802  1.88429  1.91452  1.79452  1.56462  1.28972  1.03226  0.83408  0.71237  0.66449  0.67387  0.71568  0.76485  0.80708  0.84820  0.91479  1.04413  1.27005  1.61596  2.10325  2.77233  3.70280  5.01770  6.86795  9.40891 12.78580 17.13120 22.55370 29.08640 36.57860 44.56130 52.16570 58.19420 61.39490 60.87640 56.48040 48.90720 39.50160
 -150.000 -150.000 32.23520 22.62110 14.98790  9.43722  5.68180  3.28400  1.82529  0.98075  0.52613  0.31597  0.25751  0.28889  0.36345  0.44146  0.49031  0.49021  0.43935  0.35270  0.25394  0.16520  0.10038  0.06466  0.05828  0.08077  0.13268  0.21443  0.32431  0.45893  0.61772  0.80918  1.05236  1.36703  1.75340  2.17308  2.54807  2.78626  2.82269  2.65159  2.32834  1.94173  1.57677  1.29028  1.10625  1.02302  1.02120  1.07007  1.13681  1.20075  1.26672  1.36821  1.55636  1.88213  2.38620  3.10807  4.11181  5.51063  7.46853 10.17220 13.78880 18.43480 24.16730 30.97960 38.76440 47.22640 55.76750 63.42540 68.96480 71.16740 69.25260 63.23690 54.02290 43.13710
 -145.000 -145.000 32.88390 22.87840 15.07560  9.47552  5.71912  3.32987  1.87517  1.03016  0.57625  0.37415  0.33504  0.39689  0.50795  0.61937  0.68834  0.68824  0.61685  0.49533  0.35706  0.23344  0.14462  0.09900  0.09861  0.14482  0.24019  0.38567  0.57682  0.80390  1.05902  1.34680  1.68867  2.11082  2.61664  3.15964  3.64064  3.94060  3.97503  3.73632  3.29662  2.77152  2.27142  1.86990  1.59872  1.45815  1.42776  1.47335  1.55611  1.64856  1.75183  1.90301  2.16587  2.61138  3.30464  4.31315  5.73539  7.72836 10.50560 14.29420 19.26700 25.48700 32.88390 41.25560 50.26100 59.38230 67.86900 74.72480 78.81700 79.14680 75.21480 67.30930 56.53380 44.50970
 -140.000 -140.000 31.93220 22.00980 14.42720  9.06332  5.49791  3.23802  1.85908  1.05314  0.61886  0.43102  0.41012  0.49770  0.63951  0.77930  0.86540  0.86490  0.77514  0.62272  0.44986  0.29659  0.18949  0.14117  0.15714  0.24266  0.40388  0.64274  0.95066  1.30847  1.69717  2.11452  2.58332  3.13690  3.78269  4.46554  5.06251  5.42399  5.44293  5.10936  4.51474  3.80637  3.12542  2.56623  2.17002  1.93964  1.85473  1.87997  1.97299  2.09977  2.25480  2.47388  2.83000  3.41519  4.32525  5.66553  7.57955 10.27770 14.03070 19.10980 25.68890 33.75400 43.05650 53.11910 63.27430 72.70930 80.50780 85.71220 87.44460 85.11260 78.65600 68.70940 56.54960 43.78850
 -135.000 -135.000 29.82250 20.35610 13.27880  8.34935  5.10504  3.05708  1.80426  1.06498  0.66105  0.48570  0.47257  0.57044  0.72617  0.87997  0.97464  0.97306  0.87193  0.70113  0.50857  0.34049  0.22902  0.19200  0.24063  0.38643  0.64077  1.00680  1.47032  2.00018  2.56370  3.15056  3.78536  4.50959  5.33423  6.19198  6.92953  7.35899  7.34503  6.87410  6.06149  5.09536  4.15824  3.37347  2.79564  2.43029  2.25627  2.23744  2.32933  2.49191  2.71074  3.01572  3.48459  4.22933  5.37986  7.08598  9.54348 13.02190 17.85300 24.35290 32.69110 42.75720 54.08320 65.85500 77.01090 86.39890 92.94800 95.81910 94.52310 89.01970 79.79120 67.84430 54.57470 41.48160
