VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 36.19060 25.21190 16.21560  9.66317  5.39605  2.89632  1.56109  0.88760  0.54250  0.34575  0.21835  0.13158  0.07450  0.03978  0.02051  0.01073  0.00625  0.00444  0.00383  0.00361  0.00338  0.00307  0.00276  0.00265  0.00293  0.00365  0.00478  0.00621  0.00795  0.01024  0.01370  0.01946  0.02924  0.04572  0.07300  0.11712  0.18557  0.28524  0.41864  0.58069  0.75884  0.93727  1.10224  1.24357  1.35111  1.41071  1.40606  1.32779  1.18341  1.00052  0.82063  0.68832  0.64337  0.71997  0.95305  1.38913  2.10144  3.21207  4.92152  7.53360 11.44610 17.07030 24.66290 34.10700 44.73420 55.29890 64.16920 69.70830 70.73430 66.89680 58.82500 47.97140
 -175.000 -175.000 51.34690 35.56850 22.78010 13.53710  7.55009  4.05602  2.19443  1.25677  0.77618  0.50150  0.32279  0.20010  0.11825  0.06728  0.03792  0.02234  0.01489  0.01188  0.01094  0.01058  0.01001  0.00909  0.00817  0.00785  0.00863  0.01070  0.01390  0.01789  0.02250  0.02814  0.03592  0.04763  0.06526  0.09067  0.12546  0.17162  0.23225  0.31183  0.41503  0.54447  0.69891  0.87303  1.05807  1.24163  1.40612  1.52877  1.58618  1.56381  1.46573  1.31899  1.16979  1.07423  1.08942  1.27056  1.67629  2.38240  3.50553  5.24010  7.90512 11.97810 18.06880 26.77850 38.43150 52.74350 68.57850 83.95980 96.41930 103.61400 104.00200 97.33590 84.77070 68.54680
 -170.000 -170.000 67.81000 46.67790 29.74520 17.60660  9.78977  5.24710  2.83576  1.62703  1.01245  0.66479  0.43993  0.28474  0.17911  0.11078  0.06923  0.04581  0.03417  0.02962  0.02849  0.02801  0.02663  0.02422  0.02181  0.02097  0.02303  0.02842  0.03664  0.04668  0.05785  0.07072  0.08737  0.11097  0.14441  0.18882  0.24280  0.30323  0.36794  0.43899  0.52425  0.63582  0.78526  0.97775  1.20779  1.45760  1.69888  1.89781  2.02315  2.05614  2.00003  1.88526  1.76789  1.72141  1.82694  2.16848  2.83782  3.95138  5.68232  8.31204 12.29510 18.30250 27.17440 39.70890 56.27180 76.33430 98.15990 118.87600 135.03700 143.52800 142.50400 131.97000 113.80700 91.21580
 -165.000 -165.000 83.54600 57.11740 36.18890 21.31440 11.79480  6.28839  3.37966  1.93414  1.21207  0.81419  0.56181  0.38700  0.26410  0.17971  0.12433  0.09095  0.07399  0.06800  0.06731  0.06688  0.06379  0.05810  0.05247  0.05066  0.05571  0.06855  0.08777  0.11070  0.13533  0.16222  0.19507  0.23954  0.30037  0.37818  0.46782  0.55984  0.64581  0.72527  0.81044  0.92437  1.09210  1.32827  1.62767  1.96344  2.29351  2.57204  2.76126  2.84174  2.82050  2.73622  2.65892  2.68298  2.91751  3.48152  4.51000  6.17355  8.71597 12.51600 18.16610 26.52240 38.63410 55.45880 77.34860 103.45700 131.36300 157.22700 176.59700 185.63700 182.31700 167.06600 142.64200 113.28900
 -160.000 -160.000 96.25890 65.32610 41.12730 24.08310 13.24590  7.00885  3.73365  2.12635  1.34631  0.93624  0.68616  0.51242  0.38343  0.28647  0.21649  0.17157  0.14900  0.14283  0.14416  0.14415  0.13771  0.12569  0.11410  0.11104  0.12278  0.15091  0.19196  0.23971  0.28924  0.34063  0.40006  0.47721  0.57991  0.70858  0.85354  0.99779  1.12561  1.23389  1.33958  1.47692  1.68346  1.98075  2.36047  2.78384  3.19446  3.53683  3.77187  3.88587  3.89543  3.85078  3.83596  3.96405  4.37057  5.21257  6.67824  9.00797 12.53160 17.73080 25.32160 36.30330 51.86490 73.03550 100.06700 131.73600 164.93000 194.90500 216.33100 224.83000 218.37800 197.97500 167.31500 131.63700
 -155.000 -155.000 104.00500 70.03090 43.79020 25.48390 13.92370  7.30540  3.85318  2.18614  1.40979  1.03164  0.81746  0.66836  0.54681  0.44277  0.35934  0.30332  0.27703  0.27387  0.27999  0.28081  0.26844  0.24577  0.22505  0.22191  0.24787  0.30505  0.38572  0.47698  0.56841  0.65888  0.75808  0.88169  1.04220  1.24026  1.46120  1.67971  1.87235  2.03288  2.18173  2.36164  2.61855  2.97651  3.42123  3.90240  4.35365  4.71766  4.96349  5.09177  5.13389  5.15128  5.23583  5.50965  6.12652  7.28044  9.22185 12.27800 16.88090 23.61750 33.29950 46.99960 65.93540 91.07480 122.45700 158.43900 195.29100 227.56400 249.34100 256.00500 245.77600 220.32800 184.22800 143.51000
 -150.000 -150.000 105.76200 70.62630 43.85610 25.37010 13.77960  7.17812  3.75762  2.13606  1.42054  1.11151  0.96094  0.85692  0.75636  0.65329  0.56148  0.49897  0.47425  0.47942  0.49382  0.49545  0.47366  0.43582  0.40451  0.40683  0.46159  0.57046  0.71784  0.87952  1.03632  1.18504  1.34045  1.52656  1.76216  2.04864  2.36641  2.68224  2.96533  3.20527  3.42198  3.65953  3.96392  4.35561  4.81361  5.28200  5.69570  6.00929  6.21271  6.32989  6.40962  6.51955  6.74730  7.20809  8.06036  9.53008 11.93660 15.71000 21.40040 29.70010 41.48260 57.81110 79.79790 108.19100 142.69000 181.20800 219.53600 251.82000 271.96100 275.49500 261.13700 231.27300 191.17000 147.33900
 -145.000 -145.000 101.71300 67.34250 41.53960 23.91580 12.94580  6.72523  3.51883  2.02563  1.40746  1.18644  1.11333  1.06727  1.00020  0.90994  0.82079  0.76194  0.74754  0.76733  0.79263  0.79378  0.75909  0.70424  0.66698  0.68986  0.80000  0.99609  1.24940  1.51891  1.77323  2.00705  2.24245  2.51420  2.84850  3.24747  3.68676  4.12638  4.52912  4.87828  5.18595  5.48584  5.81212  6.17553  6.55182  6.89227  7.15121  7.31312  7.40238  7.47301  7.59037  7.81972  8.22930  8.90930 10.00700 11.77220 14.59530 19.01950 25.72470 35.50700 49.27010 67.98820 92.53860 123.29500 159.49400 198.60000 236.09100 266.05600 282.65900 281.99200 263.49300 230.22900 187.91500 143.16000
 -140.000 -140.000 93.11850 61.12690 37.49450 21.54080 11.67920  6.10156  3.23000  1.90824  1.39450  1.25710  1.25850  1.27428  1.25187  1.19040  1.12096  1.08045  1.08640  1.12531  1.16114  1.15900  1.11029  1.04419  1.01845  1.09368  1.30443  1.64180  2.05744  2.48798  2.88768  3.25060  3.60911  4.01047  4.48745  5.04052  5.63913  6.23677  6.78996  7.27215  7.67802  8.01723  8.30062  8.52652  8.67713  8.73031  8.68227  8.56592  8.45094  8.42415  8.56341  8.92220  9.53593 10.45450 11.80000 13.83540 17.01730 22.00170 29.59940 40.70530 56.22700 76.98750 103.52700 135.72500 172.26600 210.18200 244.81100 270.51400 282.11900 276.61100 254.30200 218.85200 176.13900 132.49800
 -135.000 -135.000 81.86420 53.31160 32.58490 18.76250 10.26980  5.46225  2.97144  1.82164  1.39192  1.31370  1.37245  1.44591  1.47715  1.46206  1.43177  1.42473  1.45843  1.51631  1.55840  1.55033  1.49320  1.43574  1.45956  1.64386  2.02725  2.58699  3.24834  3.92135  4.54590  5.11864  5.68528  6.30497  7.01178  7.79696  8.61718  9.41572 10.14020 10.74970 11.21310 11.50690 11.61430 11.52740 11.25250 10.81770 10.28350  9.74500  9.32166  9.13015  9.25430  9.72820 10.54680 11.71170 13.31040 15.60770 19.11230 24.57870 32.93510 45.16070 62.14470 84.51930 112.42900 145.19300 180.92100 216.26200 246.58300 266.77300 272.61200 262.18600 236.71700 200.31700 158.75500 117.80300
 -130.000 -130.000 69.91710 45.23180 27.63810 16.04770  8.95646  4.91788  2.78834  1.77943  1.39694  1.34300  1.43388  1.55456  1.64363  1.68862  1.71289  1.74946  1.81259  1.88443  1.92722  1.91557  1.86869  1.86107  2.00096  2.38495  3.05110  3.95625  4.99324  6.04256  7.03087  7.96059  8.89180  9.89047 10.97990 12.12590 13.25690 14.29470 15.17140 15.82830 16.20880 16.26050 15.95090 15.28650 14.32360 13.16530 11.95210 10.84620 10.01080  9.58207  9.64034 10.19510 11.20000 12.60970 14.47450 17.05080 20.87880 26.78330 35.77930 48.90340 67.00260 90.49860 119.12600 151.65500 185.66300 217.52100 242.77200 257.01100 257.09900 242.26000 214.54200 178.32000 139.03700 101.72700
 -125.000 -125.000 58.91780 37.95680 23.28330 13.72440  7.88465  4.51726  2.68654  1.77326  1.39928  1.33544  1.43199  1.58451  1.72751  1.83650  1.92102  2.00332  2.09268  2.17318  2.21688  2.21699  2.22005  2.33295  2.69391  3.41697  4.53661  5.98378  7.61228  9.26732 10.85870 12.39220 13.93820 15.55890 17.24800 18.92090 20.45140 21.71910 22.63150 23.11610 23.10760 22.55320 21.44060 19.82840 17.85460 15.71770 13.64290 11.84960 10.52670  9.80966  9.76036 10.35830 11.52020 13.16250 15.30510 18.19050 22.36870 28.69820 38.23800 52.04100 70.88390 94.97230 123.66000 155.23900 186.87400 214.80100 234.88000 243.48400 238.53300 220.26800 191.36300 156.25200 119.90300 86.55900
 -120.000 -120.000 50.00720 32.19330 19.90810 11.97140  7.11207  4.25863  2.64360  1.78118  1.38610  1.28734  1.36696  1.53267  1.71633  1.88113  2.02087  2.14514  2.25848  2.35075  2.41122  2.46147  2.58568  2.93329  3.68174  4.96968  6.83035  9.16301 11.76700 14.42920 17.01880 19.52580 22.01800 24.54290 27.04800 29.37160 31.30170 32.65060 33.29340 33.16330 32.22960 30.49820 28.03870 25.01190 21.66890 18.31170 15.23840 12.70030 10.87920  9.87883  9.71970 10.34150 11.62900 13.47590 15.88690 19.09490 23.64480 30.39420 40.39780 54.67690 73.90660 98.08140 126.23400 156.29800 185.18800 209.17100 224.52300 228.38800 219.60100 199.16900 170.13200 136.78900 103.56300 73.96400
 -115.000 -115.000 43.84650 28.31880 17.69790 10.85580  6.64126  4.11565  2.62728  1.77851  1.34597  1.19964  1.24656  1.40619  1.61062  1.81432  1.99828  2.16137  2.30543  2.42996  2.54843  2.72188  3.08844  3.86202  5.28555  7.54647 10.68750 14.56000 18.85980 23.24150 27.45560 31.42110 35.18230 38.77900 42.12520 44.98210 47.03510 48.01240 47.76280 46.26520 43.59710 39.91040 35.43390 30.48140 25.43300 20.68070 16.56350 13.32230 11.08850  9.89323  9.68389 10.34410 11.72910 13.72810 16.35510 19.85050 24.75300 31.89570 42.28780 56.87350 76.20020 100.06800 127.26800 155.51300 181.64000 202.09000 213.60300 213.99300 202.78400 181.45400 153.14000 121.85800 91.49700 64.98010
 -110.000 -110.000 40.70740 26.45260 16.68910 10.37360  6.45005  4.06037  2.61191  1.74776  1.27279  1.07742  1.08379  1.22135  1.42614  1.65043  1.86890  2.07461  2.27043  2.47015  2.72084  3.14210  3.95975  5.50338  8.14457 12.17610 17.66820 24.37140 31.74100 39.10450 45.90210 51.85900 56.97840 61.36290 64.99710 67.64810 68.94150 68.53950 66.29260 62.28760 56.80180 50.22850 43.02570 35.68630 28.70270 22.51220 17.43860 13.65820 11.20230  9.98591  9.84791 10.59470 12.05060 14.11900 16.85400 20.53310 25.70460 33.17180 43.87430 58.65110 77.91030 101.29000 127.42500 153.94400 177.73900 195.50200 204.39900 202.74800 190.48700 169.27500 142.14200 112.75800 84.57400 60.12580
 -105.000 -105.000 40.52970 26.49550 16.79330 10.46290  6.50031  4.07033  2.58473  1.68362  1.16875  0.93086  0.89662  1.00292  1.19331  1.42501  1.67420  1.93484  2.21672  2.55675  3.05464  3.92840  5.56372  8.51509 13.41450 20.77010 30.69710 42.70260 55.68150 68.20320 78.99420 87.35760 93.27230 97.12460 99.27540 99.76620 98.33330 94.66050 88.65610 80.57720 70.97440 60.54480 49.99790 39.97810 31.02330 23.53330 17.74060 13.69720 11.28950 10.27990 10.36900 11.26600 12.76150 14.78890 17.47410 21.16820 26.45910 34.13590 45.07060 59.99530 79.19450 102.19200 127.55500 152.92600 175.32100 191.66100 199.40600 197.13800 184.93400 164.41100 138.38300 110.22600 83.12800 59.47290
 -100.000 -100.000 42.91790 28.12660 17.78980 10.99340  6.72717  4.12019  2.54078  1.59056  1.04348  0.77461  0.70635  0.78030  0.94989  1.18282  1.46392  1.79575  2.20494  2.76983  3.68195  5.33678  8.41916 13.91420 22.95520 36.45240 54.56470 76.24530 99.18930 120.38600 137.11300 147.88200 152.75600 152.91300 149.75100 144.17500 136.41900 126.37600 114.08000 99.97400 84.87350 69.74540 55.47810 42.75820 32.04440 23.58460 17.43410 13.46750 11.39710 10.81610 11.27300 12.37060 13.86340 15.72680 18.18210 21.68770 26.90700 34.64820 45.74630 60.86060 80.19790 103.23400 128.54000 153.82000 176.19700 192.69700 200.84600 199.21300 187.77100 167.95600 142.39100 114.31900 86.90630 62.63010
  -95.000  -95.000 47.11730 30.79390 19.31850 11.75750  7.02777  4.17022  2.47300  1.47560  0.90922  0.62397  0.53271  0.57967  0.72867  0.96091  1.27515  1.69127  2.26880  3.16073  4.72019  7.65631 13.18670 23.06500 39.30920 63.50970 95.81930 134.07100 173.66900 208.66400 233.73300 246.06900 246.11600 236.77500 221.65800 203.56300 183.88500 163.03200 141.19600 118.90200 97.06260 76.71800 58.72890 43.62400 31.61050 22.65660 16.56380 12.99700 11.49250 11.48470 12.38250 13.68900 15.12680 16.71630 18.78370 21.91330 26.87440 34.53730 45.75500 61.17990 81.01750 104.76900 131.06000 157.64800 181.65100 199.99400 209.98700 209.90900 199.44100 179.81900 153.61100 124.17700 94.93730 68.68030
  -90.000  -90.000 52.03920 33.74940 20.90950 12.48800  7.26845  4.16555  2.36743  1.34244  0.77538  0.48993  0.38842  0.41668  0.54811  0.77782  1.12207  1.62796  2.41075  3.74801  6.25850 11.16370 20.54850 37.40830 65.16860 106.45100 161.26800 225.46800 290.58400 345.83200 381.73000 393.54900 382.66800 355.13800 318.52300 278.99000 240.03400 202.93100 167.98300 135.50300 106.12100 80.55880 59.30510 42.46070 29.79250 20.87920 15.22340 12.28120 11.44170 12.02180 13.32980 14.79680 16.12370 17.37160 18.96130 21.59860 26.17240 33.65470 44.98220 60.88770 81.66710 106.92000 135.34700 164.69200 191.90300 213.55000 226.44600 228.35600 218.58500 198.24600 170.07800 137.83900 105.45200 76.17270
  -85.000  -85.000 56.39030 36.15490 22.06090 12.90980  7.31427  4.05034  2.20785  1.19125  0.64663  0.37699  0.27713  0.29478  0.41152  0.63521  1.00185  1.59602  2.61580  4.52432  8.33243 16.01240 30.91040 57.80910 102.12200 167.85200 254.63800 355.25200 455.47500 537.51600 586.05200 593.89900 564.18200 507.90000 438.64300 367.66500 301.58200 242.87100 191.74100 147.81300 110.85200 80.72530 57.12700 39.44520 26.85150 18.47650 13.52680 11.28780 11.05810 12.10100 13.68460 15.21180 16.37890 17.27800 18.39550 20.53000 24.68060 31.94300 43.39570 59.93540 82.03530 109.45100 140.94700 174.15700 205.67900 231.49600 247.71800 251.48100 241.74100 219.65400 188.37300 152.29400 115.99900 83.25740
  -80.000  -80.000 58.90440 37.24570 22.34680 12.80650  7.06790  3.78861  1.98583  1.02302  0.52482  0.28474  0.19593  0.20954  0.31407  0.52843  0.90925  1.58707  2.86718  5.45493 10.87050 22.05360 43.96050 83.62620 148.91700 245.43900 372.13500 517.64500 660.31400 773.52200 834.81100 834.32700 777.87900 683.12000 571.51900 460.88800 361.76000 277.95200 209.25400 154.00600 110.47300 77.12160 52.46730 34.97710 23.15790 15.70810 11.59400  9.99872 10.20160 11.48480 13.14380 14.60410 15.57940 16.17950 16.91810 18.63980 22.42070 29.47590 41.05490 58.27140 81.83150 111.67300 146.59900 184.03700 220.09500 250.04200 269.21500 274.16000 263.62100 238.99700 204.04100 163.89700 123.81500 87.99220
  -75.000  -75.000 58.62500 36.50600 21.51900 12.07650  6.49864  3.37867  1.70789  0.84349  0.41189  0.21113  0.13984  0.15496  0.25122  0.45668  0.84769  1.60383  3.14963  6.46227 13.63130 28.66860 58.29220 111.96200 200.11400 329.90800 499.26200 692.06800 878.48000 1022.41000 1094.04000 1081.16000 993.00700 854.82800 696.81400 543.86600 410.62200 302.09600 217.27500 152.74000 104.78200 70.11530 45.88050 29.57820 19.10360 12.81940  9.54868  8.45424  8.86509 10.14550 11.67670 12.95280 13.72540 14.11070 14.61060 16.06350 19.57250 26.43830 38.06750 55.79320 80.55900 112.47600 150.34700 191.34500 231.05500 264.05600 285.03200 290.13100 278.10400 250.75500 212.49100 169.13100 126.41800 88.76660
  -70.000  -70.000 55.15190 33.79880 19.56790 10.75640  5.64936  2.85412  1.39525  0.66342  0.31111  0.15467  0.10505  0.12755  0.22296  0.42644  0.83035  1.65749  3.44202  7.41383 16.18950 34.75980 71.42190 137.75600 246.35800 405.52600 611.94800 845.01800 1067.51000 1235.14000 1312.07000 1284.61000 1165.64000 987.48500 788.15600 598.74100 437.27800 309.52300 213.39800 143.56400 94.27210 60.49560 38.10640 23.80050 15.04170 10.01510  7.51713  6.76647  7.19256  8.28188  9.53834 10.55440 11.13390 11.39170 11.78730 13.10500 16.41930 23.05820 34.52860 52.32850 77.58680 110.54000 149.96900 192.81000 234.22700 268.32300 289.42200 293.58900 279.81200 250.37000 210.20100 165.52800 122.25400 84.72180
  -65.000  -65.000 48.75700 29.40120 16.71910  9.00575  4.62096  2.27256  1.07735  0.49558  0.22626  0.11474  0.08961  0.12664  0.23278  0.44776  0.87298  1.75837  3.71241  8.14070 18.02300 39.00710 80.41000 155.10900 276.90000 454.48800 683.37900 939.75400 1181.62000 1359.80000 1435.26000 1394.22000 1252.52000 1047.36000 821.76600 610.56500 433.64000 296.84700 197.02900 127.24000 80.12530 49.36160 29.95970 18.15890 11.25990  7.45433  5.62176  5.09236  5.42029  6.22644  7.14742  7.88350  8.29565  8.49207  8.87088 10.12790 13.25630 19.54100 30.50140 47.70070 72.35660 104.76400 143.67400 185.89200 226.39800 259.17400 278.59900 281.00900 265.80900 235.68900 195.83100 152.44500 111.18700 76.01150
  -60.000  -60.000 40.31480 23.92430 13.36660  7.05918  3.54235  1.69887  0.78348  0.35118  0.16015  0.09082  0.09220  0.15192  0.28302  0.52687  0.98413  1.90753  3.92392  8.49092 18.69260 40.33770 82.92830 159.46000 283.63000 463.68900 694.28500 950.54100 1189.59000 1361.99000 1429.30000 1379.00000 1228.47000 1016.27000 786.28600 573.64500 398.05400 264.81900 169.99700 105.78000 64.04720 37.93880 22.20910 13.07790  7.97045  5.25217  3.96720  3.58492  3.78368  4.30703  4.91177  5.39704  5.67614  5.84710  6.23857  7.43750 10.31510 16.04480 26.06040 41.87170 64.66950 94.73660 130.82100 169.76300 206.67900 235.85300 252.14600 252.46700 236.71000 207.78900 170.75400 131.34800 94.58300 63.78210
  -55.000  -55.000 31.05210 18.14040  9.96242  5.16250  2.53691  1.18946  0.53642  0.23760  0.11388  0.08155  0.11040  0.20017  0.36965  0.65865  1.15657  2.09175  4.04609  8.38972 18.02290 38.37530 78.24840 149.54000 264.57300 430.38700 641.34200 873.92900 1088.53000 1240.15000 1294.51000 1241.40000 1097.92000 900.09600 688.35400 494.67400 336.66600 218.62800 136.33800 82.07070 47.92800 27.35290 15.45830  8.84752  5.30270  3.47788  2.62367  2.35043  2.44291  2.74177  3.09823  3.39008  3.57157  3.72764  4.11747  5.21241  7.73671 12.69880 21.36160 35.07330 54.89390 81.04050 112.31000 145.77000 176.99400 200.95400 213.32700 211.76800 196.61100 170.74400 138.70400 105.40300 74.93050 49.84660
  -50.000  -50.000 22.20320 12.77410  6.90098  3.51387  1.69592  0.78220  0.34973  0.15846  0.08715  0.08465  0.13962  0.26313  0.47889  0.82236  1.36283  2.28136  4.06115  7.86727 16.17780 33.60850 67.56760 127.94200 224.77400 363.46500 538.70200 730.36100 905.27600 1026.36000 1065.95000 1016.58000 893.37300 726.74900 550.36200 390.53700 261.50300 166.37100 101.19200 59.15730 33.43140 18.42420 10.06160  5.59604  3.29574  2.14894  1.61534  1.42945  1.45708  1.60702  1.79607  1.95712  2.07184  2.20988  2.56643  3.50157  5.58481  9.63000 16.67380 27.82800 43.95270 65.17440 90.40130 117.09500 141.53800 159.64200 168.07100 165.24300 151.79100 130.32600 104.61100 78.50910 55.09270 36.15590
  -45.000  -45.000 14.69780  8.33319  4.43589  2.22840  1.06637  0.49419  0.22897  0.11528  0.07968  0.09768  0.17357  0.32796  0.58821  0.98345  1.55795  2.43267  3.96134  7.03680 13.58330 27.17380 53.48340 99.97580 174.06900 279.47700 411.69900 555.12000 684.56700 772.33900 798.20500 757.33100 661.73000 534.66700 401.50100 281.85700 186.14200 116.37100 69.26880 39.46650 21.65340 11.55110  6.10158  3.29518  1.90325  1.23097  0.92020  0.80314  0.80166  0.86743  0.95799  1.04047  1.11190  1.22604  1.52309  2.26450  3.87337  6.96562 12.33280 20.82090 33.06430 49.10170 68.00630 87.73960 105.41200 117.96200 123.03200 119.69200 108.69800 92.20640 73.08970 54.14930 37.49800 24.27510
