VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 12.93090 10.29330  7.61558  5.22463  3.31718  1.94806  1.06060  0.53915  0.25949  0.12074  0.05558  0.02572  0.01205  0.00582  0.00311  0.00207  0.00176  0.00170  0.00167  0.00163  0.00163  0.00185  0.00254  0.00401  0.00657  0.01047  0.01572  0.02194  0.02833  0.03382  0.03757  0.03936  0.03990  0.04055  0.04287  0.04810  0.05691  0.06919  0.08383  0.09851  0.10990  0.11484  0.11186  0.10227  0.08988  0.07951  0.07543  0.08079  0.09831  0.13143  0.18505  0.26538  0.37919  0.53320  0.73403  0.98833  1.30301  1.68549  2.14470  2.69394  3.35702  4.17650  5.21870  6.56354  8.26807 10.30760 12.52210 14.60780 16.17920 16.88510 16.52820 15.13200
 -175.000 -175.000 17.48720 13.86960 10.24940  7.04356  4.49652  2.66944  1.48132  0.77705  0.39243  0.19506  0.09708  0.04864  0.02458  0.01292  0.00775  0.00590  0.00550  0.00553  0.00550  0.00533  0.00526  0.00577  0.00753  0.01134  0.01793  0.02780  0.04081  0.05594  0.07121  0.08416  0.09293  0.09720  0.09868  0.10042  0.10563  0.11652  0.13387  0.15696  0.18343  0.20897  0.22774  0.23431  0.22648  0.20722  0.18408  0.16634  0.16192  0.17617  0.21313  0.27750  0.37588  0.51637  0.70744  0.95734  1.27503  1.67202  2.16364  2.76809  3.50385  4.38832  5.44264  6.70458  8.24148 10.14330 12.47640 15.20170 18.09890 20.75760 22.66690 23.37760 22.66020 20.58360
 -170.000 -170.000 22.11570 17.45180 12.87120  8.86245  5.69846  3.43299  1.95434  1.06744  0.57084  0.30440  0.16304  0.08745  0.04728  0.02711  0.01838  0.01572  0.01569  0.01618  0.01621  0.01569  0.01528  0.01626  0.02034  0.02933  0.04481  0.06754  0.09688  0.13024  0.16322  0.19075  0.20920  0.21838  0.22211  0.22659  0.23766  0.25859  0.28948  0.32791  0.36929  0.40667  0.43130  0.43538  0.41650  0.38078  0.34180  0.31560  0.31535  0.34910  0.42165  0.53780  0.70447  0.93040  1.22497  1.59820  2.06341  2.64124  3.36175  4.26084  5.37073  6.71062  8.28866 10.12140 12.26010 14.79250 17.78740 21.18770 24.70910 27.83060 29.91840 30.44020 29.16240 26.23150
 -165.000 -165.000 26.32560 20.63270 15.17220 10.46940  6.79357  4.17083  2.45177  1.40454  0.79873  0.45561  0.26011  0.14794  0.08544  0.05391  0.04127  0.03891  0.04068  0.04265  0.04290  0.04142  0.03994  0.04151  0.05004  0.06940  0.10256  0.15041  0.21075  0.27771  0.34238  0.39532  0.43046  0.44847  0.45714  0.46788  0.49013  0.52746  0.57733  0.63345  0.68780  0.73084  0.75179  0.74186  0.70016  0.63815  0.57795  0.54475  0.55826  0.62910  0.76111  0.95630  1.21845  1.55407  1.97253  2.48772  3.12265  3.91487  4.91784  6.19199  7.78503  9.71167 11.95180 14.47930 17.30780 20.50570 24.13480 28.11620 32.10290 35.47030 37.48010 37.54850 35.47830 31.53130
 -160.000 -160.000 29.71200 23.07700 16.89440 11.68080  7.66207  4.81187  2.93562  1.77039  1.06913  0.64736  0.39014  0.23425  0.14538  0.10191  0.08743  0.08873  0.09560  0.10111  0.10186  0.09817  0.09390  0.09578  0.11196  0.15008  0.21513  0.30740  0.42106  0.54398  0.65980  0.75269  0.81392  0.84669  0.86558  0.88943  0.93152  0.99350  1.06643  1.13694  1.19247  1.22233  1.21692  1.17008  1.08568  0.98323  0.89572  0.85916  0.90057  1.03221  1.25397  1.56010  1.94538  2.40960  2.96163  3.62446  4.44095  5.47777  6.82185  8.56264 10.75990 13.41170 16.45040 19.78390 23.36520 27.22490 31.40600 35.80390 40.01380 43.32630 44.93040 44.23580 41.12970 36.02720
 -155.000 -155.000 32.04400 24.59460 17.88510 12.37700  8.21244  5.28752  3.35547  2.12892  1.35756  0.86508  0.54709  0.34770  0.23458  0.18367  0.17362  0.18535  0.20310  0.21555  0.21709  0.20879  0.19855  0.19964  0.22770  0.29651  0.41367  0.57723  0.77420  0.98190  1.17291  1.32342  1.42290  1.47994  1.51909  1.56819  1.64291  1.73860  1.83459  1.90664  1.93749  1.91894  1.84844  1.72831  1.57156  1.40831  1.28379  1.24568  1.32848  1.54488  1.88728  2.33584  2.86879  3.47367  4.15938  4.96662  5.97292  7.28951  9.04646 11.36190 14.29710 17.81510 21.77880 26.00850 30.37660 34.85930 39.46830 44.06890 48.20800 51.11770 51.95790 50.18310 45.81320 39.44850
 -150.000 -150.000 33.27800 25.15730 18.11480 12.51770  8.39224  5.53818  3.65160  2.42700  1.62247  1.08125  0.71764  0.48742  0.36204  0.31544  0.32108  0.35336  0.38978  0.41331  0.41544  0.39874  0.37762  0.37587  0.42076  0.53512  0.72949  0.99696  1.31256  1.63799  1.93142  2.16068  2.31579  2.41418  2.49263  2.58719  2.71162  2.84855  2.95967  3.00730  2.97168  2.85332  2.66458  2.42306  2.15485  1.90201  1.72202  1.67422  1.80100  2.11516  2.59901  3.21304  3.91166  4.66518  5.48435  6.43804  7.65490  9.30584 11.57040 14.58860 18.40510 22.92490 27.91910 33.10280 38.25460 43.28390 48.16110 52.71890 56.46920 58.61960 58.35050 55.21380 49.40150 41.71620
 -145.000 -145.000 33.51010 24.86760 17.66110 12.13890  8.19503  5.52506  3.76836  2.60723  1.81591  1.26342  0.88616  0.65254  0.53779  0.51398  0.54986  0.61364  0.67589  0.71339  0.71449  0.68428  0.64650  0.63958  0.70681  0.88279  1.18081  1.58576  2.05573  2.53251  2.95824  3.29402  3.53387  3.70644  3.85962  4.03224  4.22794  4.40881  4.51470  4.49578  4.33611  4.05397  3.68506  3.26754  2.84201  2.46124  2.19327  2.10888  2.25975  2.66071  3.28431  4.06908  4.94180  5.85333  6.81925  7.94611  9.42650 11.50080 14.39750 18.26530 23.10840 28.74740 34.84130 40.98820 46.86720 52.31700 57.26220 61.50520 64.54280 65.59860 63.92670 59.22250 51.87450 42.88350
 -140.000 -140.000 32.91270 23.90870 16.67790 11.34170  7.66465  5.24555  3.67490  2.62895  1.90123  1.38663  1.04127  0.84322  0.76936  0.78942  0.86848  0.97032  1.06028  1.11009  1.10591  1.05672  0.99780  0.98527  1.08125  1.33356  1.75747  2.32708  2.98078  3.63945  4.23129  4.71477  5.09104  5.39869  5.68911  5.99145  6.28630  6.50696  6.57123  6.42484  6.06795  5.54867  4.93393  4.28446  3.65262  3.09721  2.69340  2.52305  2.64991  3.09529  3.82635  4.76285  5.80619  6.89043  8.04004  9.40482 11.24610 13.87380 17.55600 22.43030 28.43330 35.27480 42.48370 49.53550 56.01360 61.69160 66.45410 70.08490 72.09320 71.76490 68.47900 62.11150 53.25000 43.06490
 -135.000 -135.000 31.69100 22.50240 15.36270 10.27420  6.89309  4.74343  3.38229  2.48647  1.86807  1.44241  1.17838  1.05749  1.05431  1.13500  1.26225  1.39855  1.50792  1.56073  1.54379  1.47164  1.39189  1.37840  1.51146  1.85090  2.41266  3.15975  4.01295  4.87754  5.67523  6.36841  6.96659  7.51075  8.03934  8.55084  8.98457  9.23664  9.20725  8.85268  8.20820  7.36755  6.43662  5.49792  4.60917  3.82755  3.23004  2.90837  2.94121  3.36215  4.14061  5.18632  6.38444  7.66024  9.05226 10.75410 13.09120 16.43160 21.06580 27.09520 34.36100 42.43670 50.70640 58.52440 65.39100 71.03300 75.31380 78.02180 78.71370 76.78470 71.78410 63.78770 53.56430 42.40190
