VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 18.15710 15.02890 11.76170  8.69252  6.07043  4.01434  2.52056  1.50545  0.85504  0.46041  0.23389  0.11174  0.05073  0.02333  0.01317  0.01114  0.01243  0.01449  0.01599  0.01631  0.01535  0.01339  0.01093  0.00865  0.00749  0.00899  0.01595  0.03315  0.06773  0.12858  0.22418  0.35936  0.53218  0.73214  0.93998  1.12891  1.26780  1.32814  1.29449  1.17431  1.00025  0.82184  0.69035  0.64507  0.70666  0.87754  1.14591  1.49031  1.88361  2.29649  2.70052  3.07160  3.39503  3.67236  3.92696  4.20255  4.55247  5.02512  5.65710  6.48137  7.54463  8.91520 10.66380 12.81600 15.29830 17.91060 20.34960 22.27760 23.40540 23.55020 22.65720 20.79670
 -175.000 -175.000 26.05740 21.80170 17.26830 12.93170  9.15926  6.14476  3.91116  2.36336  1.35397  0.73296  0.37338  0.17898  0.08252  0.04044  0.02658  0.02627  0.03146  0.03761  0.04203  0.04335  0.04128  0.03644  0.03003  0.02364  0.01925  0.01970  0.02955  0.05621  0.11047  0.20566  0.35466  0.56531  0.83581  1.15148  1.48350  1.78987  2.02047  2.12886  2.09000  1.91574  1.65762  1.39273  1.20028  1.14133  1.24949  1.53110  1.96930  2.52857  3.16055  3.81222  4.43551  4.99563  5.47693  5.88657  6.25611  6.63879  7.10117  7.71198  8.53644  9.64141 11.10600 13.02040 15.45840 18.42300 21.79210 25.29620 28.55270 31.14650 32.71780 33.02210 31.95520 29.56400
 -170.000 -170.000 34.66210 29.27810 23.44280 17.76750 12.74510  8.65851  5.57388  3.39834  1.95826  1.06289  0.54183  0.26063  0.12300  0.06587  0.05125  0.05756  0.07245  0.08821  0.09974  0.10407  0.10039  0.08985  0.07499  0.05931  0.04699  0.04331  0.05563  0.09476  0.17578  0.31711  0.53699  0.84805  1.25120  1.73027  2.24748  2.74177  3.13471  3.34948  3.34042  3.11917  2.75953  2.37584  2.08722  1.98792  2.13432  2.54471  3.20253  4.05939  5.04138  6.06237  7.04192  7.92115  8.67171  9.29805  9.83649 10.35220 10.93250 11.67630 12.68540 14.06170 15.90990 18.33080 21.39110 25.07000 29.20600 33.47880 37.44820 40.63850 42.62640 43.10080 41.89370 39.01010
 -165.000 -165.000 42.86620 36.50710 29.51320 22.60780 16.39740 11.25730  7.31118  4.48525  2.59245  1.40732  0.71677  0.34654  0.16951  0.10211  0.09404  0.11640  0.15159  0.18729  0.21424  0.22639  0.22151  0.20125  0.17047  0.13631  0.10741  0.09372  0.10721  0.16324  0.28151  0.48529  0.79809  1.23837  1.81274  2.50763  3.27904  4.04467  4.68902  5.09134  5.17203  4.93442  4.47424  3.94890  3.52686  3.34654  3.49921  4.02780  4.92730  6.14275  7.57346  9.09106 10.56840 11.90690 13.05210 13.99680 14.77840 15.47470 16.19740 17.07910 18.25680 19.85930 22.00180 24.77950 28.24440 32.35970 36.94940 41.67820 46.08530 49.66190 51.93550 52.53020 51.20860 47.92170
 -160.000 -160.000 49.45580 42.41510 34.57720 26.73160 19.56840 13.54600  8.85302  5.45025  3.15169  1.70755  0.86824  0.42362  0.21880  0.15225  0.16333  0.21659  0.28873  0.36116  0.41808  0.44786  0.44495  0.41086  0.35380  0.28728  0.22824  0.19537  0.20859  0.28963  0.46294  0.75535  1.19396  1.80271  2.59642  3.56917  4.67546  5.81198  6.81882  7.51732  7.77784  7.58258  7.04273  6.35912  5.75546  5.42489  5.50843  6.09147  7.19784  8.77796 10.70700 12.80720 14.89130 16.80590 18.45850 19.82330 20.93540 21.88360 22.80000 23.84340 25.17400 26.92970 29.21600 32.10600 35.63340 39.76090 44.33320 49.04680 53.46560 57.08410 59.40360 59.99650 58.56170 54.99350
 -155.000 -155.000 53.45900 46.11890 37.86660 29.50170 21.75620 15.15190  9.94079  6.12670  3.53710  1.90998  0.97031  0.48163  0.26934  0.22024  0.26750  0.37129  0.50279  0.63565  0.74475  0.80932  0.81716  0.76769  0.67309  0.55689  0.45021  0.38701  0.40050  0.52181  0.78028  1.20394  1.82016  2.65640  3.73726  5.06991  6.61370  8.24635  9.75723 10.89440 11.45750 11.38770 10.79800  9.92767  9.06023  8.45664  8.32719  8.82274 10.01800 11.88480 14.28050 16.97460 19.70870 22.26330 24.49960 26.36890 27.90170 29.19100 30.37720 31.62640 33.09910 34.92020 37.16650 39.87780 43.07050 46.72500 50.74150 54.89290 58.81430 62.04330 64.08750 64.49400 62.91740 59.20070
 -150.000 -150.000 54.45640 47.21330 39.00390 30.58320 22.68290 15.86260 10.42670  6.42240  3.69772  1.99042  1.01399  0.51940  0.32391  0.31111  0.41341  0.58948  0.80593  1.02789  1.21839  1.34334  1.37898  1.31901  1.17927  0.99742  0.82645  0.72447  0.74542  0.93396  1.32454  1.94348  2.81425  3.96534  5.43280  7.24294  9.36696 11.66570 13.86910 15.63110 16.65140 16.80050 16.17180 15.03710 13.74950 12.65990 12.07620 12.24340 13.31110 15.28930 18.02600 21.23740 24.58890 27.78720 30.64240 33.08060 35.12260 36.85440 38.40270 39.91320 41.51990 43.31490 45.33650 47.59030 50.08260 52.82600 55.79850 58.87900 61.80930 64.20860 65.63100 65.63690 63.86650 60.12290
 -145.000 -145.000 52.73960 45.92530 38.14980 30.08010 22.41300 15.72040 10.34370  6.36589  3.65849  1.96920  1.01469  0.54822  0.39100  0.43151  0.60611  0.87448  1.20005  1.53988  1.84385  2.06090  2.15026  2.09495  1.91304  1.66008  1.41918  1.28247  1.33288  1.63306  2.22285  3.12425  4.35401  5.94168  7.93943 10.40070 13.31480 16.52320 19.67880 22.30720 23.96430 24.40800 23.68700 22.10570 20.11220 18.18880 16.78430 16.27190 16.89890 18.72600 21.59770 25.17940 29.05930 32.86840 36.36200 39.43540 42.08920 44.38190 46.39740 48.22880 49.95930 51.63890 53.27420 54.85150 56.38050 57.91230 59.50490 61.14870 62.70730 63.91220 64.40660 63.80980 61.78280 58.10220
 -140.000 -140.000 49.26750 43.08560 35.98900 28.53270 21.35740 15.02850  9.90791  6.10598  3.51720  1.90742  1.00894  0.58970  0.48390  0.58993  0.85001  1.22553  1.67782  2.15740  2.60194  2.94218  3.11664  3.09337  2.89079  2.58481  2.29510  2.15581  2.28533  2.76743  3.64741  4.94230  6.66418  8.85081 11.58220 14.95020 18.96540 23.43470 27.89710 31.69350 34.17130 34.92330 33.93120 31.55070 28.37950 25.10050 22.36580 20.71690 20.51460 21.87230 24.63040 28.40510 32.71180 37.10770 41.29000 45.11170 48.53080 51.54620 54.16150 56.38430 58.23070 59.71620 60.84200 61.60680 62.04310 62.23980 62.31610 62.35360 62.33220 62.11310 61.46600 60.11240 57.76740 54.19160
 -135.000 -135.000 45.44840 39.93420 33.56410 26.77900 20.16010 14.25890  9.44860  5.85963  3.40843  1.88352  1.04019  0.66751  0.61620  0.79468  1.14890  1.63976  2.22591  2.85336  3.45116  3.93510  4.22446  4.27212  4.09627  3.79375  3.52273  3.46164  3.76556  4.53909  5.83272  7.66184 10.04450 13.04570 16.79490 21.43710 26.99680 33.20990 39.43370 44.73800 48.17710 49.12370 47.48750 43.72730 38.68230 33.33960 28.63460 25.31720 23.86460 24.42780 26.82910 30.63510 35.29680 40.30720 45.30390 50.07880 54.51200 58.49530 61.90450 64.62820 66.60860 67.84900 68.38950 68.28630 67.61970 66.51000 65.10780 63.55010 61.91270 60.19080 58.30600 56.11270 53.40030 49.91710
