VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 12.21030  8.78617  6.07525  4.11923  2.81357  1.97721  1.42701  1.02979  0.71681  0.46715  0.27973  0.15256  0.07583  0.03491  0.01573  0.00825  0.00715  0.01109  0.02178  0.04296  0.07925  0.13434  0.20919  0.30095  0.40328  0.50714  0.60111  0.67123  0.70257  0.68397  0.61440  0.50626  0.38223  0.26688  0.17807  0.12278  0.09796  0.09440  0.10089  0.10755  0.10806  0.10085  0.08934  0.08118  0.08738  0.12158  0.19924  0.33510  0.53800  0.80422  1.11402  1.43741  1.75172  2.06489  2.43209  2.95371  3.75251  4.93940  6.58329  8.69776 11.24600 14.15240 17.30210 20.51810 23.53050 25.97280 27.43740 27.58980 26.29270 23.67620 20.11460 16.12090
 -175.000 -175.000 18.10080 12.82600  8.68450  5.71971  3.76205  2.53480  1.76118  1.23609  0.84597  0.54679  0.32711  0.17993  0.09190  0.04528  0.02354  0.01517  0.01446  0.02080  0.03756  0.07095  0.12816  0.21441  0.32986  0.46813  0.61728  0.76234  0.88706  0.97413  1.00638  0.97179  0.87082  0.72075  0.55211  0.39824  0.28397  0.21952  0.20064  0.21304  0.23791  0.25753  0.26002  0.24273  0.21293  0.18603  0.18241  0.22447  0.33413  0.52935  0.81854  1.19426  1.63136  2.09602  2.56817  3.07016  3.68676  4.56257  5.87336  7.78193 10.39690 13.74980 17.79340 22.40810 27.39450 32.44280 37.09780 40.76950 42.83090 42.79430 40.49460 36.18320 30.47650 24.18510
 -170.000 -170.000 25.09810 17.55250 11.67870  7.50527  4.77435  3.09072  2.06490  1.40549  0.94359  0.60491  0.36326  0.20447  0.11103  0.06227  0.03972  0.03094  0.03040  0.03871  0.06152  0.10806  0.18845  0.30940  0.46960  0.65769  0.85450  1.03813  1.18792  1.28524  1.31366  1.26273  1.13529  0.95264  0.75157  0.57313  0.44936  0.39465  0.40395  0.45617  0.52090  0.56735  0.57398  0.53609  0.46812  0.39967  0.36800  0.41030  0.55786  0.83130  1.23555  1.75576  2.35906  3.00834  3.68976  4.44673  5.40365  6.76350  8.77362 11.66990 15.61890 20.67720 26.77420 33.70770 41.13190 48.52680 55.17530 60.20560 62.74380 62.16140 58.31560 51.65450 43.12070 33.89550
 -165.000 -165.000 32.68530 22.61080 14.83990  9.35904  5.79868  3.62946  2.33957  1.54526  1.01785  0.64918  0.39563  0.23413  0.14213  0.09578  0.07473  0.06592  0.06444  0.07261  0.09873  0.15528  0.25535  0.40688  0.60665  0.83788  1.07402  1.28684  1.45303  1.55560  1.58222  1.52628  1.39289  1.20491  1.00191  0.83021  0.72888  0.71790  0.79222  0.92197  1.05958  1.15357  1.16637  1.08960  0.94940  0.79932  0.70493  0.72763  0.91291  1.28373  1.83761  2.54719  3.36802  4.25838  5.21258  6.30030  7.69551  9.67590 12.58360 16.75420 22.43350 29.70740 38.45730 48.33970 58.77440 68.93330 77.75590 84.04630 86.69610 84.99840 78.92630 69.22340 57.23900 44.57290
 -160.000 -160.000 40.17530 27.54320 17.89750 11.14380  6.78169  4.14283  2.59659  1.67214  1.08470  0.69348  0.43693  0.28188  0.19949  0.16163  0.14541  0.13706  0.13253  0.13623  0.15937  0.21757  0.32658  0.49537  0.71914  0.97690  1.23693  1.46742  1.64551  1.75879  1.80123  1.77076  1.67301  1.52827  1.37407  1.25879  1.22813  1.30941  1.49872  1.75521  2.00727  2.17302  2.19038  2.04461  1.77921  1.48433  1.26925  1.23242  1.44036  1.91887  2.65407  3.60078  4.69864  5.89901  7.20418  8.71299 10.65690 13.40370 17.41370 23.14810 30.95110 40.93570 52.89950 66.28440 80.17430 93.32860 104.26800 111.45500 113.60400 110.03900 100.98200 87.58820 71.67880 55.28460
 -155.000 -155.000 46.86470 31.88690 20.57840 12.71990  7.66599  4.61731  2.84157  1.79766  1.15619  0.74939  0.49929  0.36179  0.29987  0.27927  0.27323  0.26663  0.25640  0.24946  0.26015  0.30719  0.40868  0.57473  0.80025  1.06324  1.33136  1.57423  1.77326  1.92262  2.02262  2.07378  2.07843  2.04895  2.01520  2.02366  2.12560  2.35694  2.71605  3.14909  3.55388  3.80818  3.81629  3.55391  3.08780  2.55897  2.13797  1.97512  2.16608  2.74060  3.67049  4.88911  6.31784  7.90015  9.64619 11.68520 14.31080 17.99140 23.32070 30.90170 41.18300 54.29000 69.89330 87.14660 104.70500 120.82800 133.56600 141.05800 141.92400 135.66200 122.89300 105.29300 85.20280 65.05760
 -150.000 -150.000 52.17230 35.26090 22.65320 13.96180  8.39024  5.02655  3.06492  1.91940  1.23314  0.82018  0.58879  0.48327  0.45632  0.46517  0.47735  0.47553  0.45763  0.43358  0.42145  0.44338  0.52003  0.66329  0.87009  1.12188  1.39212  1.65818  1.90993  2.14883  2.37916  2.59956  2.80329  2.98814  3.16948  3.38604  3.69121  4.12865  4.69970  5.33733  5.90567  6.23613  6.19314  5.74074  4.97463  4.09959  3.36356  2.98214  3.08709  3.71316  4.81651  6.30875  8.09513 10.11490 12.38940 15.08100 18.54780 23.36140 30.25020 39.95250 53.00340 69.50650 88.95580 110.15700 131.27800 150.03500 164.00800 171.06000 169.82500 160.11200 143.07300 120.98600 96.72350 73.06960
 -145.000 -145.000 55.70830 37.41120 23.96160 14.77090  8.89455  5.33422  3.24417  2.02305  1.30636  0.90007  0.70220  0.64525  0.66984  0.72248  0.76319  0.77144  0.74605  0.70067  0.65819  0.64524  0.68602  0.79559  0.97564  1.21618  1.50343  1.82944  2.19673  2.61407  3.08572  3.60198  4.13923  4.67185  5.19077  5.71679  6.29687  6.97770  7.76356  8.57808  9.25677  9.58870  9.40078  8.64795  7.45984  6.11334  4.94305  4.23648  4.16368  4.76365  5.97669  7.69629  9.81942 12.29140 15.15500 18.61370 23.09390 29.26640 37.97730 50.06670 66.10490 86.11280 109.34900 134.23200 158.43600 179.16200 193.58300 199.38500 195.32700 181.63900 160.07500 133.54600 105.41700 78.74270
 -140.000 -140.000 57.28420 38.22030 24.42080 15.08340  9.12916  5.50300  3.35283  2.09026  1.36219  0.97689  0.82639  0.83231  0.92261  1.03188  1.11136  1.13642  1.10669  1.04040  0.96686  0.91911  0.92671  1.00986  1.17804  1.43479  1.78586  2.24483  2.83120  3.56078  4.43297  5.42144  6.47512  7.53222  8.54396  9.49620 10.41360 11.33560 12.26880 13.13750 13.76670 13.92370 13.41590 12.20120 10.44870  8.50764  6.79584  5.66663  5.32156  5.79890  7.02304  8.87580 11.25840 14.13890 17.59970 21.90150 27.54760 35.30130 46.09500 60.81130 79.97180 103.42400 130.12400 158.08000 184.51600 206.22800 220.12500 223.86500 216.45200 198.59500 172.65400 142.11100 110.73800 81.75370
 -135.000 -135.000 56.91710 37.71370 24.03540 14.88130  9.06445  5.50326  3.36753  2.10420  1.38687  1.03527  0.94046  1.01590  1.17827  1.35072  1.47539  1.52310  1.49437  1.41306  1.31706  1.24848  1.24494  1.33453  1.53792  1.87711  2.38376  3.09926  4.06366  5.29856  6.79161  8.48859 10.29650 12.10000 13.78970 15.29270 16.58770 17.69070 18.60860 19.28280 19.56080 19.23070 18.12010 16.21660 13.73720 11.09410  8.76759  7.15362  6.46587  6.73092  7.85585  9.71819 12.23810 15.42630 19.42850 24.58550 31.49150 40.99530 54.07800 71.58860 93.89680 120.56800 150.17700 180.32000 207.85100 229.33200 241.62300 242.55200 231.48900 209.64100 179.89100 146.15400 112.45200 82.04490
