VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 25.81690 18.49160 12.24620  7.49338  4.23121  2.20070  1.05181  0.46070  0.18440  0.06727  0.02232  0.00676  0.00198  0.00086  0.00111  0.00221  0.00428  0.00750  0.01180  0.01665  0.02107  0.02393  0.02444  0.02256  0.01913  0.01556  0.01334  0.01357  0.01664  0.02218  0.02925  0.03673  0.04374  0.04994  0.05537  0.06005  0.06370  0.06580  0.06608  0.06488  0.06322  0.06260  0.06490  0.07252  0.08824  0.11453  0.15210  0.19866  0.24898  0.29733  0.34214  0.39149  0.46779  0.61057  0.87745  1.34391  2.10110  3.25024  4.89208  7.11389  9.98094 13.53910 17.82170 22.83070 28.45830 34.35490 39.82710 43.89280 45.55330 44.18970 39.86450 33.34300
 -175.000 -175.000 38.09510 27.02200 17.71180 10.72220  5.98939  3.08271  1.45907  0.63356  0.25174  0.09131  0.03019  0.00918  0.00286  0.00167  0.00270  0.00559  0.01085  0.01895  0.02970  0.04177  0.05272  0.05972  0.06086  0.05611  0.04762  0.03898  0.03396  0.03532  0.04408  0.05928  0.07849  0.09867  0.11744  0.13373  0.14758  0.15913  0.16780  0.17243  0.17233  0.16822  0.16248  0.15873  0.16135  0.17560  0.20717  0.26071  0.33705  0.43098  0.53187  0.62871  0.71876  0.81684  0.96188  1.21918  1.67934  2.45552  3.67959  5.49523  8.04664 11.46520 15.86140 21.32570 27.92580 35.65870 44.31850 53.30410 61.49460 67.37060 69.44930 66.87780 59.85990 49.64780
 -170.000 -170.000 52.38000 36.79170 23.86910 14.29760  7.90244  4.02585  1.88744  0.81275  0.32075  0.11578  0.03821  0.01175  0.00404  0.00322  0.00606  0.01277  0.02471  0.04301  0.06720  0.09420  0.11852  0.13391  0.13616  0.12542  0.10667  0.08811  0.07835  0.08372  0.10657  0.14476  0.19252  0.24254  0.28878  0.32832  0.36095  0.38710  0.40578  0.41464  0.41211  0.39967  0.38251  0.36861  0.36756  0.39005  0.44684  0.54576  0.68703  0.85991  1.04483  1.22303  1.39125  1.57583  1.84059  2.28677  3.04784  4.28303  6.17124  8.90342 12.67180 17.65840 24.02860 31.92930 41.46600 52.61140 65.00360 77.68960 88.99510 96.74830 98.92410 94.46370 83.82390 68.90520
 -165.000 -165.000 67.33640 46.82980 30.07410 17.82980  9.75467  4.92120  2.28684  0.97742  0.38363  0.13810  0.04569  0.01436  0.00569  0.00602  0.01237  0.02622  0.05061  0.08779  0.13668  0.19096  0.23950  0.26986  0.27385  0.25218  0.21532  0.18017  0.16450  0.18146  0.23612  0.32410  0.43312  0.54719  0.65246  0.74145  0.81291  0.86764  0.90415  0.91829  0.90708  0.87345  0.82793  0.78690  0.76979  0.79702  0.88738  1.05276  1.29100  1.58188  1.89271  2.19510  2.48770  2.81533  3.27627  4.01753  5.22378  7.10696  9.89832 13.84010 19.17500 26.13630 34.94270 45.78890 58.79640 73.86550 90.40130 107.00300 121.35800 130.60500 132.20900 125.01200 109.86400 89.44540
 -160.000 -160.000 81.25730 55.94730 35.57310 20.88340 11.31700  5.65930  2.61003  1.10936  0.43431  0.15665  0.05236  0.01714  0.00807  0.01063  0.02285  0.04847  0.09324  0.16115  0.24998  0.34808  0.43519  0.48907  0.49555  0.45676  0.39261  0.33468  0.31610  0.36178  0.48168  0.66793  0.89694  1.13688  1.35878  1.54523  1.69141  1.79799  1.86302  1.88009  1.84468  1.76265  1.65408  1.55024  1.48776  1.50310  1.62684  1.87526  2.24069  2.68851  3.16892  3.64381  4.11886  4.66593  5.42673  6.60071  8.42836 11.17900 15.14280 20.62020 27.90730 37.28190 48.99380 63.24400 80.10320 99.31150 119.94700 140.09200 156.79000 166.57600 166.56800 155.69000 135.33800 109.04000
 -155.000 -155.000 92.45060 63.01360 39.68080 23.08220 12.40360  6.15813  2.82551  1.19875  0.47085  0.17173  0.05884  0.02051  0.01149  0.01738  0.03808  0.08063  0.15452  0.26607  0.41126  0.57073  0.71144  0.79776  0.80788  0.74696  0.64932  0.56836  0.56025  0.66792  0.90949  1.27255  1.71618  2.18277  2.61682  2.98132  3.26185  3.45660  3.56279  3.57216  3.47979  3.29791  3.06274  2.83010  2.66412  2.62567  2.76142  3.09147  3.59849  4.22845  4.91210  5.60461  6.32629  7.18489  8.37116 10.13800 12.78100 16.63020 22.04470 29.39660 39.04120 51.28560 66.36310 84.39400 105.28000 128.47000 152.61500 175.26500 192.92600 201.75100 198.80000 183.33100 157.41200 125.38900
 -150.000 -150.000 99.62230 67.21530 41.93780 24.19600 12.91430  6.38260  2.92576  1.24730  0.49668  0.18604  0.06673  0.02528  0.01620  0.02606  0.05722  0.12066  0.23036  0.39521  0.60879  0.84220  1.04722  1.17280  1.18927  1.10725  0.98046  0.89095  0.92527  1.15105  1.59891  2.25194  3.04622  3.88676  4.67613  5.34224  5.84905  6.18558  6.34635  6.32286  6.11387  5.74484  5.27855  4.80832  4.43883  4.26511  4.35408  4.72842  5.35693  6.16275  7.05824  7.99805  9.02630 10.29340 12.03950 14.56520 18.21550 23.38350 30.51100 40.06110 52.45610 68.00730 86.85600 108.91400 133.74800 160.36300 186.89800 210.42300 227.13000 233.14400 225.83700 205.07500 173.66600 136.63400
 -145.000 -145.000 102.12600 68.21060 42.19510 24.18000 12.85080  6.34887  2.92739  1.26751  0.51980  0.20416  0.07838  0.03242  0.02223  0.03566  0.07747  0.16248  0.30901  0.52834  0.81134  1.11957  1.39006  1.55776  1.58742  1.49819  1.36665  1.30743  1.44212  1.86831  2.63414  3.72073  5.03832  6.44420  7.78140  8.92106  9.78504 10.33880 10.56860 10.46790 10.04740  9.35839  8.50562  7.63655  6.91133  6.46904  6.40028  6.72877  7.40672  8.33462  9.41138 10.60000 11.97670 13.73780 16.16790 19.60460 24.43380 31.11250 40.17930 52.20540 67.68310 86.89040 109.78100 135.90500 164.31300 193.41400 220.80100 243.19800 256.79900 258.12000 245.24800 218.88100 182.54800 141.71400
 -140.000 -140.000 100.03200 66.15190 40.61130 23.16260 12.30280  6.11343  2.86334  1.27743  0.54960  0.23070  0.09587  0.04262  0.02926  0.04449  0.09452  0.19692  0.37314  0.63611  0.97458  1.34312  1.66876  1.87833  1.93638  1.87357  1.78966  1.83051  2.15198  2.88344  4.09545  5.77323  7.80427  9.99328 12.10760 13.93560 15.32720 16.19940 16.51690 16.27630 15.51260 14.32200 12.87340 11.38890 10.10040  9.20008  8.80466  8.93767  9.53460 10.47740 11.65990 13.06230 14.79840 17.10910 20.31610 24.78430 30.93200 39.27860 50.46300 65.16800 83.94150 106.97900 133.94600 163.88100 195.16300 225.50700 251.98600 271.19000 279.66900 274.75700 255.58500 223.81600 183.58600 140.49600
 -135.000 -135.000 94.04160 61.60200 37.58390 21.39550 11.41430  5.75131  2.76915  1.29233  0.59197  0.26763  0.11969  0.05575  0.03656  0.05064  0.10404  0.21497  0.40603  0.69088  1.05779  1.45981  1.82290  2.07595  2.19102  2.21254  2.25946  2.50087  3.11907  4.27180  6.05558  8.46951 11.38940 14.57200 17.69950 20.45150 22.56920 23.88520 24.31930 23.86660 22.60010 20.68600 18.38550 16.02110 13.91440 12.31980 11.38150 11.12230 11.46310 12.27350 13.45060 14.99750 17.06630 19.93840 23.96780 29.54230 37.10950 47.24350 60.66850 78.15290 100.26100 127.04500 157.79600 190.94000 224.09700 254.27000 278.11900 292.34300 294.19300 282.14900 256.59600 220.16300 177.40100 133.72600
