VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  9.62179  6.79816  4.51203  2.82498  1.67547  0.94463  0.50758  0.26041  0.12784  0.06038  0.02797  0.01361  0.00827  0.00728  0.00818  0.00954  0.01057  0.01098  0.01099  0.01128  0.01303  0.01817  0.03033  0.05598  0.10485  0.18782  0.31124  0.46914  0.63811  0.78050  0.85769  0.84753  0.75523  0.61049  0.45289  0.31527  0.21435  0.15135  0.11844  0.10568  0.10539  0.11335  0.12818  0.14967  0.17734  0.21021  0.24807  0.29301  0.34926  0.42040  0.50607  0.60195  0.70558  0.82596  0.99090  1.24615  1.64599  2.24182  3.07709  4.19074  5.62230  7.40671  9.55117 11.99640 14.57730 17.00580 18.90100 19.87630 19.66330 18.22200 15.77610 12.74830
 -175.000 -175.000 13.97810  9.88562  6.57697  4.13742  2.47479  1.41511  0.77720  0.41158  0.21089  0.10519  0.05221  0.02786  0.01894  0.01812  0.02103  0.02476  0.02749  0.02853  0.02838  0.02850  0.03083  0.03779  0.05315  0.08363  0.13979  0.23409  0.37438  0.55480  0.74957  0.91645  1.01192  1.01090  0.91908  0.76929  0.60480  0.46093  0.35526  0.28891  0.25394  0.24084  0.24284  0.25720  0.28409  0.32404  0.37521  0.43255  0.48993  0.54382  0.59535  0.64899  0.70969  0.78259  0.87790  1.01946  1.25136  1.63753  2.25348  3.17485  4.46949  6.19584  8.40274 11.12030 14.33230 17.93050 21.66600 25.12730 27.78110 29.09060 28.68750 26.52600 22.93370 18.51950
 -170.000 -170.000 18.90010 13.36250  8.90255  5.62483  3.39610  1.97533  1.11509  0.61428  0.33121  0.17550  0.09340  0.05420  0.04031  0.04093  0.04856  0.05753  0.06398  0.06642  0.06599  0.06571  0.06908  0.07900  0.09841  0.13249  0.19071  0.28570  0.42690  0.61065  0.81312  0.99333  1.10841  1.13355  1.07381  0.95971  0.83032  0.71582  0.62988  0.57265  0.53847  0.52220  0.52219  0.54073  0.58228  0.64976  0.74009  0.84268  0.94312  1.03013  1.10071  1.15991  1.21722  1.28518  1.38401  1.55105  1.84911  2.36807  3.21744  4.51229  6.35834  8.84063 12.01480 15.89260 20.41120 25.38300 30.44290 35.02900 38.43940 39.98740 39.22020 36.11140 31.12170 25.07500
 -165.000 -165.000 23.88390 16.86260 11.24290  7.13639  4.35753  2.58913  1.51212  0.87277  0.49761  0.28007  0.15881  0.09884  0.07875  0.08343  0.10055  0.11967  0.13328  0.13849  0.13769  0.13694  0.14257  0.15817  0.18447  0.22256  0.27812  0.36241  0.48700  0.65363  0.84619  1.03227  1.17658  1.25829  1.28027  1.26340  1.23137  1.19808  1.16572  1.13162  1.09573  1.06372  1.04608  1.05618  1.10729  1.20730  1.35239  1.52485  1.69905  1.85318  1.97835  2.07915  2.16792  2.26140  2.38602  2.59045  2.95832  3.61289  4.70953  6.41626  8.88785 12.24070 16.53240 21.74030 27.72710 34.19100 40.61640 46.26880 50.28010 51.84100 50.45700 46.16470 39.58700 31.77340
 -160.000 -160.000 28.32060 19.95050 13.30930  8.49539  5.26090  3.20901  1.95050  1.18447  0.71375  0.42410  0.25347  0.16671  0.13995  0.15299  0.18656  0.22285  0.24853  0.25855  0.25752  0.25669  0.26720  0.29376  0.33322  0.37943  0.43119  0.49705  0.59203  0.72757  0.90177  1.09849  1.29684  1.48363  1.65751  1.82108  1.96904  2.08439  2.14727  2.14883  2.09875  2.02245  1.95285  1.92335  1.96236  2.08646  2.29224  2.55387  2.83220  3.09238  3.31771  3.51035  3.68238  3.84981  4.03975  4.30905  4.76354  5.56629  6.92789  9.07825 12.22640 16.51930 22.00710 28.61340 36.09840 44.01220 51.66090 58.13110 62.41380 63.63280 61.32150 55.63510 47.38210 37.82540
 -155.000 -155.000 31.63250 22.22050 14.83510  9.53660  6.00838  3.77884  2.39862  1.53182  0.97010  0.60270  0.37529  0.25753  0.22502  0.25195  0.31005  0.37144  0.41479  0.43214  0.43156  0.43202  0.45189  0.49770  0.56076  0.62445  0.67774  0.72554  0.78848  0.89248  1.05643  1.28728  1.58443  1.94516  2.36150  2.80862  3.23714  3.58219  3.78858  3.83614  3.74832  3.58088  3.40197  3.27617  3.25491  3.36805  3.61501  3.96288  4.35938  4.75646  5.12870  5.47344  5.79748  6.10869  6.42717  6.81315  7.39509  8.38066 10.04130 12.67100 16.52940 21.78300 28.45760 36.40040 45.24240 54.36250 62.88030 69.72180 73.79010 74.22240 70.66300 63.44230 53.56360 42.46510
 -150.000 -150.000 33.41630 23.39570 15.63720 10.13840  6.51498  4.23463  2.80605  1.87544  1.23745  0.79567  0.51091  0.36216  0.32638  0.37229  0.46145  0.55416  0.61963  0.64666  0.64795  0.65246  0.68797  0.76366  0.86421  0.96022  1.02872  1.07075  1.11488  1.20588  1.38865  1.69834  2.15863  2.77902  3.54238  4.38783  5.20745  5.87141  6.27486  6.37948  6.22488  5.90672  5.54091  5.23461  5.07046  5.09716  5.32155  5.70875  6.19873  6.73482  7.28474  7.83883  8.39217  8.93493  9.47059 10.05650 10.84280 12.08390 14.11250 17.28070 21.88300 28.08210 35.85130 44.93360 54.81100 64.68750 73.51750 80.11980 83.39040 82.57250 77.50010 68.71920 57.41440 45.13720
 -145.000 -145.000 33.54240 23.39390 15.65510 10.24490  6.72061  4.51172  3.10854  2.15795  1.46986  0.96939  0.63668  0.46244  0.42663  0.49349  0.61502  0.74004  0.82854  0.86646  0.87181  0.88449  0.94272  1.05912  1.21209  1.35928  1.46577  1.52934  1.58800  1.70758  1.96119  2.41402  3.11536  4.08716  5.30099  6.65382  7.96872  9.03772  9.69390  9.87272  9.62806  9.09970  8.45912  7.86464  7.43777  7.25305  7.33294  7.65117  8.15195  8.78013  9.50194 10.29980 11.15060 12.01750 12.87810 13.78080 14.89430 16.51780 19.03860 22.85000 28.25320 35.36990 44.08110 53.99480 64.43330 74.44730 82.88500 88.54830 90.42820 87.96410 81.23610 71.01260 58.61690 45.63410
 -140.000 -140.000 32.17580 22.34020 14.96210  9.87838  6.60651  4.56472  3.24923  2.32366  1.62063  1.08857  0.72650  0.53669  0.50295  0.58705  0.73418  0.88470  0.99180  1.03982  1.05176  1.07733  1.16443  1.32978  1.54792  1.76700  1.94321  2.07281  2.20312  2.41913  2.81921  3.49536  4.51976  5.92511  7.67076  9.61056 11.49630 13.03750 13.99780 14.27720 13.93500 13.14930 12.14610 11.13890 10.29550  9.72648  9.48295  9.56326  9.93253 10.55080 11.39000 12.42510 13.61080 14.87810 16.17470 17.53660 19.14720 21.34150 24.54420 29.16110 35.45950 43.47200 52.94120 63.30950 73.74200 83.18460 90.47290 94.50960 94.49260 90.13080 81.76900 70.36450 57.30820 44.13080
 -135.000 -135.000 29.70890 20.52150 13.74250  9.13845  6.21087  4.39292  3.20739  2.34548  1.66434  1.13246  0.76353  0.56882  0.53616  0.62740  0.78533  0.94699  1.06313  1.11825  1.13908  1.18186  1.30153  1.51970  1.81186  2.12403  2.41027  2.66829  2.95245  3.36005  4.00515  4.99667  6.42175  8.31970 10.63870 13.19560 15.68020 17.72630 19.02790 19.43880 19.00580 17.92750 16.47460 14.91660 13.47750 12.31940 11.54040 11.18140 11.24450 11.71560 12.57700 13.79680 15.30800 17.01310 18.83590 20.80360 23.10960 26.10840 30.23240 35.85860 43.17140 52.06240 62.09280 72.51830 82.36590 90.54560 95.99260 97.83840 95.58940 89.26820 79.46310 67.25070 54.00010 41.10390
