VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 16.33510 13.60140 10.56390  7.65761  5.18979  3.29915  1.97806  1.12826  0.61966  0.33241  0.17680  0.09526  0.05500  0.03905  0.03960  0.05416  0.08328  0.12863  0.19135  0.27222  0.37396  0.50404  0.67335  0.88731  1.13229  1.36770  1.53394  1.57704  1.47647  1.25807  0.98345  0.72336  0.53186  0.43375  0.42631  0.48876  0.59278  0.71212  0.83094  0.94937  1.08257  1.25191  1.47179  1.74017  2.03957  2.34820  2.65329  2.95776  3.27708  3.63145  4.03940  4.51322  5.05193  5.63103  6.19778  6.68302  7.02947  7.22096  7.29290  7.31873  7.38595  7.58192  7.99671  8.72931  9.87422 11.47640 13.46900 15.62810 17.58250 18.89510 19.19520 18.31030
 -175.000 -175.000 22.62510 18.83900 14.67190 10.69700  7.31780  4.71673  2.88398  1.68961  0.96061  0.53705  0.29901  0.16926  0.10322  0.07686  0.07810  0.10218  0.14892  0.21977  0.31479  0.43182  0.56949  0.73223  0.93081  1.17306  1.44704  1.70957  1.89376  1.93756  1.81739  1.56483  1.25496  0.97511  0.79352  0.74306  0.82100  0.99785  1.22879  1.46657  1.67590  1.84548  1.99111  2.14666  2.34770  2.61748  2.96272  3.37811  3.85339  4.37806  4.94432  5.55144  6.21007  6.93866  7.74601  8.60668  9.44864 10.17160 10.69250 10.99160 11.12760 11.21330 11.37510 11.72710 12.37570 13.43340 15.00830 17.14840 19.75870 22.54080 25.00570 26.58190 26.79220 25.42600
 -170.000 -170.000 29.20920 24.31440 18.98580 13.92300  9.61655  6.28780  3.92315  2.36149  1.38858  0.80670  0.46798  0.27716  0.17838  0.13976  0.14330  0.18021  0.24822  0.34790  0.47771  0.63152  0.80177  0.98694  1.19522  1.43640  1.70340  1.95744  2.13361  2.17014  2.04493  1.79453  1.50298  1.26884  1.17130  1.25056  1.50394  1.89105  2.34395  2.78382  3.14439  3.39483  3.55053  3.66518  3.80987  4.05119  4.43637  4.98545  5.68809  6.50697  7.39322  8.31227  9.26519 10.28580 11.40690 12.61270 13.81490 14.87710 15.68050 16.19130 16.48290 16.70220 17.01060 17.54550 18.42470 19.76880 21.69450 24.25070 27.31840 30.53520 33.30990 34.95580 34.90720 32.92740
 -165.000 -165.000 35.31660 29.38110 23.00060 16.96670 11.83340  7.84944  4.99596  3.08564  1.87072  1.12366  0.67535  0.41701  0.28340  0.23443  0.24426  0.29753  0.38798  0.51443  0.67398  0.85699  1.04950  1.24253  1.43938  1.65049  1.87540  2.08608  2.22949  2.25441  2.14658  1.94787  1.74654  1.64619  1.73248  2.05132  2.59932  3.32208  4.12065  4.87217  5.46554  5.84020  6.00903  6.05386  6.09877  6.27537  6.69027  7.39776  8.38232  9.56318 10.83050 12.10270 13.37150 14.69880 16.15900 17.76170 19.40870 20.92320 22.13850 22.98940 23.54670 23.97780 24.47070 25.18130 26.23380 27.74870 29.84180 32.55870 35.76450 39.05800 41.78660 43.19480 42.66730 39.96160
 -160.000 -160.000 40.17980 33.39520 26.20700 19.44590 13.69330  9.20898  5.96946  3.77082  2.34491  1.44678  0.89564  0.57517  0.41342  0.36210  0.38556  0.45925  0.57062  0.71613  0.89275  1.08991  1.28971  1.47674  1.64840  1.81365  1.97794  2.12689  2.22649  2.24500  2.18294  2.08974  2.05556  2.18480  2.56617  3.24947  4.22884  5.43150  6.71866  7.91017  8.83503  9.39068  9.58310  9.52913  9.42351  9.48622  9.90373 10.77390 12.07100 13.65470 15.33620 16.97610 18.55820 20.18480 21.99050 24.02580 26.19090 28.26600 30.02140 31.33740 32.25780 32.95240 33.62790 34.45790 35.57150 37.08050 39.08510 41.61660 44.53120 47.42390 49.64040 50.42720 49.17790 45.67110
 -155.000 -155.000 43.22030 35.86790 28.20960 21.05030 14.95630 10.18180  6.70118  4.30763  2.72898  1.71695  1.08875  0.72620  0.55325  0.51375  0.56121  0.65991  0.78948  0.94382  1.12178  1.31585  1.50893  1.68270  1.82942  1.95461  2.06647  2.16289  2.23081  2.26284  2.27978  2.34250  2.54482  2.99235  3.77700  4.95196  6.50644  8.34338 10.27400 12.04670 13.41450 14.21780 14.44760 14.25860 13.93180 13.79840 14.14630 15.12890 16.70930 18.67810 20.75630 22.74080 24.60910 26.51240 28.65680 31.14610 33.88630 36.61180 39.01420 40.89270 42.23600 43.19700 43.99820 44.83890 45.86050 47.16060 48.80480 50.79080 52.96600 54.95510 56.16980 55.94120 53.74200 49.40470
 -150.000 -150.000 44.19690 36.58780 28.82160 21.61380 15.47400 10.63570  7.07544  4.59841  2.94458  1.87471  1.21157  0.83894  0.67861  0.66780  0.74977  0.87789  1.02394  1.17983  1.34824  1.52844  1.70906  1.87353  2.01151  2.12420  2.21903  2.30164  2.37684  2.46105  2.59751  2.86283  3.36040  4.20380  5.49411  7.29073  9.57543 12.21830 14.96640 17.47890 19.41200 20.52970 20.79480 20.39950 19.72440 19.23610 19.34880 20.28910 22.01740 24.25720 26.63980 28.89850 31.00410 33.15550 35.63100 38.59110 41.95170 45.39910 48.53140 51.03940 52.82660 54.01210 54.83640 55.54310 56.30360 57.20350 58.25630 59.40150 60.46770 61.13280 60.93260 59.36040 56.03790 50.88480
 -145.000 -145.000 43.27210 35.68070 28.11930 21.16400 15.23550 10.53450  7.04444  4.59423  2.94817  1.88430  1.23490  0.88727  0.76238  0.79310  0.91556  1.07527  1.23845  1.39634  1.55640  1.72621  1.90295  2.07555  2.23446  2.37800  2.51116  2.64291  2.78994  2.98738  3.29902  3.82057  4.67429  5.99520  7.90678 10.48210 13.69260 17.36160 21.14850 24.59330 27.22420 28.70160 28.94300 28.17820 26.90650 25.76110 25.31650 25.90120 27.49410 29.76730 32.27340 34.68660 36.96570 39.34450 42.15970 45.62090 49.65310 53.89280 57.83210 61.02840 63.27160 64.62940 65.36560 65.79120 66.13440 66.48070 66.78330 66.90280 66.63440 65.71660 63.84570 60.73230 56.19890 50.28120
 -140.000 -140.000 40.98170 33.59380 26.44100 19.93460 14.38930  9.96600  6.65721  4.32169  2.75365  1.75132  1.15683  0.86069  0.78404  0.85862  1.01866  1.20748  1.39010  1.55905  1.72611  1.90580  2.10324  2.31429  2.53342  2.75975  2.99772  3.25796  3.56366  3.96146  4.53098  5.38949  6.69002  8.60846 11.31050 14.89370 19.31380 24.32210 29.45010 34.06930 37.53160 39.35590 39.39850 37.93690 35.62390 33.30890 31.77790 31.50450 32.51900 34.46690 36.83800 39.25060 41.63900 44.24700 47.44340 51.46980 56.25450 61.38250 66.23110 70.20400 72.95070 74.46940 75.04710 75.08270 74.88860 74.57220 74.03420 73.05090 71.37440 68.80020 65.19410 60.50330 54.77390 48.17070
 -135.000 -135.000 38.11440 31.00420 24.32620 18.33010 13.22540  9.13407  6.05686  3.88176  2.43158  1.52260  1.00434  0.76892  0.73817  0.84609  1.03090  1.24054  1.44430  1.63822  1.83723  2.05941  2.31457  2.60443  2.92967  3.29496  3.70934  4.18750  4.75699  5.47036  6.41867  7.74374  9.64368 12.35830 16.11810 21.05420 27.09200 33.87000 40.72900 46.80070 51.19510 53.24740 52.74450 50.04260 46.00920 41.78520 38.43940 36.64570 36.52360 37.71530 39.65820 41.91020 44.36090 47.23240 50.89330 55.59420 61.25710 67.41350 73.32120 78.21500 81.58150 83.32790 83.75620 83.36020 82.55810 81.50660 80.07860 77.98340 74.93630 70.78480 65.54970 59.39840 52.58560 45.39720
