VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  6.46232  4.35294  2.73257  1.60014  0.87587  0.44938  0.21672  0.09845  0.04215  0.01699  0.00643  0.00227  0.00075  0.00023  0.00007  0.00003  0.00005  0.00011  0.00026  0.00056  0.00109  0.00190  0.00300  0.00433  0.00579  0.00738  0.00936  0.01237  0.01744  0.02562  0.03745  0.05223  0.06784  0.08120  0.08937  0.09078  0.08575  0.07607  0.06405  0.05168  0.04030  0.03075  0.02355  0.01905  0.01747  0.01900  0.02394  0.03270  0.04571  0.06326  0.08583  0.11586  0.16114  0.24002  0.38696  0.65636  1.12142  1.86543  2.96441  4.46412  6.35707  8.56590 10.93820 13.25590 15.26090 16.69450 17.34390 17.08700 15.92560 13.99820 11.56260  8.94468
 -175.000 -175.000 10.12140  6.83730  4.31915  2.55488  1.41837  0.74100  0.36518  0.17000  0.07473  0.03094  0.01202  0.00436  0.00147  0.00046  0.00014  0.00007  0.00013  0.00032  0.00075  0.00162  0.00313  0.00547  0.00867  0.01255  0.01680  0.02126  0.02636  0.03343  0.04473  0.06265  0.08844  0.12084  0.15547  0.18587  0.20581  0.21172  0.20380  0.18519  0.16027  0.13306  0.10666  0.08348  0.06535  0.05359  0.04891  0.05169  0.06231  0.08143  0.10975  0.14764  0.19559  0.25686  0.34303  0.48186  0.72529  1.15447  1.87819  3.02165  4.70400  7.00651  9.93626 13.39340 17.15220 20.86590 24.10570 26.43050 27.47620 27.04050 25.14150 22.02940 18.14220 14.00790
 -170.000 -170.000 14.84900 10.06850  6.40542  3.82936  2.15618  1.14625  0.57642  0.27436  0.12344  0.05233  0.02079  0.00770  0.00265  0.00085  0.00028  0.00017  0.00032  0.00081  0.00193  0.00416  0.00807  0.01416  0.02255  0.03280  0.04404  0.05560  0.06796  0.08361  0.10695  0.14293  0.19440  0.25935  0.32979  0.39360  0.43877  0.45780  0.44976  0.41905  0.37266  0.31782  0.26125  0.20911  0.16676  0.13810  0.12515  0.12848  0.14827  0.18512  0.23996  0.31334  0.40595  0.52246  0.67990  0.91914  1.31586  1.98672  3.08681  4.79508  7.28517 10.68160 15.00570 20.12120 25.69800 31.21420 36.01430 39.42140 40.88230 40.10620 37.15200 32.43350 26.63170 20.53350
 -165.000 -165.000 20.46000 13.93170  8.92760  5.39249  3.07658  1.66141  0.85040  0.41256  0.18932  0.08186  0.03319  0.01255  0.00441  0.00146  0.00051  0.00036  0.00073  0.00186  0.00443  0.00958  0.01867  0.03292  0.05274  0.07720  0.10425  0.13189  0.16021  0.19311  0.23844  0.30552  0.40029  0.52034  0.65282  0.77728  0.87262  0.92420  0.92721  0.88544  0.80783  0.70597  0.59322  0.48396  0.39168  0.32634  0.29285  0.29195  0.32266  0.38460  0.47854  0.60558  0.76755  0.97224  1.24500  1.64439  2.27623  3.30059  4.92733  7.39702 10.94320 15.73390 21.79540 28.93390 36.68120 44.29800 50.85800 55.41280 57.20350 55.85890 51.51320 44.79500 36.67990 28.25300
 -160.000 -160.000 26.53810 18.14420 11.70480  7.13464  4.11655  2.25215  1.16952  0.57623  0.26879  0.11827  0.04889  0.01894  0.00688  0.00239  0.00091  0.00072  0.00150  0.00382  0.00914  0.01981  0.03880  0.06883  0.11106  0.16389  0.22312  0.28404  0.34514  0.41152  0.49568  0.61356  0.77663  0.98352  1.21611  1.44346  1.63160  1.75367  1.79519  1.75376  1.63687  1.46080  1.25030  1.03584  0.84745  0.70753  0.62699  0.60663  0.64246  0.73106  0.87212  1.06812  1.32458  1.65634  2.10205  2.74360  3.72281  5.24816  7.58726 11.04150 15.89800 22.35410 30.41870 39.81220 49.89820 59.69460 67.98950 73.56190 75.46170 73.26660 67.22500 58.21780 47.54240 36.59060
 -155.000 -155.000 32.47290 22.27320 14.44430  8.86682  5.15982  2.85060  1.49649  0.74638  0.35316  0.15820  0.06704  0.02694  0.01037  0.00393  0.00168  0.00139  0.00279  0.00706  0.01692  0.03683  0.07255  0.12963  0.21098  0.31449  0.43283  0.55659  0.68048  0.80950  0.96116  1.16023  1.42692  1.76386  2.14935  2.54130  2.88908  3.14629  3.27835  3.26556  3.10595  2.81927  2.44830  2.05188  1.69010  1.40841  1.22901  1.15314  1.17095  1.27268  1.45535  1.72424  2.09327  2.59137  3.27832  4.26641  5.73821  7.95156 11.22700 15.91360 22.32820 30.66340 40.87150 52.55120 64.87890 76.63340 86.34550 92.56730 94.20970 90.84810 82.87980 71.45330 58.17860 44.72790
 -150.000 -150.000 37.57330 25.81270 16.79250 10.35370  6.05765  3.36800  1.78191  0.89801  0.43151  0.19817  0.08750  0.03757  0.01595  0.00686  0.00328  0.00263  0.00478  0.01177  0.02820  0.06167  0.12235  0.22056  0.36280  0.54758  0.76412  0.99640  1.23227  1.47371  1.74176  2.07089  2.49329  3.02015  3.63037  4.27224  4.87521  5.36340  5.66627  5.72910  5.52713  5.08034  4.45805  3.76453  3.10926  2.57627  2.20765  2.00665  1.95464  2.03123  2.22847  2.55626  3.04337  3.74245  4.74482  6.20136  8.33911 11.46230 15.93180 22.11830 30.32550 40.68510 53.03460 66.81030 80.99620 94.17170 104.68700 110.96100 111.85200 106.99700 96.96500 83.15960 67.46050 51.76140
 -145.000 -145.000 41.23610 28.31280 18.42950 11.37990  6.67353  3.72372  1.98248  1.01125  0.49759  0.23883  0.11363  0.05449  0.02654  0.01312  0.00683  0.00495  0.00760  0.01779  0.04245  0.09339  0.18690  0.34067  0.56785  0.87039  1.23565  1.64038  2.06250  2.49622  2.96163  3.50083  4.15951  4.96223  5.89437  6.89802  7.87940  8.72065  9.29474  9.48880  9.23811  8.55861  7.55668  6.40336  5.28199  4.33563  3.63865  3.20027  2.99107  2.97574  3.13846  3.49498  4.09502  5.02474  6.41733  8.47019 11.45750 15.72470 21.65550 29.60670 39.81250 52.27040 66.63160 82.12710 97.55820 111.37500 121.86100 127.43300 127.00900 120.35000 108.21200 92.21400 74.43730 56.91840
 -140.000 -140.000 43.11750 29.51610 19.17400 11.82600  6.93528  3.87938  2.08258  1.08482  0.55809  0.29019  0.15554  0.08608  0.04818  0.02651  0.01444  0.00936  0.01146  0.02458  0.05810  0.12873  0.26060  0.48173  0.81641  1.27536  1.84892  2.50885  3.22125  3.96649  4.75554  5.63126  6.65027  7.85308  9.23675 10.74000 12.24120 13.56550 14.50620 14.86810 14.53040 13.50300 11.94330 10.11360  8.29883  6.72475  5.51319  4.68583  4.20216  4.00831  4.07698  4.42882  5.13715  6.32703  8.17968 10.94360 14.94090 20.55260 28.16770 38.09300 50.43510 64.98270 81.12960 97.86300 113.82000 127.40500 136.96700 141.06100 138.77900 130.06900 115.87100 97.97040 78.56870 59.75990
 -135.000 -135.000 43.23550 29.44440 19.04880 11.71560  6.86664  3.85893  2.10656  1.14325  0.63692  0.37413  0.23164  0.14646  0.09061  0.05312  0.02948  0.01743  0.01677  0.03154  0.07318  0.16355  0.33605  0.63251  1.09428  1.74911  2.59897  3.61667  4.75666  5.97856  7.27208  8.66809 10.22570 11.99920 13.99870 16.15870 18.32050 20.23440 21.59160 22.09550 21.56130 20.00050 17.64140 14.86560 12.08720  9.63729  7.69987  6.31566  5.43336  4.97715  4.90351  5.23340  6.06010  7.54474  9.91419 13.46570 18.56670 25.62780 35.03050 47.00560 61.48930 78.00780 95.64730 113.12600 128.93800 141.51600 149.38500 151.36400 146.81900 135.93200 119.81900 100.37400 79.84180 60.29470
