VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 12.67200  8.34439  5.03537  2.77821  1.39874  0.64151  0.26770  0.10175  0.03566  0.01233  0.00538  0.00399  0.00415  0.00442  0.00435  0.00386  0.00313  0.00252  0.00259  0.00443  0.01022  0.02384  0.05108  0.09848  0.17017  0.26342  0.36545  0.45516  0.51104  0.52244  0.49776  0.46361  0.45424  0.49593  0.59368  0.72634  0.85289  0.92811  0.92124  0.82874  0.67438  0.49758  0.33716  0.21988  0.15797  0.15366  0.20489  0.30764  0.45385  0.62800  0.80709  0.96772  1.09962  1.22001  1.38114  1.66709  2.18266  3.04125  4.35560  6.22815  8.73408 11.89210 15.62630 19.72860 23.83730 27.44990 29.98810 30.92280 29.93740 27.06810 22.74420 17.68260
 -175.000 -175.000 18.08090 11.88860  7.17627  3.96669  2.00336  0.92277  0.38728  0.14858  0.05340  0.02024  0.01114  0.01029  0.01154  0.01250  0.01233  0.01093  0.00878  0.00668  0.00571  0.00762  0.01559  0.03518  0.07469  0.14341  0.24713  0.38173  0.52883  0.65832  0.73993  0.75936  0.72973  0.68992  0.68883  0.76258  0.91548  1.11386  1.29644  1.39807  1.37681  1.23105  0.99830  0.73720  0.50433  0.33834  0.25699  0.26359  0.35459  0.52231  0.75213  1.01860  1.28685  1.52350  1.71628  1.89467  2.14182  2.59160  3.41317  4.79089  6.90466  9.90794 13.89500 18.85350 24.60860 30.77780 36.76180 41.79230 45.05230 45.86050 43.88140 39.28260 32.74910 25.31780
 -170.000 -170.000 24.30080 15.93550  9.61177  5.31824  2.69296  1.24558  0.52608  0.20436  0.07634  0.03302  0.02314  0.02483  0.02901  0.03172  0.03133  0.02779  0.02223  0.01644  0.01251  0.01314  0.02262  0.04824  0.10074  0.19208  0.32951  0.50730  0.70127  0.87256  0.98285  1.01537  0.98925  0.95650  0.98061  1.10615  1.33401  1.61438  1.86231  1.99082  1.94705  1.73374  1.40565  1.04434  0.72725  0.50731  0.40956  0.43926  0.59103  0.85164  1.19663  1.58679  1.97214  2.30828  2.58340  2.84711  3.22852  3.93425  5.22630  7.38703 10.67920 15.30220 21.33960 28.69510 37.02790 45.71030 53.83990 60.33580 64.12490 64.39650 60.85770 53.89270 44.52940 34.18930
 -165.000 -165.000 30.96380 20.23650 12.19090  6.75074  3.42782  1.59314  0.67825  0.26811  0.10596  0.05401  0.04666  0.05493  0.06563  0.07212  0.07137  0.06340  0.05069  0.03702  0.02640  0.02296  0.03223  0.06298  0.12797  0.24128  0.41110  0.62994  0.86855  1.08100  1.22344  1.27896  1.27371  1.27195  1.34914  1.55471  1.88242  2.26324  2.58664  2.74326  2.67015  2.37637  1.93657  1.45828  1.04313  0.76171  0.64921  0.71465  0.95081  1.33697  1.83531  2.38859  2.92822  3.39743  3.78782  4.17883  4.76438  5.85189  7.82842 11.10040 16.01980 22.80890 31.48680 41.80060 53.16690 64.64780 74.99540 82.79930 86.74420 85.93690 80.20410 70.23720 57.48600 43.80390
 -160.000 -160.000 37.66670 24.53650 14.76730  8.18879  4.17349  1.95186  0.83969  0.33989  0.14462  0.08769  0.08866  0.11020  0.13333  0.14703  0.14582  0.12986  0.10408  0.07583  0.05244  0.04033  0.04644  0.08078  0.15755  0.29229  0.49360  0.75230  1.03531  1.29236  1.47747  1.57620  1.62204  1.68891  1.85949  2.18299  2.64209  3.14643  3.55918  3.74852  3.64151  3.25387  2.68147  2.06091  1.52277  1.16080  1.02519  1.13163  1.47161  2.01525  2.70817  3.47126  4.21343  4.86323  5.41765  5.99614  6.87857  8.50373 11.41550 16.16320 23.17960 32.66600 44.50340 58.19680 72.84790 87.16710 99.55440 108.29500 111.87900 109.39700 100.87400 87.38410 70.85290 53.58170
 -155.000 -155.000 44.01190 28.60040 17.21480  9.57165  4.90410  2.31237  1.00803  0.42025  0.19459  0.13812  0.15541  0.19937  0.24309  0.26892  0.26756  0.23926  0.19279  0.14110  0.09673  0.06962  0.06861  0.10493  0.19406  0.35282  0.59024  0.89610  1.23505  1.55500  1.81055  1.99115  2.13633  2.32536  2.64227  3.13064  3.75895  4.41457  4.93445  5.16379  5.01787  4.51720  3.77911  2.97305  2.26563  1.78207  1.59447  1.72905  2.17688  2.89787  3.81918  4.83729  5.83535  6.72411  7.50652  8.35121  9.64457 11.98500 16.09810 22.68100 32.21980 44.83190 60.17540 77.43070 95.33140 112.23000 126.21300 135.33100 137.96100 133.25400 121.50000 104.19800 83.75970 62.90830
 -150.000 -150.000 49.58240 32.18730 19.40580 10.83720  5.59210  2.66363  1.17940  0.50818  0.25600  0.20603  0.24820  0.32448  0.39787  0.44185  0.44168  0.39758  0.32325  0.23923  0.16515  0.11593  0.10331  0.14044  0.24486  0.43567  0.72375  1.09950  1.52709  1.95405  2.33590  2.66422  2.98021  3.36220  3.88916  4.59458  5.43122  6.26498  6.90745  7.17974  6.98201  6.33615  5.38052  4.32209  3.37246  2.69848  2.40199  2.52376  3.05516  3.94554  5.10367  6.40192  7.69699  8.88033  9.96153 11.16590 13.00250 16.24860 21.82090 30.55000 42.92780 58.91290 77.85620 98.54770 119.33300 138.24000 153.12900 161.92200 162.99200 155.63900 140.45700 119.37200 95.23600 71.12040
 -145.000 -145.000 53.91110 35.01560 21.18110 11.90100  6.19534  2.98590  1.34476  0.59881  0.32455  0.28568  0.35885  0.47480  0.58529  0.65346  0.65793  0.59827  0.49333  0.37191  0.26195  0.18474  0.15642  0.19389  0.31897  0.55584  0.92048  1.40716  1.98187  2.59177  3.19011  3.76400  4.34752  5.00910  5.81588  6.78836  7.86437  8.89114  9.65702  9.95848  9.67764  8.83458  7.58881  6.18971  4.90270  3.94543  3.45600  3.49211  4.04542  5.05487  6.41322  7.97314  9.56965 11.07890 12.52150 14.18580 16.71150 21.05790 28.32010 39.42470 54.80540 74.18370 96.53210 120.21300 143.19800 163.26500 178.16600 185.83800 184.77900 174.52100 155.99300 131.50000 104.23500 77.49300
 -140.000 -140.000 56.53070 36.78740 22.36030 12.65990  6.65852  3.25118  1.48997  0.68328  0.39114  0.36415  0.46852  0.62518  0.77550  0.87265  0.88831  0.82022  0.69062  0.53513  0.38944  0.28206  0.23579  0.27438  0.42780  0.72987  1.20685  1.86177  2.66530  3.56297  4.49896  5.44437  6.41257  7.45042  8.60622  9.88599 11.21540 12.42720 13.29010 13.57740 13.15330 12.03640 10.40940  8.56894  6.84006  5.49619  4.71357  4.56593  5.04335  6.07462  7.54092  9.28436 11.13060 12.95340 14.79550 17.01500 20.37960 26.01320 35.15210 48.76020 67.14130 89.70850 115.00700 140.96400 165.22100 185.40400 199.29700 205.01200 201.31600 188.06500 166.52500 139.30000 109.78300 81.33310
 -135.000 -135.000 57.12960 37.29240 22.80800 13.03120  6.93435  3.43396  1.60105  0.75162  0.44436  0.42461  0.55244  0.74233  0.92862  1.05732  1.09408  1.03305  0.89597  0.72093  0.54878  0.41542  0.35304  0.39677  0.59000  0.98203  1.61549  2.50775  3.63705  4.94479  6.35683  7.81358  9.29171 10.80380 12.37270 13.98910 15.56870 16.93290 17.83390 18.02630 17.36210 15.86540 13.74930 11.36260  9.09213  7.26498  6.09065  5.65281  5.93536  6.85644  8.29154 10.08510 12.07250 14.14730 16.39260 19.24260 23.57970 30.65610 41.79220 57.91980 79.14430 104.51800 132.13800 159.50700 184.00000 203.19400 215.04500 218.00600 211.25800 195.07100 171.03900 141.96400 111.26800 82.19400
 -130.000 -130.000 55.71820 36.52760 22.51170 12.99990  7.00984  3.52472  1.67096  0.79711  0.47515  0.45303  0.58965  0.79778  1.01011  1.17029  1.24007  1.20805  1.09007  0.92047  0.74098  0.59452  0.52601  0.58749  0.84200  1.36031  2.20686  3.41733  4.97841  6.82314  8.84891 10.95150 13.05720 15.13480 17.17710 19.15680 20.97710 22.44540 23.29720 23.27420 22.22920 20.20930 17.47340 14.43090 11.52920  9.14061  7.49535  6.67472  6.64816  7.32127  8.56962 10.25440 12.24300 14.47430 17.09270 20.61220 26.00840 34.61350 47.76750 66.30480 90.08240 117.76800 147.01000 174.92500 198.67400 215.87800 224.78900 224.34500 214.27700 195.34000 169.44500 139.47200 108.70300 80.09700
 -125.000 -125.000 52.67820 34.73300 21.60740 12.63460  6.91511  3.53447  1.70236  0.81890  0.48064  0.44446  0.57242  0.78046  1.00549  1.19434  1.30777  1.32755  1.25864  1.12543  0.96640  0.83128  0.78161  0.89280  1.25443  1.96420  3.11109  4.74837  6.86631  9.38070 12.14930 15.01340 17.84320 20.56250 23.13350 25.50650 27.56070 29.07580 29.76360 29.35950 27.73880 25.00100 21.47740 17.65290 14.03480 11.02760  8.86278  7.60116  7.18527  7.50390  8.43710  9.87518 11.73640 14.02650 16.96560 21.14510 27.60600 37.71210 52.76560 73.45830 99.37810 128.81600 159.00400 186.71300 208.94200 223.41800 228.77800 224.54600 211.10400 189.73900 162.64200 132.66500 102.80300 75.59030
 -120.000 -120.000 48.63960 32.30670 20.32370 12.05380  6.70511  3.48576  1.70376  0.82101  0.46495  0.40504  0.50952  0.70103  0.92528  1.13704  1.29919  1.38709  1.39256  1.32680  1.22310  1.13938  1.15910  1.38934  1.95503  2.98659  4.59680  6.84710  9.71361 13.07320 16.72570 20.44940 24.06390 27.46090 30.58160 33.35020 35.60410 37.07260 37.43030 36.41430 33.95170 30.23520 25.70610 20.94610 16.52370 12.85960 10.16290  8.45084  7.62293  7.54454  8.10173  9.22093 10.88100 13.16280 16.36380 21.14020 28.56920 40.00480 56.67420 79.10910 106.64200 137.23100 167.75000 194.67900 214.90000 226.28100 227.88200 219.85700 203.26600 179.92800 152.26600 123.01300 94.77530 69.58510
 -115.000 -115.000 44.26430 29.65330 18.88500 11.36910  6.42903  3.39772  1.68267  0.80892  0.43642  0.34872  0.42148  0.58562  0.79781  1.02344  1.23057  1.39084  1.48519  1.51350  1.50648  1.53537  1.71503  2.19826  3.16096  4.77682  7.17919 10.41370 14.39850 18.91760 23.66760 28.34560 32.73350 36.72590 40.27750 43.30060 45.58220 46.78050 46.52180 44.55570 40.89530 35.87220 30.07770 24.21170 18.90270 14.56910 11.37060  9.25515  8.06201  7.62494  7.83421  8.65216 10.11500 12.37060 15.77920 21.03950 29.23720 41.68890 59.53120 83.14610 111.65600 142.75800 173.05700 198.81700 216.85000 225.18000 223.26800 211.86100 192.64400 167.90900 140.24200 112.20100 85.96920 63.06960
 -110.000 -110.000 40.07320 27.07040 17.44260 10.64770  6.11172  3.27770  1.64175  0.78683  0.40402  0.29124  0.33178  0.46444  0.65631  0.88390  1.12297  1.34650  1.53143  1.67430  1.81235  2.04287  2.53193  3.50676  5.22751  7.93580 11.78210 16.74740 22.59500 28.89290 35.12490 40.85170 45.83530 50.04690 53.54510 56.30100 58.08350 58.48700 57.09200 53.67560 48.36710 41.67090 34.35310 27.23860 21.00290 16.03580 12.41820 10.00500  8.56009  7.87873  7.85126  8.46798  9.80718 12.06100 15.62520 21.21480 29.90070 42.94810 61.40550 85.53520 114.31400 145.27800 174.87100 199.24400 215.19800 220.90200 216.15000 202.15600 181.09600 155.60900 128.37200 101.75700 77.55920 56.86460
 -105.000 -105.000 36.38590 24.72340 16.06950  9.91482  5.75846  3.12522  1.58099  0.75771  0.37522  0.24580  0.26005  0.36291  0.52942  0.74581  0.99739  1.26475  1.53125  1.80374  2.14391  2.70119  3.73376  5.60193  8.71837 13.44510 19.94690 28.04580 37.15670 46.37900 54.75370 61.58070 66.62620 70.08690 72.32920 73.56590 73.67190 72.24060 68.83220 63.26370 55.78600 47.07520 38.05720 29.65280 22.54660 17.06190 13.17080 10.61690  9.08154  8.31964  8.21694  8.77859 10.10130 12.39080 16.04770 21.77830 30.62370 43.79460 62.26490 86.21700 114.55700 144.76800 173.26700 196.20900 210.44200 214.26000 207.66700 192.15400 170.18100 144.57900 118.05000 92.80880 70.37200 51.51470
 -100.000 -100.000 33.34600 22.68130 14.79430  9.18072  5.37272  2.94217  1.50274  0.72542  0.35628  0.22210  0.22030  0.29951  0.43912  0.63248  0.87535  1.16212  1.49464  1.90895  2.52029  3.57773  5.50750  8.91117 14.47800 22.78430 34.00160 47.61930 62.35300 76.37980 87.88660 95.69640 99.63160 100.39700 99.05490 96.42640 92.74940 87.75410 81.02630 72.40980 62.23280 51.27630 40.54700 30.98060 23.20010 17.41130 13.45040 10.94280  9.49288  8.82079  8.80552  9.45244 10.85130 13.19140 16.85130 22.51120 31.17570 44.00490 61.91650 85.05420 112.33000 141.28900 168.45700 190.10500 203.18700 206.06600 198.80100 182.93600 160.98500 135.81200 110.10100 85.98220 64.83410 47.28150
  -95.000  -95.000 30.95240 20.95040 13.62950  8.45991  4.96769  2.73891  1.41469  0.69604  0.35316  0.22747  0.22239  0.28752  0.40263  0.56488  0.78035  1.06235  1.44381  2.01368  2.98379  4.77882  8.11650 14.01330 23.62970 37.89470 56.95820 79.68500 103.52600 125.02700 140.90300 149.20000 149.92100 144.75900 136.11200 125.99000 115.40300 104.42100 92.69510 80.03060 66.70830 53.46300 41.22860 30.82070 22.70130 16.90170 13.10370 10.82380  9.60786  9.15627  9.34300 10.16190 11.67550 14.03460 17.57880 22.95220 31.12170 43.20310 60.07640 81.88800 107.62900 135.01700 160.80200 181.47000 194.10000 197.04900 190.26000 175.11200 153.97100 129.61200 104.69300 81.34660 60.96260 44.16370
