VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 18.29800 14.80170 11.32100  8.15145  5.49772  3.45483  2.01250  1.08162  0.53417  0.24158  0.09977  0.03754  0.01286  0.00403  0.00122  0.00050  0.00053  0.00093  0.00164  0.00265  0.00394  0.00541  0.00699  0.00865  0.01049  0.01272  0.01574  0.02015  0.02685  0.03700  0.05179  0.07187  0.09662  0.12362  0.14859  0.16639  0.17268  0.16566  0.14686  0.12051  0.09195  0.06583  0.04504  0.03057  0.02224  0.01980  0.02434  0.03977  0.07447  0.14241  0.26259  0.45586  0.73969  1.12371  1.60965  2.19691  2.89042  3.70615  4.67327  5.83636  7.25934  9.02310 11.20240 13.81560 16.76470 19.80080 22.54900 24.59320 25.58940 25.35680 23.91400 21.45650
 -175.000 -175.000 28.35660 22.71510 17.22930 12.32670  8.27989  5.19509  3.02936  1.63392  0.81169  0.37004  0.15434  0.05876  0.02040  0.00653  0.00212  0.00112  0.00149  0.00271  0.00478  0.00776  0.01158  0.01602  0.02086  0.02602  0.03175  0.03861  0.04759  0.06024  0.07880  0.10609  0.14477  0.19604  0.25803  0.32463  0.38567  0.42910  0.44472  0.42810  0.38246  0.31751  0.24595  0.17927  0.12505  0.08624  0.06242  0.05201  0.05473  0.07390  0.11854  0.20498  0.35704  0.60403  0.97634  1.50103  2.20036  3.09465  4.20763  5.57199  7.23558  9.27028 11.77900 14.88420 18.68010 23.14790 28.06760 32.98380 37.26580 40.25580 41.44730 40.61970 37.87990 33.60970
 -170.000 -170.000 41.47960 32.88620 24.72350 17.56630 11.74560  7.35525  4.29210  2.32269  1.16046  0.53320  0.22456  0.08648  0.03048  0.01004  0.00361  0.00250  0.00384  0.00713  0.01261  0.02051  0.03074  0.04282  0.05622  0.07078  0.08697  0.10613  0.13056  0.16388  0.21123  0.27882  0.37204  0.49254  0.63508  0.78557  0.92187  1.01834  1.05335  1.01701  0.91532  0.76847  0.60387  0.44758  0.31780  0.22256  0.16155  0.13040  0.12533  0.14704  0.20354  0.31235  0.50211  0.81307  1.29567  2.00738  3.00927  4.36346  6.13212  8.37982 11.18240 14.64170 18.89410 24.08610 30.29620 37.41230 45.01810 52.36710 58.49350 62.44160 63.52680 61.52060 56.69440 49.71880
 -165.000 -165.000 57.65620 45.20730 33.65150 23.71610 15.76500  9.84010  5.73919  3.11259  1.56242  0.72287  0.30718  0.11965  0.04290  0.01474  0.00616  0.00550  0.00919  0.01709  0.03011  0.04904  0.07382  0.10359  0.13726  0.17441  0.21603  0.26479  0.32558  0.40619  0.51757  0.67223  0.87991  1.14154  1.44372  1.75636  2.03528  2.23089  2.30151  2.22718  2.01790  1.71168  1.36278  1.02531  0.73939  0.52471  0.38256  0.30356  0.27670  0.29653  0.36752  0.50704  0.74902  1.14869  1.78654  2.76866  4.22128  6.27973  9.07544 12.72800 17.34920 23.05850 29.98800 38.24780 47.82410 58.42840 69.36970 79.54380 87.60060 92.26070 92.66880 88.63940 80.69930 69.92460
 -160.000 -160.000 76.57970 59.34740 43.69580 30.50050 20.12050 12.49370  7.26895  3.94348  1.98538  0.92355  0.39555  0.15588  0.05719  0.02106  0.01077  0.01180  0.02036  0.03739  0.06540  0.10641  0.16083  0.22736  0.30412  0.39029  0.48751  0.60070  0.73931  0.91883  1.16079  1.48848  1.91744  2.44404  3.03712  3.63685  4.16195  4.52475  4.65228  4.50814  4.10723  3.51519  2.83071  2.15725  1.57590  1.13020  0.82679  0.64835  0.57067  0.57641  0.66267  0.84530  1.16497  1.69781  2.56786  3.95389  6.08307  9.20838 13.57530 19.38970 26.80130 35.90420 46.73700 59.24860 73.20190 88.02850 102.70500 115.75800 125.46700 130.25500 129.13300 122.01500 109.76900 93.98850
 -155.000 -155.000 97.54060 74.70960 54.37320 37.54510 24.53670 15.12530  8.75827  4.74193  2.38919  1.11531  0.48097  0.19216  0.07312  0.03020  0.01960  0.02455  0.04196  0.07517  0.12974  0.21037  0.31891  0.45409  0.61326  0.79514  1.00212  1.24234  1.53258  1.90132  2.38780  3.03201  3.85552  4.84128  5.92312  6.99007  7.90320  8.52011  8.72433  8.45608  7.73585  6.66861  5.42052  4.17425  3.08050  2.22624  1.63067  1.26523  1.08390  1.04868  1.14365  1.38141  1.81174  2.53949  3.74878  5.72063  8.82845 13.50120 20.15790 29.12930 40.59120 54.52730 70.72230 88.76070 107.99600 127.46800 145.81800 161.28200 171.88400 175.85100 172.12300 160.76000 143.02500 121.10000
 -150.000 -150.000 119.29000 90.36320 65.01820 44.39030 28.70660 17.53680 10.08470  5.43623  2.73461  1.27855  0.55499  0.22613  0.09165  0.04509  0.03694  0.04928  0.08102  0.13978  0.23642  0.38067  0.57784  0.82821  1.12930  1.47966  1.88253  2.35015  2.90997  3.61044  4.51783  5.69543  7.16801  8.88887 10.72950 12.49740 13.97040 14.93440 15.21930 14.73680 13.51500 11.71150  9.58731  7.44176  5.53253  4.01717  2.93877  2.25462  1.88575  1.76145  1.84455  2.14165  2.71438  3.70515  5.37618  8.14351 12.57870 19.35570 29.13810 42.42230 59.37990 79.74990 102.82900 127.55800 152.64900 176.65900 197.96700 214.72200 224.93200 226.80800 219.31300 202.66900 178.52700 149.65900
 -145.000 -145.000 140.01600 105.04100 74.79430 50.51270 32.31640 19.54660 11.14580  5.96997  2.99189  1.39889  0.61215  0.25767  0.11611  0.07152  0.07039  0.09485  0.14741  0.24217  0.39833  0.63399  0.96140  1.38569  1.90717  2.52569  3.24578  4.08446  5.08327  6.31839  7.89301  9.89904 12.35670 15.16480 18.09490 20.83400 23.04780 24.43510 24.76740 23.92840 21.95980 19.08850 15.70040 12.25250  9.15128  6.65667  4.85035  3.67341  3.00164  2.71689  2.74975  3.09633  3.83205  5.14523  7.39336 11.15880 17.26270 26.69420 40.43300 59.17670 83.04080 111.34500 142.61100 174.80900 205.76900 233.51000 256.32100 272.59200 280.66900 279.00900 266.70500 244.12200 213.21000 177.23300
 -140.000 -140.000 157.59600 117.31000 82.80340 55.39090 35.08590 21.01390 11.87440  6.31232  3.14728  1.47105  0.65211  0.29009  0.15298  0.11867  0.13121  0.17368  0.25349  0.39365  0.62501  0.97831  1.47781  2.13903  2.97038  3.97682  5.16585  6.56003  8.21756 10.24830 12.79950 15.99240 19.82860 24.12060 28.49600 32.47810 35.59050 37.43220 37.71780 36.31290 33.28820 28.96200 23.87700 18.68610 13.98360 10.16100  7.35345  5.48519  4.37520  3.84246  3.77240  4.14389  5.04634  6.72030  9.63176 14.55350 22.59590 35.11870 53.47180 78.57090 110.40700 147.69100 187.87600 227.65700 263.77300 293.72200 315.95100 329.50800 333.50100 326.93500 309.14800 280.58100 243.31000 200.89800
 -135.000 -135.000 170.12800 125.92300 88.30000 58.62500 36.82800 21.86740 12.25270  6.46486  3.20691  1.50104  0.68064  0.33009  0.21095  0.19767  0.23250  0.29958  0.41202  0.60368  0.92032  1.40991  2.11496  3.06943  4.29859  5.81994  7.64827  9.81292 12.38870 15.51950 19.39510 24.15830 29.77240 35.92980 42.07250 47.52060 51.62700 53.88070 53.94610 51.69160 47.24580 41.05130 33.84010 26.49090 19.81040 14.34030 10.27810  7.53100  5.85248  4.98539  4.75717  5.12115  6.17851  8.22517 11.84250 18.00430 28.12650 43.96000 67.24050 99.08560 139.28200 185.77300 234.72200 281.33200 321.15800 351.26300 370.55000 379.13200 377.29300 364.86800 341.52200 307.67200 265.29300 217.96700
